Байршил,Орлогын төрөл,Он,value
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2002,24801.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2001,6999.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,2000,5516.0
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1999,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1998,
Улсын дундаж,3. Өөрийн аж ахуйгаас хэрэглэсэн хүнсний бүтээгдэхүүн,1997,
  Хот,Нийт орлого,2024,2803740.0
  Хот,Нийт орлого,2023,2298468.0
  Хот,Нийт орлого,2022,1979678.0
  Хот,Нийт орлого,2021,1700382.0
  Хот,Нийт орлого,2020,1632497.0
  Хот,Нийт орлого,2019,1426942.0
  Хот,Нийт орлого,2018,1281546.0
  Хот,Нийт орлого,2017,1117921.0
  Хот,Нийт орлого,2016,1007145.0
  Хот,Нийт орлого,2015,1120699.0
  Хот,Нийт орлого,2014,1174005.0
  Хот,Нийт орлого,2013,1044640.0
  Хот,Нийт орлого,2012,909361.0
  Хот,Нийт орлого,2011,649248.0
  Хот,Нийт орлого,2010,498172.0
  Хот,Нийт орлого,2009,454854.0
  Хот,Нийт орлого,2008,406667.0
  Хот,Нийт орлого,2007,269472.0
  Хот,Нийт орлого,2006,181165.0
  Хот,Нийт орлого,2005,176560.0
  Хот,Нийт орлого,2004,173109.0
  Хот,Нийт орлого,2003,184639.0
  Хот,Нийт орлого,2002,157170.0
  Хот,Нийт орлого,2001,133579.0
  Хот,Нийт орлого,2000,113644.0
  Хот,Нийт орлого,1999,75546.0
  Хот,Нийт орлого,1998,73101.0
  Хот,Нийт орлого,1997,62522.0
  Хот,1. Мөнгөн орлого,2024,2731443.0
  Хот,1. Мөнгөн орлого,2023,2232000.0
  Хот,1. Мөнгөн орлого,2022,1908257.0
  Хот,1. Мөнгөн орлого,2021,1650524.0
  Хот,1. Мөнгөн орлого,2020,1570430.0
  Хот,1. Мөнгөн орлого,2019,1357034.0
  Хот,1. Мөнгөн орлого,2018,1222022.0
  Хот,1. Мөнгөн орлого,2017,1062245.0
  Хот,1. Мөнгөн орлого,2016,965455.0
  Хот,1. Мөнгөн орлого,2015,1069564.0
  Хот,1. Мөнгөн орлого,2014,1128335.0
  Хот,1. Мөнгөн орлого,2013,1001768.0
  Хот,1. Мөнгөн орлого,2012,871277.0
  Хот,1. Мөнгөн орлого,2011,623269.0
  Хот,1. Мөнгөн орлого,2010,476690.0
  Хот,1. Мөнгөн орлого,2009,441871.0
  Хот,1. Мөнгөн орлого,2008,394877.0
  Хот,1. Мөнгөн орлого,2007,259354.0
  Хот,1. Мөнгөн орлого,2006,172445.0
  Хот,1. Мөнгөн орлого,2005,165981.0
  Хот,1. Мөнгөн орлого,2004,159666.0
  Хот,1. Мөнгөн орлого,2003,170124.0
