Малын төрөл,Бүс,Он,value
Бүгд,      Баруун бүс,1971,7570.7
Бүгд,      Баруун бүс,1970,7246.5
Бүгд,             Баян-Өлгий,2024,2125.1
Бүгд,             Баян-Өлгий,2023,2046.1
Бүгд,             Баян-Өлгий,2022,2255.8
Бүгд,             Баян-Өлгий,2021,2379.0
Бүгд,             Баян-Өлгий,2020,2224.7
Бүгд,             Баян-Өлгий,2019,2192.8
Бүгд,             Баян-Өлгий,2018,2166.9
Бүгд,             Баян-Өлгий,2017,2226.1
Бүгд,             Баян-Өлгий,2016,2167.4
Бүгд,             Баян-Өлгий,2015,2021.0
Бүгд,             Баян-Өлгий,2014,1883.6
Бүгд,             Баян-Өлгий,2013,1604.1
Бүгд,             Баян-Өлгий,2012,1410.6
Бүгд,             Баян-Өлгий,2011,1302.8
Бүгд,             Баян-Өлгий,2010,1126.9
Бүгд,             Баян-Өлгий,2009,1301.5
Бүгд,             Баян-Өлгий,2008,1529.6
Бүгд,             Баян-Өлгий,2007,1597.3
Бүгд,             Баян-Өлгий,2006,1470.3
Бүгд,             Баян-Өлгий,2005,1320.5
Бүгд,             Баян-Өлгий,2004,1346.7
Бүгд,             Баян-Өлгий,2003,1315.6
Бүгд,             Баян-Өлгий,2002,1234.2
Бүгд,             Баян-Өлгий,2001,1297.8
Бүгд,             Баян-Өлгий,2000,1310.4
Бүгд,             Баян-Өлгий,1999,1362.4
Бүгд,             Баян-Өлгий,1998,1346.0
Бүгд,             Баян-Өлгий,1997,1519.4
Бүгд,             Баян-Өлгий,1996,1405.8
Бүгд,             Баян-Өлгий,1995,1354.2
Бүгд,             Баян-Өлгий,1994,1156.6
Бүгд,             Баян-Өлгий,1993,1005.4
Бүгд,             Баян-Өлгий,1992,1033.5
Бүгд,             Баян-Өлгий,1991,1159.9
Бүгд,             Баян-Өлгий,1990,1318.4
Бүгд,             Баян-Өлгий,1989,1284.0
Бүгд,             Баян-Өлгий,1988,1235.4
Бүгд,             Баян-Өлгий,1987,1241.2
Бүгд,             Баян-Өлгий,1986,1236.0
Бүгд,             Баян-Өлгий,1985,1198.6
Бүгд,             Баян-Өлгий,1984,1161.4
