date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Officially late,36,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,General leave,1,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Medical leave,2,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Domestic official assignments,4,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Foreign official assignments,32,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Unexplained absences,2,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Physically attended,85,count
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Physical attendance rate,67.5,percent
2024-11-28,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63471/,,Official on-time rate among appearances,57.6,percent
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Agenda items,0,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Sitting start delay,6,minutes
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Officially on time,68,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Officially late,19,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,General leave,2,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Medical leave,2,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Domestic official assignments,1,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Foreign official assignments,30,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Unexplained absences,4,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Physically attended,87,count
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Physical attendance rate,69.0,percent
2024-11-29,Autumn regular session,10:00,10:06,Complete,Final,https://www.parliament.mn/nn/63485/,,Official on-time rate among appearances,78.2,percent
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Agenda items,1,count
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Sitting start delay,17,minutes
2024-12-02,Autumn regular session,14:00,14:17,Complete,Final,https://www.parliament.mn/nn/63509/,,Officially on time,66,count
