огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2025-04-17,2025,period-2,Тайлбаргүй тасалсан,1,,10:00,
2025-04-18,2025,period-2,Цагтаа ирсэн,81,,10:00,
2025-04-18,2025,period-2,Хоцорсон,25,,10:00,
2025-04-18,2025,period-2,Зөвшөөрөгдсөн чөлөө,14,,10:00,
2025-04-18,2025,period-2,Албан томилолт,5,,10:00,
2025-04-18,2025,period-2,Тайлбаргүй тасалсан,1,,10:00,
2025-04-24,2025,period-2,Цагтаа ирсэн,83,,10:00,
2025-04-24,2025,period-2,Хоцорсон,24,,10:00,
2025-04-24,2025,period-2,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2025-04-24,2025,period-2,Албан томилолт,11,,10:00,
2025-04-24,2025,period-2,Тайлбаргүй тасалсан,0,,10:00,
2025-04-25,2025,period-2,Цагтаа ирсэн,93,10:00,10:03,3
2025-04-25,2025,period-2,Хоцорсон,14,10:00,10:03,3
2025-04-25,2025,period-2,Зөвшөөрөгдсөн чөлөө,9,10:00,10:03,3
2025-04-25,2025,period-2,Албан томилолт,7,10:00,10:03,3
2025-04-25,2025,period-2,Тайлбаргүй тасалсан,3,10:00,10:03,3
2025-05-01,2025,period-2,Цагтаа ирсэн,77,,10:00,
2025-05-01,2025,period-2,Хоцорсон,23,,10:00,
2025-05-01,2025,period-2,Зөвшөөрөгдсөн чөлөө,10,,10:00,
2025-05-01,2025,period-2,Албан томилолт,10,,10:00,
2025-05-01,2025,period-2,Тайлбаргүй тасалсан,6,,10:00,
2025-05-02,2025,period-2,Цагтаа ирсэн,77,,10:00,
2025-05-02,2025,period-2,Хоцорсон,18,,10:00,
2025-05-02,2025,period-2,Зөвшөөрөгдсөн чөлөө,10,,10:00,
2025-05-02,2025,period-2,Албан томилолт,9,,10:00,
2025-05-02,2025,period-2,Тайлбаргүй тасалсан,12,,10:00,
2025-05-08,2025,period-2,Цагтаа ирсэн,69,,10:00,
2025-05-08,2025,period-2,Хоцорсон,27,,10:00,
2025-05-08,2025,period-2,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2025-05-08,2025,period-2,Албан томилолт,19,,10:00,
2025-05-08,2025,period-2,Тайлбаргүй тасалсан,5,,10:00,
2025-05-09,2025,period-2,Цагтаа ирсэн,77,10:00,10:01,1
2025-05-09,2025,period-2,Хоцорсон,20,10:00,10:01,1
2025-05-09,2025,period-2,Зөвшөөрөгдсөн чөлөө,5,10:00,10:01,1
2025-05-09,2025,period-2,Албан томилолт,20,10:00,10:01,1
