Бүс нутаг,Аяллын зорилго,Он,value
Африк,Албан ажлаар,2021,97
Африк,Албан ажлаар,2020,105
Африк,Албан ажлаар,2019,329
Африк,Албан ажлаар,2018,287
Африк,Албан ажлаар,2017,306
Африк,Албан ажлаар,2016,328
Африк,Албан ажлаар,2015,265
Африк,Албан ажлаар,2014,481
Африк,Албан ажлаар,2013,684
Африк,Албан ажлаар,2012,427
Африк,Албан ажлаар,2011,813
Африк,Албан ажлаар,2010,174
Африк,Албан ажлаар,2009,139
Африк,Албан ажлаар,2008,102
Африк,Албан ажлаар,2007,247
Африк,Албан ажлаар,2006,210
Африк,Хувийн журмаар,2025,67
Африк,Хувийн журмаар,2024,102
Африк,Хувийн журмаар,2023,254
Африк,Хувийн журмаар,2022,189
Африк,Хувийн журмаар,2021,46
Африк,Хувийн журмаар,2020,47
Африк,Хувийн журмаар,2019,291
Африк,Хувийн журмаар,2018,319
Африк,Хувийн журмаар,2017,298
Африк,Хувийн журмаар,2016,236
Африк,Хувийн журмаар,2015,289
Африк,Хувийн журмаар,2014,118
Африк,Хувийн журмаар,2013,145
Африк,Хувийн журмаар,2012,163
Африк,Хувийн журмаар,2011,977
Африк,Хувийн журмаар,2010,159
Африк,Хувийн журмаар,2009,128
Африк,Хувийн журмаар,2008,197
Африк,Хувийн журмаар,2007,214
Африк,Хувийн журмаар,2006,104
Африк,Жуулчлал,2025,376
Африк,Жуулчлал,2024,428
Африк,Жуулчлал,2023,321
Африк,Жуулчлал,2022,103
Африк,Жуулчлал,2021,3
Африк,Жуулчлал,2020,5
Африк,Жуулчлал,2019,284
Африк,Жуулчлал,2018,305
Африк,Жуулчлал,2017,271
Африк,Жуулчлал,2016,230
Африк,Жуулчлал,2015,160
Африк,Жуулчлал,2014,242
Африк,Жуулчлал,2013,211
Африк,Жуулчлал,2012,206
Африк,Жуулчлал,2011,260
Африк,Жуулчлал,2010,131
Африк,Жуулчлал,2009,171
Африк,Жуулчлал,2008,209
Африк,Жуулчлал,2007,249
Африк,Жуулчлал,2006,603
Африк,Ажиллах,2025,360
Африк,Ажиллах,2024,382
Африк,Ажиллах,2023,501
Африк,Ажиллах,2022,555
Африк,Ажиллах,2021,202
Африк,Ажиллах,2020,183
Африк,Ажиллах,2019,1121
Африк,Ажиллах,2018,627
Африк,Ажиллах,2017,394
Африк,Ажиллах,2016,241
Африк,Ажиллах,2015,151
Африк,Ажиллах,2014,261
Африк,Ажиллах,2013,519
Африк,Ажиллах,2012,644
Африк,Ажиллах,2011,10191
Африк,Ажиллах,2010,0
Африк,Ажиллах,2009,0
Африк,Ажиллах,2008,0
Африк,Ажиллах,2007,0
Африк,Ажиллах,2006,0
Африк,Дамжин өнгөрөх,2025,57
Африк,Дамжин өнгөрөх,2024,53
Африк,Дамжин өнгөрөх,2023,47
Африк,Дамжин өнгөрөх,2022,4
Африк,Дамжин өнгөрөх,2021,0
Африк,Дамжин өнгөрөх,2020,0
Африк,Дамжин өнгөрөх,2019,15
Африк,Дамжин өнгөрөх,2018,6
Африк,Дамжин өнгөрөх,2017,0
Африк,Дамжин өнгөрөх,2016,4
Африк,Дамжин өнгөрөх,2015,3
Африк,Дамжин өнгөрөх,2014,2
Африк,Дамжин өнгөрөх,2013,6
Африк,Дамжин өнгөрөх,2012,1
Африк,Дамжин өнгөрөх,2011,0
Африк,Дамжин өнгөрөх,2010,6
Африк,Дамжин өнгөрөх,2009,2
Африк,Дамжин өнгөрөх,2008,5
Африк,Дамжин өнгөрөх,2007,8
Африк,Дамжин өнгөрөх,2006,56
