Бүс,Үзүүлэлт,Он,value
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2021,747.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2020,710.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2019,630.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2018,615.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2017,564.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2016,546.0
    Баруун бүс,Үндсэн ба төрөлжсөн мэргэжлийн,2015,516.0
    Баруун бүс,Дотрын,2025,9.0
    Баруун бүс,Дотрын,2024,12.0
    Баруун бүс,Дотрын,2023,9.0
    Баруун бүс,Дотрын,2022,6.0
    Баруун бүс,Дотрын,2021,9.0
    Баруун бүс,Дотрын,2020,6.0
    Баруун бүс,Дотрын,2019,8.0
    Баруун бүс,Дотрын,2018,17.0
    Баруун бүс,Дотрын,2017,25.0
    Баруун бүс,Дотрын,2016,13.0
    Баруун бүс,Дотрын,2015,16.0
    Баруун бүс,Хүүхдийн,2025,183.0
    Баруун бүс,Хүүхдийн,2024,189.0
    Баруун бүс,Хүүхдийн,2023,170.0
    Баруун бүс,Хүүхдийн,2022,160.0
    Баруун бүс,Хүүхдийн,2021,164.0
    Баруун бүс,Хүүхдийн,2020,157.0
    Баруун бүс,Хүүхдийн,2019,151.0
    Баруун бүс,Хүүхдийн,2018,158.0
    Баруун бүс,Хүүхдийн,2017,116.0
    Баруун бүс,Хүүхдийн,2016,132.0
    Баруун бүс,Хүүхдийн,2015,142.0
    Баруун бүс,Мэс заслын,2025,82.0
    Баруун бүс,Мэс заслын,2024,95.0
    Баруун бүс,Мэс заслын,2023,104.0
    Баруун бүс,Мэс заслын,2022,91.0
    Баруун бүс,Мэс заслын,2021,108.0
    Баруун бүс,Мэс заслын,2020,105.0
    Баруун бүс,Мэс заслын,2019,105.0
    Баруун бүс,Мэс заслын,2018,90.0
    Баруун бүс,Мэс заслын,2017,89.0
    Баруун бүс,Мэс заслын,2016,89.0
    Баруун бүс,Мэс заслын,2015,85.0
    Баруун бүс,Гэмтлийн,2025,29.0
    Баруун бүс,Гэмтлийн,2024,31.0
    Баруун бүс,Гэмтлийн,2023,30.0
    Баруун бүс,Гэмтлийн,2022,29.0
    Баруун бүс,Гэмтлийн,2021,20.0
    Баруун бүс,Гэмтлийн,2020,21.0
    Баруун бүс,Гэмтлийн,2019,15.0
    Баруун бүс,Гэмтлийн,2018,17.0
    Баруун бүс,Гэмтлийн,2017,18.0
    Баруун бүс,Гэмтлийн,2016,10.0
    Баруун бүс,Гэмтлийн,2015,10.0
    Баруун бүс,Сэхээн амьдруулахын,2025,0.0
    Баруун бүс,Сэхээн амьдруулахын,2024,0.0
    Баруун бүс,Сэхээн амьдруулахын,2023,40.0
    Баруун бүс,Сэхээн амьдруулахын,2022,35.0
    Баруун бүс,Сэхээн амьдруулахын,2021,0.0
    Баруун бүс,Сэхээн амьдруулахын,2020,23.0
    Баруун бүс,Сэхээн амьдруулахын,2019,0.0
    Баруун бүс,Сэхээн амьдруулахын,2018,23.0
    Баруун бүс,Сэхээн амьдруулахын,2017,27.0
    Баруун бүс,Сэхээн амьдруулахын,2016,28.0
    Баруун бүс,Сэхээн амьдруулахын,2015,25.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2025,101.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2024,100.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2023,52.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2022,50.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2021,73.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2020,44.0
    Баруун бүс,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2019,71.0
