Region,Indicator,Year,value
 Khangai region, Traumotologists,2020,16.0
 Khangai region, Traumotologists,2019,19.0
 Khangai region, Traumotologists,2018,15.0
 Khangai region, Traumotologists,2017,20.0
 Khangai region, Traumotologists,2016,16.0
 Khangai region, Traumotologists,2015,13.0
 Khangai region, Сэхээн амьдруулахын,2025,0.0
 Khangai region, Сэхээн амьдруулахын,2024,0.0
 Khangai region, Сэхээн амьдруулахын,2023,48.0
 Khangai region, Сэхээн амьдруулахын,2022,55.0
 Khangai region, Сэхээн амьдруулахын,2021,0.0
 Khangai region, Сэхээн амьдруулахын,2020,37.0
 Khangai region, Сэхээн амьдруулахын,2019,0.0
 Khangai region, Сэхээн амьдруулахын,2018,45.0
 Khangai region, Сэхээн амьдруулахын,2017,41.0
 Khangai region, Сэхээн амьдруулахын,2016,44.0
 Khangai region, Сэхээн амьдруулахын,2015,41.0
 Khangai region, Anaesthesiologists,2025,121.0
 Khangai region, Anaesthesiologists,2024,109.0
 Khangai region, Anaesthesiologists,2023,62.0
 Khangai region, Anaesthesiologists,2022,73.0
 Khangai region, Anaesthesiologists,2021,109.0
 Khangai region, Anaesthesiologists,2020,72.0
 Khangai region, Anaesthesiologists,2019,102.0
 Khangai region, Anaesthesiologists,2018,73.0
 Khangai region, Anaesthesiologists,2017,73.0
 Khangai region, Anaesthesiologists,2016,68.0
 Khangai region, Anaesthesiologists,2015,60.0
 Khangai region, Neurologists,2025,20.0
 Khangai region, Neurologists,2024,22.0
 Khangai region, Neurologists,2023,27.0
 Khangai region, Neurologists,2022,34.0
 Khangai region, Neurologists,2021,109.0
 Khangai region, Neurologists,2020,18.0
 Khangai region, Neurologists,2019,20.0
 Khangai region, Neurologists,2018,25.0
 Khangai region, Neurologists,2017,33.0
 Khangai region, Neurologists,2016,22.0
 Khangai region, Neurologists,2015,19.0
 Khangai region, Obstetrics & gynecologists,2025,2.0
 Khangai region, Obstetrics & gynecologists,2024,3.0
 Khangai region, Obstetrics & gynecologists,2023,4.0
 Khangai region, Obstetrics & gynecologists,2022,10.0
 Khangai region, Obstetrics & gynecologists,2021,22.0
 Khangai region, Obstetrics & gynecologists,2020,6.0
 Khangai region, Obstetrics & gynecologists,2019,17.0
 Khangai region, Obstetrics & gynecologists,2018,18.0
 Khangai region, Obstetrics & gynecologists,2017,62.0
 Khangai region, Obstetrics & gynecologists,2016,49.0
 Khangai region, Obstetrics & gynecologists,2015,21.0
 Khangai region, Oncologists,2025,17.0
 Khangai region, Oncologists,2024,15.0
 Khangai region, Oncologists,2023,16.0
 Khangai region, Oncologists,2022,16.0
 Khangai region, Oncologists,2021,15.0
 Khangai region, Oncologists,2020,10.0
 Khangai region, Oncologists,2019,6.0
 Khangai region, Oncologists,2018,4.0
 Khangai region, Oncologists,2017,5.0
 Khangai region, Oncologists,2016,7.0
 Khangai region, Oncologists,2015,4.0
 Khangai region, Psychiatrists,2025,28.0
 Khangai region, Psychiatrists,2024,23.0
 Khangai region, Psychiatrists,2023,26.0
 Khangai region, Psychiatrists,2022,29.0
 Khangai region, Psychiatrists,2021,26.0
 Khangai region, Psychiatrists,2020,21.0
 Khangai region, Psychiatrists,2019,23.0
 Khangai region, Psychiatrists,2018,25.0
 Khangai region, Psychiatrists,2017,22.0
 Khangai region, Psychiatrists,2016,23.0
 Khangai region, Psychiatrists,2015,18.0
 Khangai region, Ophtalmologists,2025,9.0
 Khangai region, Ophtalmologists,2024,14.0
 Khangai region, Ophtalmologists,2023,10.0
 Khangai region, Ophtalmologists,2022,14.0
 Khangai region, Ophtalmologists,2021,11.0
 Khangai region, Ophtalmologists,2020,13.0
 Khangai region, Ophtalmologists,2019,9.0
 Khangai region, Ophtalmologists,2018,8.0
 Khangai region, Ophtalmologists,2017,8.0
 Khangai region, Ophtalmologists,2016,9.0
 Khangai region, Ophtalmologists,2015,6.0
 Khangai region, Otorhinolaryngologists,2025,10.0
 Khangai region, Otorhinolaryngologists,2024,10.0
 Khangai region, Otorhinolaryngologists,2023,11.0
 Khangai region, Otorhinolaryngologists,2022,13.0
 Khangai region, Otorhinolaryngologists,2021,14.0
 Khangai region, Otorhinolaryngologists,2020,11.0
 Khangai region, Otorhinolaryngologists,2019,10.0
 Khangai region, Otorhinolaryngologists,2018,13.0
 Khangai region, Otorhinolaryngologists,2017,9.0
 Khangai region, Otorhinolaryngologists,2016,11.0
 Khangai region, Otorhinolaryngologists,2015,11.0
 Khangai region, Dermatologists,2025,7.0
 Khangai region, Dermatologists,2024,5.0
 Khangai region, Dermatologists,2023,5.0
 Khangai region, Dermatologists,2022,9.0
 Khangai region, Dermatologists,2021,7.0
 Khangai region, Dermatologists,2020,6.0
 Khangai region, Dermatologists,2019,7.0
 Khangai region, Dermatologists,2018,5.0
 Khangai region, Dermatologists,2017,6.0
 Khangai region, Dermatologists,2016,4.0
 Khangai region, Dermatologists,2015,3.0
 Khangai region, Infections,2025,163.0
 Khangai region, Infections,2024,129.0
 Khangai region, Infections,2023,124.0
 Khangai region, Infections,2022,119.0
 Khangai region, Infections,2021,127.0
 Khangai region, Infections,2020,112.0
 Khangai region, Infections,2019,101.0
 Khangai region, Infections,2018,53.0
 Khangai region, Infections,2017,49.0
 Khangai region, Infections,2016,40.0
 Khangai region, Infections,2015,40.0
 Khangai region, Tuberculosis,2025,0.0
 Khangai region, Tuberculosis,2024,0.0
 Khangai region, Tuberculosis,2023,0.0
 Khangai region, Tuberculosis,2022,0.0
 Khangai region, Tuberculosis,2021,0.0
 Khangai region, Tuberculosis,2020,0.0
 Khangai region, Tuberculosis,2019,0.0
 Khangai region, Tuberculosis,2018,19.0
 Khangai region, Tuberculosis,2017,21.0
 Khangai region, Tuberculosis,2016,14.0
 Khangai region, Tuberculosis,2015,18.0
 Khangai region, HIV/Venerology,2025,0.0
 Khangai region, HIV/Venerology,2024,0.0
 Khangai region, HIV/Venerology,2023,0.0
 Khangai region, HIV/Venerology,2022,0.0
 Khangai region, HIV/Venerology,2021,0.0
 Khangai region, HIV/Venerology,2020,0.0
 Khangai region, HIV/Venerology,2019,0.0
 Khangai region, HIV/Venerology,2018,4.0
 Khangai region, HIV/Venerology,2017,3.0
 Khangai region, HIV/Venerology,2016,4.0
 Khangai region, HIV/Venerology,2015,6.0
 Khangai region, Physiotherapists,2025,59.0
 Khangai region, Physiotherapists,2024,51.0
 Khangai region, Physiotherapists,2023,57.0
 Khangai region, Physiotherapists,2022,42.0
 Khangai region, Physiotherapists,2021,48.0
 Khangai region, Physiotherapists,2020,49.0
 Khangai region, Physiotherapists,2019,53.0
 Khangai region, Physiotherapists,2018,58.0
 Khangai region, Physiotherapists,2017,36.0
 Khangai region, Physiotherapists,2016,52.0
 Khangai region, Physiotherapists,2015,33.0
 Khangai region, Palliative care,2025,22.0
 Khangai region, Palliative care,2024,25.0
 Khangai region, Palliative care,2023,30.0
 Khangai region, Palliative care,2022,26.0
 Khangai region, Palliative care,2021,28.0
 Khangai region, Palliative care,2020,27.0
 Khangai region, Palliative care,2019,25.0
 Khangai region, Palliative care,2018,15.0
 Khangai region, Palliative care,2017,10.0
 Khangai region, Palliative care,2016,10.0
 Khangai region, Palliative care,2015,11.0
 Khangai region, Elderly,2025,0.0
 Khangai region, Elderly,2024,0.0
 Khangai region, Elderly,2023,0.0
 Khangai region, Elderly,2022,0.0
 Khangai region, Elderly,2021,0.0
 Khangai region, Elderly,2020,0.0
 Khangai region, Elderly,2019,0.0
 Khangai region, Elderly,2018,5.0
 Khangai region, Elderly,2017,2.0
 Khangai region, Elderly,2016,1.0
 Khangai region, Elderly,2015,5.0
 Khangai region, Traditional medicine doctor,2025,97.0
 Khangai region, Traditional medicine doctor,2024,123.0
 Khangai region, Traditional medicine doctor,2023,118.0
 Khangai region, Traditional medicine doctor,2022,93.0
 Khangai region, Traditional medicine doctor,2021,70.0
 Khangai region, Traditional medicine doctor,2020,84.0
 Khangai region, Traditional medicine doctor,2019,92.0
 Khangai region, Traditional medicine doctor,2018,90.0
 Khangai region, Traditional medicine doctor,2017,79.0
 Khangai region, Traditional medicine doctor,2016,82.0
 Khangai region, Traditional medicine doctor,2015,68.0
 Khangai region, Dentist & stamatologist,2025,48.0
 Khangai region, Dentist & stamatologist,2024,39.0
 Khangai region, Dentist & stamatologist,2023,36.0
 Khangai region, Dentist & stamatologist,2022,20.0
 Khangai region, Dentist & stamatologist,2021,28.0
 Khangai region, Dentist & stamatologist,2020,21.0
 Khangai region, Dentist & stamatologist,2019,26.0
 Khangai region, Dentist & stamatologist,2018,22.0
 Khangai region, Dentist & stamatologist,2017,20.0
 Khangai region, Dentist & stamatologist,2016,15.0
 Khangai region, Dentist & stamatologist,2015,12.0
 Khangai region, Other,2025,325.0
 Khangai region, Other,2024,304.0
 Khangai region, Other,2023,248.0
 Khangai region, Other,2022,192.0
 Khangai region, Other,2021,200.0
 Khangai region, Other,2020,249.0
 Khangai region, Other,2019,177.0
 Khangai region, Other,2018,140.0
 Khangai region, Other,2017,102.0
 Khangai region, Other,2016,84.0
 Khangai region, Other,2015,71.0
 Arkhangai,Nurses-Total,2025,302.0
 Arkhangai,Nurses-Total,2024,301.0
 Arkhangai,Nurses-Total,2023,281.0
 Arkhangai,Nurses-Total,2022,294.0
 Arkhangai,Nurses-Total,2021,284.0
 Arkhangai,Nurses-Total,2020,281.0
 Arkhangai,Nurses-Total,2019,299.0
 Arkhangai,Nurses-Total,2018,286.0
 Arkhangai,Nurses-Total,2017,273.0
 Arkhangai,Nurses-Total,2016,276.0
 Arkhangai,Nurses-Total,2015,273.0
 Arkhangai, General practitioners,2025,164.0
 Arkhangai, General practitioners,2024,184.0
 Arkhangai, General practitioners,2023,143.0
 Arkhangai, General practitioners,2022,165.0
 Arkhangai, General practitioners,2021,165.0
 Arkhangai, General practitioners,2020,175.0
 Arkhangai, General practitioners,2019,202.0
 Arkhangai, General practitioners,2018,174.0
 Arkhangai, General practitioners,2017,164.0
 Arkhangai, General practitioners,2016,171.0
 Arkhangai, General practitioners,2015,165.0
 Arkhangai, Basic and specialized,2025,118.0
 Arkhangai, Basic and specialized,2024,102.0
 Arkhangai, Basic and specialized,2023,127.0
 Arkhangai, Basic and specialized,2022,118.0
 Arkhangai, Basic and specialized,2021,109.0
 Arkhangai, Basic and specialized,2020,98.0
 Arkhangai, Basic and specialized,2019,87.0
 Arkhangai, Basic and specialized,2018,97.0
 Arkhangai, Basic and specialized,2017,93.0
 Arkhangai, Basic and specialized,2016,88.0
 Arkhangai, Basic and specialized,2015,92.0
 Arkhangai, Internists,2025,0.0
 Arkhangai, Internists,2024,0.0
 Arkhangai, Internists,2023,2.0
 Arkhangai, Internists,2022,0.0
 Arkhangai, Internists,2021,0.0
 Arkhangai, Internists,2020,0.0
 Arkhangai, Internists,2019,0.0
 Arkhangai, Internists,2018,11.0
 Arkhangai, Internists,2017,11.0
 Arkhangai, Internists,2016,11.0
 Arkhangai, Internists,2015,11.0
 Arkhangai, Pediatrics,2025,26.0
 Arkhangai, Pediatrics,2024,21.0
 Arkhangai, Pediatrics,2023,29.0
 Arkhangai, Pediatrics,2022,30.0
 Arkhangai, Pediatrics,2021,27.0
 Arkhangai, Pediatrics,2020,22.0
 Arkhangai, Pediatrics,2019,19.0
 Arkhangai, Pediatrics,2018,20.0
 Arkhangai, Pediatrics,2017,22.0
 Arkhangai, Pediatrics,2016,17.0
 Arkhangai, Pediatrics,2015,21.0
 Arkhangai, Surgical,2025,14.0
 Arkhangai, Surgical,2024,12.0
 Arkhangai, Surgical,2023,17.0
 Arkhangai, Surgical,2022,14.0
 Arkhangai, Surgical,2021,16.0
 Arkhangai, Surgical,2020,14.0
 Arkhangai, Surgical,2019,11.0
 Arkhangai, Surgical,2018,16.0
 Arkhangai, Surgical,2017,20.0
 Arkhangai, Surgical,2016,16.0
 Arkhangai, Surgical,2015,17.0
 Arkhangai, Traumotologists,2025,1.0
 Arkhangai, Traumotologists,2024,2.0
 Arkhangai, Traumotologists,2023,1.0
 Arkhangai, Traumotologists,2022,1.0
 Arkhangai, Traumotologists,2021,1.0
 Arkhangai, Traumotologists,2020,1.0
 Arkhangai, Traumotologists,2019,1.0
 Arkhangai, Traumotologists,2018,0.0
 Arkhangai, Traumotologists,2017,0.0
 Arkhangai, Traumotologists,2016,0.0
 Arkhangai, Traumotologists,2015,0.0
 Arkhangai, Сэхээн амьдруулахын,2025,
 Arkhangai, Сэхээн амьдруулахын,2024,0.0
 Arkhangai, Сэхээн амьдруулахын,2023,8.0
 Arkhangai, Сэхээн амьдруулахын,2022,7.0
 Arkhangai, Сэхээн амьдруулахын,2021,0.0
 Arkhangai, Сэхээн амьдруулахын,2020,9.0
 Arkhangai, Сэхээн амьдруулахын,2019,0.0
 Arkhangai, Сэхээн амьдруулахын,2018,10.0
 Arkhangai, Сэхээн амьдруулахын,2017,2.0
 Arkhangai, Сэхээн амьдруулахын,2016,1.0
 Arkhangai, Сэхээн амьдруулахын,2015,1.0
 Arkhangai, Anaesthesiologists,2025,14.0
 Arkhangai, Anaesthesiologists,2024,11.0
 Arkhangai, Anaesthesiologists,2023,7.0
 Arkhangai, Anaesthesiologists,2022,8.0
 Arkhangai, Anaesthesiologists,2021,13.0
 Arkhangai, Anaesthesiologists,2020,3.0
 Arkhangai, Anaesthesiologists,2019,11.0
 Arkhangai, Anaesthesiologists,2018,2.0
 Arkhangai, Anaesthesiologists,2017,5.0
 Arkhangai, Anaesthesiologists,2016,6.0
 Arkhangai, Anaesthesiologists,2015,6.0
 Arkhangai, Neurologists,2025,2.0
 Arkhangai, Neurologists,2024,2.0
 Arkhangai, Neurologists,2023,4.0
 Arkhangai, Neurologists,2022,5.0
 Arkhangai, Neurologists,2021,13.0
 Arkhangai, Neurologists,2020,2.0
 Arkhangai, Neurologists,2019,5.0
 Arkhangai, Neurologists,2018,6.0
 Arkhangai, Neurologists,2017,6.0
 Arkhangai, Neurologists,2016,6.0
 Arkhangai, Neurologists,2015,6.0
 Arkhangai, Obstetrics & gynecologists,2025,0.0
 Arkhangai, Obstetrics & gynecologists,2024,0.0
 Arkhangai, Obstetrics & gynecologists,2023,0.0
 Arkhangai, Obstetrics & gynecologists,2022,0.0
 Arkhangai, Obstetrics & gynecologists,2021,3.0
 Arkhangai, Obstetrics & gynecologists,2020,0.0
 Arkhangai, Obstetrics & gynecologists,2019,0.0
 Arkhangai, Obstetrics & gynecologists,2018,4.0
 Arkhangai, Obstetrics & gynecologists,2017,4.0
 Arkhangai, Obstetrics & gynecologists,2016,4.0
 Arkhangai, Obstetrics & gynecologists,2015,4.0
 Arkhangai, Oncologists,2025,3.0
 Arkhangai, Oncologists,2024,3.0
 Arkhangai, Oncologists,2023,4.0
 Arkhangai, Oncologists,2022,1.0
 Arkhangai, Oncologists,2021,1.0
 Arkhangai, Oncologists,2020,1.0
 Arkhangai, Oncologists,2019,2.0
 Arkhangai, Oncologists,2018,1.0
 Arkhangai, Oncologists,2017,0.0
 Arkhangai, Oncologists,2016,0.0
 Arkhangai, Oncologists,2015,0.0
 Arkhangai, Psychiatrists,2025,2.0
 Arkhangai, Psychiatrists,2024,0.0
 Arkhangai, Psychiatrists,2023,1.0
 Arkhangai, Psychiatrists,2022,1.0
 Arkhangai, Psychiatrists,2021,1.0
 Arkhangai, Psychiatrists,2020,1.0
 Arkhangai, Psychiatrists,2019,5.0
 Arkhangai, Psychiatrists,2018,5.0
 Arkhangai, Psychiatrists,2017,5.0
 Arkhangai, Psychiatrists,2016,5.0
 Arkhangai, Psychiatrists,2015,5.0
 Arkhangai, Ophtalmologists,2025,1.0
 Arkhangai, Ophtalmologists,2024,2.0
 Arkhangai, Ophtalmologists,2023,2.0
 Arkhangai, Ophtalmologists,2022,2.0
 Arkhangai, Ophtalmologists,2021,1.0
 Arkhangai, Ophtalmologists,2020,2.0
 Arkhangai, Ophtalmologists,2019,1.0
 Arkhangai, Ophtalmologists,2018,1.0
 Arkhangai, Ophtalmologists,2017,1.0
 Arkhangai, Ophtalmologists,2016,1.0
 Arkhangai, Ophtalmologists,2015,1.0
 Arkhangai, Otorhinolaryngologists,2025,1.0
 Arkhangai, Otorhinolaryngologists,2024,2.0
 Arkhangai, Otorhinolaryngologists,2023,3.0
 Arkhangai, Otorhinolaryngologists,2022,2.0
 Arkhangai, Otorhinolaryngologists,2021,2.0
 Arkhangai, Otorhinolaryngologists,2020,1.0
 Arkhangai, Otorhinolaryngologists,2019,1.0
 Arkhangai, Otorhinolaryngologists,2018,1.0
 Arkhangai, Otorhinolaryngologists,2017,1.0
 Arkhangai, Otorhinolaryngologists,2016,1.0
 Arkhangai, Otorhinolaryngologists,2015,1.0
 Arkhangai, Dermatologists,2025,1.0
 Arkhangai, Dermatologists,2024,1.0
 Arkhangai, Dermatologists,2023,1.0
 Arkhangai, Dermatologists,2022,1.0
 Arkhangai, Dermatologists,2021,1.0
 Arkhangai, Dermatologists,2020,1.0
 Arkhangai, Dermatologists,2019,0.0
 Arkhangai, Dermatologists,2018,0.0
 Arkhangai, Dermatologists,2017,0.0
 Arkhangai, Dermatologists,2016,0.0
 Arkhangai, Dermatologists,2015,0.0
 Arkhangai, Infections,2025,19.0
 Arkhangai, Infections,2024,17.0
 Arkhangai, Infections,2023,15.0
 Arkhangai, Infections,2022,17.0
 Arkhangai, Infections,2021,17.0
 Arkhangai, Infections,2020,15.0
 Arkhangai, Infections,2019,14.0
 Arkhangai, Infections,2018,13.0
 Arkhangai, Infections,2017,12.0
 Arkhangai, Infections,2016,13.0
 Arkhangai, Infections,2015,13.0
 Arkhangai, Tuberculosis,2025,
 Arkhangai, Tuberculosis,2024,0.0
 Arkhangai, Tuberculosis,2023,0.0
 Arkhangai, Tuberculosis,2022,0.0
 Arkhangai, Tuberculosis,2021,0.0
 Arkhangai, Tuberculosis,2020,0.0
 Arkhangai, Tuberculosis,2019,0.0
 Arkhangai, Tuberculosis,2018,6.0
 Arkhangai, Tuberculosis,2017,6.0
 Arkhangai, Tuberculosis,2016,6.0
 Arkhangai, Tuberculosis,2015,6.0
 Arkhangai, HIV/Venerology,2025,
 Arkhangai, HIV/Venerology,2024,0.0
 Arkhangai, HIV/Venerology,2023,0.0
 Arkhangai, HIV/Venerology,2022,0.0
 Arkhangai, HIV/Venerology,2021,0.0
 Arkhangai, HIV/Venerology,2020,0.0
 Arkhangai, HIV/Venerology,2019,0.0
 Arkhangai, HIV/Venerology,2018,1.0
 Arkhangai, HIV/Venerology,2017,0.0
 Arkhangai, HIV/Venerology,2016,1.0
 Arkhangai, HIV/Venerology,2015,1.0
 Arkhangai, Physiotherapists,2025,9.0
 Arkhangai, Physiotherapists,2024,7.0
 Arkhangai, Physiotherapists,2023,12.0
 Arkhangai, Physiotherapists,2022,6.0
 Arkhangai, Physiotherapists,2021,8.0
 Arkhangai, Physiotherapists,2020,9.0
 Arkhangai, Physiotherapists,2019,7.0
 Arkhangai, Physiotherapists,2018,5.0
 Arkhangai, Physiotherapists,2017,3.0
 Arkhangai, Physiotherapists,2016,3.0
 Arkhangai, Physiotherapists,2015,3.0
 Arkhangai, Palliative care,2025,2.0
 Arkhangai, Palliative care,2024,2.0
 Arkhangai, Palliative care,2023,1.0
 Arkhangai, Palliative care,2022,2.0
 Arkhangai, Palliative care,2021,1.0
 Arkhangai, Palliative care,2020,2.0
 Arkhangai, Palliative care,2019,1.0
 Arkhangai, Palliative care,2018,2.0
 Arkhangai, Palliative care,2017,1.0
 Arkhangai, Palliative care,2016,3.0
 Arkhangai, Palliative care,2015,2.0
 Arkhangai, Elderly,2025,
 Arkhangai, Elderly,2024,0.0
 Arkhangai, Elderly,2023,0.0
 Arkhangai, Elderly,2022,0.0
 Arkhangai, Elderly,2021,0.0
 Arkhangai, Elderly,2020,0.0
 Arkhangai, Elderly,2019,0.0
 Arkhangai, Elderly,2018,0.0
 Arkhangai, Elderly,2017,0.0
 Arkhangai, Elderly,2016,0.0
 Arkhangai, Elderly,2015,0.0
 Arkhangai, Traditional medicine doctor,2025,15.0
 Arkhangai, Traditional medicine doctor,2024,14.0
 Arkhangai, Traditional medicine doctor,2023,9.0
 Arkhangai, Traditional medicine doctor,2022,9.0
 Arkhangai, Traditional medicine doctor,2021,8.0
 Arkhangai, Traditional medicine doctor,2020,6.0
 Arkhangai, Traditional medicine doctor,2019,8.0
 Arkhangai, Traditional medicine doctor,2018,13.0
 Arkhangai, Traditional medicine doctor,2017,12.0
 Arkhangai, Traditional medicine doctor,2016,15.0
 Arkhangai, Traditional medicine doctor,2015,14.0
 Arkhangai, Dentist & stamatologist,2025,5.0
 Arkhangai, Dentist & stamatologist,2024,1.0
 Arkhangai, Dentist & stamatologist,2023,2.0
 Arkhangai, Dentist & stamatologist,2022,2.0
 Arkhangai, Dentist & stamatologist,2021,2.0
 Arkhangai, Dentist & stamatologist,2020,2.0
 Arkhangai, Dentist & stamatologist,2019,2.0
 Arkhangai, Dentist & stamatologist,2018,2.0
 Arkhangai, Dentist & stamatologist,2017,4.0
 Arkhangai, Dentist & stamatologist,2016,2.0
 Arkhangai, Dentist & stamatologist,2015,2.0
 Arkhangai, Other,2025,23.0
 Arkhangai, Other,2024,20.0
 Arkhangai, Other,2023,20.0
 Arkhangai, Other,2022,21.0
 Arkhangai, Other,2021,17.0
 Arkhangai, Other,2020,15.0
 Arkhangai, Other,2019,9.0
 Arkhangai, Other,2018,0.0
 Arkhangai, Other,2017,0.0
 Arkhangai, Other,2016,1.0
 Arkhangai, Other,2015,1.0
 Bayankhongor,Nurses-Total,2025,339.0
 Bayankhongor,Nurses-Total,2024,340.0
 Bayankhongor,Nurses-Total,2023,321.0
 Bayankhongor,Nurses-Total,2022,302.0
 Bayankhongor,Nurses-Total,2021,302.0
 Bayankhongor,Nurses-Total,2020,292.0
 Bayankhongor,Nurses-Total,2019,306.0
 Bayankhongor,Nurses-Total,2018,298.0
 Bayankhongor,Nurses-Total,2017,293.0
 Bayankhongor,Nurses-Total,2016,292.0
 Bayankhongor,Nurses-Total,2015,292.0
 Bayankhongor, General practitioners,2025,141.0
 Bayankhongor, General practitioners,2024,152.0
 Bayankhongor, General practitioners,2023,150.0
 Bayankhongor, General practitioners,2022,156.0
 Bayankhongor, General practitioners,2021,151.0
 Bayankhongor, General practitioners,2020,146.0
 Bayankhongor, General practitioners,2019,156.0
 Bayankhongor, General practitioners,2018,177.0
 Bayankhongor, General practitioners,2017,188.0
 Bayankhongor, General practitioners,2016,161.0
 Bayankhongor, General practitioners,2015,204.0
 Bayankhongor, Basic and specialized,2025,175.0
 Bayankhongor, Basic and specialized,2024,169.0
 Bayankhongor, Basic and specialized,2023,155.0
 Bayankhongor, Basic and specialized,2022,135.0
 Bayankhongor, Basic and specialized,2021,138.0
 Bayankhongor, Basic and specialized,2020,127.0
 Bayankhongor, Basic and specialized,2019,122.0
 Bayankhongor, Basic and specialized,2018,111.0
 Bayankhongor, Basic and specialized,2017,85.0
 Bayankhongor, Basic and specialized,2016,114.0
 Bayankhongor, Basic and specialized,2015,75.0
 Bayankhongor, Internists,2025,1.0
 Bayankhongor, Internists,2024,3.0
 Bayankhongor, Internists,2023,1.0
 Bayankhongor, Internists,2022,0.0
 Bayankhongor, Internists,2021,0.0
 Bayankhongor, Internists,2020,0.0
 Bayankhongor, Internists,2019,3.0
 Bayankhongor, Internists,2018,0.0
 Bayankhongor, Internists,2017,0.0
 Bayankhongor, Internists,2016,1.0
 Bayankhongor, Internists,2015,2.0
 Bayankhongor, Pediatrics,2025,21.0
 Bayankhongor, Pediatrics,2024,24.0
 Bayankhongor, Pediatrics,2023,22.0
 Bayankhongor, Pediatrics,2022,22.0
 Bayankhongor, Pediatrics,2021,20.0
 Bayankhongor, Pediatrics,2020,16.0
 Bayankhongor, Pediatrics,2019,18.0
 Bayankhongor, Pediatrics,2018,21.0
 Bayankhongor, Pediatrics,2017,18.0
 Bayankhongor, Pediatrics,2016,52.0
 Bayankhongor, Pediatrics,2015,14.0
 Bayankhongor, Surgical,2025,17.0
 Bayankhongor, Surgical,2024,19.0
 Bayankhongor, Surgical,2023,18.0
 Bayankhongor, Surgical,2022,19.0
 Bayankhongor, Surgical,2021,16.0
 Bayankhongor, Surgical,2020,17.0
 Bayankhongor, Surgical,2019,18.0
 Bayankhongor, Surgical,2018,17.0
 Bayankhongor, Surgical,2017,13.0
 Bayankhongor, Surgical,2016,13.0
 Bayankhongor, Surgical,2015,11.0
 Bayankhongor, Traumotologists,2025,2.0
 Bayankhongor, Traumotologists,2024,2.0
 Bayankhongor, Traumotologists,2023,1.0
 Bayankhongor, Traumotologists,2022,1.0
 Bayankhongor, Traumotologists,2021,3.0
 Bayankhongor, Traumotologists,2020,2.0
 Bayankhongor, Traumotologists,2019,2.0
 Bayankhongor, Traumotologists,2018,3.0
 Bayankhongor, Traumotologists,2017,2.0
 Bayankhongor, Traumotologists,2016,2.0
 Bayankhongor, Traumotologists,2015,1.0
 Bayankhongor, Сэхээн амьдруулахын,2025,
 Bayankhongor, Сэхээн амьдруулахын,2024,0.0
 Bayankhongor, Сэхээн амьдруулахын,2023,7.0
 Bayankhongor, Сэхээн амьдруулахын,2022,7.0
 Bayankhongor, Сэхээн амьдруулахын,2021,0.0
 Bayankhongor, Сэхээн амьдруулахын,2020,3.0
 Bayankhongor, Сэхээн амьдруулахын,2019,0.0
 Bayankhongor, Сэхээн амьдруулахын,2018,6.0
 Bayankhongor, Сэхээн амьдруулахын,2017,0.0
 Bayankhongor, Сэхээн амьдруулахын,2016,0.0
 Bayankhongor, Сэхээн амьдруулахын,2015,3.0
 Bayankhongor, Anaesthesiologists,2025,20.0
 Bayankhongor, Anaesthesiologists,2024,18.0
 Bayankhongor, Anaesthesiologists,2023,10.0
 Bayankhongor, Anaesthesiologists,2022,11.0
 Bayankhongor, Anaesthesiologists,2021,18.0
 Bayankhongor, Anaesthesiologists,2020,15.0
 Bayankhongor, Anaesthesiologists,2019,18.0
 Bayankhongor, Anaesthesiologists,2018,15.0
 Bayankhongor, Anaesthesiologists,2017,15.0
 Bayankhongor, Anaesthesiologists,2016,15.0
 Bayankhongor, Anaesthesiologists,2015,10.0
 Bayankhongor, Neurologists,2025,4.0
 Bayankhongor, Neurologists,2024,3.0
 Bayankhongor, Neurologists,2023,2.0
 Bayankhongor, Neurologists,2022,2.0
 Bayankhongor, Neurologists,2021,18.0
 Bayankhongor, Neurologists,2020,2.0
 Bayankhongor, Neurologists,2019,2.0
 Bayankhongor, Neurologists,2018,2.0
 Bayankhongor, Neurologists,2017,2.0
 Bayankhongor, Neurologists,2016,2.0
 Bayankhongor, Neurologists,2015,1.0
 Bayankhongor, Obstetrics & gynecologists,2025,0.0
 Bayankhongor, Obstetrics & gynecologists,2024,0.0
 Bayankhongor, Obstetrics & gynecologists,2023,0.0
 Bayankhongor, Obstetrics & gynecologists,2022,0.0
 Bayankhongor, Obstetrics & gynecologists,2021,2.0
 Bayankhongor, Obstetrics & gynecologists,2020,2.0
 Bayankhongor, Obstetrics & gynecologists,2019,2.0
 Bayankhongor, Obstetrics & gynecologists,2018,2.0
 Bayankhongor, Obstetrics & gynecologists,2017,4.0
 Bayankhongor, Obstetrics & gynecologists,2016,4.0
 Bayankhongor, Obstetrics & gynecologists,2015,4.0
 Bayankhongor, Oncologists,2025,6.0
 Bayankhongor, Oncologists,2024,4.0
 Bayankhongor, Oncologists,2023,4.0
 Bayankhongor, Oncologists,2022,4.0
 Bayankhongor, Oncologists,2021,4.0
 Bayankhongor, Oncologists,2020,2.0
 Bayankhongor, Oncologists,2019,2.0
 Bayankhongor, Oncologists,2018,1.0
 Bayankhongor, Oncologists,2017,2.0
 Bayankhongor, Oncologists,2016,1.0
 Bayankhongor, Oncologists,2015,1.0
 Bayankhongor, Psychiatrists,2025,6.0
