Гол нэр төрлийн бүтээгдэхүүн,Он,value
    Цайрын баяжмал /мян.т/,2025,125.0
    Цайрын баяжмал /мян.т/,2024,123.2
    Цайрын баяжмал /мян.т/,2023,402.9
    Цайрын баяжмал /мян.т/,2022,400.1
    Цайрын баяжмал /мян.т/,2021,75.2
    Цайрын баяжмал /мян.т/,2020,76.3
    Цайрын баяжмал /мян.т/,2019,83.1
    Цайрын баяжмал /мян.т/,2018,87.9
    Цайрын баяжмал /мян.т/,2017,82.7
    Цайрын баяжмал /мян.т/,2016,100.2
    Цайрын баяжмал /мян.т/,2015,89.6
    Цайрын баяжмал /мян.т/,2014,93.2
    Цайрын баяжмал /мян.т/,2013,104.1
    Цайрын баяжмал /мян.т/,2012,119.1
    Цайрын баяжмал /мян.т/,2011,104.7
    Цайрын баяжмал /мян.т/,2010,112.6
    Цайрын баяжмал /мян.т/,2009,141.5
    Цайрын баяжмал /мян.т/,2008,143.6
    Цайрын баяжмал /мян.т/,2007,154.7
    Цайрын баяжмал /мян.т/,2006,109.9
    Цайрын баяжмал /мян.т/,2005,22.8
    Цайрын баяжмал /мян.т/,2004,
    Цайрын баяжмал /мян.т/,2003,
    Цайрын баяжмал /мян.т/,2002,
    Цайрын баяжмал /мян.т/,2001,
    Цайрын баяжмал /мян.т/,2000,
    Цайрын баяжмал /мян.т/,1999,
    Цайрын баяжмал /мян.т/,1998,
    Цайрын баяжмал /мян.т/,1997,
    Цайрын баяжмал /мян.т/,1996,
    Цайрын баяжмал /мян.т/,1995,
    Цайрын баяжмал /мян.т/,1994,
    Цайрын баяжмал /мян.т/,1993,
    Цайрын баяжмал /мян.т/,1992,
    Цайрын баяжмал /мян.т/,1991,
    Цайрын баяжмал /мян.т/,1990,
    Цайрын баяжмал /мян.т/,1989,
    Давс олборлолт /т/,2025,1588.8
    Давс олборлолт /т/,2024,1285.1
    Давс олборлолт /т/,2023,1780.4
    Давс олборлолт /т/,2022,1343.1
    Давс олборлолт /т/,2021,1796.0
    Давс олборлолт /т/,2020,2624.1
    Давс олборлолт /т/,2019,532.5
    Давс олборлолт /т/,2018,996.9
    Давс олборлолт /т/,2017,860.0
    Давс олборлолт /т/,2016,478.0
    Давс олборлолт /т/,2015,1685.6
    Давс олборлолт /т/,2014,1378.4
    Давс олборлолт /т/,2013,657.6
    Давс олборлолт /т/,2012,569.2
    Давс олборлолт /т/,2011,
    Давс олборлолт /т/,2010,
    Давс олборлолт /т/,2009,5.0
    Давс олборлолт /т/,2008,115.0
    Давс олборлолт /т/,2007,4.0
    Давс олборлолт /т/,2006,166.7
    Давс олборлолт /т/,2005,196.7
    Давс олборлолт /т/,2004,258.5
    Давс олборлолт /т/,2003,280.5
    Давс олборлолт /т/,2002,680.2
    Давс олборлолт /т/,2001,876.6
    Давс олборлолт /т/,2000,1293.4
    Давс олборлолт /т/,1999,1516.0
    Давс олборлолт /т/,1998,103.0
    Давс олборлолт /т/,1997,1353.9
    Давс олборлолт /т/,1996,695.7
    Давс олборлолт /т/,1995,726.0
    Давс олборлолт /т/,1994,623.8
    Давс олборлолт /т/,1993,14.0
    Давс олборлолт /т/,1992,215.9
    Давс олборлолт /т/,1991,316.2
    Давс олборлолт /т/,1990,6320.9
    Давс олборлолт /т/,1989,12308.7
    Катодын зэс 99% /т/,2025,7610.8
    Катодын зэс 99% /т/,2024,6976.3
    Катодын зэс 99% /т/,2023,9661.3
    Катодын зэс 99% /т/,2022,9736.0
    Катодын зэс 99% /т/,2021,9689.9
    Катодын зэс 99% /т/,2020,9488.3
    Катодын зэс 99% /т/,2019,11757.6
    Катодын зэс 99% /т/,2018,14174.6
    Катодын зэс 99% /т/,2017,14689.0
    Катодын зэс 99% /т/,2016,15009.6
    Катодын зэс 99% /т/,2015,14989.5
    Катодын зэс 99% /т/,2014,6992.4
    Катодын зэс 99% /т/,2013,2344.2
    Катодын зэс 99% /т/,2012,2281.7
    Катодын зэс 99% /т/,2011,2388.7
    Катодын зэс 99% /т/,2010,2746.2
    Катодын зэс 99% /т/,2009,2470.1
    Катодын зэс 99% /т/,2008,2586.6
    Катодын зэс 99% /т/,2007,3006.5
    Катодын зэс 99% /т/,2006,2618.4
    Катодын зэс 99% /т/,2005,2474.5
    Катодын зэс 99% /т/,2004,2376.1
    Катодын зэс 99% /т/,2003,1341.1
    Катодын зэс 99% /т/,2002,1500.0
    Катодын зэс 99% /т/,2001,1475.9
    Катодын зэс 99% /т/,2000,641.1
    Катодын зэс 99% /т/,1999,1545.2
    Катодын зэс 99% /т/,1998,2322.3
    Катодын зэс 99% /т/,1997,2702.6
    Катодын зэс 99% /т/,1996,
    Катодын зэс 99% /т/,1995,
    Катодын зэс 99% /т/,1994,
    Катодын зэс 99% /т/,1993,
    Катодын зэс 99% /т/,1992,
    Катодын зэс 99% /т/,1991,
    Катодын зэс 99% /т/,1990,
    Катодын зэс 99% /т/,1989,
    Метал бэлдэц /мян.т/,2025,35.7
    Метал бэлдэц /мян.т/,2024,36.0
    Метал бэлдэц /мян.т/,2023,37.7
    Метал бэлдэц /мян.т/,2022,25.0
    Метал бэлдэц /мян.т/,2021,35.9
    Метал бэлдэц /мян.т/,2020,15.3
    Метал бэлдэц /мян.т/,2019,28.6
    Метал бэлдэц /мян.т/,2018,29.2
    Метал бэлдэц /мян.т/,2017,21.0
    Метал бэлдэц /мян.т/,2016,16.8
    Метал бэлдэц /мян.т/,2015,43.7
    Метал бэлдэц /мян.т/,2014,64.4
    Метал бэлдэц /мян.т/,2013,56.0
    Метал бэлдэц /мян.т/,2012,68.1
    Метал бэлдэц /мян.т/,2011,60.0
    Метал бэлдэц /мян.т/,2010,64.2
    Метал бэлдэц /мян.т/,2009,50.1
    Метал бэлдэц /мян.т/,2008,81.4
    Метал бэлдэц /мян.т/,2007,80.4
    Метал бэлдэц /мян.т/,2006,70.0
    Метал бэлдэц /мян.т/,2005,65.5
    Метал бэлдэц /мян.т/,2004,54.9
    Метал бэлдэц /мян.т/,2003,39.3
    Метал бэлдэц /мян.т/,2002,15.9
    Метал бэлдэц /мян.т/,2001,10.0
    Метал бэлдэц /мян.т/,2000,13.0
    Метал бэлдэц /мян.т/,1999,13.1
    Метал бэлдэц /мян.т/,1998,16.3
    Метал бэлдэц /мян.т/,1997,22.7
    Метал бэлдэц /мян.т/,1996,19.2
    Метал бэлдэц /мян.т/,1995,15.6
    Метал бэлдэц /мян.т/,1994,
    Метал бэлдэц /мян.т/,1993,
    Метал бэлдэц /мян.т/,1992,
    Метал бэлдэц /мян.т/,1991,
    Метал бэлдэц /мян.т/,1990,
    Метал бэлдэц /мян.т/,1989,
    Метал цувимал /мян.т/,2025,33.5
    Метал цувимал /мян.т/,2024,35.0
    Метал цувимал /мян.т/,2023,36.1
    Метал цувимал /мян.т/,2022,26.1
    Метал цувимал /мян.т/,2021,35.6
    Метал цувимал /мян.т/,2020,16.7
    Метал цувимал /мян.т/,2019,26.9
    Метал цувимал /мян.т/,2018,31.6
    Метал цувимал /мян.т/,2017,16.3
    Метал цувимал /мян.т/,2016,16.6
    Метал цувимал /мян.т/,2015,49.5
    Метал цувимал /мян.т/,2014,73.9
    Метал цувимал /мян.т/,2013,69.3
    Метал цувимал /мян.т/,2012,57.0
    Метал цувимал /мян.т/,2011,55.4
    Метал цувимал /мян.т/,2010,61.8
    Метал цувимал /мян.т/,2009,37.7
    Метал цувимал /мян.т/,2008,75.9
    Метал цувимал /мян.т/,2007,67.4
    Метал цувимал /мян.т/,2006,54.2
    Метал цувимал /мян.т/,2005,36.2
    Метал цувимал /мян.т/,2004,29.5
    Метал цувимал /мян.т/,2003,20.7
    Метал цувимал /мян.т/,2002,10.4
    Метал цувимал /мян.т/,2001,7.2
    Метал цувимал /мян.т/,2000,7.4
    Метал цувимал /мян.т/,1999,8.7
    Метал цувимал /мян.т/,1998,6.7
    Метал цувимал /мян.т/,1997,5.7
    Метал цувимал /мян.т/,1996,3.4
    Метал цувимал /мян.т/,1995,6.6
    Метал цувимал /мян.т/,1994,
    Метал цувимал /мян.т/,1993,
    Метал цувимал /мян.т/,1992,
    Метал цувимал /мян.т/,1991,
    Метал цувимал /мян.т/,1990,
    Метал цувимал /мян.т/,1989,
    Цахилгааны утас /т/,2025,125.7
    Цахилгааны утас /т/,2024,81.6
    Цахилгааны утас /т/,2023,70.1
    Цахилгааны утас /т/,2022,71.1
    Цахилгааны утас /т/,2021,62.7
    Цахилгааны утас /т/,2020,74.3
    Цахилгааны утас /т/,2019,82.1
    Цахилгааны утас /т/,2018,95.1
    Цахилгааны утас /т/,2017,50.4
    Цахилгааны утас /т/,2016,40.0
    Цахилгааны утас /т/,2015,93.7
    Цахилгааны утас /т/,2014,228.0
    Цахилгааны утас /т/,2013,145.9
    Цахилгааны утас /т/,2012,1414.5
    Цахилгааны утас /т/,2011,1263.0
    Цахилгааны утас /т/,2010,147.3
    Цахилгааны утас /т/,2009,298.5
    Цахилгааны утас /т/,2008,705.8
    Цахилгааны утас /т/,2007,294.8
    Цахилгааны утас /т/,2006,221.2
    Цахилгааны утас /т/,2005,198.0
    Цахилгааны утас /т/,2004,90.1
    Цахилгааны утас /т/,2003,
    Цахилгааны утас /т/,2002,
    Цахилгааны утас /т/,2001,
    Цахилгааны утас /т/,2000,
    Цахилгааны утас /т/,1999,
    Цахилгааны утас /т/,1998,
    Цахилгааны утас /т/,1997,
    Цахилгааны утас /т/,1996,
    Цахилгааны утас /т/,1995,
    Цахилгааны утас /т/,1994,
    Цахилгааны утас /т/,1993,
    Цахилгааны утас /т/,1992,
    Цахилгааны утас /т/,1991,
    Цахилгааны утас /т/,1990,
    Цахилгааны утас /т/,1989,
    Зүсмэл материал /м3/,2025,10240.2
    Зүсмэл материал /м3/,2024,16555.8
    Зүсмэл материал /м3/,2023,13645.5
    Зүсмэл материал /м3/,2022,15295.1
    Зүсмэл материал /м3/,2021,15399.9
    Зүсмэл материал /м3/,2020,10428.3
    Зүсмэл материал /м3/,2019,17001.1
    Зүсмэл материал /м3/,2018,16149.8
    Зүсмэл материал /м3/,2017,11150.1
    Зүсмэл материал /м3/,2016,8578.9
    Зүсмэл материал /м3/,2015,11412.6
    Зүсмэл материал /м3/,2014,12574.0
    Зүсмэл материал /м3/,2013,8994.7
    Зүсмэл материал /м3/,2012,11721.0
    Зүсмэл материал /м3/,2011,9431.6
    Зүсмэл материал /м3/,2010,5234.8
    Зүсмэл материал /м3/,2009,6181.2
    Зүсмэл материал /м3/,2008,6925.8
    Зүсмэл материал /м3/,2007,5687.2
    Зүсмэл материал /м3/,2006,9613.7
    Зүсмэл материал /м3/,2005,13210.0
    Зүсмэл материал /м3/,2004,17810.0
    Зүсмэл материал /м3/,2003,16600.0
    Зүсмэл материал /м3/,2002,10200.0
    Зүсмэл материал /м3/,2001,21000.0
    Зүсмэл материал /м3/,2000,14900.0
    Зүсмэл материал /м3/,1999,15700.0
    Зүсмэл материал /м3/,1998,35500.0
    Зүсмэл материал /м3/,1997,36500.0
    Зүсмэл материал /м3/,1996,70200.0
    Зүсмэл материал /м3/,1995,61200.0
    Зүсмэл материал /м3/,1994,50300.0
    Зүсмэл материал /м3/,1993,84500.0
    Зүсмэл материал /м3/,1992,124500.0
    Зүсмэл материал /м3/,1991,270400.0
    Зүсмэл материал /м3/,1990,509000.0
    Зүсмэл материал /м3/,1989,553100.0
    Төмөр замын дэр мод /мян.м3/,2025,9.5
    Төмөр замын дэр мод /мян.м3/,2024,10.7
    Төмөр замын дэр мод /мян.м3/,2023,10.1
    Төмөр замын дэр мод /мян.м3/,2022,9.8
    Төмөр замын дэр мод /мян.м3/,2021,13.5
    Төмөр замын дэр мод /мян.м3/,2020,13.7
    Төмөр замын дэр мод /мян.м3/,2019,13.2
    Төмөр замын дэр мод /мян.м3/,2018,16.5
    Төмөр замын дэр мод /мян.м3/,2017,16.0
    Төмөр замын дэр мод /мян.м3/,2016,10.9
    Төмөр замын дэр мод /мян.м3/,2015,6.2
    Төмөр замын дэр мод /мян.м3/,2014,5.6
    Төмөр замын дэр мод /мян.м3/,2013,7.4
    Төмөр замын дэр мод /мян.м3/,2012,12.3
    Төмөр замын дэр мод /мян.м3/,2011,10.0
    Төмөр замын дэр мод /мян.м3/,2010,12.5
    Төмөр замын дэр мод /мян.м3/,2009,14.3
    Төмөр замын дэр мод /мян.м3/,2008,16.7
    Төмөр замын дэр мод /мян.м3/,2007,16.7
    Төмөр замын дэр мод /мян.м3/,2006,18.8
    Төмөр замын дэр мод /мян.м3/,2005,19.4
    Төмөр замын дэр мод /мян.м3/,2004,20.9
    Төмөр замын дэр мод /мян.м3/,2003,38.4
    Төмөр замын дэр мод /мян.м3/,2002,18.1
    Төмөр замын дэр мод /мян.м3/,2001,18.7
    Төмөр замын дэр мод /мян.м3/,2000,15.6
    Төмөр замын дэр мод /мян.м3/,1999,16.0
    Төмөр замын дэр мод /мян.м3/,1998,14.6
    Төмөр замын дэр мод /мян.м3/,1997,14.0
    Төмөр замын дэр мод /мян.м3/,1996,13.6
    Төмөр замын дэр мод /мян.м3/,1995,14.9
    Төмөр замын дэр мод /мян.м3/,1994,11.0
    Төмөр замын дэр мод /мян.м3/,1993,11.3
    Төмөр замын дэр мод /мян.м3/,1992,8.1
    Төмөр замын дэр мод /мян.м3/,1991,15.7
    Төмөр замын дэр мод /мян.м3/,1990,20.5
    Төмөр замын дэр мод /мян.м3/,1989,30.0
Цемент /мян.т/,2025,2164.6
Цемент /мян.т/,2024,1894.7
Цемент /мян.т/,2023,1713.6
Цемент /мян.т/,2022,1373.5
Цемент /мян.т/,2021,1293.3
Цемент /мян.т/,2020,1182.2
Цемент /мян.т/,2019,1098.0
Цемент /мян.т/,2018,933.8
Цемент /мян.т/,2017,675.2
Цемент /мян.т/,2016,432.4
Цемент /мян.т/,2015,410.1
Цемент /мян.т/,2014,411.3
Цемент /мян.т/,2013,258.8
Цемент /мян.т/,2012,349.3
Цемент /мян.т/,2011,425.8
Цемент /мян.т/,2010,322.5
Цемент /мян.т/,2009,234.8
Цемент /мян.т/,2008,269.3
Цемент /мян.т/,2007,179.8
Цемент /мян.т/,2006,140.8
Цемент /мян.т/,2005,111.9
Цемент /мян.т/,2004,61.9
Цемент /мян.т/,2003,162.3
Цемент /мян.т/,2002,147.6
Цемент /мян.т/,2001,67.7
Цемент /мян.т/,2000,91.7
Цемент /мян.т/,1999,103.5
Цемент /мян.т/,1998,109.0
Цемент /мян.т/,1997,111.6
Цемент /мян.т/,1996,106.0
Цемент /мян.т/,1995,108.8
Цемент /мян.т/,1994,85.8
Цемент /мян.т/,1993,82.3
Цемент /мян.т/,1992,132.5
Цемент /мян.т/,1991,226.8
Цемент /мян.т/,1990,440.8
Цемент /мян.т/,1989,512.6
    Шохой /мян.т/,2025,67.8
    Шохой /мян.т/,2024,59.1
    Шохой /мян.т/,2023,58.8
    Шохой /мян.т/,2022,66.5
    Шохой /мян.т/,2021,50.7
    Шохой /мян.т/,2020,70.2
    Шохой /мян.т/,2019,77.3
    Шохой /мян.т/,2018,58.7
    Шохой /мян.т/,2017,56.2
    Шохой /мян.т/,2016,47.6
    Шохой /мян.т/,2015,52.3
    Шохой /мян.т/,2014,58.0
    Шохой /мян.т/,2013,56.7
    Шохой /мян.т/,2012,68.2
    Шохой /мян.т/,2011,45.3
    Шохой /мян.т/,2010,50.2
    Шохой /мян.т/,2009,43.1
    Шохой /мян.т/,2008,54.8
    Шохой /мян.т/,2007,43.3
    Шохой /мян.т/,2006,60.4
    Шохой /мян.т/,2005,81.2
    Шохой /мян.т/,2004,30.0
    Шохой /мян.т/,2003,42.1
    Шохой /мян.т/,2002,42.1
    Шохой /мян.т/,2001,30.1
    Шохой /мян.т/,2000,37.0
    Шохой /мян.т/,1999,49.6
    Шохой /мян.т/,1998,55.8
    Шохой /мян.т/,1997,57.6
    Шохой /мян.т/,1996,54.7
    Шохой /мян.т/,1995,51.4
    Шохой /мян.т/,1994,66.4
    Шохой /мян.т/,1993,51.2
    Шохой /мян.т/,1992,67.8
    Шохой /мян.т/,1991,76.3
    Шохой /мян.т/,1990,103.0
    Шохой /мян.т/,1989,95.0
    Бетон эдлэл /м3/,2025,107011.0
    Бетон эдлэл /м3/,2024,97061.0
    Бетон эдлэл /м3/,2023,74520.0
    Бетон эдлэл /м3/,2022,57520.0
    Бетон эдлэл /м3/,2021,53716.0
    Бетон эдлэл /м3/,2020,69681.0
    Бетон эдлэл /м3/,2019,54502.0
    Бетон эдлэл /м3/,2018,40600.0
    Бетон эдлэл /м3/,2017,39400.0
    Бетон эдлэл /м3/,2016,22200.0
    Бетон эдлэл /м3/,2015,36600.0
    Бетон эдлэл /м3/,2014,53700.0
    Бетон эдлэл /м3/,2013,76900.0
    Бетон эдлэл /м3/,2012,79900.0
    Бетон эдлэл /м3/,2011,61300.0
    Бетон эдлэл /м3/,2010,18200.0
    Бетон эдлэл /м3/,2009,13600.0
    Бетон эдлэл /м3/,2008,65400.0
    Бетон эдлэл /м3/,2007,29600.0
    Бетон эдлэл /м3/,2006,2700.0
    Бетон эдлэл /м3/,2005,4800.0
    Бетон эдлэл /м3/,2004,2400.0
    Бетон эдлэл /м3/,2003,6900.0
    Бетон эдлэл /м3/,2002,11900.0
    Бетон эдлэл /м3/,2001,17000.0
    Бетон эдлэл /м3/,2000,14800.0
    Бетон эдлэл /м3/,1999,14700.0
    Бетон эдлэл /м3/,1998,11200.0
    Бетон эдлэл /м3/,1997,14400.0
    Бетон эдлэл /м3/,1996,16200.0
    Бетон эдлэл /м3/,1995,13700.0
    Бетон эдлэл /м3/,1994,14800.0
    Бетон эдлэл /м3/,1993,17100.0
    Бетон эдлэл /м3/,1992,42000.0
    Бетон эдлэл /м3/,1991,72000.0
    Бетон эдлэл /м3/,1990,166800.0
    Бетон эдлэл /м3/,1989,165100.0
    Бетон дэр /мян.ш/,2025,205.0
    Бетон дэр /мян.ш/,2024,171.8
    Бетон дэр /мян.ш/,2023,125.9
    Бетон дэр /мян.ш/,2022,107.4
    Бетон дэр /мян.ш/,2021,154.4
    Бетон дэр /мян.ш/,2020,151.1
    Бетон дэр /мян.ш/,2019,39.6
    Бетон дэр /мян.ш/,2018,21.3
    Бетон дэр /мян.ш/,2017,104.6
    Бетон дэр /мян.ш/,2016,78.6
    Бетон дэр /мян.ш/,2015,80.0
    Бетон дэр /мян.ш/,2014,101.9
    Бетон дэр /мян.ш/,2013,125.6
    Бетон дэр /мян.ш/,2012,151.1
    Бетон дэр /мян.ш/,2011,39.2
    Бетон дэр /мян.ш/,2010,68.2
    Бетон дэр /мян.ш/,2009,78.9
    Бетон дэр /мян.ш/,2008,34.5
    Бетон дэр /мян.ш/,2007,68.5
    Бетон дэр /мян.ш/,2006,45.1
    Бетон дэр /мян.ш/,2005,101.5
    Бетон дэр /мян.ш/,2004,52.5
    Бетон дэр /мян.ш/,2003,36.5
    Бетон дэр /мян.ш/,2002,37.5
    Бетон дэр /мян.ш/,2001,41.1
    Бетон дэр /мян.ш/,2000,40.0
    Бетон дэр /мян.ш/,1999,40.3
    Бетон дэр /мян.ш/,1998,
    Бетон дэр /мян.ш/,1997,5.0
    Бетон дэр /мян.ш/,1996,
    Бетон дэр /мян.ш/,1995,
    Бетон дэр /мян.ш/,1994,
    Бетон дэр /мян.ш/,1993,
    Бетон дэр /мян.ш/,1992,
    Бетон дэр /мян.ш/,1991,
    Бетон дэр /мян.ш/,1990,
    Бетон дэр /мян.ш/,1989,
    Улаан тоосго /сая ш/,2025,14.8
    Улаан тоосго /сая ш/,2024,16.2
    Улаан тоосго /сая ш/,2023,23.3
    Улаан тоосго /сая ш/,2022,23.4
    Улаан тоосго /сая ш/,2021,20.4
    Улаан тоосго /сая ш/,2020,20.0
    Улаан тоосго /сая ш/,2019,26.5
    Улаан тоосго /сая ш/,2018,28.9
    Улаан тоосго /сая ш/,2017,23.0
    Улаан тоосго /сая ш/,2016,20.5
    Улаан тоосго /сая ш/,2015,39.6
    Улаан тоосго /сая ш/,2014,58.2
    Улаан тоосго /сая ш/,2013,66.3
    Улаан тоосго /сая ш/,2012,58.9
    Улаан тоосго /сая ш/,2011,31.5
    Улаан тоосго /сая ш/,2010,27.7
    Улаан тоосго /сая ш/,2009,18.0
    Улаан тоосго /сая ш/,2008,28.9
    Улаан тоосго /сая ш/,2007,20.8
    Улаан тоосго /сая ш/,2006,22.2
    Улаан тоосго /сая ш/,2005,14.6
    Улаан тоосго /сая ш/,2004,12.5
    Улаан тоосго /сая ш/,2003,22.9
    Улаан тоосго /сая ш/,2002,13.2
    Улаан тоосго /сая ш/,2001,21.0
    Улаан тоосго /сая ш/,2000,17.3
    Улаан тоосго /сая ш/,1999,17.0
    Улаан тоосго /сая ш/,1998,18.9
    Улаан тоосго /сая ш/,1997,16.4
    Улаан тоосго /сая ш/,1996,25.0
    Улаан тоосго /сая ш/,1995,21.5
    Улаан тоосго /сая ш/,1994,33.6
    Улаан тоосго /сая ш/,1993,33.4
    Улаан тоосго /сая ш/,1992,54.0
    Улаан тоосго /сая ш/,1991,108.2
    Улаан тоосго /сая ш/,1990,151.1
    Улаан тоосго /сая ш/,1989,172.8
    Хүрмэн блок /мян.ш/,2025,14.8
    Хүрмэн блок /мян.ш/,2024,37.0
    Хүрмэн блок /мян.ш/,2023,56.9
    Хүрмэн блок /мян.ш/,2022,202.3
    Хүрмэн блок /мян.ш/,2021,291.3
    Хүрмэн блок /мян.ш/,2020,111.8
    Хүрмэн блок /мян.ш/,2019,298.3
    Хүрмэн блок /мян.ш/,2018,305.9
    Хүрмэн блок /мян.ш/,2017,252.1
    Хүрмэн блок /мян.ш/,2016,317.5
    Хүрмэн блок /мян.ш/,2015,633.2
    Хүрмэн блок /мян.ш/,2014,950.1
    Хүрмэн блок /мян.ш/,2013,692.2
    Хүрмэн блок /мян.ш/,2012,873.3
    Хүрмэн блок /мян.ш/,2011,467.7
    Хүрмэн блок /мян.ш/,2010,521.3
    Хүрмэн блок /мян.ш/,2009,387.5
    Хүрмэн блок /мян.ш/,2008,553.6
    Хүрмэн блок /мян.ш/,2007,286.3
    Хүрмэн блок /мян.ш/,2006,77.8
    Хүрмэн блок /мян.ш/,2005,9.4
    Хүрмэн блок /мян.ш/,2004,4.5
    Хүрмэн блок /мян.ш/,2003,
    Хүрмэн блок /мян.ш/,2002,1.1
    Хүрмэн блок /мян.ш/,2001,1.6
    Хүрмэн блок /мян.ш/,2000,1.0
    Хүрмэн блок /мян.ш/,1999,279.1
    Хүрмэн блок /мян.ш/,1998,726.5
    Хүрмэн блок /мян.ш/,1997,198.3
    Хүрмэн блок /мян.ш/,1996,40.0
    Хүрмэн блок /мян.ш/,1995,27.3
    Хүрмэн блок /мян.ш/,1994,41.3
    Хүрмэн блок /мян.ш/,1993,118.1
    Хүрмэн блок /мян.ш/,1992,774.4
    Хүрмэн блок /мян.ш/,1991,3866.1
    Хүрмэн блок /мян.ш/,1990,5586.0
    Хүрмэн блок /мян.ш/,1989,5028.5
    Барилгын модон хаалга цонх /м2/,2025,189.7
    Барилгын модон хаалга цонх /м2/,2024,395.3
    Барилгын модон хаалга цонх /м2/,2023,442.5
    Барилгын модон хаалга цонх /м2/,2022,1292.0
    Барилгын модон хаалга цонх /м2/,2021,4000.7
    Барилгын модон хаалга цонх /м2/,2020,631.9
    Барилгын модон хаалга цонх /м2/,2019,472.0
    Барилгын модон хаалга цонх /м2/,2018,271.2
    Барилгын модон хаалга цонх /м2/,2017,3606.7
    Барилгын модон хаалга цонх /м2/,2016,4837.0
    Барилгын модон хаалга цонх /м2/,2015,7603.3
    Барилгын модон хаалга цонх /м2/,2014,14295.9
    Барилгын модон хаалга цонх /м2/,2013,11825.1
    Барилгын модон хаалга цонх /м2/,2012,6655.5
    Барилгын модон хаалга цонх /м2/,2011,13464.8
    Барилгын модон хаалга цонх /м2/,2010,13650.6
    Барилгын модон хаалга цонх /м2/,2009,2383.6
    Барилгын модон хаалга цонх /м2/,2008,6147.1
    Барилгын модон хаалга цонх /м2/,2007,2756.2
    Барилгын модон хаалга цонх /м2/,2006,3622.9
    Барилгын модон хаалга цонх /м2/,2005,2800.0
    Барилгын модон хаалга цонх /м2/,2004,1200.0
    Барилгын модон хаалга цонх /м2/,2003,58600.0
    Барилгын модон хаалга цонх /м2/,2002,2800.0
    Барилгын модон хаалга цонх /м2/,2001,4800.0
    Барилгын модон хаалга цонх /м2/,2000,1800.0
    Барилгын модон хаалга цонх /м2/,1999,1800.0
    Барилгын модон хаалга цонх /м2/,1998,2900.0
    Барилгын модон хаалга цонх /м2/,1997,5200.0
    Барилгын модон хаалга цонх /м2/,1996,3400.0
    Барилгын модон хаалга цонх /м2/,1995,7400.0
    Барилгын модон хаалга цонх /м2/,1994,8100.0
    Барилгын модон хаалга цонх /м2/,1993,9600.0
    Барилгын модон хаалга цонх /м2/,1992,15800.0
    Барилгын модон хаалга цонх /м2/,1991,98200.0
    Барилгын модон хаалга цонх /м2/,1990,398400.0
    Барилгын модон хаалга цонх /м2/,1989,417800.0
    Самнасан ноолуур /т/,2025,4092.2
    Самнасан ноолуур /т/,2024,908.1
    Самнасан ноолуур /т/,2023,1165.7
    Самнасан ноолуур /т/,2022,938.8
    Самнасан ноолуур /т/,2021,512.0
    Самнасан ноолуур /т/,2020,516.4
    Самнасан ноолуур /т/,2019,774.0
    Самнасан ноолуур /т/,2018,1160.3
    Самнасан ноолуур /т/,2017,1101.8
    Самнасан ноолуур /т/,2016,776.3
    Самнасан ноолуур /т/,2015,754.5
    Самнасан ноолуур /т/,2014,633.2
    Самнасан ноолуур /т/,2013,521.8
    Самнасан ноолуур /т/,2012,417.0
    Самнасан ноолуур /т/,2011,874.3
    Самнасан ноолуур /т/,2010,824.7
    Самнасан ноолуур /т/,2009,1586.7
    Самнасан ноолуур /т/,2008,1723.8
    Самнасан ноолуур /т/,2007,1554.7
    Самнасан ноолуур /т/,2006,1064.4
    Самнасан ноолуур /т/,2005,581.9
    Самнасан ноолуур /т/,2004,357.0
    Самнасан ноолуур /т/,2003,396.9
    Самнасан ноолуур /т/,2002,622.1
    Самнасан ноолуур /т/,2001,608.4
    Самнасан ноолуур /т/,2000,450.9
    Самнасан ноолуур /т/,1999,612.5
    Самнасан ноолуур /т/,1998,609.7
    Самнасан ноолуур /т/,1997,432.2
    Самнасан ноолуур /т/,1996,517.0
    Самнасан ноолуур /т/,1995,420.8
    Самнасан ноолуур /т/,1994,232.1
    Самнасан ноолуур /т/,1993,121.5
    Самнасан ноолуур /т/,1992,97.6
    Самнасан ноолуур /т/,1991,190.7
    Самнасан ноолуур /т/,1990,240.1
    Самнасан ноолуур /т/,1989,250.0
    Угаасан ноос /мян.т/,2025,0.4
    Угаасан ноос /мян.т/,2024,1.1
    Угаасан ноос /мян.т/,2023,3.2
    Угаасан ноос /мян.т/,2022,5.4
    Угаасан ноос /мян.т/,2021,3.6
    Угаасан ноос /мян.т/,2020,1.8
    Угаасан ноос /мян.т/,2019,3.4
    Угаасан ноос /мян.т/,2018,3.3
    Угаасан ноос /мян.т/,2017,8.7
    Угаасан ноос /мян.т/,2016,7.0
    Угаасан ноос /мян.т/,2015,1.8
    Угаасан ноос /мян.т/,2014,1.4
    Угаасан ноос /мян.т/,2013,0.9
    Угаасан ноос /мян.т/,2012,1.1
    Угаасан ноос /мян.т/,2011,1.8
    Угаасан ноос /мян.т/,2010,2.3
    Угаасан ноос /мян.т/,2009,1.3
    Угаасан ноос /мян.т/,2008,1.8
    Угаасан ноос /мян.т/,2007,1.7
    Угаасан ноос /мян.т/,2006,1.1
    Угаасан ноос /мян.т/,2005,0.9
    Угаасан ноос /мян.т/,2004,1.8
    Угаасан ноос /мян.т/,2003,0.5
    Угаасан ноос /мян.т/,2002,1.2
