сар,станц,температур
2019-03,Дархан,-0.6
2019-03,Улаанбаатар,-3.8
2019-03,Ховд,-5.5
2019-03,Чойбалсан,-2.7
2019-04,Даланзадгад,10.6
2019-04,Дархан,6.5
2019-04,Улаанбаатар,4.0
2019-04,Ховд,7.9
2019-04,Чойбалсан,4.8
2019-05,Даланзадгад,12.8
2019-05,Дархан,11.8
2019-05,Улаанбаатар,9.3
2019-05,Ховд,10.5
2019-05,Чойбалсан,12.1
2019-06,Даланзадгад,20.6
2019-06,Дархан,20.3
2019-06,Улаанбаатар,17.4
2019-06,Ховд,18.4
2019-06,Чойбалсан,19.9
2019-07,Даланзадгад,23.2
2019-07,Дархан,22.0
2019-07,Улаанбаатар,19.3
2019-07,Ховд,24.6
2019-07,Чойбалсан,21.3
2019-08,Даланзадгад,20.8
2019-08,Дархан,18.0
2019-08,Улаанбаатар,15.7
2019-08,Ховд,19.3
2019-08,Чойбалсан,17.7
2019-09,Даланзадгад,18.5
2019-09,Дархан,14.0
2019-09,Улаанбаатар,13.7
2019-09,Ховд,14.6
2019-09,Чойбалсан,15.9
2019-10,Даланзадгад,5.2
2019-10,Дархан,3.2
2019-10,Улаанбаатар,0.9
2019-10,Ховд,4.6
2019-10,Чойбалсан,3.1
2019-11,Даланзадгад,-3.0
2019-11,Дархан,-10.9
2019-11,Улаанбаатар,-10.0
2019-11,Ховд,-7.6
2019-11,Чойбалсан,-10.5
2019-12,Даланзадгад,-10.4
2019-12,Дархан,-17.9
2019-12,Улаанбаатар,-17.6
2019-12,Ховд,-17.1
2019-12,Чойбалсан,-18.3
2020-01,Даланзадгад,-11.1
2020-01,Дархан,-20.9
2020-01,Улаанбаатар,-17.4
2020-01,Ховд,-22.7
2020-01,Чойбалсан,-18.2
2020-02,Даланзадгад,-6.7
2020-02,Дархан,-14.3
2020-02,Улаанбаатар,-13.4
2020-02,Ховд,-13.2
2020-02,Чойбалсан,-14.8
2020-03,Даланзадгад,0.7
2020-03,Дархан,-2.0
2020-03,Улаанбаатар,-5.8
2020-03,Ховд,-2.5
2020-03,Чойбалсан,-3.9
2020-04,Даланзадгад,9.2
2020-04,Дархан,8.8
2020-04,Улаанбаатар,6.3
2020-04,Ховд,9.7
2020-04,Чойбалсан,6.3
2020-05,Даланзадгад,14.9
2020-05,Дархан,13.1
2020-05,Улаанбаатар,10.5
2020-05,Ховд,14.9
2020-05,Чойбалсан,14.3
2020-06,Даланзадгад,21.1
2020-06,Дархан,19.3
2020-06,Улаанбаатар,17.0
2020-06,Ховд,17.8
2020-06,Чойбалсан,19.4
2020-07,Даланзадгад,23.0
2020-07,Дархан,21.2
2020-07,Улаанбаатар,18.6
2020-07,Ховд,19.4
2020-07,Чойбалсан,22.3
2020-08,Даланзадгад,20.5
2020-08,Дархан,18.1
2020-08,Улаанбаатар,16.0
2020-08,Ховд,16.5
2020-08,Чойбалсан,18.3
2020-09,Даланзадгад,15.2
2020-09,Дархан,12.5
2020-09,Улаанбаатар,11.0
2020-09,Ховд,11.0
2020-09,Чойбалсан,12.8
2020-10,Даланзадгад,3.9
2020-10,Дархан,2.1
2020-10,Улаанбаатар,-0.6
2020-10,Ховд,1.6
2020-10,Чойбалсан,1.5
2020-11,Даланзадгад,-4.6
2020-11,Дархан,-5.7
2020-11,Улаанбаатар,-16.1
2020-11,Ховд,-6.8
2020-11,Чойбалсан,-6.0
2020-12,Даланзадгад,-16.8
2020-12,Дархан,-19.3
2020-12,Улаанбаатар,-22.2
2020-12,Ховд,-20.5
2020-12,Чойбалсан,-17.7
2021-01,Даланзадгад,-12.7
2021-01,Дархан,-20.5
2021-01,Улаанбаатар,-20.9
2021-01,Ховд,-19.2
2021-01,Чойбалсан,-20.8
2021-02,Даланзадгад,-2.7
2021-02,Дархан,-14.7
2021-02,Улаанбаатар,-12.4
2021-02,Ховд,-6.8
2021-02,Чойбалсан,-14.0
2021-03,Даланзадгад,2.7
2021-03,Дархан,-0.9
2021-03,Улаанбаатар,-2.6
2021-03,Ховд,-1.6
2021-03,Чойбалсан,-1.7
2021-04,Даланзадгад,7.8
2021-04,Дархан,4.8
2021-04,Улаанбаатар,3.1
2021-04,Ховд,5.2
2021-04,Чойбалсан,4.8
2021-05,Даланзадгад,14.3
2021-05,Дархан,9.8
2021-05,Улаанбаатар,7.6
2021-05,Ховд,13.3
2021-05,Чойбалсан,10.5
2021-06,Даланзадгад,20.0
2021-06,Дархан,16.6
2021-06,Улаанбаатар,14.8
2021-06,Ховд,17.3
2021-06,Чойбалсан,18.7
2021-07,Даланзадгад,21.6
2021-07,Дархан,20.0
2021-07,Улаанбаатар,19.2
2021-07,Ховд,21.5
2021-07,Чойбалсан,21.5
2021-08,Даланзадгад,19.0
2021-08,Дархан,17.5
2021-08,Улаанбаатар,15.9
2021-08,Ховд,16.7
2021-08,Чойбалсан,18.2
2021-09,Даланзадгад,16.0
2021-09,Дархан,10.8
2021-09,Улаанбаатар,10.4
2021-09,Ховд,12.6
2021-09,Чойбалсан,12.7
2021-10,Даланзадгад,4.8
2021-10,Дархан,3.5
2021-10,Улаанбаатар,1.6
2021-10,Ховд,1.9
2021-10,Чойбалсан,3.2
2021-11,Даланзадгад,-4.1
2021-11,Дархан,-6.1
2021-11,Улаанбаатар,-8.0
2021-11,Ховд,-6.5
2021-11,Чойбалсан,-6.2
2021-12,Даланзадгад,-9.6
2021-12,Дархан,-14.4
2021-12,Улаанбаатар,-15.6
2021-12,Ховд,-17.6
2021-12,Чойбалсан,-13.7
2022-01,Даланзадгад,-12.2
2022-01,Дархан,-19.9
2022-01,Улаанбаатар,-17.4
2022-01,Ховд,-23.0
2022-01,Чойбалсан,-17.8
2022-02,Даланзадгад,-13.3
2022-02,Дархан,-18.3
2022-02,Улаанбаатар,-17.0
2022-02,Ховд,-24.5
2022-02,Чойбалсан,-16.6
2022-03,Даланзадгад,0.8
2022-03,Дархан,-3.9
2022-03,Улаанбаатар,-5.5
2022-03,Ховд,-4.1
2022-03,Чойбалсан,-5.0
2022-04,Даланзадгад,8.1
2022-04,Дархан,5.8
2022-04,Улаанбаатар,3.4
2022-04,Ховд,6.0
2022-04,Чойбалсан,4.9
2022-05,Даланзадгад,15.4
2022-05,Дархан,14.1
2022-05,Улаанбаатар,11.2
2022-05,Ховд,15.6
2022-05,Чойбалсан,12.6
2022-06,Даланзадгад,21.8
2022-06,Дархан,19.5
2022-06,Улаанбаатар,17.1
2022-06,Ховд,20.6
2022-06,Чойбалсан,19.3
2022-07,Даланзадгад,22.7
2022-07,Дархан,19.5
2022-07,Улаанбаатар,17.6
2022-07,Ховд,20.0
2022-07,Чойбалсан,21.5
2022-08,Даланзадгад,21.8
2022-08,Дархан,17.1
2022-08,Улаанбаатар,14.7
2022-08,Ховд,18.2
2022-08,Чойбалсан,17.1
2022-09,Даланзадгад,17.0
2022-09,Дархан,12.6
2022-09,Улаанбаатар,11.8
2022-09,Ховд,14.6
2022-09,Чойбалсан,13.4
2022-10,Даланзадгад,4.3
2022-10,Дархан,2.6
2022-10,Улаанбаатар,0.4
2022-10,Ховд,1.2
2022-10,Чойбалсан,2.2
2022-11,Даланзадгад,-3.5
2022-11,Дархан,-7.1
2022-11,Улаанбаатар,-10.6
2022-11,Ховд,-6.5
2022-11,Чойбалсан,-10.0
2022-12,Даланзадгад,-13.8
2022-12,Дархан,-19.0
2022-12,Улаанбаатар,-20.6
2022-12,Чойбалсан,-19.4
2023-01,Даланзадгад,-12.6
2023-01,Дархан,-21.0
2023-01,Улаанбаатар,-21.0
2023-01,Ховд,-19.0
2023-01,Чойбалсан,-20.5
2023-02,Даланзадгад,-6.6
2023-02,Дархан,-16.6
2023-02,Улаанбаатар,-13.3
2023-02,Ховд,-15.4
2023-02,Чойбалсан,-13.8
2023-03,Даланзадгад,2.1
2023-03,Дархан,-1.3
2023-03,Улаанбаатар,-3.9
2023-03,Ховд,-0.6
2023-03,Чойбалсан,-2.9
2023-04,Даланзадгад,5.7
2023-04,Дархан,2.4
2023-04,Улаанбаатар,0.0
2023-04,Ховд,2.9
2023-04,Чойбалсан,2.7
2023-05,Даланзадгад,13.6
2023-05,Дархан,10.7
2023-05,Улаанбаатар,8.8
2023-05,Ховд,9.5
2023-05,Чойбалсан,13.0
2023-06,Даланзадгад,22.1
2023-06,Дархан,19.1
2023-06,Улаанбаатар,17.3
2023-06,Ховд,19.7
2023-06,Чойбалсан,19.5
2023-07,Даланзадгад,23.1
2023-07,Дархан,20.6
2023-07,Улаанбаатар,17.9
2023-07,Ховд,21.5
2023-07,Чойбалсан,21.6
2023-08,Даланзадгад,22.5
2023-08,Дархан,19.4
2023-08,Улаанбаатар,17.0
2023-08,Ховд,20.4
2023-08,Чойбалсан,19.1
2023-09,Даланзадгад,16.0
2023-09,Дархан,13.3
2023-09,Улаанбаатар,11.5
2023-09,Ховд,11.7
2023-09,Чойбалсан,14.1
2023-10,Даланзадгад,9.3
2023-10,Дархан,6.1
2023-10,Улаанбаатар,4.3
2023-10,Ховд,6.7
2023-10,Чойбалсан,6.3
2023-11,Даланзадгад,-4.9
2023-11,Дархан,-9.8
2023-11,Улаанбаатар,-11.5
2023-11,Ховд,-7.4
2023-11,Чойбалсан,-12.3
2023-12,Даланзадгад,-12.6
2023-12,Дархан,-22.3
2023-12,Улаанбаатар,-19.1
2023-12,Ховд,-18.3
2023-12,Чойбалсан,-19.3
2024-01,Даланзадгад,-14.0
2024-01,Дархан,-19.7
2024-01,Улаанбаатар,-19.1
2024-01,Ховд,-18.3
2024-01,Чойбалсан,-19.4
2024-02,Даланзадгад,-11.0
2024-02,Дархан,-19.2
2024-02,Улаанбаатар,-18.8
2024-02,Ховд,-17.5
2024-02,Чойбалсан,-19.0
2024-03,Даланзадгад,1.2
2024-03,Дархан,-4.5
2024-03,Улаанбаатар,-6.4
2024-03,Ховд,-1.8
2024-03,Чойбалсан,-7.1
2024-04,Даланзадгад,9.4
2024-04,Дархан,7.1
2024-04,Улаанбаатар,4.9
2024-04,Ховд,6.5
2024-04,Чойбалсан,6.8
2024-05,Даланзадгад,18.7
2024-05,Дархан,14.8
2024-05,Улаанбаатар,13.2
2024-05,Ховд,17.0
2024-05,Чойбалсан,13.9
2024-06,Даланзадгад,21.2
2024-06,Дархан,18.9
2024-06,Улаанбаатар,16.1
2024-06,Ховд,20.0
2024-06,Чойбалсан,20.0
2024-07,Даланзадгад,23.3
2024-07,Дархан,24.1
2024-07,Улаанбаатар,20.1
2024-07,Ховд,22.2
2024-07,Чойбалсан,23.2
2024-08,Даланзадгад,20.5
2024-08,Дархан,20.5
2024-08,Улаанбаатар,18.4
2024-08,Ховд,21.4
2024-08,Чойбалсан,21.1
2024-09,Даланзадгад,13.6
2024-09,Дархан,12.0
2024-09,Улаанбаатар,10.6
2024-09,Ховд,11.8
2024-09,Чойбалсан,13.3
2024-10,Даланзадгад,6.6
2024-10,Дархан,3.4
2024-10,Улаанбаатар,2.0
2024-10,Ховд,5.6
2024-10,Чойбалсан,3.2
2024-11,Даланзадгад,-1.7
2024-11,Дархан,-5.9
2024-11,Улаанбаатар,-5.4
2024-11,Ховд,-5.5
2024-11,Чойбалсан,-5.3
2024-12,Даланзадгад,-11.9
2024-12,Дархан,-19.3
2024-12,Улаанбаатар,-16.7
2024-12,Ховд,-21.9
2024-12,Чойбалсан,-13.5
2025-01,Даланзадгад,-11.0
2025-01,Дархан,-20.4
2025-01,Улаанбаатар,-17.4
2025-01,Ховд,-23.4
2025-01,Чойбалсан,-15.2
2025-02,Даланзадгад,-10.2
2025-02,Дархан,-17.1
2025-02,Улаанбаатар,-16.4
2025-02,Ховд,-18.3
2025-02,Чойбалсан,-15.0
2025-03,Даланзадгад,-0.3
2025-03,Дархан,-1.8
2025-03,Улаанбаатар,-4.1
2025-03,Ховд,-6.9
2025-03,Чойбалсан,-2.8
2025-04,Даланзадгад,9.5
2025-04,Дархан,7.5
2025-04,Улаанбаатар,4.7
2025-04,Ховд,9.0
2025-04,Чойбалсан,6.1
2025-05,Даланзадгад,14.2
2025-05,Дархан,13.6
2025-05,Улаанбаатар,10.9
2025-05,Ховд,14.1
2025-05,Чойбалсан,12.8
2025-06,Даланзадгад,20.2
2025-06,Дархан,20.6
2025-06,Улаанбаатар,17.7
2025-06,Ховд,20.9
2025-06,Чойбалсан,19.8
2025-07,Даланзадгад,24.2
2025-07,Дархан,22.7
2025-07,Улаанбаатар,20.2
2025-07,Ховд,22.8
2025-07,Чойбалсан,22.1
2025-08,Даланзадгад,21.3
2025-08,Дархан,18.8
2025-08,Улаанбаатар,16.6
2025-08,Ховд,19.5
2025-08,Чойбалсан,18.8
2025-09,Даланзадгад,14.9
2025-09,Дархан,12.7
2025-09,Улаанбаатар,10.7
2025-09,Ховд,12.9
2025-09,Чойбалсан,13.5
2025-10,Даланзадгад,3.4
2025-10,Дархан,-1.0
2025-10,Улаанбаатар,-1.8
2025-10,Ховд,-0.1
2025-10,Чойбалсан,0.8
2025-11,Даланзадгад,-3.3
2025-11,Дархан,-6.5
2025-11,Улаанбаатар,-8.8
2025-11,Ховд,-6.1
2025-11,Чойбалсан,-6.3
2025-12,Даланзадгад,-10.3
2025-12,Дархан,-20.4
2025-12,Улаанбаатар,-18.5
2025-12,Ховд,-14.2
2025-12,Чойбалсан,-17.7
2026-01,Даланзадгад,-0.3
2026-01,Дархан,-1.8
2026-01,Улаанбаатар,-4.1
2026-01,Ховд,-6.9
2026-01,Чойбалсан,-2.8
2026-02,Даланзадгад,-8.1
2026-02,Дархан,-16.7
2026-02,Улаанбаатар,-15.2
2026-02,Ховд,-16.5
2026-02,Чойбалсан,-14.7
2026-03,Даланзадгад,0.6
2026-03,Дархан,-5.0
2026-03,Улаанбаатар,-5.0
2026-03,Ховд,-2.5
2026-03,Чойбалсан,-0.6
2026-04,Даланзадгад,10.2
2026-04,Дархан,5.3
2026-04,Улаанбаатар,3.7
2026-04,Ховд,8.8
2026-04,Чойбалсан,4.2
2026-05,Даланзадгад,16.0
2026-05,Дархан,13.8
2026-05,Улаанбаатар,11.6
2026-05,Ховд,12.6
2026-05,Чойбалсан,13.2
2026-06,Даланзадгад,18.0
2026-06,Дархан,16.1
2026-06,Улаанбаатар,13.0
2026-06,Ховд,20.3
2026-06,Чойбалсан,15.4
