code,zone,district_code,district,area_km2,lon,lat
13070,"Ikh am, baga am",13,Bayanzurkh,14.247,107.185477,47.961665
13080,Gyalalzakh,13,Bayanzurkh,2.574,107.181543,47.92058
13085,Khonkhor nuur,13,Bayanzurkh,19.456,107.209276,47.75837
13086,Shajin khurakh,13,Bayanzurkh,28.627,107.147339,47.759784
13087,Maikhan uul,13,Bayanzurkh,8.121,107.220052,47.799816
13088,Nam davaa,13,Bayanzurkh,19.347,107.183009,47.837639
13089,Khuliin gol-1,13,Bayanzurkh,9.412,107.178534,47.794688
13090,Khonkhor,13,Bayanzurkh,5.457,107.167417,47.810622
13091,Khargana,13,Bayanzurkh,16.727,107.119138,47.819991
13100,Tuul-BZD,13,Bayanzurkh,3.186,107.171845,47.932592
13110,Tuviin kheseg,13,Bayanzurkh,1.311,107.156332,47.934503
13120,Bayan dukhum,13,Bayanzurkh,5.404,107.130395,47.930685
13121,Baga bulgiin am-1,13,Bayanzurkh,10.825,107.126706,47.979357
13140,Emiin urgamal,13,Bayanzurkh,2.129,107.14212,47.851978
13150,Baga bulgiin am-2,13,Bayanzurkh,15.269,107.112087,47.954821
13160,Gunjiin khooloi,13,Bayanzurkh,14.497,107.131656,48.017775
13170,Bumbat,13,Bayanzurkh,14.457,107.104405,47.841504
13180,Urgakh naran,13,Bayanzurkh,3.21,107.123081,47.870518
13181,Suul davaa,13,Bayanzurkh,6.281,107.150814,47.871672
13182,Nogoon zoori,13,Bayanzurkh,3.793,107.102466,47.886443
13183,Khuliin gol-2,13,Bayanzurkh,1.667,107.100948,47.873844
13184,Tuulyn zurlug,13,Bayanzurkh,0.972,107.088644,47.876174
13190,Tovchoo,13,Bayanzurkh,2.092,107.07261,47.889387
13200,Tur khurakh,13,Bayanzurkh,14.32,107.120587,47.788018
13201,Suurishilgui bus,13,Bayanzurkh,132.668,107.022092,47.783345
13210,Khujirbulan,13,Bayanzurkh,9.978,107.072947,47.927572
13211,Ikh bulgiin am,13,Bayanzurkh,7.629,107.084258,47.95557
13212,Baatarkhairkhan,13,Bayanzurkh,2.785,107.044533,47.939321
13213,Maikhant,13,Bayanzurkh,6.034,107.057817,47.958274
13214,Uliastain gol,13,Bayanzurkh,12.852,107.041826,47.983484
13215,Tsarduult,13,Bayanzurkh,9.212,107.076224,47.984417
13216,"Khadat, Khojuultyn am",13,Bayanzurkh,13.666,107.078192,48.012585
13217,Sharyn am,13,Bayanzurkh,17.486,107.117451,48.048645
13218,Uliastai gol,13,Bayanzurkh,217.204,107.098005,48.125505
13220,Chuluut,13,Bayanzurkh,10.998,107.077679,47.855939
13221,Khar usan tokhoi,13,Bayanzurkh,19.86,107.100498,47.908778
13240,Khurkhree,13,Bayanzurkh,15.319,107.047134,47.871475
13241,Zalaatyn am,13,Bayanzurkh,22.923,107.004163,47.864498
13250,Uliastai,13,Bayanzurkh,4.268,107.035215,47.918681
13251,Tsagaan davaa,13,Bayanzurkh,8.257,107.006341,47.965054
13252,Bogdyn davaany am,13,Bayanzurkh,5.498,107.019912,47.991025
13253,Uliastain baga am,13,Bayanzurkh,5.838,107.034045,48.014418
13254,Ikh tsuurai,13,Bayanzurkh,5.16,107.044844,48.039179
13260,Amgalan-1,13,Bayanzurkh,3.56,107.015576,47.915517
13270,Amgalan-2,13,Bayanzurkh,2.315,107.008671,47.904567
13271,Amgalan-3,13,Bayanzurkh,2.564,106.980708,47.906126
13280,Shar khad-1,13,Bayanzurkh,3.555,107.010513,47.929257
13281,Shar khad-2,13,Bayanzurkh,3.303,107.006314,47.941678
13290,Tsakhlai,13,Bayanzurkh,2.496,106.991129,47.937267
13291,Tsaiz,13,Bayanzurkh,2.188,106.980584,47.936123
13292,Altan-Ulgii,13,Bayanzurkh,4.467,106.970248,47.942221
13300,Ulaankhuaran-1,13,Bayanzurkh,0.264,106.988764,47.921488
13301,Ulaankhuaran-2,13,Bayanzurkh,0.536,106.987881,47.915596
13302,Ulaankhuaran-3,13,Bayanzurkh,0.295,106.97941,47.914424
13311,Olimp khoroolol-1,13,Bayanzurkh,0.327,106.935975,47.90592
13312,Olimp khoroolol-2,13,Bayanzurkh,0.395,106.935151,47.902908
13313,Undesnii tsetserlegt khureelen,13,Bayanzurkh,8.184,106.974698,47.897192
13314,Baga tengeriin am,13,Bayanzurkh,2.069,106.974367,47.877185
13315,Ikh tengeriin am-1,13,Bayanzurkh,12.196,106.959611,47.86004
13320,16-r khoroolol-1,13,Bayanzurkh,0.262,106.982797,47.920973
13321,16-r khoroolol-2,13,Bayanzurkh,0.374,106.976702,47.92002
13330,14-r khoroolol-1,13,Bayanzurkh,0.304,106.967105,47.914951
13331,14-r khoroolol-2,13,Bayanzurkh,0.327,106.968313,47.912444
13332,14-r khoroolol-3,13,Bayanzurkh,0.38,106.96732,47.909416
13333,14-r khoroolol-4,13,Bayanzurkh,0.291,106.956332,47.915006
13334,14-r khoroolol-5,13,Bayanzurkh,0.467,106.955866,47.909853
13335,14-r khoroolol-6,13,Bayanzurkh,0.394,106.948001,47.915284
13336,14-r khoroolol-7,13,Bayanzurkh,0.314,106.947046,47.909991
13340,15-r khoroolol-1,13,Bayanzurkh,0.284,106.971756,47.920274
13341,15-r khoroolol-2,13,Bayanzurkh,0.294,106.967269,47.919568
