Бүс,Он,value
    Зүүн бүс,2017,1373.0
    Зүүн бүс,2016,1221.0
    Зүүн бүс,2015,1306.0
    Зүүн бүс,2014,1466.0
    Зүүн бүс,2013,1492.0
    Зүүн бүс,2012,1416.0
    Зүүн бүс,2011,1323.0
    Зүүн бүс,2010,1386.0
    Зүүн бүс,2009,1484.0
    Зүүн бүс,2008,1539.0
    Зүүн бүс,2007,2000.0
    Зүүн бүс,2006,1795.0
    Зүүн бүс,2005,1514.0
    Зүүн бүс,2004,1550.0
    Зүүн бүс,2003,1419.0
    Зүүн бүс,2002,1909.0
    Зүүн бүс,2001,2391.0
    Зүүн бүс,2000,2322.0
    Зүүн бүс,1999,1928.0
    Зүүн бүс,1998,2044.0
    Зүүн бүс,1997,2228.0
    Зүүн бүс,1996,2283.0
    Зүүн бүс,1995,2181.0
    Зүүн бүс,1994,1678.0
    Зүүн бүс,1993,1771.0
    Зүүн бүс,1992,1246.0
    Зүүн бүс,1991,767.0
    Зүүн бүс,1990,923.0
    Зүүн бүс,1989,671.0
            Дорнод,2025,703.0
            Дорнод,2024,646.0
            Дорнод,2023,533.0
            Дорнод,2022,561.0
            Дорнод,2021,536.0
            Дорнод,2020,476.0
            Дорнод,2019,605.0
            Дорнод,2018,602.0
            Дорнод,2017,582.0
            Дорнод,2016,482.0
            Дорнод,2015,529.0
            Дорнод,2014,566.0
            Дорнод,2013,751.0
            Дорнод,2012,578.0
            Дорнод,2011,413.0
            Дорнод,2010,526.0
            Дорнод,2009,645.0
            Дорнод,2008,577.0
            Дорнод,2007,803.0
            Дорнод,2006,690.0
            Дорнод,2005,559.0
            Дорнод,2004,582.0
            Дорнод,2003,526.0
            Дорнод,2002,567.0
            Дорнод,2001,756.0
            Дорнод,2000,927.0
            Дорнод,1999,815.0
            Дорнод,1998,782.0
            Дорнод,1997,763.0
            Дорнод,1996,834.0
            Дорнод,1995,836.0
            Дорнод,1994,548.0
            Дорнод,1993,738.0
            Дорнод,1992,541.0
            Дорнод,1991,315.0
            Дорнод,1990,423.0
            Дорнод,1989,233.0
            Сүхбаатар,2025,692.0
            Сүхбаатар,2024,497.0
            Сүхбаатар,2023,456.0
            Сүхбаатар,2022,511.0
            Сүхбаатар,2021,344.0
            Сүхбаатар,2020,408.0
            Сүхбаатар,2019,525.0
            Сүхбаатар,2018,366.0
            Сүхбаатар,2017,338.0
            Сүхбаатар,2016,319.0
            Сүхбаатар,2015,317.0
            Сүхбаатар,2014,322.0
            Сүхбаатар,2013,312.0
            Сүхбаатар,2012,207.0
            Сүхбаатар,2011,183.0
            Сүхбаатар,2010,190.0
            Сүхбаатар,2009,200.0
            Сүхбаатар,2008,187.0
            Сүхбаатар,2007,224.0
            Сүхбаатар,2006,181.0
            Сүхбаатар,2005,170.0
            Сүхбаатар,2004,173.0
            Сүхбаатар,2003,180.0
            Сүхбаатар,2002,289.0
            Сүхбаатар,2001,260.0
            Сүхбаатар,2000,265.0
            Сүхбаатар,1999,276.0
            Сүхбаатар,1998,276.0
            Сүхбаатар,1997,316.0
            Сүхбаатар,1996,279.0
            Сүхбаатар,1995,341.0
            Сүхбаатар,1994,354.0
            Сүхбаатар,1993,364.0
            Сүхбаатар,1992,213.0
            Сүхбаатар,1991,136.0
            Сүхбаатар,1990,149.0
            Сүхбаатар,1989,133.0
            Хэнтий,2025,858.0
            Хэнтий,2024,687.0
            Хэнтий,2023,669.0
            Хэнтий,2022,705.0
            Хэнтий,2021,540.0
            Хэнтий,2020,531.0
            Хэнтий,2019,841.0
            Хэнтий,2018,626.0
            Хэнтий,2017,453.0
            Хэнтий,2016,420.0
            Хэнтий,2015,460.0
            Хэнтий,2014,578.0
            Хэнтий,2013,429.0
            Хэнтий,2012,631.0
            Хэнтий,2011,727.0
            Хэнтий,2010,670.0
            Хэнтий,2009,639.0
            Хэнтий,2008,775.0
            Хэнтий,2007,973.0
            Хэнтий,2006,924.0
            Хэнтий,2005,785.0
            Хэнтий,2004,795.0
            Хэнтий,2003,713.0
            Хэнтий,2002,1053.0
            Хэнтий,2001,1375.0
            Хэнтий,2000,1130.0
            Хэнтий,1999,837.0
            Хэнтий,1998,986.0
            Хэнтий,1997,1149.0
            Хэнтий,1996,1170.0
            Хэнтий,1995,1004.0
            Хэнтий,1994,776.0
            Хэнтий,1993,669.0
            Хэнтий,1992,492.0
            Хэнтий,1991,316.0
            Хэнтий,1990,351.0
            Хэнтий,1989,305.0
Говийн бүс,2025,2292.0
Говийн бүс,2024,2086.0
Говийн бүс,2023,1787.0
Говийн бүс,2022,1561.0
Говийн бүс,2021,1323.0
Говийн бүс,2020,1120.0
Говийн бүс,2019,1430.0
Говийн бүс,2018,1388.0
Говийн бүс,2017,1503.0
Говийн бүс,2016,1502.0
Говийн бүс,2015,1410.0
Говийн бүс,2014,1450.0
Говийн бүс,2013,1443.0
Говийн бүс,2012,1301.0
Говийн бүс,2011,1194.0
Говийн бүс,2010,1198.0
Говийн бүс,2009,1294.0
Говийн бүс,2008,1360.0
Говийн бүс,2007,1562.0
Говийн бүс,2006,1280.0
Говийн бүс,2005,1081.0
Говийн бүс,2004,1290.0
Говийн бүс,2003,1422.0
Говийн бүс,2002,1649.0
Говийн бүс,2001,1663.0
Говийн бүс,2000,1698.0
Говийн бүс,1999,1491.0
Говийн бүс,1998,1609.0
Говийн бүс,1997,1680.0
Говийн бүс,1996,1654.0
Говийн бүс,1995,1661.0
Говийн бүс,1994,1502.0
Говийн бүс,1993,1548.0
Говийн бүс,1992,1058.0
Говийн бүс,1991,679.0
Говийн бүс,1990,595.0
Говийн бүс,1989,531.0
            Говьсүмбэр,2025,170.0
            Говьсүмбэр,2024,186.0
            Говьсүмбэр,2023,139.0
            Говьсүмбэр,2022,143.0
            Говьсүмбэр,2021,135.0
            Говьсүмбэр,2020,148.0
            Говьсүмбэр,2019,154.0
            Говьсүмбэр,2018,176.0
