Region,Month,value
 Khangai region,2019-04,1092
 Khangai region,2019-03,1070
 Khangai region,2019-02,917
 Khangai region,2019-01,981
 Khangai region,2018-12,1050
 Khangai region,2018-11,1044
 Khangai region,2018-10,1078
 Khangai region,2018-09,991
 Khangai region,2018-08,1136
 Khangai region,2018-07,1130
 Khangai region,2018-06,1045
 Khangai region,2018-05,991
 Khangai region,2018-04,1033
 Khangai region,2018-03,1090
 Khangai region,2018-02,979
 Khangai region,2018-01,1065
 Khangai region,2017-12,1058
 Khangai region,2017-11,1156
 Khangai region,2017-10,1018
 Khangai region,2017-09,1074
 Khangai region,2017-08,1066
 Khangai region,2017-07,1216
 Khangai region,2017-06,1032
 Khangai region,2017-05,1035
 Khangai region,2017-04,1059
 Khangai region,2017-03,1050
 Khangai region,2017-02,816
 Khangai region,2017-01,940
 Khangai region,2016-12,963
 Khangai region,2016-11,1099
 Khangai region,2016-10,1081
 Khangai region,2016-09,1117
 Khangai region,2016-08,1180
 Khangai region,2016-07,1139
 Khangai region,2016-06,1113
 Khangai region,2016-05,1122
 Khangai region,2016-04,1061
 Khangai region,2016-03,1149
 Khangai region,2016-02,985
 Khangai region,2016-01,1046
 Arkhangai,2026-03,95
