type_of_livestock,region,year,value
Cattle,Eastern region,2005,373.28
Cattle,Eastern region,2004,375.27
Cattle,Eastern region,2003,391.42
Cattle,Eastern region,2002,384.07
Cattle,Eastern region,2001,388.05
Cattle,Eastern region,2000,570.3
Cattle,Eastern region,1999,586.59
Cattle,Eastern region,1998,534.62
Cattle,Eastern region,1997,491.19
Cattle,Eastern region,1996,453.36
Cattle,Eastern region,1995,452.72
Cattle,Eastern region,1994,449.32
Cattle,Eastern region,1993,365.5
Cattle,Eastern region,1992,454.93
Cattle,Eastern region,1991,447.78
Cattle,Eastern region,1990,455.38
Cattle,Eastern region,1989,435.36
Cattle,Eastern region,1988,408.5
Cattle,Eastern region,1987,418.04
Cattle,Eastern region,1986,418.97
Cattle,Eastern region,1985,412.39
Cattle,Eastern region,1984,416.96
Cattle,Eastern region,1983,418.08
Cattle,Eastern region,1982,440.65
Cattle,Eastern region,1981,459.75
Cattle,Eastern region,1980,442.91
Cattle,Eastern region,1979,474.11
Cattle,Eastern region,1978,468.51
Cattle,Eastern region,1977,439.47
Cattle,Eastern region,1976,441.04
Cattle,Eastern region,1975,438.22
Cattle,Eastern region,1974,423.5
Cattle,Eastern region,1973,389.67
Cattle,Eastern region,1972,380.37
Cattle,Eastern region,1971,382.45
Cattle,Eastern region,1970,372.55
Cattle,Dornod,2025,336.78
Cattle,Dornod,2024,319.6
Cattle,Dornod,2023,391.54
Cattle,Dornod,2022,401.88
Cattle,Dornod,2021,353.22
Cattle,Dornod,2020,305.11
Cattle,Dornod,2019,277.42
Cattle,Dornod,2018,243.14
Cattle,Dornod,2017,207.86
Cattle,Dornod,2016,175.55
Cattle,Dornod,2015,163.65
Cattle,Dornod,2014,142.5
Cattle,Dornod,2013,124.7
Cattle,Dornod,2012,119.74
Cattle,Dornod,2011,109.68
Cattle,Dornod,2010,107.84
Cattle,Dornod,2009,126.81
Cattle,Dornod,2008,123.81
Cattle,Dornod,2007,117.51
Cattle,Dornod,2006,106.44
Cattle,Dornod,2005,99.81
Cattle,Dornod,2004,98.53
Cattle,Dornod,2003,101.05
Cattle,Dornod,2002,99.7
Cattle,Dornod,2001,100.05
Cattle,Dornod,2000,142.72
Cattle,Dornod,1999,146.19
Cattle,Dornod,1998,132.85
Cattle,Dornod,1997,121.83
Cattle,Dornod,1996,111.11
Cattle,Dornod,1995,111.69
Cattle,Dornod,1994,114.98
Cattle,Dornod,1993,117.64
Cattle,Dornod,1992,123.31
Cattle,Dornod,1991,123.98
Cattle,Dornod,1990,126.1
Cattle,Dornod,1989,121.27
Cattle,Dornod,1988,115.35
Cattle,Dornod,1987,115.32
Cattle,Dornod,1986,113.23
Cattle,Dornod,1985,112.16
Cattle,Dornod,1984,112.15
Cattle,Dornod,1983,113.94
Cattle,Dornod,1982,123.17
Cattle,Dornod,1981,131.2
Cattle,Dornod,1980,125.27
Cattle,Dornod,1979,130.95
Cattle,Dornod,1978,128.34
Cattle,Dornod,1977,122.13
Cattle,Dornod,1976,122.1
Cattle,Dornod,1975,122.19
Cattle,Dornod,1974,119.08
Cattle,Dornod,1973,107.94
Cattle,Dornod,1972,101.15
Cattle,Dornod,1971,101.71
Cattle,Dornod,1970,96.82
Cattle,Sukhbaatar,2025,216.54
Cattle,Sukhbaatar,2024,183.25
Cattle,Sukhbaatar,2023,303.5
Cattle,Sukhbaatar,2022,341.82
Cattle,Sukhbaatar,2021,308.23
Cattle,Sukhbaatar,2020,280.91
Cattle,Sukhbaatar,2019,268.55
Cattle,Sukhbaatar,2018,251.64
Cattle,Sukhbaatar,2017,236.79
Cattle,Sukhbaatar,2016,209.33
Cattle,Sukhbaatar,2015,214.48
Cattle,Sukhbaatar,2014,195.89
Cattle,Sukhbaatar,2013,172.03
Cattle,Sukhbaatar,2012,151.13
Cattle,Sukhbaatar,2011,136.65
Cattle,Sukhbaatar,2010,127.96
Cattle,Sukhbaatar,2009,110.13
Cattle,Sukhbaatar,2008,97.76
Cattle,Sukhbaatar,2007,124.56
Cattle,Sukhbaatar,2006,128.58
Cattle,Sukhbaatar,2005,125.3
Cattle,Sukhbaatar,2004,138.43
Cattle,Sukhbaatar,2003,151.33
Cattle,Sukhbaatar,2002,140.35
Cattle,Sukhbaatar,2001,137.93
Cattle,Sukhbaatar,2000,209.59
Cattle,Sukhbaatar,1999,211.33
Cattle,Sukhbaatar,1998,184.82
Cattle,Sukhbaatar,1997,167.49
Cattle,Sukhbaatar,1996,155.9
Cattle,Sukhbaatar,1995,162.6
Cattle,Sukhbaatar,1994,159.94
Cattle,Sukhbaatar,1993,80.54
Cattle,Sukhbaatar,1992,144.38
Cattle,Sukhbaatar,1991,135.4
Cattle,Sukhbaatar,1990,132.22
Cattle,Sukhbaatar,1989,129.16
Cattle,Sukhbaatar,1988,122.62
Cattle,Sukhbaatar,1987,125.99
Cattle,Sukhbaatar,1986,133.15
Cattle,Sukhbaatar,1985,127.64
Cattle,Sukhbaatar,1984,122.73
Cattle,Sukhbaatar,1983,117.35
Cattle,Sukhbaatar,1982,122.67
Cattle,Sukhbaatar,1981,134.11
Cattle,Sukhbaatar,1980,128.16
Cattle,Sukhbaatar,1979,138.58
Cattle,Sukhbaatar,1978,136.28
Cattle,Sukhbaatar,1977,124.99
Cattle,Sukhbaatar,1976,123.83
Cattle,Sukhbaatar,1975,119.08
Cattle,Sukhbaatar,1974,113.92
Cattle,Sukhbaatar,1973,104.35
Cattle,Sukhbaatar,1972,98.3
Cattle,Sukhbaatar,1971,95.94
Cattle,Sukhbaatar,1970,98.09
Cattle,Khentii,2025,396.05
Cattle,Khentii,2024,347.18
Cattle,Khentii,2023,405.71
Cattle,Khentii,2022,434.84
Cattle,Khentii,2021,407.09
Cattle,Khentii,2020,374.72
Cattle,Khentii,2019,381.23
Cattle,Khentii,2018,353.03
Cattle,Khentii,2017,335.3
Cattle,Khentii,2016,296.21
Cattle,Khentii,2015,270.56
Cattle,Khentii,2014,239.83
Cattle,Khentii,2013,207.18
Cattle,Khentii,2012,182.73
Cattle,Khentii,2011,165.72
Cattle,Khentii,2010,157.67
Cattle,Khentii,2009,162.55
Cattle,Khentii,2008,158.61
Cattle,Khentii,2007,172.89
Cattle,Khentii,2006,162.86
Cattle,Khentii,2005,148.17
Cattle,Khentii,2004,138.31
Cattle,Khentii,2003,139.04
Cattle,Khentii,2002,144.02
Cattle,Khentii,2001,150.07
Cattle,Khentii,2000,217.99
Cattle,Khentii,1999,229.07
Cattle,Khentii,1998,216.95
Cattle,Khentii,1997,201.87
Cattle,Khentii,1996,186.35
Cattle,Khentii,1995,178.43
Cattle,Khentii,1994,174.4
Cattle,Khentii,1993,167.32
Cattle,Khentii,1992,187.24
Cattle,Khentii,1991,188.4
Cattle,Khentii,1990,197.06
Cattle,Khentii,1989,184.93
Cattle,Khentii,1988,170.53
Cattle,Khentii,1987,176.73
Cattle,Khentii,1986,172.59
Cattle,Khentii,1985,172.59
Cattle,Khentii,1984,182.08
Cattle,Khentii,1983,186.79
Cattle,Khentii,1982,194.81
Cattle,Khentii,1981,194.44
Cattle,Khentii,1980,189.48
Cattle,Khentii,1979,204.58
Cattle,Khentii,1978,203.89
Cattle,Khentii,1977,192.35
Cattle,Khentii,1976,195.11
Cattle,Khentii,1975,196.95
Cattle,Khentii,1974,190.5
Cattle,Khentii,1973,177.38
Cattle,Khentii,1972,180.92
Cattle,Khentii,1971,184.8
Cattle,Khentii,1970,177.64
Cattle,Govi region,2025,252.6
Cattle,Govi region,2024,207.84
Cattle,Govi region,2023,243.48
Cattle,Govi region,2022,260.52
Cattle,Govi region,2021,232.88
Cattle,Govi region,2020,228.41
Cattle,Govi region,2019,216.26
Cattle,Govi region,2018,197.56
Cattle,Govi region,2017,189.8
Cattle,Govi region,2016,161.49
Cattle,Govi region,2015,155.87
Cattle,Govi region,2014,137.81
Cattle,Govi region,2013,116.06
Cattle,Govi region,2012,94.24
Cattle,Govi region,2011,79.74
Cattle,Govi region,2010,70.26
Cattle,Govi region,2009,90.21
Cattle,Govi region,2008,84.73
Cattle,Govi region,2007,87.58
Cattle,Govi region,2006,80.95
Cattle,Govi region,2005,101.57
Cattle,Govi region,2004,103.27
Cattle,Govi region,2003,90.7
Cattle,Govi region,2002,79.16
Cattle,Govi region,2001,88.58
Cattle,Govi region,2000,167.09
Cattle,Govi region,1999,285.06
Cattle,Govi region,1998,286.06
Cattle,Govi region,1997,270.58
Cattle,Govi region,1996,250.76
Cattle,Govi region,1995,228.09
Cattle,Govi region,1994,197.46
Cattle,Govi region,1993,183.56
Cattle,Govi region,1992,201.21
Cattle,Govi region,1991,202.78
Cattle,Govi region,1990,195.46
Cattle,Govi region,1989,192.41
Cattle,Govi region,1988,177.69
Cattle,Govi region,1987,178.33
Cattle,Govi region,1986,179.22
Cattle,Govi region,1985,177.55
Cattle,Govi region,1984,174.08
Cattle,Govi region,1983,169.33
Cattle,Govi region,1982,164.94
Cattle,Govi region,1981,153.23
Cattle,Govi region,1980,176.87
Cattle,Govi region,1979,189.86
Cattle,Govi region,1978,187.96
Cattle,Govi region,1977,178.4
Cattle,Govi region,1976,174.1
Cattle,Govi region,1975,167.11
Cattle,Govi region,1974,155.19
Cattle,Govi region,1973,134.0
Cattle,Govi region,1972,127.22
Cattle,Govi region,1971,118.16
Cattle,Govi region,1970,121.89
Cattle,Govisumber,2025,22.51
Cattle,Govisumber,2024,18.56
Cattle,Govisumber,2023,22.31
Cattle,Govisumber,2022,19.72
Cattle,Govisumber,2021,17.81
Cattle,Govisumber,2020,16.35
Cattle,Govisumber,2019,14.54
Cattle,Govisumber,2018,14.0
Cattle,Govisumber,2017,14.9
Cattle,Govisumber,2016,13.65
Cattle,Govisumber,2015,12.39
Cattle,Govisumber,2014,10.36
Cattle,Govisumber,2013,7.7
Cattle,Govisumber,2012,5.61
Cattle,Govisumber,2011,4.33
Cattle,Govisumber,2010,3.7
Cattle,Govisumber,2009,3.41
Cattle,Govisumber,2008,3.87
Cattle,Govisumber,2007,4.97
Cattle,Govisumber,2006,4.76
Cattle,Govisumber,2005,4.48
Cattle,Govisumber,2004,3.91
Cattle,Govisumber,2003,3.27
Cattle,Govisumber,2002,2.27
Cattle,Govisumber,2001,1.9
Cattle,Govisumber,2000,10.6
Cattle,Govisumber,1999,15.15
Cattle,Govisumber,1998,13.42
Cattle,Govisumber,1997,11.85
Cattle,Govisumber,1996,10.92
Cattle,Govisumber,1995,10.11
Cattle,Govisumber,1994,9.14
Cattle,Govisumber,1993,8.5
Cattle,Govisumber,1992,8.15
Cattle,Govisumber,1991,7.48
Cattle,Govisumber,1990,
Cattle,Govisumber,1989,
Cattle,Govisumber,1988,
Cattle,Govisumber,1987,
Cattle,Govisumber,1986,
Cattle,Govisumber,1985,
Cattle,Govisumber,1984,
Cattle,Govisumber,1983,
