Бүс,Сар,value
Баян-Өлгий,2018-01,20.0
Баян-Өлгий,2017-12,16.0
Баян-Өлгий,2017-11,19.0
Баян-Өлгий,2017-10,32.0
Баян-Өлгий,2017-09,35.0
Баян-Өлгий,2017-08,0.0
Баян-Өлгий,2017-07,12.0
Баян-Өлгий,2017-06,9.0
Баян-Өлгий,2017-05,9.0
Баян-Өлгий,2017-04,12.0
Баян-Өлгий,2017-03,7.0
Баян-Өлгий,2017-02,0.0
Баян-Өлгий,2017-01,9.0
Баян-Өлгий,2016-12,56.0
Баян-Өлгий,2016-11,42.0
Баян-Өлгий,2016-10,31.0
Баян-Өлгий,2016-09,20.0
Баян-Өлгий,2016-08,5.0
Баян-Өлгий,2016-07,15.0
Баян-Өлгий,2016-06,13.0
Баян-Өлгий,2016-05,15.0
Баян-Өлгий,2016-04,34.0
Баян-Өлгий,2016-03,9.0
Баян-Өлгий,2016-02,35.0
Баян-Өлгий,2016-01,58.0
Говь-Алтай,2025-12,32.0
Говь-Алтай,2025-11,14.0
Говь-Алтай,2025-10,15.0
Говь-Алтай,2025-09,15.0
Говь-Алтай,2025-08,16.0
Говь-Алтай,2025-07,0.0
Говь-Алтай,2025-06,29.0
Говь-Алтай,2025-05,15.0
Говь-Алтай,2025-04,14.0
Говь-Алтай,2025-03,0.0
Говь-Алтай,2025-02,14.0
Говь-Алтай,2025-01,0.0
Говь-Алтай,2024-12,0.0
Говь-Алтай,2024-11,0.0
Говь-Алтай,2024-10,24.0
Говь-Алтай,2024-09,13.0
Говь-Алтай,2024-08,0.0
Говь-Алтай,2024-07,30.0
Говь-Алтай,2024-06,0.0
Говь-Алтай,2024-05,35.0
Говь-Алтай,2024-04,0.0
Говь-Алтай,2024-03,17.0
Говь-Алтай,2024-02,16.0
Говь-Алтай,2024-01,32.0
Говь-Алтай,2023-12,23.0
Говь-Алтай,2023-11,11.0
Говь-Алтай,2023-10,0.0
Говь-Алтай,2023-09,31.0
Говь-Алтай,2023-08,0.0
Говь-Алтай,2023-07,14.0
Говь-Алтай,2023-06,13.0
Говь-Алтай,2023-05,11.0
Говь-Алтай,2023-04,16.0
Говь-Алтай,2023-03,27.0
Говь-Алтай,2023-02,0.0
Говь-Алтай,2023-01,0.0
Говь-Алтай,2022-12,10.0
Говь-Алтай,2022-11,25.0
Говь-Алтай,2022-10,32.0
Говь-Алтай,2022-09,0.0
Говь-Алтай,2022-08,11.0
Говь-Алтай,2022-07,10.0
Говь-Алтай,2022-06,0.0
Говь-Алтай,2022-05,34.0
Говь-Алтай,2022-04,11.0
Говь-Алтай,2022-03,0.0
Говь-Алтай,2022-02,23.0
Говь-Алтай,2022-01,15.0
Говь-Алтай,2021-12,0.0
Говь-Алтай,2021-11,18.0
Говь-Алтай,2021-10,19.0
Говь-Алтай,2021-09,10.0
Говь-Алтай,2021-08,0.0
Говь-Алтай,2021-07,0.0
Говь-Алтай,2021-06,30.0
Говь-Алтай,2021-05,0.0
Говь-Алтай,2021-04,61.0
Говь-Алтай,2021-03,30.0
Говь-Алтай,2021-02,24.0
Говь-Алтай,2021-01,28.0
Говь-Алтай,2020-12,0.0
Говь-Алтай,2020-11,7.0
Говь-Алтай,2020-10,20.0
Говь-Алтай,2020-09,9.0
Говь-Алтай,2020-08,8.0
Говь-Алтай,2020-07,0.0
Говь-Алтай,2020-06,9.0
Говь-Алтай,2020-05,0.0
Говь-Алтай,2020-04,8.0
Говь-Алтай,2020-03,7.0
Говь-Алтай,2020-02,8.0
Говь-Алтай,2020-01,30.0
Говь-Алтай,2019-12,8.0
