Насжилт,Бүс,Он,value
0-3 жил,Улсын дүн,2013,42984
0-3 жил,Улсын дүн,2012,56323
0-3 жил,Баруун бүс,2025,3408
0-3 жил,Баруун бүс,2024,2890
0-3 жил,Баруун бүс,2023,2691
0-3 жил,Баруун бүс,2022,5158
0-3 жил,Баруун бүс,2021,3968
0-3 жил,Баруун бүс,2020,4449
0-3 жил,Баруун бүс,2019,4272
0-3 жил,Баруун бүс,2018,5638
0-3 жил,Баруун бүс,2017,2875
0-3 жил,Баруун бүс,2016,2530
0-3 жил,Баруун бүс,2015,2790
0-3 жил,Баруун бүс,2014,3821
0-3 жил,Баруун бүс,2013,4328
0-3 жил,Баруун бүс,2012,6213
0-3 жил,    Баян-Өлгий,2025,963
0-3 жил,    Баян-Өлгий,2024,652
0-3 жил,    Баян-Өлгий,2023,614
0-3 жил,    Баян-Өлгий,2022,1291
0-3 жил,    Баян-Өлгий,2021,980
0-3 жил,    Баян-Өлгий,2020,903
0-3 жил,    Баян-Өлгий,2019,673
0-3 жил,    Баян-Өлгий,2018,1637
0-3 жил,    Баян-Өлгий,2017,668
0-3 жил,    Баян-Өлгий,2016,797
0-3 жил,    Баян-Өлгий,2015,1292
0-3 жил,    Баян-Өлгий,2014,1732
0-3 жил,    Баян-Өлгий,2013,1406
0-3 жил,    Баян-Өлгий,2012,2544
0-3 жил,    Говь-Алтай,2025,490
0-3 жил,    Говь-Алтай,2024,417
0-3 жил,    Говь-Алтай,2023,388
0-3 жил,    Говь-Алтай,2022,862
0-3 жил,    Говь-Алтай,2021,681
0-3 жил,    Говь-Алтай,2020,938
0-3 жил,    Говь-Алтай,2019,1084
0-3 жил,    Говь-Алтай,2018,1352
0-3 жил,    Говь-Алтай,2017,819
0-3 жил,    Говь-Алтай,2016,423
0-3 жил,    Говь-Алтай,2015,73
0-3 жил,    Говь-Алтай,2014,96
0-3 жил,    Говь-Алтай,2013,128
0-3 жил,    Говь-Алтай,2012,126
0-3 жил,    Завхан,2025,242
0-3 жил,    Завхан,2024,231
0-3 жил,    Завхан,2023,207
0-3 жил,    Завхан,2022,489
0-3 жил,    Завхан,2021,391
0-3 жил,    Завхан,2020,508
0-3 жил,    Завхан,2019,526
0-3 жил,    Завхан,2018,576
0-3 жил,    Завхан,2017,295
0-3 жил,    Завхан,2016,328
0-3 жил,    Завхан,2015,568
0-3 жил,    Завхан,2014,1011
0-3 жил,    Завхан,2013,663
0-3 жил,    Завхан,2012,954
0-3 жил,    Увс,2025,793
0-3 жил,    Увс,2024,671
0-3 жил,    Увс,2023,796
0-3 жил,    Увс,2022,1591
0-3 жил,    Увс,2021,1242
0-3 жил,    Увс,2020,1502
0-3 жил,    Увс,2019,1514
0-3 жил,    Увс,2018,1536
0-3 жил,    Увс,2017,772
0-3 жил,    Увс,2016,635
0-3 жил,    Увс,2015,460
0-3 жил,    Увс,2014,484
0-3 жил,    Увс,2013,1223
0-3 жил,    Увс,2012,1505
0-3 жил,    Ховд,2025,920
0-3 жил,    Ховд,2024,919
0-3 жил,    Ховд,2023,686
0-3 жил,    Ховд,2022,925
0-3 жил,    Ховд,2021,674
0-3 жил,    Ховд,2020,598
0-3 жил,    Ховд,2019,475
0-3 жил,    Ховд,2018,537
0-3 жил,    Ховд,2017,321
0-3 жил,    Ховд,2016,347
0-3 жил,    Ховд,2015,397
0-3 жил,    Ховд,2014,498
0-3 жил,    Ховд,2013,908
0-3 жил,    Ховд,2012,1084
0-3 жил,Хангайн бүс,2025,2750
0-3 жил,Хангайн бүс,2024,2222
0-3 жил,Хангайн бүс,2023,2189
0-3 жил,Хангайн бүс,2022,4176
0-3 жил,Хангайн бүс,2021,3308
0-3 жил,Хангайн бүс,2020,4019
0-3 жил,Хангайн бүс,2019,3785
0-3 жил,Хангайн бүс,2018,3650
0-3 жил,Хангайн бүс,2017,2041
0-3 жил,Хангайн бүс,2016,2407
0-3 жил,Хангайн бүс,2015,2612
0-3 жил,Хангайн бүс,2014,3955
0-3 жил,Хангайн бүс,2013,5982
0-3 жил,Хангайн бүс,2012,7136
0-3 жил,    Архангай,2025,330
0-3 жил,    Архангай,2024,212
0-3 жил,    Архангай,2023,176
0-3 жил,    Архангай,2022,347
0-3 жил,    Архангай,2021,267
0-3 жил,    Архангай,2020,316
0-3 жил,    Архангай,2019,290
0-3 жил,    Архангай,2018,323
0-3 жил,    Архангай,2017,188
0-3 жил,    Архангай,2016,131
0-3 жил,    Архангай,2015,155
0-3 жил,    Архангай,2014,150
0-3 жил,    Архангай,2013,99
0-3 жил,    Архангай,2012,263
0-3 жил,    Баянхонгор,2025,368
0-3 жил,    Баянхонгор,2024,307
0-3 жил,    Баянхонгор,2023,326
0-3 жил,    Баянхонгор,2022,816
0-3 жил,    Баянхонгор,2021,722
0-3 жил,    Баянхонгор,2020,1117
0-3 жил,    Баянхонгор,2019,1345
0-3 жил,    Баянхонгор,2018,753
0-3 жил,    Баянхонгор,2017,327
0-3 жил,    Баянхонгор,2016,205
0-3 жил,    Баянхонгор,2015,66
0-3 жил,    Баянхонгор,2014,129
0-3 жил,    Баянхонгор,2013,234
0-3 жил,    Баянхонгор,2012,284
0-3 жил,    Булган,2025,264
0-3 жил,    Булган,2024,196
0-3 жил,    Булган,2023,171
0-3 жил,    Булган,2022,395
0-3 жил,    Булган,2021,328
0-3 жил,    Булган,2020,422
0-3 жил,    Булган,2019,455
0-3 жил,    Булган,2018,593
0-3 жил,    Булган,2017,400
0-3 жил,    Булган,2016,505
0-3 жил,    Булган,2015,803
0-3 жил,    Булган,2014,1371
0-3 жил,    Булган,2013,1246
0-3 жил,    Булган,2012,1366
0-3 жил,    Орхон,2025,672
0-3 жил,    Орхон,2024,546
0-3 жил,    Орхон,2023,433
0-3 жил,    Орхон,2022,611
0-3 жил,    Орхон,2021,471
0-3 жил,    Орхон,2020,462
0-3 жил,    Орхон,2019,396
0-3 жил,    Орхон,2018,423
0-3 жил,    Орхон,2017,243
0-3 жил,    Орхон,2016,310
0-3 жил,    Орхон,2015,344
0-3 жил,    Орхон,2014,518
0-3 жил,    Орхон,2013,735
0-3 жил,    Орхон,2012,728
0-3 жил,    Өвөрхангай,2025,470
0-3 жил,    Өвөрхангай,2024,422
0-3 жил,    Өвөрхангай,2023,508
0-3 жил,    Өвөрхангай,2022,1012
0-3 жил,    Өвөрхангай,2021,684
0-3 жил,    Өвөрхангай,2020,1074
0-3 жил,    Өвөрхангай,2019,1146
0-3 жил,    Өвөрхангай,2018,1391
0-3 жил,    Өвөрхангай,2017,780
0-3 жил,    Өвөрхангай,2016,1085
0-3 жил,    Өвөрхангай,2015,1059
0-3 жил,    Өвөрхангай,2014,1024
0-3 жил,    Өвөрхангай,2013,1579
0-3 жил,    Өвөрхангай,2012,1860
0-3 жил,    Хөвсгөл,2025,646
0-3 жил,    Хөвсгөл,2024,539
0-3 жил,    Хөвсгөл,2023,575
0-3 жил,    Хөвсгөл,2022,995
0-3 жил,    Хөвсгөл,2021,836
0-3 жил,    Хөвсгөл,2020,628
0-3 жил,    Хөвсгөл,2019,153
0-3 жил,    Хөвсгөл,2018,167
0-3 жил,    Хөвсгөл,2017,103
0-3 жил,    Хөвсгөл,2016,171
0-3 жил,    Хөвсгөл,2015,185
0-3 жил,    Хөвсгөл,2014,763
