Дэд салбар,Сар,value
        Бусад ашигт малтмал олборлолт,2023-12,29399.1
        Бусад ашигт малтмал олборлолт,2023-11,27145.5
        Бусад ашигт малтмал олборлолт,2023-10,36690.1
        Бусад ашигт малтмал олборлолт,2023-09,31644.8
        Бусад ашигт малтмал олборлолт,2023-08,28074.3
        Бусад ашигт малтмал олборлолт,2023-07,27152.9
        Бусад ашигт малтмал олборлолт,2023-06,27466.8
        Бусад ашигт малтмал олборлолт,2023-05,32235.1
        Бусад ашигт малтмал олборлолт,2023-04,20524.7
        Бусад ашигт малтмал олборлолт,2023-03,17380.8
        Бусад ашигт малтмал олборлолт,2023-02,11010.4
        Бусад ашигт малтмал олборлолт,2023-01,16206.7
        Бусад ашигт малтмал олборлолт,2022-12,19500.9
        Бусад ашигт малтмал олборлолт,2022-11,17266.7
        Бусад ашигт малтмал олборлолт,2022-10,16758.5
        Бусад ашигт малтмал олборлолт,2022-09,20616.7
        Бусад ашигт малтмал олборлолт,2022-08,23399.6
        Бусад ашигт малтмал олборлолт,2022-07,20788.8
        Бусад ашигт малтмал олборлолт,2022-06,16750.4
        Бусад ашигт малтмал олборлолт,2022-05,17335.3
        Бусад ашигт малтмал олборлолт,2022-04,15853.2
        Бусад ашигт малтмал олборлолт,2022-03,11091.3
        Бусад ашигт малтмал олборлолт,2022-02,11478.2
        Бусад ашигт малтмал олборлолт,2022-01,8683.0
        Бусад ашигт малтмал олборлолт,2021-12,12244.7
        Бусад ашигт малтмал олборлолт,2021-11,12318.8
        Бусад ашигт малтмал олборлолт,2021-10,19607.5
        Бусад ашигт малтмал олборлолт,2021-09,22815.1
        Бусад ашигт малтмал олборлолт,2021-08,20842.6
        Бусад ашигт малтмал олборлолт,2021-07,17300.0
        Бусад ашигт малтмал олборлолт,2021-06,25079.6
        Бусад ашигт малтмал олборлолт,2021-05,28473.0
        Бусад ашигт малтмал олборлолт,2021-04,16442.6
