Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,7,30-34,39,1956,58506
0,Total,8,35-39,0,2024,301237
0,Total,8,35-39,1,2023,291445
0,Total,8,35-39,2,2022,280000
0,Total,8,35-39,3,2021,270782
0,Total,8,35-39,4,2020,260361
0,Total,8,35-39,5,2019,251684
0,Total,8,35-39,6,2018,244225
0,Total,8,35-39,7,2017,241307
0,Total,8,35-39,8,2016,236622
0,Total,8,35-39,9,2015,232634
0,Total,8,35-39,10,2014,233392
0,Total,8,35-39,11,2013,233392
0,Total,8,35-39,12,2012,228657
0,Total,8,35-39,13,2011,225425
0,Total,8,35-39,14,2010,212991
0,Total,8,35-39,15,2009,206788
0,Total,8,35-39,16,2008,197863
0,Total,8,35-39,17,2007,193898
0,Total,8,35-39,18,2006,190864
0,Total,8,35-39,19,2005,185103
0,Total,8,35-39,20,2004,182973
0,Total,8,35-39,21,2003,181042
0,Total,8,35-39,22,2002,178905
0,Total,8,35-39,23,2001,176967
0,Total,8,35-39,24,2000,172291
0,Total,8,35-39,25,1999,172606
0,Total,8,35-39,26,1998,168875
0,Total,8,35-39,27,1997,161213
0,Total,8,35-39,28,1996,150237
0,Total,8,35-39,29,1995,144597
0,Total,8,35-39,30,1994,130501
0,Total,8,35-39,31,1993,120960
0,Total,8,35-39,32,1992,111105
0,Total,8,35-39,33,1991,107005
0,Total,8,35-39,34,1990,96370
0,Total,8,35-39,35,1989,92615
0,Total,8,35-39,36,1979,76594
0,Total,8,35-39,37,1969,64200
0,Total,8,35-39,38,1963,57338
0,Total,8,35-39,39,1956,56705
0,Total,9,40-44,0,2024,247137
0,Total,9,40-44,1,2023,239615
0,Total,9,40-44,2,2022,236746
0,Total,9,40-44,3,2021,232177
0,Total,9,40-44,4,2020,228355
0,Total,9,40-44,5,2019,224191
0,Total,9,40-44,6,2018,221914
0,Total,9,40-44,7,2017,217532
0,Total,9,40-44,8,2016,214112
0,Total,9,40-44,9,2015,208439
