Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,40-44,Эрэгтэй,2012,87.6
Улсын дүн,40-44,Эрэгтэй,2011,89.4
Улсын дүн,40-44,Эрэгтэй,2010,88.7
Улсын дүн,40-44,Эрэгтэй,2009,90.2
Улсын дүн,40-44,Эмэгтэй,2025,81.0
Улсын дүн,40-44,Эмэгтэй,2024,81.1
Улсын дүн,40-44,Эмэгтэй,2023,78.2
Улсын дүн,40-44,Эмэгтэй,2022,78.1
Улсын дүн,40-44,Эмэгтэй,2021,77.8
Улсын дүн,40-44,Эмэгтэй,2020,74.9
Улсын дүн,40-44,Эмэгтэй,2019,81.3
Улсын дүн,40-44,Эмэгтэй,2018,79.8
Улсын дүн,40-44,Эмэгтэй,2017,80.0
Улсын дүн,40-44,Эмэгтэй,2016,79.4
Улсын дүн,40-44,Эмэгтэй,2015,82.7
Улсын дүн,40-44,Эмэгтэй,2014,82.4
Улсын дүн,40-44,Эмэгтэй,2013,82.2
Улсын дүн,40-44,Эмэгтэй,2012,84.5
Улсын дүн,40-44,Эмэгтэй,2011,83.6
Улсын дүн,40-44,Эмэгтэй,2010,83.3
Улсын дүн,40-44,Эмэгтэй,2009,85.2
Улсын дүн,45-49,Нийт,2025,85.5
Улсын дүн,45-49,Нийт,2024,86.8
Улсын дүн,45-49,Нийт,2023,82.9
Улсын дүн,45-49,Нийт,2022,82.9
Улсын дүн,45-49,Нийт,2021,78.4
Улсын дүн,45-49,Нийт,2020,81.2
Улсын дүн,45-49,Нийт,2019,83.1
Улсын дүн,45-49,Нийт,2018,84.4
Улсын дүн,45-49,Нийт,2017,83.0
Улсын дүн,45-49,Нийт,2016,81.9
Улсын дүн,45-49,Нийт,2015,84.3
Улсын дүн,45-49,Нийт,2014,82.2
Улсын дүн,45-49,Нийт,2013,84.0
Улсын дүн,45-49,Нийт,2012,82.1
Улсын дүн,45-49,Нийт,2011,83.2
Улсын дүн,45-49,Нийт,2010,83.1
Улсын дүн,45-49,Нийт,2009,84.5
Улсын дүн,45-49,Эрэгтэй,2025,89.0
Улсын дүн,45-49,Эрэгтэй,2024,88.0
Улсын дүн,45-49,Эрэгтэй,2023,85.0
Улсын дүн,45-49,Эрэгтэй,2022,87.3
Улсын дүн,45-49,Эрэгтэй,2021,80.9
Улсын дүн,45-49,Эрэгтэй,2020,82.8
Улсын дүн,45-49,Эрэгтэй,2019,86.2
Улсын дүн,45-49,Эрэгтэй,2018,87.7
Улсын дүн,45-49,Эрэгтэй,2017,85.6
Улсын дүн,45-49,Эрэгтэй,2016,83.7
Улсын дүн,45-49,Эрэгтэй,2015,86.0
Улсын дүн,45-49,Эрэгтэй,2014,85.0
Улсын дүн,45-49,Эрэгтэй,2013,87.2
Улсын дүн,45-49,Эрэгтэй,2012,83.7
Улсын дүн,45-49,Эрэгтэй,2011,85.9
Улсын дүн,45-49,Эрэгтэй,2010,86.3
Улсын дүн,45-49,Эрэгтэй,2009,88.0
Улсын дүн,45-49,Эмэгтэй,2025,82.4
Улсын дүн,45-49,Эмэгтэй,2024,85.6
Улсын дүн,45-49,Эмэгтэй,2023,80.9
Улсын дүн,45-49,Эмэгтэй,2022,79.0
Улсын дүн,45-49,Эмэгтэй,2021,75.9
Улсын дүн,45-49,Эмэгтэй,2020,79.6
Улсын дүн,45-49,Эмэгтэй,2019,80.1
Улсын дүн,45-49,Эмэгтэй,2018,81.4
Улсын дүн,45-49,Эмэгтэй,2017,80.7
Улсын дүн,45-49,Эмэгтэй,2016,80.4
Улсын дүн,45-49,Эмэгтэй,2015,82.7
Улсын дүн,45-49,Эмэгтэй,2014,79.8
Улсын дүн,45-49,Эмэгтэй,2013,81.1
Улсын дүн,45-49,Эмэгтэй,2012,80.6
Улсын дүн,45-49,Эмэгтэй,2011,80.9
Улсын дүн,45-49,Эмэгтэй,2010,80.1
Улсын дүн,45-49,Эмэгтэй,2009,81.5
Улсын дүн,50-54,Нийт,2025,79.4
Улсын дүн,50-54,Нийт,2024,79.1
Улсын дүн,50-54,Нийт,2023,74.4
Улсын дүн,50-54,Нийт,2022,76.2
Улсын дүн,50-54,Нийт,2021,73.2
Улсын дүн,50-54,Нийт,2020,73.8
Улсын дүн,50-54,Нийт,2019,74.3
Улсын дүн,50-54,Нийт,2018,73.0
Улсын дүн,50-54,Нийт,2017,73.3
