Хүүгийн төрөл,Огноо,Хүү (%)
Хадгаламжийн хүү (валют),2025-10,4.24
Зээлийн хүү (төгрөг),2025-11,16.79
Хадгаламжийн хүү (төгрөг),2025-11,11.92
Хадгаламжийн хүү (валют),2025-11,4.25
Зээлийн хүү (төгрөг),2025-12,16.33
Хадгаламжийн хүү (төгрөг),2025-12,11.89
Хадгаламжийн хүү (валют),2025-12,4.19
Зээлийн хүү (төгрөг),2026-01,16.83
Хадгаламжийн хүү (төгрөг),2026-01,12.02
Хадгаламжийн хүү (валют),2026-01,4.22
