Rate Type,Date,Rate (%)
"Deposit Rate (FX, outstanding)",2024-06,3.61
"Lending Rate (MNT, newly issued)",2024-06,15.88
"Deposit Rate (MNT, outstanding)",2024-07,11.62
"Deposit Rate (FX, outstanding)",2024-07,3.63
"Lending Rate (MNT, newly issued)",2024-07,15.64
"Deposit Rate (MNT, outstanding)",2024-08,11.68
"Deposit Rate (FX, outstanding)",2024-08,3.68
"Lending Rate (MNT, newly issued)",2024-08,16.33
"Deposit Rate (MNT, outstanding)",2024-09,11.76
"Deposit Rate (FX, outstanding)",2024-09,3.66
"Lending Rate (MNT, newly issued)",2024-09,16.65
"Deposit Rate (MNT, outstanding)",2024-10,11.85
"Deposit Rate (FX, outstanding)",2024-10,3.68
"Lending Rate (MNT, newly issued)",2024-10,16.36
"Deposit Rate (MNT, outstanding)",2024-11,11.9
"Deposit Rate (FX, outstanding)",2024-11,3.73
"Lending Rate (MNT, newly issued)",2024-11,16.42
"Deposit Rate (MNT, outstanding)",2024-12,11.8
"Deposit Rate (FX, outstanding)",2024-12,3.71
"Lending Rate (MNT, newly issued)",2024-12,15.77
"Deposit Rate (MNT, outstanding)",2025-01,11.83
"Deposit Rate (FX, outstanding)",2025-01,3.76
"Lending Rate (MNT, newly issued)",2025-01,16.41
"Deposit Rate (MNT, outstanding)",2025-02,11.83
"Deposit Rate (FX, outstanding)",2025-02,3.8
"Lending Rate (MNT, newly issued)",2025-02,16.62
"Deposit Rate (MNT, outstanding)",2025-03,11.82
"Deposit Rate (FX, outstanding)",2025-03,4.0
"Lending Rate (MNT, newly issued)",2025-03,16.25
"Deposit Rate (MNT, outstanding)",2025-04,11.84
"Deposit Rate (FX, outstanding)",2025-04,4.03
"Lending Rate (MNT, newly issued)",2025-04,16.39
"Deposit Rate (MNT, outstanding)",2025-05,11.83
"Deposit Rate (FX, outstanding)",2025-05,4.01
"Lending Rate (MNT, newly issued)",2025-05,16.34
"Deposit Rate (MNT, outstanding)",2025-06,11.79
