сар,ангилал,утга
2024-05,"Хүнс, хоол",1.5999999999999999
2024-05,Үйлчилгээ,0.15
2024-06,Бусад бараа,0.35
2024-06,"Орон сууц, хэрэгсэл",0.26666666666666666
2024-06,Тээвэр,0.3
2024-06,"Хүнс, хоол",0.5333333333333333
2024-06,Үйлчилгээ,0.05
2024-07,Бусад бараа,0.3
2024-07,"Орон сууц, хэрэгсэл",0.7333333333333334
2024-07,Тээвэр,0.0
2024-07,"Хүнс, хоол",-0.19999999999999998
2024-07,Үйлчилгээ,0.025
2024-08,Бусад бараа,3.25
2024-08,"Орон сууц, хэрэгсэл",0.8333333333333334
2024-08,Тээвэр,0.8
2024-08,"Хүнс, хоол",-0.7666666666666666
2024-08,Үйлчилгээ,5.7749999999999995
2024-09,Бусад бараа,1.65
2024-09,"Орон сууц, хэрэгсэл",0.3666666666666667
2024-09,Тээвэр,-0.5
2024-09,"Хүнс, хоол",0.9
2024-09,Үйлчилгээ,0.125
2024-10,Бусад бараа,1.05
2024-10,"Орон сууц, хэрэгсэл",1.1333333333333335
2024-10,Тээвэр,1.0
2024-10,"Хүнс, хоол",0.3666666666666667
2024-10,Үйлчилгээ,0.225
2024-11,Бусад бараа,0.25
2024-11,"Орон сууц, хэрэгсэл",4.6000000000000005
2024-11,Тээвэр,0.9
2024-11,"Хүнс, хоол",0.3333333333333333
2024-11,Үйлчилгээ,0.22499999999999998
2024-12,Бусад бараа,0.8
2024-12,"Орон сууц, хэрэгсэл",0.8000000000000002
2024-12,Тээвэр,1.9
2024-12,"Хүнс, хоол",1.2333333333333334
2024-12,Үйлчилгээ,0.025
2025-01,Бусад бараа,1.15
2025-01,"Орон сууц, хэрэгсэл",1.1666666666666667
2025-01,Тээвэр,0.1
2025-01,"Хүнс, хоол",2.6
2025-01,Үйлчилгээ,3.85
