Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1994,64103.81
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1993,37075.42
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1992,10435.55
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1991,3834.58
"ДНБ, оны үнээр",Боловсруулах үйлдвэрлэл,1990,2607.99
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2024,1181046.36
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2023,1010175.36
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2022,760536.84
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2021,709701.21
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2020,663097.8
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2019,637143.11
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2018,553972.78
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2017,491251.65
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2016,477222.89
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2015,426403.91
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2014,313587.1
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2013,270514.2
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2012,233858.61
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2011,212394.12
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2010,190211.6
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2009,157422.86
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2008,119967.96
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2007,97309.1
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2006,92897.23
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2005,75928.19
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2004,65426.08
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2003,53680.57
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2002,52423.67
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2001,36283.25
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",2000,25487.14
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1999,32387.31
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1998,31923.79
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1997,24790.95
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1996,14216.11
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1995,12286.19
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1994,6995.78
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1993,4046.11
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1992,1138.85
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1991,418.48
"ДНБ, оны үнээр","Цахилгаан, хий, уур, агааржуулалт",1990,284.62
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024,412072.88
"ДНБ, оны үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023,318847.37
