unit_code,unit_name,Cultural_heritage_building,built_building,d902_as,data_auto_service,data_auto_shts,data_clinic_gov,data_clinic_pharmacy,data_cul_entertainment,data_cul_statue,data_edu_kindergarten,data_edu_private_kinder,data_edu_school,data_edu_university,data_gam_nuulgeh,data_gam_turtsuglarah_2023_58,data_gam_turtsuglarah_old_192sh,data_gov_org,data_pub_atm,data_pub_bank,data_pub_camp_resorts,data_pub_hotel,data_pub_restaurant,data_pub_shopping,data_pub_supermarket,data_pub_toilet,data_pz_cemetry,data_solidwaste,data_sport_complex,data_sport_halls,data_sport_org,data_street_name,data_trans_bus_route,data_trans_bus_station,ddp_boundary,ddp_build_bound,ddp_daguul_haya_hot,ddp_dahin_tolovlolt_block,ddp_heating_line,ddp_het_buschlel,ddp_hunam_nygtral_bairshil,ddp_road,ddt_aoz_tuluvlult_2030,ddt_plan_units_2030,ddt_road_2030,map_office_khoroo,map_road,plan_building,plan_dedbutets,plan_landscaping,plan_road,plannig_road,planning_area,planning_landscaping,pz_air_strip,pz_bulag_200m,pz_city_line,pz_city_substation,pz_comm_atc,pz_land_using,pz_nuur_200m,pz_solid_waste,pz_yer_drainage,special_economic_zone_border,special_economic_zone_road,special_economic_zoning,sub_center_border,technological_park_planning_road,technological_park_zoning,technological_planning_border,town_2023,zoning,built_area_m2
13341,15-р хороолол-2,2,620,0,0,0,3,5,0,1,0,1,0,0,0,1,2,1,2,0,0,0,0,0,9,0,0,0,0,1,0,0,1,1,0,0,0,0,1,9,0,1,10,0,0,0,29,70,0,8,10,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89247
13340,15-р хороолол-1,0,651,0,0,0,0,1,1,3,0,1,0,0,0,1,1,2,0,0,0,1,0,0,14,0,0,0,0,1,1,0,0,3,0,0,0,1,1,9,0,1,14,0,9,0,23,22,8,5,2,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65065
13342,15-р хороолол-3,0,407,0,0,2,0,3,1,0,3,2,1,3,0,0,1,0,0,0,0,0,1,0,11,0,1,0,1,1,0,1,0,2,0,0,0,0,1,9,1,0,7,0,3,1,31,36,0,10,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79313
13343,15-р хороолол-4,1,584,0,0,0,0,8,4,4,2,6,1,4,0,1,0,1,0,0,0,3,0,0,13,0,0,0,1,3,1,3,0,1,1,0,0,0,1,14,1,1,9,1,4,0,48,48,0,27,13,0,17,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,99214
13344,15-р хороолол-5,0,283,0,0,0,0,8,1,2,1,7,1,0,0,3,2,1,3,2,0,2,0,0,12,0,0,0,2,0,0,1,0,2,0,0,0,0,1,10,1,0,2,0,1,1,23,18,2,30,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,66500
13345,15-р хороолол-6,0,290,0,0,1,1,12,0,0,1,4,1,0,0,1,2,0,4,3,0,6,2,1,22,0,0,0,2,1,1,0,0,1,0,0,0,0,0,5,3,1,2,0,0,1,41,22,0,25,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75631
13360,Цэргийн хотхон,0,1662,0,1,1,0,0,0,0,1,2,1,1,0,0,0,1,1,0,0,1,0,0,22,0,0,0,0,1,0,1,3,1,1,0,0,0,7,39,0,4,37,1,27,0,40,24,1,7,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100781
13292,Алтан-Өлгий,0,5177,0,2,1,0,7,0,1,2,7,2,0,0,1,1,0,0,0,0,0,0,0,37,0,2,0,0,1,0,2,1,9,0,0,0,0,65,78,0,5,76,0,13,1,47,54,1,30,34,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,235973
13260,Амгалан-1,0,2419,0,1,0,0,5,0,0,4,2,4,1,0,5,4,2,2,2,0,0,0,0,31,0,0,0,0,3,0,0,1,5,0,0,0,0,10,49,0,6,49,0,61,1,51,157,14,18,19,2,68,1,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,80,391456
13291,Цайз,0,3474,0,4,1,0,0,0,0,2,4,1,1,0,1,1,1,1,1,0,1,0,0,35,0,0,0,0,1,0,0,0,1,0,0,0,0,6,54,0,0,37,0,24,1,35,67,3,12,11,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,210776
13240,Хүрхрээ,1,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,5,0,5,481,0,26,8,0,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33807
13250,Улиастай,0,3844,0,1,0,0,6,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,0,32,0,0,0,0,2,0,1,1,5,1,0,0,0,41,46,0,5,21,1,45,1,13,39,1,20,17,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,215156
13070,"Их ам, бага ам",0,184,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,1,11,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15892
13020,Шар хоолой,0,252,56,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,36,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46590
15171,"40, 50 мянгат-2",1,172,0,0,0,0,6,1,3,1,1,2,1,0,2,1,1,8,4,0,1,1,4,3,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,5,1,18,0,14,26,0,6,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50614
13085,Хонхор нуур,0,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,22,0,0,0,0,44,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28168
13080,Гялалзах,0,112,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11679
13160,Гүнжийн хоолой,0,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2670
13140,Эмийн ургамал,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11673
