year,region_code,region_en,region_mn,animal_code,animal_en,animal_mn,losses_thousand,starting_herd_thousand,loss_rate_percent,loss_status,herd_status
2011,183,Bayan-Ulgii,Баян-Өлгий,3,Camel,Тэмээ,0.1,3.8,2.631579,,
2011,183,Bayan-Ulgii,Баян-Өлгий,4,Sheep,Хонь,5.2,459.8,1.130926,,
2011,183,Bayan-Ulgii,Баян-Өлгий,5,Goat,Ямаа,6.4,553.8,1.155652,,
2011,184,Khovd,Ховд,0,Total,Бүгд,59.6,1639.1,3.636142,,
2011,184,Khovd,Ховд,1,Horse,Адуу,2.2,64.7,3.400309,,
2011,184,Khovd,Ховд,2,Cattle,Үхэр,4.2,81,5.185185,,
2011,184,Khovd,Ховд,3,Camel,Тэмээ,0.2,16.3,1.226994,,
2011,184,Khovd,Ховд,4,Sheep,Хонь,22.4,594.3,3.76914,,
2011,184,Khovd,Ховд,5,Goat,Ямаа,30.6,882.9,3.465851,,
2011,185,Uvs,Увс,0,Total,Бүгд,40.7,1619.3,2.513432,,
2011,185,Uvs,Увс,1,Horse,Адуу,1.9,59.7,3.18258,,
2011,185,Uvs,Увс,2,Cattle,Үхэр,2.4,84.4,2.843602,,
2011,185,Uvs,Увс,3,Camel,Тэмээ,0.2,14.5,1.37931,,
2011,185,Uvs,Увс,4,Sheep,Хонь,19.6,776.9,2.522847,,
2011,185,Uvs,Увс,5,Goat,Ямаа,16.6,683.8,2.42761,,
2011,261,Orkhon,Орхон,0,Total,Бүгд,0.9,169.2,0.531915,,
2011,261,Orkhon,Орхон,1,Horse,Адуу,0.1,10.7,0.934579,,
2011,261,Orkhon,Орхон,2,Cattle,Үхэр,0.1,17.8,0.561798,,
2011,261,Orkhon,Орхон,3,Camel,Тэмээ,0,0.2,0.0,,
2011,261,Orkhon,Орхон,4,Sheep,Хонь,0.3,73.1,0.410397,,
2011,261,Orkhon,Орхон,5,Goat,Ямаа,0.4,67.5,0.592593,,
2011,262,Uvurkhangai,Өвөрхангай,0,Total,Бүгд,22,2010.6,1.094201,,
2011,262,Uvurkhangai,Өвөрхангай,1,Horse,Адуу,0.9,113.8,0.790861,,
2011,262,Uvurkhangai,Өвөрхангай,2,Cattle,Үхэр,0.9,76.2,1.181102,,
2011,262,Uvurkhangai,Өвөрхангай,3,Camel,Тэмээ,0,14.7,0.0,,
2011,262,Uvurkhangai,Өвөрхангай,4,Sheep,Хонь,10,896.6,1.115325,,
2011,262,Uvurkhangai,Өвөрхангай,5,Goat,Ямаа,10.2,909.2,1.121865,,
2011,263,Bulgan,Булган,0,Total,Бүгд,75,2293.2,3.270539,,
2011,263,Bulgan,Булган,1,Horse,Адуу,4.4,182.9,2.405686,,
2011,263,Bulgan,Булган,2,Cattle,Үхэр,4.3,176.1,2.441794,,
2011,263,Bulgan,Булган,3,Camel,Тэмээ,,0.9,,..,
2011,263,Bulgan,Булган,4,Sheep,Хонь,41.5,1179.8,3.517545,,
2011,263,Bulgan,Булган,5,Goat,Ямаа,24.7,753.7,3.277166,,
2011,264,Bayankhongor,Баянхонгор,0,Total,Бүгд,41.3,1963,2.103923,,
2011,264,Bayankhongor,Баянхонгор,1,Horse,Адуу,1.8,74.4,2.419355,,
2011,264,Bayankhongor,Баянхонгор,2,Cattle,Үхэр,4.1,101.5,4.039409,,
2011,264,Bayankhongor,Баянхонгор,3,Camel,Тэмээ,0.4,30.1,1.328904,,
2011,264,Bayankhongor,Баянхонгор,4,Sheep,Хонь,10.7,543.8,1.967635,,
2011,264,Bayankhongor,Баянхонгор,5,Goat,Ямаа,24.3,1213.3,2.002802,,
2011,265,Arkhangai,Архангай,0,Total,Бүгд,88.3,2679.2,3.29576,,
2011,265,Arkhangai,Архангай,1,Horse,Адуу,3.2,196.1,1.63182,,
2011,265,Arkhangai,Архангай,2,Cattle,Үхэр,8.5,302,2.81457,,
2011,265,Arkhangai,Архангай,3,Camel,Тэмээ,0,0.9,0.0,,
2011,265,Arkhangai,Архангай,4,Sheep,Хонь,47.8,1327.5,3.600753,,
2011,265,Arkhangai,Архангай,5,Goat,Ямаа,28.8,852.8,3.377111,,
2011,267,Khuvsgul,Хөвсгөл,0,Total,Бүгд,67,3101.3,2.160384,,
2011,267,Khuvsgul,Хөвсгөл,1,Horse,Адуу,2.5,148.7,1.681237,,
2011,267,Khuvsgul,Хөвсгөл,2,Cattle,Үхэр,10.6,312.4,3.393086,,
2011,267,Khuvsgul,Хөвсгөл,3,Camel,Тэмээ,,2.3,,..,
2011,267,Khuvsgul,Хөвсгөл,4,Sheep,Хонь,28.8,1363.9,2.111592,,
2011,267,Khuvsgul,Хөвсгөл,5,Goat,Ямаа,25,1274,1.962323,,
2011,341,Tuv,Төв,0,Total,Бүгд,22.7,2710.7,0.837422,,
2011,341,Tuv,Төв,1,Horse,Адуу,1.5,199.8,0.750751,,
2011,341,Tuv,Төв,2,Cattle,Үхэр,1.9,172,1.104651,,
2011,341,Tuv,Төв,3,Camel,Тэмээ,,2.2,,..,
2011,341,Tuv,Төв,4,Sheep,Хонь,10.2,1358.7,0.750718,,
2011,341,Tuv,Төв,5,Goat,Ямаа,9.1,977.9,0.930565,,
2011,342,Govisumber,Говьсүмбэр,0,Total,Бүгд,0.3,153.2,0.195822,,
2011,342,Govisumber,Говьсүмбэр,1,Horse,Адуу,0,6.9,0.0,,
2011,342,Govisumber,Говьсүмбэр,2,Cattle,Үхэр,0,3.7,0.0,,
2011,342,Govisumber,Говьсүмбэр,3,Camel,Тэмээ,,0.5,,..,
2011,342,Govisumber,Говьсүмбэр,4,Sheep,Хонь,0.2,65.2,0.306748,,
2011,342,Govisumber,Говьсүмбэр,5,Goat,Ямаа,0.1,76.9,0.130039,,
2011,343,Selenge,Сэлэнгэ,0,Total,Бүгд,7.3,1265.6,0.576802,,
2011,343,Selenge,Сэлэнгэ,1,Horse,Адуу,0.4,61.8,0.647249,,
2011,343,Selenge,Сэлэнгэ,2,Cattle,Үхэр,1,143.5,0.696864,,
2011,343,Selenge,Сэлэнгэ,3,Camel,Тэмээ,,0.8,,..,
2011,343,Selenge,Сэлэнгэ,4,Sheep,Хонь,3.4,612.2,0.555374,,
2011,343,Selenge,Сэлэнгэ,5,Goat,Ямаа,2.6,447.4,0.581135,,
2011,344,Dornogovi,Дорноговь,0,Total,Бүгд,5.3,1056.8,0.501514,,
2011,344,Dornogovi,Дорноговь,1,Horse,Адуу,0.3,77.4,0.387597,,
2011,344,Dornogovi,Дорноговь,2,Cattle,Үхэр,0.2,40.5,0.493827,,
2011,344,Dornogovi,Дорноговь,3,Camel,Тэмээ,0.2,28.1,0.711744,,
2011,344,Dornogovi,Дорноговь,4,Sheep,Хонь,2,421.3,0.474721,,
2011,344,Dornogovi,Дорноговь,5,Goat,Ямаа,2.6,489.6,0.531046,,
2011,345,Darkhan-Uul,Дархан-Уул,0,Total,Бүгд,2.3,249.8,0.920737,,
2011,345,Darkhan-Uul,Дархан-Уул,1,Horse,Адуу,0.1,10.2,0.980392,,
2011,345,Darkhan-Uul,Дархан-Уул,2,Cattle,Үхэр,0.2,32.5,0.615385,,
2011,345,Darkhan-Uul,Дархан-Уул,3,Camel,Тэмээ,,0.7,,..,
2011,345,Darkhan-Uul,Дархан-Уул,4,Sheep,Хонь,1,127.6,0.783699,,
2011,345,Darkhan-Uul,Дархан-Уул,5,Goat,Ямаа,1,78.8,1.269036,,
2011,346,Umnugovi,Өмнөговь,0,Total,Бүгд,9.4,1010.3,0.930417,,
2011,346,Umnugovi,Өмнөговь,1,Horse,Адуу,0.3,37.6,0.797872,,
2011,346,Umnugovi,Өмнөговь,2,Cattle,Үхэр,0.1,7.5,1.333333,,
2011,346,Umnugovi,Өмнөговь,3,Camel,Тэмээ,0.5,83.8,0.596659,,
2011,346,Umnugovi,Өмнөговь,4,Sheep,Хонь,2.2,212.8,1.033835,,
2011,346,Umnugovi,Өмнөговь,5,Goat,Ямаа,6.3,668.6,0.942267,,
2011,348,Dundgovi,Дундговь,0,Total,Бүгд,4.3,1111.5,0.386865,,
2011,348,Dundgovi,Дундговь,1,Horse,Адуу,0.2,51.3,0.389864,,
2011,348,Dundgovi,Дундговь,2,Cattle,Үхэр,0.1,18.6,0.537634,,
2011,348,Dundgovi,Дундговь,3,Camel,Тэмээ,,18.9,,..,
2011,348,Dundgovi,Дундговь,4,Sheep,Хонь,1.8,529.7,0.339815,,
2011,348,Dundgovi,Дундговь,5,Goat,Ямаа,2.3,493.1,0.466437,,
2011,421,Dornod,Дорнод,0,Total,Бүгд,10.9,1113.3,0.979071,,
2011,421,Dornod,Дорнод,1,Horse,Адуу,0.5,136.3,0.366838,,
2011,421,Dornod,Дорнод,2,Cattle,Үхэр,0.9,107.8,0.834879,,
2011,421,Dornod,Дорнод,3,Camel,Тэмээ,,6,,..,
2011,421,Dornod,Дорнод,4,Sheep,Хонь,5.7,550.8,1.034858,,
2011,421,Dornod,Дорнод,5,Goat,Ямаа,3.8,312.4,1.216389,,
2011,422,Sukhbaatar,Сүхбаатар,0,Total,Бүгд,54.7,1979.8,2.762905,,
2011,422,Sukhbaatar,Сүхбаатар,1,Horse,Адуу,1.7,148.1,1.147873,,
2011,422,Sukhbaatar,Сүхбаатар,2,Cattle,Үхэр,4.2,128,3.28125,,
2011,422,Sukhbaatar,Сүхбаатар,3,Camel,Тэмээ,0.1,10.9,0.917431,,
2011,422,Sukhbaatar,Сүхбаатар,4,Sheep,Хонь,23,961.2,2.392842,,
2011,422,Sukhbaatar,Сүхбаатар,5,Goat,Ямаа,25.6,731.7,3.498702,,
2011,423,Khentii,Хэнтий,0,Total,Бүгд,36,2180.7,1.650846,,
2011,423,Khentii,Хэнтий,1,Horse,Адуу,2.1,143.7,1.461378,,
2011,423,Khentii,Хэнтий,2,Cattle,Үхэр,3.1,157.7,1.965758,,
2011,423,Khentii,Хэнтий,3,Camel,Тэмээ,0.1,3.7,2.702703,,
2011,423,Khentii,Хэнтий,4,Sheep,Хонь,17.5,1068.3,1.638117,,
2011,423,Khentii,Хэнтий,5,Goat,Ямаа,13.2,807.3,1.63508,,
2011,511,Ulaanbaatar,Улаанбаатар,0,Total,Бүгд,2.7,262.9,1.027006,,
2011,511,Ulaanbaatar,Улаанбаатар,1,Horse,Адуу,0.3,20.8,1.442308,,
2011,511,Ulaanbaatar,Улаанбаатар,2,Cattle,Үхэр,0.6,54.9,1.092896,,
2011,511,Ulaanbaatar,Улаанбаатар,3,Camel,Тэмээ,,0.2,,..,
2011,511,Ulaanbaatar,Улаанбаатар,4,Sheep,Хонь,0.9,101.6,0.885827,,
2011,511,Ulaanbaatar,Улаанбаатар,5,Goat,Ямаа,0.9,85.4,1.053864,,
2012,0,Total,Улсын дүн,0,Total,Бүгд,428.9,36335.8,1.180379,,
2012,0,Total,Улсын дүн,1,Horse,Адуу,21.1,2112.9,0.998627,,
2012,0,Total,Улсын дүн,2,Cattle,Үхэр,36.5,2339.7,1.560029,,
2012,0,Total,Улсын дүн,3,Camel,Тэмээ,1.4,280.1,0.499821,,
2012,0,Total,Улсын дүн,4,Sheep,Хонь,175.5,15668.5,1.120082,,
2012,0,Total,Улсын дүн,5,Goat,Ямаа,194.4,15934.6,1.219987,,
2012,181,Zavkhan,Завхан,0,Total,Бүгд,20.2,2006.1,1.006929,,
2012,181,Zavkhan,Завхан,1,Horse,Адуу,1.5,105.4,1.42315,,
2012,181,Zavkhan,Завхан,2,Cattle,Үхэр,1.3,83.3,1.560624,,
2012,181,Zavkhan,Завхан,3,Camel,Тэмээ,0,6.2,0.0,,
2012,181,Zavkhan,Завхан,4,Sheep,Хонь,9.4,979.6,0.959575,,
2012,181,Zavkhan,Завхан,5,Goat,Ямаа,8.1,831.6,0.974026,,
2012,182,Govi-Altai,Говь-Алтай,0,Total,Бүгд,34.2,1613.3,2.119879,,
2012,182,Govi-Altai,Говь-Алтай,1,Horse,Адуу,0.6,46.6,1.287554,,
2012,182,Govi-Altai,Говь-Алтай,2,Cattle,Үхэр,0.4,22.1,1.809955,,
2012,182,Govi-Altai,Говь-Алтай,3,Camel,Тэмээ,0.2,25.2,0.793651,,
2012,182,Govi-Altai,Говь-Алтай,4,Sheep,Хонь,9.3,461.7,2.014295,,
2012,182,Govi-Altai,Говь-Алтай,5,Goat,Ямаа,23.8,1057.8,2.249953,,
2012,183,Bayan-Ulgii,Баян-Өлгий,0,Total,Бүгд,9.2,1302.8,0.706171,,
2012,183,Bayan-Ulgii,Баян-Өлгий,1,Horse,Адуу,0.6,48.5,1.237113,,
2012,183,Bayan-Ulgii,Баян-Өлгий,2,Cattle,Үхэр,0.8,80.8,0.990099,,
2012,183,Bayan-Ulgii,Баян-Өлгий,3,Camel,Тэмээ,0,4,0.0,,
2012,183,Bayan-Ulgii,Баян-Өлгий,4,Sheep,Хонь,2.7,506.9,0.532649,,
2012,183,Bayan-Ulgii,Баян-Өлгий,5,Goat,Ямаа,5.1,662.5,0.769811,,
