сар,бохирдуулагч,утга_мг_м3
2020-08,Тоосонцор РМ10,0.0379
2020-08,Тоосонцор РМ2.5,0.0126
2020-09,Тоосонцор РМ10,0.0645
2020-09,Тоосонцор РМ2.5,0.0182
2020-10,Тоосонцор РМ10,0.1176
2020-10,Тоосонцор РМ2.5,0.0446
2020-11,Тоосонцор РМ10,0.0969
2020-11,Тоосонцор РМ2.5,0.0499
2020-12,Тоосонцор РМ10,0.1322
2020-12,Тоосонцор РМ2.5,0.1053
2021-01,Тоосонцор РМ10,0.1345
2021-01,Тоосонцор РМ2.5,0.1044
2021-02,Тоосонцор РМ10,0.0985
2021-02,Тоосонцор РМ2.5,0.0634
2021-03,Тоосонцор РМ10,0.1021
2021-03,Тоосонцор РМ2.5,0.0366
2021-04,Тоосонцор РМ10,0.063
2021-04,Тоосонцор РМ2.5,0.0163
2021-05,Тоосонцор РМ10,0.0561
2021-05,Тоосонцор РМ2.5,0.0136
2021-06,Тоосонцор РМ10,0.0442
2021-06,Тоосонцор РМ2.5,0.0101
2021-07,Тоосонцор РМ10,0.0504
2021-07,Тоосонцор РМ2.5,0.0107
2021-08,Тоосонцор РМ10,0.0519
2021-08,Тоосонцор РМ2.5,0.0216
2021-09,Тоосонцор РМ10,0.0405
2021-09,Тоосонцор РМ2.5,0.0124
2021-10,Тоосонцор РМ10,0.1039
2021-10,Тоосонцор РМ2.5,0.0348
2021-11,Тоосонцор РМ10,0.1297
2021-11,Тоосонцор РМ2.5,0.065
2021-12,Тоосонцор РМ10,0.1638
2021-12,Тоосонцор РМ2.5,0.1117
2022-01,Тоосонцор РМ10,0.1466
2022-01,Тоосонцор РМ2.5,0.1
2022-02,Тоосонцор РМ10,0.1292
2022-02,Тоосонцор РМ2.5,0.0773
2022-03,Тоосонцор РМ10,0.0965
2022-03,Тоосонцор РМ2.5,0.0333
2022-04,Тоосонцор РМ10,0.0889
2022-04,Тоосонцор РМ2.5,0.0227
2022-05,Тоосонцор РМ10,0.0766
2022-05,Тоосонцор РМ2.5,0.0119
2022-06,Тоосонцор РМ10,0.0547
2022-06,Тоосонцор РМ2.5,0.0106
2022-07,Тоосонцор РМ10,0.0446
2022-07,Тоосонцор РМ2.5,0.0101
2022-08,Тоосонцор РМ10,0.042
2022-08,Тоосонцор РМ2.5,0.0099
2022-09,Тоосонцор РМ10,0.0717
2022-09,Тоосонцор РМ2.5,0.0161
2022-10,Тоосонцор РМ10,0.0946
2022-10,Тоосонцор РМ2.5,0.0325
2022-11,Тоосонцор РМ10,0.0969
2022-11,Тоосонцор РМ2.5,0.0534
2022-12,Тоосонцор РМ10,0.1258
2022-12,Тоосонцор РМ2.5,0.1039
2023-01,Тоосонцор РМ10,0.1328
2023-01,Тоосонцор РМ2.5,0.109
2023-02,Тоосонцор РМ10,0.1106
2023-02,Тоосонцор РМ2.5,0.0797
2023-03,Тоосонцор РМ10,0.0974
2023-03,Тоосонцор РМ2.5,0.0352
2023-04,Тоосонцор РМ10,0.0724
2023-04,Тоосонцор РМ2.5,0.0187
2023-05,Тоосонцор РМ10,0.0552
2023-05,Тоосонцор РМ2.5,0.0101
2023-06,Тоосонцор РМ10,0.059
2023-06,Тоосонцор РМ2.5,0.01
2023-07,Тоосонцор РМ10,0.0484
2023-07,Тоосонцор РМ2.5,0.0082
2023-08,Тоосонцор РМ10,0.0499
2023-08,Тоосонцор РМ2.5,0.0074
2023-09,Тоосонцор РМ10,0.0581
2023-09,Тоосонцор РМ2.5,0.0114
2023-10,Тоосонцор РМ10,0.1133
2023-10,Тоосонцор РМ2.5,0.0246
2023-11,Тоосонцор РМ10,0.0863
2023-11,Тоосонцор РМ2.5,0.0595
2023-12,Тоосонцор РМ10,0.1071
2023-12,Тоосонцор РМ2.5,0.0995
2024-01,Тоосонцор РМ10,0.1191
2024-01,Тоосонцор РМ2.5,0.1148
2024-02,Тоосонцор РМ10,0.0964
2024-02,Тоосонцор РМ2.5,0.0817
2024-03,Тоосонцор РМ10,0.0673
2024-03,Тоосонцор РМ2.5,0.0383
2024-04,Тоосонцор РМ10,0.082
2024-04,Тоосонцор РМ2.5,0.0224
2024-05,Тоосонцор РМ10,0.0666
2024-05,Тоосонцор РМ2.5,0.0129
2024-06,Тоосонцор РМ10,0.0513
2024-06,Тоосонцор РМ2.5,0.0121
2024-07,Тоосонцор РМ10,0.0555
2024-07,Тоосонцор РМ2.5,0.015
2024-08,Тоосонцор РМ10,0.0482
2024-08,Тоосонцор РМ2.5,0.0101
2024-09,Тоосонцор РМ10,0.0672
2024-09,Тоосонцор РМ2.5,0.0122
2024-10,Тоосонцор РМ10,0.0921
2024-10,Тоосонцор РМ2.5,0.0278
2024-11,Тоосонцор РМ10,0.1151
2024-11,Тоосонцор РМ2.5,0.0414
2024-12,Тоосонцор РМ10,0.1316
2024-12,Тоосонцор РМ2.5,0.1016
2025-01,Тоосонцор РМ10,0.1362
