region,month,births
Khovd,2018-05,193
Khuvsgul,2018-05,234
Orkhon,2018-05,198
Selenge,2018-05,154
Sukhbaatar,2018-05,108
Tuv,2018-05,78
Ulaanbaatar,2018-05,3454
Umnugovi,2018-05,139
Uvs,2018-05,151
Uvurkhangai,2018-05,197
Zavkhan,2018-05,114
Arkhangai,2018-06,154
Bayan-Ulgii,2018-06,259
Bayankhongor,2018-06,168
Bulgan,2018-06,61
Darkhan-Uul,2018-06,212
Dornod,2018-06,148
Dornogovi,2018-06,101
Dundgovi,2018-06,88
Govi-Altai,2018-06,112
Govisumber,2018-06,37
Khentii,2018-06,122
Khovd,2018-06,199
Khuvsgul,2018-06,262
Orkhon,2018-06,209
Selenge,2018-06,155
Sukhbaatar,2018-06,123
Tuv,2018-06,88
Ulaanbaatar,2018-06,3438
Umnugovi,2018-06,118
Uvs,2018-06,156
Uvurkhangai,2018-06,191
Zavkhan,2018-06,124
Arkhangai,2018-07,163
Bayan-Ulgii,2018-07,251
Bayankhongor,2018-07,178
Bulgan,2018-07,71
Darkhan-Uul,2018-07,188
Dornod,2018-07,175
Dornogovi,2018-07,126
Dundgovi,2018-07,92
Govi-Altai,2018-07,130
Govisumber,2018-07,43
Khentii,2018-07,118
Khovd,2018-07,205
Khuvsgul,2018-07,257
Orkhon,2018-07,248
Selenge,2018-07,140
Sukhbaatar,2018-07,114
Tuv,2018-07,94
Ulaanbaatar,2018-07,3371
Umnugovi,2018-07,135
Uvs,2018-07,183
Uvurkhangai,2018-07,213
Zavkhan,2018-07,143
Arkhangai,2018-08,121
Bayan-Ulgii,2018-08,258
Bayankhongor,2018-08,186
Bulgan,2018-08,85
Darkhan-Uul,2018-08,213
Dornod,2018-08,155
Dornogovi,2018-08,110
Dundgovi,2018-08,60
Govi-Altai,2018-08,100
Govisumber,2018-08,31
Khentii,2018-08,132
Khovd,2018-08,216
Khuvsgul,2018-08,251
Orkhon,2018-08,251
Selenge,2018-08,141
Sukhbaatar,2018-08,100
Tuv,2018-08,107
Ulaanbaatar,2018-08,3564
Umnugovi,2018-08,130
Uvs,2018-08,157
Uvurkhangai,2018-08,242
Zavkhan,2018-08,119
Arkhangai,2018-09,137
Bayan-Ulgii,2018-09,199
Bayankhongor,2018-09,156
Bulgan,2018-09,74
Darkhan-Uul,2018-09,191
Dornod,2018-09,150
Dornogovi,2018-09,135
Dundgovi,2018-09,75
Govi-Altai,2018-09,128
Govisumber,2018-09,38
Khentii,2018-09,130
Khovd,2018-09,196
Khuvsgul,2018-09,228
Orkhon,2018-09,207
Selenge,2018-09,158
Sukhbaatar,2018-09,91
Tuv,2018-09,97
Ulaanbaatar,2018-09,3336
Umnugovi,2018-09,141
Uvs,2018-09,121
Uvurkhangai,2018-09,189
Zavkhan,2018-09,107
Arkhangai,2018-10,157
Bayan-Ulgii,2018-10,242
Bayankhongor,2018-10,153
Bulgan,2018-10,65
Darkhan-Uul,2018-10,203
Dornod,2018-10,175
Dornogovi,2018-10,102
Dundgovi,2018-10,66
Govi-Altai,2018-10,105
Govisumber,2018-10,39
Khentii,2018-10,112
Khovd,2018-10,181
Khuvsgul,2018-10,241
Orkhon,2018-10,261
Selenge,2018-10,135
Sukhbaatar,2018-10,102
Tuv,2018-10,80
Ulaanbaatar,2018-10,3511
Umnugovi,2018-10,136
Uvs,2018-10,190
Uvurkhangai,2018-10,201
Zavkhan,2018-10,97
Arkhangai,2018-11,132
Bayan-Ulgii,2018-11,244
Bayankhongor,2018-11,198
Bulgan,2018-11,49
Darkhan-Uul,2018-11,181
Dornod,2018-11,155
Dornogovi,2018-11,120
Dundgovi,2018-11,68
Govi-Altai,2018-11,98
Govisumber,2018-11,38
Khentii,2018-11,128
Khovd,2018-11,199
Khuvsgul,2018-11,220
Orkhon,2018-11,214
Selenge,2018-11,122
Sukhbaatar,2018-11,102
Tuv,2018-11,97
Ulaanbaatar,2018-11,3407
Umnugovi,2018-11,142
Uvs,2018-11,176
Uvurkhangai,2018-11,231
Zavkhan,2018-11,123
Arkhangai,2018-12,145
Bayan-Ulgii,2018-12,246
Bayankhongor,2018-12,186
Bulgan,2018-12,48
Darkhan-Uul,2018-12,205
Dornod,2018-12,181
Dornogovi,2018-12,112
Dundgovi,2018-12,71
Govi-Altai,2018-12,98
Govisumber,2018-12,37
Khentii,2018-12,121
Khovd,2018-12,199
Khuvsgul,2018-12,243
Orkhon,2018-12,239
Selenge,2018-12,148
Sukhbaatar,2018-12,119
Tuv,2018-12,98
Ulaanbaatar,2018-12,3472
Umnugovi,2018-12,130
Uvs,2018-12,164
Uvurkhangai,2018-12,189
Zavkhan,2018-12,117
Arkhangai,2019-01,133
Bayan-Ulgii,2019-01,231
Bayankhongor,2019-01,153
Bulgan,2019-01,66
Darkhan-Uul,2019-01,195
Dornod,2019-01,148
Dornogovi,2019-01,110
Dundgovi,2019-01,72
Govi-Altai,2019-01,119
Govisumber,2019-01,38
Khentii,2019-01,128
Khovd,2019-01,171
Khuvsgul,2019-01,241
Orkhon,2019-01,205
Selenge,2019-01,147
Sukhbaatar,2019-01,87
Tuv,2019-01,99
Ulaanbaatar,2019-01,3109
Umnugovi,2019-01,112
Uvs,2019-01,134
Uvurkhangai,2019-01,183
Zavkhan,2019-01,120
Arkhangai,2019-02,124
Bayan-Ulgii,2019-02,222
Bayankhongor,2019-02,148
Bulgan,2019-02,58
Darkhan-Uul,2019-02,176
Dornod,2019-02,151
Dornogovi,2019-02,107
Dundgovi,2019-02,83
Govi-Altai,2019-02,106
Govisumber,2019-02,29
Khentii,2019-02,137
Khovd,2019-02,162
Khuvsgul,2019-02,214
Orkhon,2019-02,193
Selenge,2019-02,136
Sukhbaatar,2019-02,104
Tuv,2019-02,81
