сар,аймаг_үзүүлэлт,утга
2021-02,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),195.0
2021-02,Дорноговь — Ашиглалтын талбай (мян.га),250.1
2021-02,Дорноговь — Нийт зөвшөөрөгдсөн талбай (мян.га),1069.6
2021-02,Дорноговь — Нийт зөвшөөрөл (тоо),330.0
2021-02,Дорноговь — Хайгуулын зөвшөөрөл (тоо),135.0
2021-02,Дорноговь — Хайгуулын талбай (мян.га),819.5
2021-02,Дорнод — Ашиглалтын зөвшөөрөл (тоо),73.0
2021-02,Дорнод — Ашиглалтын талбай (мян.га),63.7
2021-02,Дорнод — Нийт зөвшөөрөгдсөн талбай (мян.га),534.5
2021-02,Дорнод — Нийт зөвшөөрөл (тоо),150.0
2021-02,Дорнод — Хайгуулын зөвшөөрөл (тоо),77.0
2021-02,Дорнод — Хайгуулын талбай (мян.га),470.9
2021-02,Дундговь — Ашиглалтын зөвшөөрөл (тоо),110.0
2021-02,Дундговь — Ашиглалтын талбай (мян.га),174.8
2021-02,Дундговь — Нийт зөвшөөрөгдсөн талбай (мян.га),610.8
2021-02,Дундговь — Нийт зөвшөөрөл (тоо),195.0
2021-02,Дундговь — Хайгуулын зөвшөөрөл (тоо),85.0
2021-02,Дундговь — Хайгуулын талбай (мян.га),436.0
2021-02,Завхан — Ашиглалтын зөвшөөрөл (тоо),10.0
2021-02,Завхан — Ашиглалтын талбай (мян.га),17.0
2021-02,Завхан — Нийт зөвшөөрөгдсөн талбай (мян.га),222.8
2021-02,Завхан — Нийт зөвшөөрөл (тоо),48.0
2021-02,Завхан — Хайгуулын зөвшөөрөл (тоо),38.0
2021-02,Завхан — Хайгуулын талбай (мян.га),205.8
2021-02,Орхон — Ашиглалтын зөвшөөрөл (тоо),8.0
2021-02,Орхон — Ашиглалтын талбай (мян.га),11.0
2021-02,Орхон — Нийт зөвшөөрөгдсөн талбай (мян.га),11.0
2021-02,Орхон — Нийт зөвшөөрөл (тоо),8.0
2021-02,Орхон — Хайгуулын зөвшөөрөл (тоо),0.0
2021-02,Орхон — Хайгуулын талбай (мян.га),0.0
2021-02,Сэлэнгэ — Ашиглалтын зөвшөөрөл (тоо),144.0
2021-02,Сэлэнгэ — Ашиглалтын талбай (мян.га),45.1
2021-02,Сэлэнгэ — Нийт зөвшөөрөгдсөн талбай (мян.га),90.2
2021-02,Сэлэнгэ — Нийт зөвшөөрөл (тоо),178.0
2021-02,Сэлэнгэ — Хайгуулын зөвшөөрөл (тоо),34.0
2021-02,Сэлэнгэ — Хайгуулын талбай (мян.га),45.1
2021-02,Сүхбаатар — Ашиглалтын зөвшөөрөл (тоо),72.0
2021-02,Сүхбаатар — Ашиглалтын талбай (мян.га),68.2
2021-02,Сүхбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),242.3
2021-02,Сүхбаатар — Нийт зөвшөөрөл (тоо),92.0
2021-02,Сүхбаатар — Хайгуулын зөвшөөрөл (тоо),20.0
2021-02,Сүхбаатар — Хайгуулын талбай (мян.га),174.1
2021-02,Төв — Ашиглалтын зөвшөөрөл (тоо),305.0
2021-02,Төв — Ашиглалтын талбай (мян.га),155.7
2021-02,Төв — Нийт зөвшөөрөгдсөн талбай (мян.га),316.5
2021-02,Төв — Нийт зөвшөөрөл (тоо),378.0
2021-02,Төв — Хайгуулын зөвшөөрөл (тоо),73.0
2021-02,Төв — Хайгуулын талбай (мян.га),160.8
2021-02,Увс — Ашиглалтын зөвшөөрөл (тоо),42.0
2021-02,Увс — Ашиглалтын талбай (мян.га),19.9
2021-02,Увс — Нийт зөвшөөрөгдсөн талбай (мян.га),287.8
2021-02,Увс — Нийт зөвшөөрөл (тоо),109.0
2021-02,Увс — Хайгуулын зөвшөөрөл (тоо),67.0
2021-02,Увс — Хайгуулын талбай (мян.га),267.9
2021-02,Улаанбаатар — Ашиглалтын зөвшөөрөл (тоо),151.0
2021-02,Улаанбаатар — Ашиглалтын талбай (мян.га),13.1
2021-02,Улаанбаатар — Нийт зөвшөөрөгдсөн талбай (мян.га),14.0
2021-02,Улаанбаатар — Нийт зөвшөөрөл (тоо),157.0
2021-02,Улаанбаатар — Хайгуулын зөвшөөрөл (тоо),6.0
2021-02,Улаанбаатар — Хайгуулын талбай (мян.га),0.9
2021-02,Ховд — Ашиглалтын зөвшөөрөл (тоо),37.0
2021-02,Ховд — Ашиглалтын талбай (мян.га),17.2
2021-02,Ховд — Нийт зөвшөөрөгдсөн талбай (мян.га),217.5
2021-02,Ховд — Нийт зөвшөөрөл (тоо),95.0
2021-02,Ховд — Хайгуулын зөвшөөрөл (тоо),58.0
2021-02,Ховд — Хайгуулын талбай (мян.га),200.3
2021-02,Хэнтий — Ашиглалтын зөвшөөрөл (тоо),122.0
2021-02,Хэнтий — Ашиглалтын талбай (мян.га),53.9
2021-02,Хэнтий — Нийт зөвшөөрөгдсөн талбай (мян.га),301.6
2021-02,Хэнтий — Нийт зөвшөөрөл (тоо),212.0
2021-02,Хэнтий — Хайгуулын зөвшөөрөл (тоо),90.0
2021-02,Хэнтий — Хайгуулын талбай (мян.га),247.7
2021-02,Хөвсгөл — Ашиглалтын зөвшөөрөл (тоо),21.0
2021-02,Хөвсгөл — Ашиглалтын талбай (мян.га),10.3
2021-02,Хөвсгөл — Нийт зөвшөөрөгдсөн талбай (мян.га),10.6
2021-02,Хөвсгөл — Нийт зөвшөөрөл (тоо),22.0
2021-02,Хөвсгөл — Хайгуулын зөвшөөрөл (тоо),1.0
2021-02,Хөвсгөл — Хайгуулын талбай (мян.га),0.3
2021-02,Өвөрхангай — Ашиглалтын зөвшөөрөл (тоо),28.0
2021-02,Өвөрхангай — Ашиглалтын талбай (мян.га),16.1
2021-02,Өвөрхангай — Нийт зөвшөөрөгдсөн талбай (мян.га),97.9
2021-02,Өвөрхангай — Нийт зөвшөөрөл (тоо),42.0
2021-02,Өвөрхангай — Хайгуулын зөвшөөрөл (тоо),14.0
2021-02,Өвөрхангай — Хайгуулын талбай (мян.га),81.9
2021-02,Өмнөговь — Ашиглалтын зөвшөөрөл (тоо),101.0
2021-02,Өмнөговь — Ашиглалтын талбай (мян.га),454.7
2021-02,Өмнөговь — Нийт зөвшөөрөгдсөн талбай (мян.га),916.2
2021-02,Өмнөговь — Нийт зөвшөөрөл (тоо),160.0
2021-02,Өмнөговь — Хайгуулын зөвшөөрөл (тоо),59.0
2021-02,Өмнөговь — Хайгуулын талбай (мян.га),461.5
2021-03,Архангай — Ашиглалтын зөвшөөрөл (тоо),18.0
2021-03,Архангай — Ашиглалтын талбай (мян.га),9.3
2021-03,Архангай — Нийт зөвшөөрөгдсөн талбай (мян.га),17.7
2021-03,Архангай — Нийт зөвшөөрөл (тоо),23.0
2021-03,Архангай — Хайгуулын зөвшөөрөл (тоо),5.0
2021-03,Архангай — Хайгуулын талбай (мян.га),8.4
2021-03,Баян-Өлгий — Ашиглалтын зөвшөөрөл (тоо),28.0
2021-03,Баян-Өлгий — Ашиглалтын талбай (мян.га),15.2
2021-03,Баян-Өлгий — Нийт зөвшөөрөгдсөн талбай (мян.га),151.7
2021-03,Баян-Өлгий — Нийт зөвшөөрөл (тоо),55.0
2021-03,Баян-Өлгий — Хайгуулын зөвшөөрөл (тоо),27.0
2021-03,Баян-Өлгий — Хайгуулын талбай (мян.га),136.6
2021-03,Баянхонгор — Ашиглалтын зөвшөөрөл (тоо),87.0
2021-03,Баянхонгор — Ашиглалтын талбай (мян.га),121.6
2021-03,Баянхонгор — Нийт зөвшөөрөгдсөн талбай (мян.га),309.9
2021-03,Баянхонгор — Нийт зөвшөөрөл (тоо),129.0
2021-03,Баянхонгор — Хайгуулын зөвшөөрөл (тоо),42.0
2021-03,Баянхонгор — Хайгуулын талбай (мян.га),188.4
2021-03,Булган — Ашиглалтын зөвшөөрөл (тоо),76.0
2021-03,Булган — Ашиглалтын талбай (мян.га),38.9
2021-03,Булган — Нийт зөвшөөрөгдсөн талбай (мян.га),87.8
2021-03,Булган — Нийт зөвшөөрөл (тоо),99.0
2021-03,Булган — Хайгуулын зөвшөөрөл (тоо),23.0
2021-03,Булган — Хайгуулын талбай (мян.га),48.9
2021-03,Говь-Алтай — Ашиглалтын зөвшөөрөл (тоо),55.0
2021-03,Говь-Алтай — Ашиглалтын талбай (мян.га),92.2
2021-03,Говь-Алтай — Нийт зөвшөөрөгдсөн талбай (мян.га),581.4
2021-03,Говь-Алтай — Нийт зөвшөөрөл (тоо),132.0
2021-03,Говь-Алтай — Хайгуулын зөвшөөрөл (тоо),77.0
2021-03,Говь-Алтай — Хайгуулын талбай (мян.га),489.2
2021-03,Говьсүмбэр — Ашиглалтын зөвшөөрөл (тоо),13.0
2021-03,Говьсүмбэр — Ашиглалтын талбай (мян.га),38.9
2021-03,Говьсүмбэр — Нийт зөвшөөрөгдсөн талбай (мян.га),44.6
2021-03,Говьсүмбэр — Нийт зөвшөөрөл (тоо),16.0
2021-03,Говьсүмбэр — Хайгуулын зөвшөөрөл (тоо),3.0
2021-03,Говьсүмбэр — Хайгуулын талбай (мян.га),5.8
2021-03,Дархан-Уул — Ашиглалтын зөвшөөрөл (тоо),61.0
2021-03,Дархан-Уул — Ашиглалтын талбай (мян.га),7.6
2021-03,Дархан-Уул — Нийт зөвшөөрөгдсөн талбай (мян.га),9.2
2021-03,Дархан-Уул — Нийт зөвшөөрөл (тоо),67.0
2021-03,Дархан-Уул — Хайгуулын зөвшөөрөл (тоо),6.0
2021-03,Дархан-Уул — Хайгуулын талбай (мян.га),1.6
2021-03,Дорноговь — Ашиглалтын зөвшөөрөл (тоо),197.0
2021-03,Дорноговь — Ашиглалтын талбай (мян.га),251.3
