бүс,сар,нас_баралт
Завхан,2018-05,27
Орхон,2018-05,35
Сэлэнгэ,2018-05,45
Сүхбаатар,2018-05,18
Төв,2018-05,39
Увс,2018-05,49
Улаанбаатар,2018-05,685
Ховд,2018-05,28
Хэнтий,2018-05,31
Хөвсгөл,2018-05,80
Өвөрхангай,2018-05,56
Өмнөговь,2018-05,29
Архангай,2018-06,44
Баян-Өлгий,2018-06,38
Баянхонгор,2018-06,42
Булган,2018-06,21
Говь-Алтай,2018-06,21
Говьсүмбэр,2018-06,4
Дархан-Уул,2018-06,50
Дорноговь,2018-06,31
Дорнод,2018-06,31
Дундговь,2018-06,17
Завхан,2018-06,26
Орхон,2018-06,40
Сэлэнгэ,2018-06,36
Сүхбаатар,2018-06,33
Төв,2018-06,34
Увс,2018-06,44
Улаанбаатар,2018-06,638
Ховд,2018-06,33
Хэнтий,2018-06,41
Хөвсгөл,2018-06,66
Өвөрхангай,2018-06,54
Өмнөговь,2018-06,23
Архангай,2018-07,45
Баян-Өлгий,2018-07,36
Баянхонгор,2018-07,37
Булган,2018-07,30
Говь-Алтай,2018-07,24
Говьсүмбэр,2018-07,9
Дархан-Уул,2018-07,50
Дорноговь,2018-07,43
Дорнод,2018-07,46
Дундговь,2018-07,25
Завхан,2018-07,30
Орхон,2018-07,49
Сэлэнгэ,2018-07,39
Сүхбаатар,2018-07,40
Төв,2018-07,52
Увс,2018-07,45
Улаанбаатар,2018-07,721
Ховд,2018-07,25
Хэнтий,2018-07,31
Хөвсгөл,2018-07,64
Өвөрхангай,2018-07,65
Өмнөговь,2018-07,27
Архангай,2018-08,50
Баян-Өлгий,2018-08,41
Баянхонгор,2018-08,32
Булган,2018-08,25
Говь-Алтай,2018-08,25
Говьсүмбэр,2018-08,2
Дархан-Уул,2018-08,44
Дорноговь,2018-08,30
Дорнод,2018-08,43
Дундговь,2018-08,21
Завхан,2018-08,27
Орхон,2018-08,47
Сэлэнгэ,2018-08,39
Сүхбаатар,2018-08,32
Төв,2018-08,54
Увс,2018-08,39
Улаанбаатар,2018-08,628
Ховд,2018-08,34
Хэнтий,2018-08,23
Хөвсгөл,2018-08,73
Өвөрхангай,2018-08,60
Өмнөговь,2018-08,22
Архангай,2018-09,35
Баян-Өлгий,2018-09,34
Баянхонгор,2018-09,40
Булган,2018-09,20
Говь-Алтай,2018-09,21
Говьсүмбэр,2018-09,7
Дархан-Уул,2018-09,50
Дорноговь,2018-09,34
Дорнод,2018-09,30
Дундговь,2018-09,29
Завхан,2018-09,39
Орхон,2018-09,42
Сэлэнгэ,2018-09,51
Сүхбаатар,2018-09,40
Төв,2018-09,33
Увс,2018-09,36
