улс,он,экспорт_сая_ам_дол
Аргентин,2012,0.0
Армен,2012,0.0
Аруба,2012,0.0
БНАСAУ,2012,97.3
БНСУ,2012,12295.6
БНХАУ,2012,4059720.4
Балба,2012,64.6
Бангладеш,2012,0.0
Беларусь,2012,0.0
Бельги,2012,1413.2
Болгар,2012,2.2
Боливи,2012,0.0
Бразил,2012,0.0
Буркина-Фасо,2012,0.0
Вануату,2012,0.0
Вьетнам,2012,2274.0
Грек,2012,0.0
Гренланд,2012,0.0
Гүрж,2012,0.0
Дани,2012,56.3
Дүн,2012,4384669.2
Европын холбоо,2012,55032.1
Египет,2012,565.8
Зүүн Хойд Ази,2012,4077715.9
Зүүн Өмнөд Ази,2012,6995.3
Израиль,2012,34.8
Индонез,2012,12.9
Иордан,2012,0.0
Иран,2012,214.6
Ирланд,2012,23.9
Испани,2012,29.0
Итали,2012,31608.2
Их Британи,2012,11898.4
Казакстан,2012,3529.7
Камбож,2012,0.0
Канад,2012,117274.6
Катар,2012,708.7
Кени,2012,0.0
Кипр,2012,0.0
Киргиз,2012,463.9
Колумби,2012,0.0
Кот д Ивуар,2012,0.0
Куба,2012,281.7
Кувейт,2012,1213.6
Лаос,2012,196.9
Латви,2012,53.1
Ливан,2012,0.0
Литва,2012,0.0
Лихтенштейн Вант улс,2012,0.0
Люксембург,2012,0.0
Малайз,2012,119.2
Мальта,2012,0.0
Марокко,2012,0.0
Мексик,2012,846.8
Молдав,2012,0.0
Монако,2012,0.0
Мьянмар,2012,0.0
Нигери,2012,0.0
Нидерланд,2012,1218.2
Норвеги,2012,340.2
ОХУ,2012,79565.7
Пакистан,2012,13.9
Панам,2012,0.0
Папуа Шинэ Гвиней,2012,0.0
Перу,2012,0.0
Польш,2012,63.4
Португаль,2012,0.0
Пуэрто-Рико,2012,0.0
Румын,2012,0.0
Саудын Араб,2012,144.0
Свазиленд,2012,0.0
Серби,2012,0.0
Сингапур,2012,4338.0
Сири,2012,0.0
Словак,2012,0.0
Словени,2012,0.0
Соломоновын арал,2012,47.3
Судан,2012,1111.6
Суринам,2012,0.0
Тажикстан,2012,1.3
Тайвань,2012,28.4
Тайланд,2012,37.9
Танзани,2012,0.0
Турк,2012,0.0
Туркменистан,2012,0.0
Уганда,2012,0.0
Узбикистан,2012,600.5
Украйн,2012,1202.0
Унгар,2012,13.5
Уругвай,2012,0.0
Фижи,2012,0.0
Филиппин,2012,16.3
Финлянд,2012,87.5
Франц,2012,3639.7
ХБНГУ,2012,15969.3
Хорват,2012,0.0
Чад,2012,0.0
Чехийн БНУ,2012,176.3
Чили,2012,9.4
Швед,2012,267.3
Швейцарь,2012,8925.1
Шинэ Зеланд,2012,127.4
Шри Ланк,2012,0.0
Эквадор,2012,0.0
Энэтхэг,2012,6028.9
Эстон,2012,0.0
Этиоп,2012,0.0
Япон,2012,5602.6
Өмнөд Африкийн Бүгд Найрамдах Улс,2012,0.0
АНУ,2013,3898.1
Австрали,2013,16570.5
Австри,2013,2154.6
Азербайжан,2013,1192.1
Америкийн Самао,2013,0.0
Ангол,2013,175.6
Арабын Нэгдсэн Эмират,2013,8782.1
Аргентин,2013,0.0
Армен,2013,0.0
Аруба,2013,0.0
БНАСAУ,2013,724.3
БНСУ,2013,13023.8
БНХАУ,2013,3706341.0
Балба,2013,99.8
Бангладеш,2013,21.0
Беларусь,2013,698.3
Бельги,2013,236.4
Болгар,2013,5.5
Боливи,2013,0.0
Бразил,2013,0.5
Буркина-Фасо,2013,0.0
Вануату,2013,0.0
Вьетнам,2013,1409.9
Грек,2013,0.0
Гренланд,2013,0.0
Гүрж,2013,0.0
Дани,2013,105.4
Дүн,2013,4269055.8
Европын холбоо,2013,86159.2
Египет,2013,0.0
Зүүн Хойд Ази,2013,3730623.5
Зүүн Өмнөд Ази,2013,13004.3
Израиль,2013,33.5
Индонез,2013,79.4
Иордан,2013,0.0
Иран,2013,1966.2
Ирланд,2013,7.2
Испани,2013,333.2
Итали,2013,51506.2
Их Британи,2013,200739.2
Казакстан,2013,572.8
