month,metric,value
2022-01,Mineral licence fees | Actual to date,2812.0
2022-01,Mineral licence fees | Annual plan,31400.0
2022-01,Mineral services revenue | % of plan,22.1
2022-01,Mineral services revenue | Actual to date,200.8
2022-01,Mineral services revenue | Annual plan,910.0
2022-01,Petroleum exports | Annual plan,277500.0
2022-01,Petroleum service revenue | Annual plan,1740.0
2022-01,Reimbursement for state-funded exploration | % of plan,0.4
2022-01,Reimbursement for state-funded exploration | Actual to date,72.6
2022-01,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-01,Tender revenue | % of plan,9.9
2022-01,Tender revenue | Actual to date,2479.5
2022-01,Tender revenue | Annual plan,25000.0
2022-01,Total | % of plan,1.6
2022-01,Total | Actual to date,5564.8
2022-01,Total | Annual plan,354050.0
2022-02,Mineral licence fees | % of plan,13.9
2022-02,Mineral licence fees | Actual to date,4354.5
2022-02,Mineral licence fees | Annual plan,31400.0
2022-02,Mineral services revenue | % of plan,46.9
2022-02,Mineral services revenue | Actual to date,427.0
2022-02,Mineral services revenue | Annual plan,910.0
2022-02,Petroleum exports | Annual plan,277500.0
2022-02,Petroleum service revenue | Actual to date,1144.3
2022-02,Petroleum service revenue | Annual plan,1740.0
2022-02,Reimbursement for state-funded exploration | % of plan,0.5
2022-02,Reimbursement for state-funded exploration | Actual to date,93.4
2022-02,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-02,Tender revenue | % of plan,35.3
2022-02,Tender revenue | Actual to date,8821.5
2022-02,Tender revenue | Annual plan,25000.0
2022-02,Total | % of plan,4.2
2022-02,Total | Actual to date,14840.7
2022-02,Total | Annual plan,354050.0
2022-03,Mineral licence fees | % of plan,19.0
2022-03,Mineral licence fees | Actual to date,5962.0
2022-03,Mineral licence fees | Annual plan,31400.0
2022-03,Mineral services revenue | % of plan,63.4
2022-03,Mineral services revenue | Actual to date,577.1
2022-03,Mineral services revenue | Annual plan,910.0
2022-03,Petroleum exports | % of plan,0.3
2022-03,Petroleum exports | Actual to date,861.3
2022-03,Petroleum exports | Annual plan,277500.0
2022-03,Petroleum service revenue | % of plan,65.8
2022-03,Petroleum service revenue | Actual to date,1144.3
2022-03,Petroleum service revenue | Annual plan,1740.0
2022-03,Reimbursement for state-funded exploration | % of plan,1.1
2022-03,Reimbursement for state-funded exploration | Actual to date,197.0
2022-03,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-03,Tender revenue | % of plan,54.6
2022-03,Tender revenue | Actual to date,13642.2
2022-03,Tender revenue | Annual plan,25000.0
2022-03,Total | % of plan,6.3
2022-03,Total | Actual to date,22383.8
2022-03,Total | Annual plan,354050.0
2022-04,Mineral licence fees | % of plan,25.9
2022-04,Mineral licence fees | Actual to date,8138.3
2022-04,Mineral licence fees | Annual plan,31400.0
2022-04,Mineral services revenue | % of plan,91.1
2022-04,Mineral services revenue | Actual to date,829.1
2022-04,Mineral services revenue | Annual plan,910.0
2022-04,Petroleum exports | % of plan,0.6
2022-04,Petroleum exports | Actual to date,1774.9
2022-04,Petroleum exports | Annual plan,277500.0
2022-04,Petroleum service revenue | % of plan,65.8
2022-04,Petroleum service revenue | Actual to date,1144.3
2022-04,Petroleum service revenue | Annual plan,1740.0
2022-04,Reimbursement for state-funded exploration | % of plan,1.4
2022-04,Reimbursement for state-funded exploration | Actual to date,246.6
2022-04,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-04,Tender revenue | % of plan,56.6
2022-04,Tender revenue | Actual to date,14143.2
2022-04,Tender revenue | Annual plan,25000.0
2022-04,Total | % of plan,7.4
2022-04,Total | Actual to date,26276.3
2022-04,Total | Annual plan,354050.0
2022-05,Mineral licence fees | % of plan,39.9
2022-05,Mineral licence fees | Actual to date,12518.9
2022-05,Mineral licence fees | Annual plan,31400.0
2022-05,Mineral services revenue | % of plan,89.8
2022-05,Mineral services revenue | Actual to date,915.6
2022-05,Mineral services revenue | Annual plan,1020.0
2022-05,Petroleum exports | % of plan,0.8
2022-05,Petroleum exports | Actual to date,1774.9
2022-05,Petroleum exports | Annual plan,215447.0
2022-05,Petroleum service revenue | % of plan,100.1
2022-05,Petroleum service revenue | Actual to date,1632.3
2022-05,Petroleum service revenue | Annual plan,1630.0
2022-05,Reimbursement for state-funded exploration | % of plan,2.9
2022-05,Reimbursement for state-funded exploration | Actual to date,511.5
2022-05,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-05,Tender revenue | % of plan,56.6
2022-05,Tender revenue | Actual to date,14143.2
2022-05,Tender revenue | Annual plan,25000.0
2022-05,Total | % of plan,10.8
2022-05,Total | Actual to date,31496.3
2022-05,Total | Annual plan,291997.0
2022-06,Mineral licence fees | % of plan,48.2
2022-06,Mineral licence fees | Actual to date,15126.7
2022-06,Mineral licence fees | Annual plan,31400.0
2022-06,Mineral services revenue | % of plan,97.9
2022-06,Mineral services revenue | Actual to date,998.6
2022-06,Mineral services revenue | Annual plan,1020.0
2022-06,Petroleum exports | % of plan,0.8
2022-06,Petroleum exports | Actual to date,1774.9
2022-06,Petroleum exports | Annual plan,215447.0
2022-06,Petroleum service revenue | % of plan,100.1
2022-06,Petroleum service revenue | Actual to date,1632.3
2022-06,Petroleum service revenue | Annual plan,1630.0
2022-06,Reimbursement for state-funded exploration | % of plan,3.5
2022-06,Reimbursement for state-funded exploration | Actual to date,620.6
2022-06,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-06,Tender revenue | % of plan,58.2
2022-06,Tender revenue | Actual to date,14543.0
2022-06,Tender revenue | Annual plan,25000.0
2022-06,Total | % of plan,11.9
2022-06,Total | Actual to date,34696.0
2022-06,Total | Annual plan,291997.0
2022-07,Mineral licence fees | % of plan,59.8
2022-07,Mineral licence fees | Actual to date,18776.7
2022-07,Mineral licence fees | Annual plan,31400.0
2022-07,Mineral services revenue | % of plan,104.2
2022-07,Mineral services revenue | Actual to date,1062.9
2022-07,Mineral services revenue | Annual plan,1020.0
2022-07,Petroleum exports | % of plan,0.8
2022-07,Petroleum exports | Actual to date,1774.9
2022-07,Petroleum exports | Annual plan,215447.0
2022-07,Petroleum service revenue | % of plan,100.1
2022-07,Petroleum service revenue | Actual to date,1632.3
2022-07,Petroleum service revenue | Annual plan,1630.0
2022-07,Reimbursement for state-funded exploration | % of plan,4.0
2022-07,Reimbursement for state-funded exploration | Actual to date,694.4
2022-07,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-07,Tender revenue | % of plan,58.2
2022-07,Tender revenue | Actual to date,14543.0
2022-07,Tender revenue | Annual plan,25000.0
2022-07,Total | % of plan,13.2
2022-07,Total | Actual to date,38484.2
2022-07,Total | Annual plan,291997.0
2022-08,Mineral licence fees | % of plan,77.3
2022-08,Mineral licence fees | Actual to date,24263.0
2022-08,Mineral licence fees | Annual plan,31400.0
2022-08,Mineral services revenue | % of plan,108.6
2022-08,Mineral services revenue | Actual to date,1108.2
2022-08,Mineral services revenue | Annual plan,1020.0
2022-08,Petroleum exports | % of plan,16.8
2022-08,Petroleum exports | Actual to date,36161.3
2022-08,Petroleum exports | Annual plan,215447.0
2022-08,Petroleum service revenue | % of plan,100.1
2022-08,Petroleum service revenue | Actual to date,1632.3
2022-08,Petroleum service revenue | Annual plan,1630.0
2022-08,Reimbursement for state-funded exploration | % of plan,4.1
2022-08,Reimbursement for state-funded exploration | Actual to date,718.8
2022-08,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-08,Tender revenue | % of plan,58.2
2022-08,Tender revenue | Actual to date,14543.0
2022-08,Tender revenue | Annual plan,25000.0
2022-08,Total | % of plan,26.9
2022-08,Total | Actual to date,78426.7
2022-08,Total | Annual plan,291997.0
2022-09,Mineral licence fees | % of plan,86.2
2022-09,Mineral licence fees | Actual to date,27069.4
2022-09,Mineral licence fees | Annual plan,31400.0
2022-09,Mineral services revenue | % of plan,111.3
2022-09,Mineral services revenue | Actual to date,1135.5
2022-09,Mineral services revenue | Annual plan,1020.0
2022-09,Petroleum exports | % of plan,33.6
2022-09,Petroleum exports | Actual to date,72448.7
2022-09,Petroleum exports | Annual plan,215447.0
2022-09,Petroleum service revenue | % of plan,110.1
2022-09,Petroleum service revenue | Actual to date,1794.1
2022-09,Petroleum service revenue | Annual plan,1630.0
2022-09,Reimbursement for state-funded exploration | % of plan,6.1
2022-09,Reimbursement for state-funded exploration | Actual to date,1065.7
2022-09,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-09,Tender revenue | % of plan,58.2
2022-09,Tender revenue | Actual to date,14543.0
2022-09,Tender revenue | Annual plan,25000.0
2022-09,Total | % of plan,40.4
2022-09,Total | Actual to date,118056.5
2022-09,Total | Annual plan,291997.0
2022-10,Mineral licence fees | % of plan,96.6
2022-10,Mineral licence fees | Actual to date,30329.5
2022-10,Mineral licence fees | Annual plan,31400.0
2022-10,Mineral services revenue | % of plan,119.2
2022-10,Mineral services revenue | Actual to date,1215.4
2022-10,Mineral services revenue | Annual plan,1020.0
2022-10,Petroleum exports | % of plan,48.1
2022-10,Petroleum exports | Actual to date,103737.3
2022-10,Petroleum exports | Annual plan,215447.0
2022-10,Petroleum service revenue | % of plan,125.2
2022-10,Petroleum service revenue | Actual to date,2041.3
2022-10,Petroleum service revenue | Annual plan,1630.0
2022-10,Reimbursement for state-funded exploration | % of plan,7.2
2022-10,Reimbursement for state-funded exploration | Actual to date,1268.2
2022-10,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-10,Tender revenue | % of plan,58.2
2022-10,Tender revenue | Actual to date,14543.0
2022-10,Tender revenue | Annual plan,25000.0
2022-10,Total | % of plan,52.4
2022-10,Total | Actual to date,153134.8
2022-10,Total | Annual plan,291997.0
2022-11,Mineral licence fees | % of plan,104.7
2022-11,Mineral licence fees | Actual to date,32862.9
2022-11,Mineral licence fees | Annual plan,31400.0
2022-11,Mineral services revenue | % of plan,126.9
2022-11,Mineral services revenue | Actual to date,1294.2
2022-11,Mineral services revenue | Annual plan,1020.0
2022-11,Petroleum exports | % of plan,60.2
2022-11,Petroleum exports | Actual to date,129688.6
2022-11,Petroleum exports | Annual plan,215447.0
2022-11,Petroleum service revenue | % of plan,138.5
2022-11,Petroleum service revenue | Actual to date,2257.8
2022-11,Petroleum service revenue | Annual plan,1630.0
2022-11,Reimbursement for state-funded exploration | % of plan,8.6
2022-11,Reimbursement for state-funded exploration | Actual to date,1497.9
2022-11,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-11,Tender revenue | % of plan,58.2
2022-11,Tender revenue | Actual to date,14543.0
2022-11,Tender revenue | Annual plan,25000.0
2022-11,Total | % of plan,62.4
2022-11,Total | Actual to date,182144.3
2022-11,Total | Annual plan,291997.0
2022-12,Mineral licence fees | % of plan,113.4
2022-12,Mineral licence fees | Actual to date,35598.5
2022-12,Mineral licence fees | Annual plan,31400.0
2022-12,Mineral services revenue | % of plan,135.6
2022-12,Mineral services revenue | Actual to date,1383.0
2022-12,Mineral services revenue | Annual plan,1020.0
2022-12,Petroleum exports | % of plan,74.7
2022-12,Petroleum exports | Actual to date,160996.1
2022-12,Petroleum exports | Annual plan,215447.0
2022-12,Petroleum service revenue | % of plan,138.5
2022-12,Petroleum service revenue | Actual to date,2257.8
2022-12,Petroleum service revenue | Annual plan,1630.0
2022-12,Reimbursement for state-funded exploration | % of plan,11.2
2022-12,Reimbursement for state-funded exploration | Actual to date,1966.8
2022-12,Reimbursement for state-funded exploration | Annual plan,17500.0
2022-12,Tender revenue | % of plan,58.2
2022-12,Tender revenue | Actual to date,14543.0
2022-12,Tender revenue | Annual plan,25000.0
2022-12,Total | % of plan,74.2
2022-12,Total | Actual to date,216745.2
2022-12,Total | Annual plan,291997.0
2023-01,Mineral licence fees | % of plan,5.9
2023-01,Mineral licence fees | Actual to date,1759.8
2023-01,Mineral licence fees | Annual plan,29720.9
2023-01,Other revenue | % of plan,4.0
2023-01,Other revenue | Actual to date,124.9
2023-01,Other revenue | Annual plan,3126.2
2023-01,Petroleum exports | % of plan,6.0
2023-01,Petroleum exports | Actual to date,25499.0
2023-01,Petroleum exports | Annual plan,424971.2
2023-01,Reimbursement for state-funded exploration | % of plan,1.4
2023-01,Reimbursement for state-funded exploration | Actual to date,40.4
2023-01,Reimbursement for state-funded exploration | Annual plan,2962.6
2023-01,Tender revenue | % of plan,0.0
2023-01,Tender revenue | Actual to date,0.0
2023-01,Tender revenue | Annual plan,25000.0
2023-01,Total | % of plan,5.6
2023-01,Total | Actual to date,27424.1
2023-01,Total | Annual plan,485780.9
2023-02,Mineral licence fees | % of plan,15.0
2023-02,Mineral licence fees | Actual to date,4471.1
2023-02,Mineral licence fees | Annual plan,29720.9
2023-02,Other revenue | % of plan,70.0
2023-02,Other revenue | Actual to date,2188.8
2023-02,Other revenue | Annual plan,3126.2
2023-02,Petroleum exports | % of plan,11.9
2023-02,Petroleum exports | Actual to date,50424.7
2023-02,Petroleum exports | Annual plan,424971.2
2023-02,Reimbursement for state-funded exploration | % of plan,2.4
2023-02,Reimbursement for state-funded exploration | Actual to date,70.2
2023-02,Reimbursement for state-funded exploration | Annual plan,2962.6
