сар,үзүүлэлт,утга
2025-10,Импорт,866.77
2025-10,Цэвэр тэнцэл,632.55
2025-11,Экспорт,1495.43
2025-11,Импорт,821.46
2025-11,Цэвэр тэнцэл,673.97
2025-12,Экспорт,2065.29
2025-12,Импорт,1158.19
2025-12,Цэвэр тэнцэл,907.1
2026-01,Экспорт,1677.313
2026-01,Импорт,835.932
2026-01,Цэвэр тэнцэл,841.3810000000001
2026-02,Экспорт,1431.327
2026-02,Импорт,711.818
2026-02,Цэвэр тэнцэл,719.509
2026-03,Экспорт,1829.138
2026-03,Импорт,883.929
2026-03,Цэвэр тэнцэл,945.209
2026-04,Экспорт,1990.524
2026-04,Импорт,1162.754
2026-04,Цэвэр тэнцэл,827.77
2026-05,Экспорт,1474.986
2026-05,Импорт,1213.874
2026-05,Цэвэр тэнцэл,261.1120000000001
2026-06,Экспорт,2094.353
2026-06,Импорт,1175.867
2026-06,Цэвэр тэнцэл,918.486
