date,metric,value
2014-04-01,Total Liabilities,19242.986
2014-04-01,Capital,1941.828
2014-05-01,Total Assets,21127.514
2014-05-01,Total Liabilities,19167.666
2014-05-01,Capital,1959.847
2014-06-01,Total Assets,21389.922
2014-06-01,Total Liabilities,19391.567
2014-06-01,Capital,1998.354
2014-07-01,Total Assets,20948.194
2014-07-01,Total Liabilities,18885.32
2014-07-01,Capital,2062.973
2014-08-01,Total Assets,20730.908
2014-08-01,Total Liabilities,18670.404
2014-08-01,Capital,2060.504
2014-09-01,Total Assets,20916.562
2014-09-01,Total Liabilities,18809.534
2014-09-01,Capital,2107.028
2014-10-01,Total Assets,20955.894
2014-10-01,Total Liabilities,18840.352
2014-10-01,Capital,2115.541
2014-11-01,Total Assets,20583.187
2014-11-01,Total Liabilities,18452.267
2014-11-01,Capital,2130.92
2014-12-01,Total Assets,22562.602
2014-12-01,Total Liabilities,20226.652
2014-12-01,Capital,2335.949
2015-01-01,Total Assets,20603.001
2015-01-01,Total Liabilities,18249.73
2015-01-01,Capital,2353.272
2015-02-01,Total Assets,20720.951
2015-02-01,Total Liabilities,18326.243
2015-02-01,Capital,2394.708
2015-03-01,Total Assets,20759.734
2015-03-01,Total Liabilities,18374.243
2015-03-01,Capital,2385.49
2015-04-01,Total Assets,20480.179
2015-04-01,Total Liabilities,18051.532
2015-04-01,Capital,2428.647
2015-05-01,Total Assets,21446.055
2015-05-01,Total Liabilities,18938.686
2015-05-01,Capital,2507.369
2015-06-01,Total Assets,21846.12
2015-06-01,Total Liabilities,19348.645
2015-06-01,Capital,2497.475
2015-07-01,Total Assets,21443.828
2015-07-01,Total Liabilities,18924.511
2015-07-01,Capital,2519.316
2015-08-01,Total Assets,21581.778
2015-08-01,Total Liabilities,19105.538
2015-08-01,Capital,2476.24
2015-09-01,Total Assets,21300.695
2015-09-01,Total Liabilities,18750.188
2015-09-01,Capital,2550.507
2015-10-01,Total Assets,20721.033
2015-10-01,Total Liabilities,18140.268
2015-10-01,Capital,2580.765
2015-11-01,Total Assets,20696.271
2015-11-01,Total Liabilities,18144.827
2015-11-01,Capital,2551.443
2015-12-01,Total Assets,21506.524
2015-12-01,Total Liabilities,18903.512
2015-12-01,Capital,2603.013
2016-01-01,Total Assets,20843.475
2016-01-01,Total Liabilities,18340.425
2016-01-01,Capital,2503.051
2016-02-01,Total Assets,21830.237
2016-02-01,Total Liabilities,19318.887
2016-02-01,Capital,2511.349
2016-03-01,Total Assets,22028.087
2016-03-01,Total Liabilities,19456.908
2016-03-01,Capital,2571.179
2016-04-01,Total Assets,22215.488
2016-04-01,Total Liabilities,19604.649
2016-04-01,Capital,2610.839
2016-05-01,Total Assets,22210.273
2016-05-01,Total Liabilities,19587.836
2016-05-01,Capital,2622.437
2016-06-01,Total Assets,23297.189
2016-06-01,Total Liabilities,20549.116
2016-06-01,Capital,2748.073
2016-07-01,Total Assets,23944.237
2016-07-01,Total Liabilities,21127.761
2016-07-01,Capital,2816.476
2016-08-01,Total Assets,24203.833
2016-08-01,Total Liabilities,21352.229
2016-08-01,Capital,2851.603
2016-09-01,Total Assets,24642.082
2016-09-01,Total Liabilities,21695.033
2016-09-01,Capital,2947.049
2016-10-01,Total Assets,24710.323
2016-10-01,Total Liabilities,21737.584
2016-10-01,Capital,2972.739
2016-11-01,Total Assets,25035.525
2016-11-01,Total Liabilities,22040.654
2016-11-01,Capital,2994.872
2016-12-01,Total Assets,25323.815
2016-12-01,Total Liabilities,22210.447
2016-12-01,Capital,3113.367
2017-01-01,Total Assets,24912.657
2017-01-01,Total Liabilities,21708.238
2017-01-01,Capital,3204.418
2017-02-01,Total Assets,25136.088
2017-02-01,Total Liabilities,21849.13
2017-02-01,Capital,3286.957
2017-03-01,Total Assets,25159.241
2017-03-01,Total Liabilities,21892.959
2017-03-01,Capital,3266.282
2017-04-01,Total Assets,25185.488
2017-04-01,Total Liabilities,21918.042
2017-04-01,Capital,3267.446
2017-05-01,Total Assets,25691.944
2017-05-01,Total Liabilities,22387.934
2017-05-01,Capital,3304.01
2017-06-01,Total Assets,25765.186
2017-06-01,Total Liabilities,22531.743
2017-06-01,Capital,3233.443
2017-07-01,Total Assets,26683.532
2017-07-01,Total Liabilities,23417.582
2017-07-01,Capital,3265.95
2017-08-01,Total Assets,27480.34
2017-08-01,Total Liabilities,24240.115
2017-08-01,Capital,3240.225
2017-09-01,Total Assets,28062.556
2017-09-01,Total Liabilities,24756.688
2017-09-01,Capital,3305.868
2017-10-01,Total Assets,27761.506
2017-10-01,Total Liabilities,24413.331
2017-10-01,Capital,3348.175
2017-11-01,Total Assets,27651.383
2017-11-01,Total Liabilities,24302.476
2017-11-01,Capital,3348.907
2017-12-01,Total Assets,28769.815
2017-12-01,Total Liabilities,25439.197
2017-12-01,Capital,3330.618
2018-01-01,Total Assets,28027.452
2018-01-01,Total Liabilities,24681.176
2018-01-01,Capital,3346.276
2018-02-01,Total Assets,28551.309
2018-02-01,Total Liabilities,25193.067
2018-02-01,Capital,3358.243
2018-03-01,Total Assets,28931.117
2018-03-01,Total Liabilities,25585.373
2018-03-01,Capital,3345.744
2018-04-01,Total Assets,28878.745
2018-04-01,Total Liabilities,25473.628
2018-04-01,Capital,3405.117
2018-05-01,Total Assets,29820.264
2018-05-01,Total Liabilities,26372.42
2018-05-01,Capital,3447.844
2018-06-01,Total Assets,30255.796
2018-06-01,Total Liabilities,26894.344
2018-06-01,Capital,3361.452
2018-07-01,Total Assets,30035.633
2018-07-01,Total Liabilities,26702.369
2018-07-01,Capital,3333.264
2018-08-01,Total Assets,30178.075
2018-08-01,Total Liabilities,26949.982
2018-08-01,Capital,3228.093
2018-09-01,Total Assets,31030.494
2018-09-01,Total Liabilities,27751.415
2018-09-01,Capital,3279.079
2018-10-01,Total Assets,31150.913
2018-10-01,Total Liabilities,28162.171
2018-10-01,Capital,2988.741
2018-11-01,Total Assets,31912.239
2018-11-01,Total Liabilities,28910.746
2018-11-01,Capital,3001.494
2018-12-01,Total Assets,33049.756
2018-12-01,Total Liabilities,29622.216
2018-12-01,Capital,3427.54
2019-01-01,Total Assets,32687.102
2019-01-01,Total Liabilities,29208.191
2019-01-01,Capital,3478.911
2019-02-01,Total Assets,32761.712
2019-02-01,Total Liabilities,29275.65
2019-02-01,Capital,3486.062
2019-03-01,Total Assets,33512.61
2019-03-01,Total Liabilities,29995.989
2019-03-01,Capital,3516.621
2019-04-01,Total Assets,33502.7
2019-04-01,Total Liabilities,29806.43
2019-04-01,Capital,3696.269
2019-05-01,Total Assets,33742.979
2019-05-01,Total Liabilities,29995.768
2019-05-01,Capital,3747.21
2019-06-01,Total Assets,34577.607
2019-06-01,Total Liabilities,30806.639
2019-06-01,Capital,3770.968
2019-07-01,Total Assets,34122.266
2019-07-01,Total Liabilities,30335.795
2019-07-01,Capital,3786.471
2019-08-01,Total Assets,34519.93
2019-08-01,Total Liabilities,30754.468
2019-08-01,Capital,3765.462
2019-09-01,Total Assets,34827.392
2019-09-01,Total Liabilities,31032.517
2019-09-01,Capital,3794.875
2019-10-01,Total Assets,34819.298
2019-10-01,Total Liabilities,31102.362
2019-10-01,Capital,3716.936
2019-11-01,Total Assets,34792.688
2019-11-01,Total Liabilities,31069.197
2019-11-01,Capital,3723.491
2019-12-01,Total Assets,35718.271
2019-12-01,Total Liabilities,32021.036
2019-12-01,Capital,3697.235
2020-01-01,Total Assets,35080.846
