огноо,чуулган,товлосон_цаг,эхэлсэн_цаг,цагийн_мэдээллийн_төлөв,өгөгдлийн_төлөв,эх_сурвалжийн_нийтлэл,эх_файлын_холбоос,үзүүлэлт,утга,нэгж
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Биеэр оролцсон хувь,83.3,хувь
2024-11-15,Намрын ээлжит чуулган,,10:00,Зөвхөн бодит эхлэлтэй,Эцсийн,https://www.parliament.mn/nn/63350/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,67.6,хувь
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Хэлэлцэх асуудал,0,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Хуралдаан эхэлсэн хоцролт,2,минут
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Албан ёсоор цагтаа ирсэн,69,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Албан ёсоор хоцорсон,25,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Чөлөөтэй,3,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Эмнэлгийн чөлөө,3,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Орон нутгийн томилолт,0,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Гадаад томилолт,22,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Тайлбаргүй тасалсан,4,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Биеэр оролцсон,94,тоо
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Биеэр оролцсон хувь,74.6,хувь
2024-11-21,Намрын ээлжит чуулган,10:00,10:02,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63402/,,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,73.4,хувь
2024-11-22,Намрын ээлжит чуулган,15:00,15:06,Бүрэн,Эцсийн,https://www.parliament.mn/nn/63410/,,Хэлэлцэх асуудал,1,тоо
