region,month,deaths
Govisumber,2018-04,4
Khentii,2018-04,40
Khovd,2018-04,36
Khuvsgul,2018-04,68
Orkhon,2018-04,40
Selenge,2018-04,36
Sukhbaatar,2018-04,25
Tuv,2018-04,34
Ulaanbaatar,2018-04,615
Umnugovi,2018-04,32
Uvs,2018-04,39
Uvurkhangai,2018-04,59
Zavkhan,2018-04,28
Arkhangai,2018-05,43
Bayan-Ulgii,2018-05,39
Bayankhongor,2018-05,43
Bulgan,2018-05,23
Darkhan-Uul,2018-05,49
Dornod,2018-05,28
Dornogovi,2018-05,32
Dundgovi,2018-05,25
Govi-Altai,2018-05,20
Govisumber,2018-05,8
Khentii,2018-05,31
Khovd,2018-05,28
Khuvsgul,2018-05,80
Orkhon,2018-05,35
Selenge,2018-05,45
Sukhbaatar,2018-05,18
Tuv,2018-05,39
Ulaanbaatar,2018-05,685
Umnugovi,2018-05,29
Uvs,2018-05,49
Uvurkhangai,2018-05,56
Zavkhan,2018-05,27
Arkhangai,2018-06,44
Bayan-Ulgii,2018-06,38
Bayankhongor,2018-06,42
Bulgan,2018-06,21
Darkhan-Uul,2018-06,50
Dornod,2018-06,31
Dornogovi,2018-06,31
Dundgovi,2018-06,17
Govi-Altai,2018-06,21
Govisumber,2018-06,4
Khentii,2018-06,41
Khovd,2018-06,33
Khuvsgul,2018-06,66
Orkhon,2018-06,40
Selenge,2018-06,36
Sukhbaatar,2018-06,33
Tuv,2018-06,34
Ulaanbaatar,2018-06,638
Umnugovi,2018-06,23
Uvs,2018-06,44
Uvurkhangai,2018-06,54
Zavkhan,2018-06,26
Arkhangai,2018-07,45
Bayan-Ulgii,2018-07,36
Bayankhongor,2018-07,37
Bulgan,2018-07,30
Darkhan-Uul,2018-07,50
Dornod,2018-07,46
Dornogovi,2018-07,43
Dundgovi,2018-07,25
Govi-Altai,2018-07,24
Govisumber,2018-07,9
Khentii,2018-07,31
Khovd,2018-07,25
Khuvsgul,2018-07,64
Orkhon,2018-07,49
Selenge,2018-07,39
Sukhbaatar,2018-07,40
Tuv,2018-07,52
Ulaanbaatar,2018-07,721
Umnugovi,2018-07,27
Uvs,2018-07,45
Uvurkhangai,2018-07,65
Zavkhan,2018-07,30
Arkhangai,2018-08,50
Bayan-Ulgii,2018-08,41
Bayankhongor,2018-08,32
Bulgan,2018-08,25
Darkhan-Uul,2018-08,44
Dornod,2018-08,43
Dornogovi,2018-08,30
Dundgovi,2018-08,21
Govi-Altai,2018-08,25
Govisumber,2018-08,2
Khentii,2018-08,23
Khovd,2018-08,34
Khuvsgul,2018-08,73
Orkhon,2018-08,47
Selenge,2018-08,39
Sukhbaatar,2018-08,32
Tuv,2018-08,54
Ulaanbaatar,2018-08,628
Umnugovi,2018-08,22
Uvs,2018-08,39
Uvurkhangai,2018-08,60
Zavkhan,2018-08,27
Arkhangai,2018-09,35
Bayan-Ulgii,2018-09,34
Bayankhongor,2018-09,40
Bulgan,2018-09,20
Darkhan-Uul,2018-09,50
Dornod,2018-09,30
Dornogovi,2018-09,34
Dundgovi,2018-09,29
Govi-Altai,2018-09,21
Govisumber,2018-09,7
Khentii,2018-09,24
Khovd,2018-09,32
Khuvsgul,2018-09,55
Orkhon,2018-09,42
Selenge,2018-09,51
Sukhbaatar,2018-09,40
Tuv,2018-09,33
Ulaanbaatar,2018-09,723
Umnugovi,2018-09,27
Uvs,2018-09,36
Uvurkhangai,2018-09,58
Zavkhan,2018-09,39
Arkhangai,2018-10,43
Bayan-Ulgii,2018-10,41
Bayankhongor,2018-10,37
Bulgan,2018-10,33
Darkhan-Uul,2018-10,45
Dornod,2018-10,32
Dornogovi,2018-10,32
Dundgovi,2018-10,18
Govi-Altai,2018-10,21
Govisumber,2018-10,9
Khentii,2018-10,35
Khovd,2018-10,41
Khuvsgul,2018-10,66
Orkhon,2018-10,50
Selenge,2018-10,51
Sukhbaatar,2018-10,28
Tuv,2018-10,32
Ulaanbaatar,2018-10,705
Umnugovi,2018-10,25
Uvs,2018-10,42
Uvurkhangai,2018-10,47
Zavkhan,2018-10,28
Arkhangai,2018-11,40
Bayan-Ulgii,2018-11,40
Bayankhongor,2018-11,41
Bulgan,2018-11,19
Darkhan-Uul,2018-11,41
Dornod,2018-11,37
Dornogovi,2018-11,37
Dundgovi,2018-11,18
Govi-Altai,2018-11,35
Govisumber,2018-11,4
Khentii,2018-11,19
Khovd,2018-11,20
Khuvsgul,2018-11,67
Orkhon,2018-11,52
Selenge,2018-11,49
Sukhbaatar,2018-11,24
Tuv,2018-11,27
Ulaanbaatar,2018-11,661
Umnugovi,2018-11,22
Uvs,2018-11,22
Uvurkhangai,2018-11,49
Zavkhan,2018-11,37
Arkhangai,2018-12,36
Bayan-Ulgii,2018-12,48
Bayankhongor,2018-12,41
Bulgan,2018-12,32
Darkhan-Uul,2018-12,46
Dornod,2018-12,36
Dornogovi,2018-12,35
Dundgovi,2018-12,18
Govi-Altai,2018-12,34
Govisumber,2018-12,6
Khentii,2018-12,32
Khovd,2018-12,38
Khuvsgul,2018-12,68
Orkhon,2018-12,41
Selenge,2018-12,49
Sukhbaatar,2018-12,31
Tuv,2018-12,42
Ulaanbaatar,2018-12,810
Umnugovi,2018-12,34
Uvs,2018-12,42
