code,khoroo,district_code,district,area_km2,lon,lat
1519,19-r khoroo,15,Chingeltei,7.116,106.908567,47.991517
1520,20-r khoroo,15,Chingeltei,1.568,106.870105,47.951853
1521,21-r khoroo,15,Chingeltei,2.551,106.885066,47.952002
1522,22-r khoroo,15,Chingeltei,1.901,106.878107,47.964337
1523,23-r khoroo,15,Chingeltei,6.697,106.872657,47.996868
1524,24-r khoroo,15,Chingeltei,55.19,106.876629,48.065048
1528,28-r khoroo,18,Songinokhairkhan,1.412,106.856327,47.95788
1601,1-r khoroo,16,Bayangol,0.247,106.885962,47.910618
1602,2-r khoroo,16,Bayangol,0.321,106.884776,47.915405
1603,3-r khoroo,16,Bayangol,0.425,106.893586,47.910319
1604,4-r khoroo,16,Bayangol,0.206,106.880789,47.912731
1605,5-r khoroo,16,Bayangol,0.281,106.861006,47.914595
1606,6-r khoroo,16,Bayangol,0.339,106.871168,47.916293
1607,7-r khoroo,16,Bayangol,0.156,106.863866,47.920232
1608,8-r khoroo,16,Bayangol,0.203,106.873173,47.92034
1609,9-r khoroo,16,Bayangol,0.51,106.862167,47.92839
1610,10-r khoroo,16,Bayangol,0.742,106.86711,47.931023
1611,11-r khoroo,16,Bayangol,0.793,106.885738,47.929429
1612,12-r khoroo,16,Bayangol,0.103,106.881494,47.927053
1613,13-r khoroo,16,Bayangol,0.18,106.871037,47.923665
1614,14-r khoroo,16,Bayangol,0.14,106.879574,47.923959
1615,15-r khoroo,16,Bayangol,0.143,106.886019,47.92459
1616,16-r khoroo,16,Bayangol,0.564,106.894637,47.920382
1617,17-r khoroo,16,Bayangol,0.121,106.888846,47.920395
1618,18-r khoroo,16,Bayangol,0.239,106.884472,47.920827
1619,19-r khoroo,16,Bayangol,0.246,106.878566,47.920078
1620,20-r khoroo,16,Bayangol,9.601,106.805034,47.895422
1621,21-r khoroo,16,Bayangol,0.888,106.857084,47.927861
1622,22-r khoroo,16,Bayangol,1.055,106.869815,47.936267
1623,23-r khoroo,16,Bayangol,0.812,106.877668,47.937603
1624,24-r khoroo,16,Bayangol,0.728,106.883084,47.905496
1625,25-r khoroo,16,Bayangol,1.156,106.863923,47.908781
1626,26-r khoroo,16,Bayangol,0.633,106.899779,47.905816
1627,27-r khoroo,16,Bayangol,0.35,106.877421,47.910548
1628,28-r khoroo,16,Bayangol,0.129,106.861815,47.912624
1629,29-r khoroo,16,Bayangol,2.827,106.842144,47.905002
1630,30-r khoroo,16,Bayangol,0.205,106.86033,47.917109
1631,31-r khoroo,16,Bayangol,0.159,106.858369,47.919898
1632,32-r khoroo,16,Bayangol,0.143,106.868315,47.920376
1633,33-r khoroo,16,Bayangol,0.153,106.886567,47.917445
1634,34-r khoroo,16,Bayangol,0.078,106.878277,47.926497
1701,1-r khoroo,17,Khan-Uul,0.335,106.907885,47.902693
1702,2-r khoroo,17,Khan-Uul,0.287,106.9006,47.90129
1703,3-r khoroo,17,Khan-Uul,6.663,106.855851,47.895189
1704,4-r khoroo,17,Khan-Uul,2.628,106.834159,47.879179
1705,5-r khoroo,17,Khan-Uul,1.178,106.818903,47.876086
1706,6-r khoroo,17,Khan-Uul,0.863,106.81146,47.872536
1707,7-r khoroo,17,Khan-Uul,1.011,106.805732,47.874508
1708,8-r khoroo,17,Khan-Uul,44.878,106.809439,47.821632
1709,9-r khoroo,17,Khan-Uul,4.218,106.75497,47.870942
1710,10-r khoroo,17,Khan-Uul,10.976,106.722696,47.855998
1711,11-r khoroo,17,Khan-Uul,22.971,106.925373,47.854293
1712,12-r khoroo,17,Khan-Uul,56.643,106.66421,47.830939
1713,13-r khoroo,17,Khan-Uul,124.812,106.573081,47.781236
1714,14-r khoroo,17,Khan-Uul,150.038,106.792189,47.767774
1715,15-r khoroo,17,Khan-Uul,1.312,106.920288,47.903743
1716,16-r khoroo,17,Khan-Uul,1.507,106.773799,47.863574
1717,17-r khoroo,17,Khan-Uul,1.61,106.924104,47.891608
1718,18-r khoroo,17,Khan-Uul,0.861,106.922066,47.897202
1719,19-r khoroo,17,Khan-Uul,1.151,106.901894,47.893482
1720,20-r khoroo,17,Khan-Uul,1.672,106.885268,47.89195
1721,21-r khoroo,17,Khan-Uul,21.398,106.75276,47.831417
1722,22-r khoroo,17,Khan-Uul,10.749,106.893371,47.869844
1723,23-r khoroo,17,Khan-Uul,24.581,106.85972,47.841481
1724,24-r khoroo,17,Khan-Uul,6.709,106.867269,47.87004
1725,25-r khoroo,17,Khan-Uul,0.813,106.778838,47.859436
1801,1-r khoroo,18,Songinokhairkhan,19.735,106.756942,47.970651
1802,2-r khoroo,18,Songinokhairkhan,1.407,106.77528,47.920502
1803,3-r khoroo,18,Songinokhairkhan,1.485,106.789462,47.921879
1804,4-r khoroo,18,Songinokhairkhan,1.415,106.803569,47.921699
1805,5-r khoroo,18,Songinokhairkhan,0.909,106.81481,47.933056
1806,6-r khoroo,18,Songinokhairkhan,1.025,106.822297,47.931203
1807,7-r khoroo,18,Songinokhairkhan,1.775,106.826724,47.942829
1808,8-r khoroo,18,Songinokhairkhan,2.158,106.840556,47.947877
1809,9-r khoroo,18,Songinokhairkhan,1.306,106.829237,47.960673
1810,10-r khoroo,18,Songinokhairkhan,4.097,106.849707,47.968933
1811,11-r khoroo,18,Songinokhairkhan,1.343,106.856787,47.948435
1812,12-r khoroo,18,Songinokhairkhan,0.185,106.852566,47.915185
1813,13-r khoroo,18,Songinokhairkhan,0.176,106.84817,47.914875
1814,14-r khoroo,18,Songinokhairkhan,0.152,106.836157,47.914491
1815,15-r khoroo,18,Songinokhairkhan,0.184,106.843838,47.914707
1816,16-r khoroo,18,Songinokhairkhan,0.189,106.839891,47.914771
1817,17-r khoroo,18,Songinokhairkhan,0.163,106.832768,47.913324
1818,18-r khoroo,18,Songinokhairkhan,0.345,106.81446,47.912479
1819,19-r khoroo,18,Songinokhairkhan,0.339,106.814594,47.918205
1820,20-r khoroo,18,Songinokhairkhan,20.566,106.75271,47.89232
1821,21-r khoroo,18,Songinokhairkhan,817.382,106.614896,48.124865
1822,22-r khoroo,18,Songinokhairkhan,4.405,106.730989,47.912723
1823,23-r khoroo,18,Songinokhairkhan,0.876,106.826649,47.920519
1824,24-r khoroo,18,Songinokhairkhan,29.471,106.787421,48.012962
1825,25-r khoroo,18,Songinokhairkhan,4.775,106.838273,47.980274
1826,26-r khoroo,18,Songinokhairkhan,2.884,106.800528,47.937854
1827,27-r khoroo,18,Songinokhairkhan,0.27,106.812227,47.923496
1829,29-r khoroo,18,Songinokhairkhan,0.446,106.824217,47.912916
1830,30-r khoroo,18,Songinokhairkhan,0.821,106.836354,47.923077
1831,31-r khoroo,18,Songinokhairkhan,1.832,106.851788,47.93244
1832,32-r khoroo,18,Songinokhairkhan,116.543,106.598195,47.899812
1833,33-r khoroo,18,Songinokhairkhan,57.045,106.668966,47.95186
1834,34-r khoroo,18,Songinokhairkhan,48.756,106.724256,47.98322
1835,35-r khoroo,18,Songinokhairkhan,2.492,106.771365,47.939086
1836,36-r khoroo,18,Songinokhairkhan,5.978,106.782225,47.952996
1837,37-r khoroo,18,Songinokhairkhan,0.247,106.819955,47.918828
1838,38-r khoroo,18,Songinokhairkhan,0.693,106.802831,47.912786
1839,39-r khoroo,18,Songinokhairkhan,1.287,106.834531,47.932655
1840,40-r khoroo,18,Songinokhairkhan,2.094,106.817313,47.952441
1841,41-r khoroo,18,Songinokhairkhan,4.98,106.799014,47.96017
1842,42-r khoroo,18,Songinokhairkhan,30.382,106.83141,48.023911
1843,43-r khoroo,18,Songinokhairkhan,0.919,106.843568,47.926194
1901,1-r khoroo,19,Bagakhangai,89.19,107.418961,47.365434
1902,2-r khoroo,19,Bagakhangai,64.604,107.482653,47.38591
