id,сургууль,хаяг,дүүргийн_код,дүүрэг,хорооны_код,хороо,lon,lat
5075,УБ Элит сургууль,"СБД 2-р хороо, Сөүлийн гудамж,",14,Сүхбаатар,1402,2-р хороо,106.910568,47.912741
5123,Сант бүрэн дунд сургууль,"СБД 2-р хороо, Усны гудамж 23, Өөрийн байранд",14,Сүхбаатар,1402,2-р хороо,106.907961,47.909009
5134,Өсвөрийн зохион бүтээгчдийн сургууль,"СБД 2-р хороо, Ёөүлийн гудамж, 1-р сургуулийн замын баруун урд",14,Сүхбаатар,1402,2-р хороо,106.910639,47.91411
5187,Элбэг бага сургууль,"СБД 2-р хороо, Усны гудамж 12/2",14,Сүхбаатар,1402,2-р хороо,106.908992,47.910824
5188,Бичил ертөнц,"СБД 2-р хороо, Тээвэрчдийн гудамж, Урбанек ХХК байр 300",14,Сүхбаатар,1402,2-р хороо,106.907991,47.908671
5257,Өсвөрийн зохион бүтээгчдийн сургууль,"СБД 2-р хороо, Сөүлийн гудамж 8",14,Сүхбаатар,1402,2-р хороо,106.910402,47.913717
5297,Эрдмийн уурхай,"СБД 2-р хороо, Усны гудамж 29",14,Сүхбаатар,1402,2-р хороо,106.910283,47.911208
5016,Монгол-Оросын хамтарсан сургууль /3-р сургууль/,"СБД 3-р хороо Далай ээж захын урд,",14,Сүхбаатар,1403,3-р хороо,106.903833,47.911207
5258,Монгол-Оросын хамтарсан сургууль,"СБД 3-р хороо, Усны гудамж 38",14,Сүхбаатар,1403,3-р хороо,106.903235,47.910884
5021,45-р сургууль,СБД 4-р хороо Намнансүрэнгийн гуд,14,Сүхбаатар,1404,4-р хороо,106.903172,47.913599
5259,45-р сургууль,"СБД 4-р хороо, Намнансүрэнгийн гудамж С45",14,Сүхбаатар,1404,4-р хороо,106.902897,47.914059
5029,6-р сургууль,СБД 5-р хороо үндсэн хуулийн гудамж,14,Сүхбаатар,1405,5-р хороо,106.89804,47.910454
5061,11-р сургууль,"СБД 5-р хороо, Партизаны гудамж.",14,Сүхбаатар,1405,5-р хороо,106.898311,47.915006
5093,Кингс кидс сургууль,"СБД 6-р хороо, Их тойруу-49, Тулга ХХК",14,Сүхбаатар,1406,6-р хороо,106.919137,47.928723
5127,Ес эрдэм бүрэн дунд сургууль,"СБД 6-р хороо,Хүүхдийн урлан бүтээх төвийн замын эсрэг талд ""ТҮШЭЭ"" дээд сургуулын 5 -р давхарт",14,Сүхбаатар,1406,6-р хороо,106.917123,47.925671
5190,ҮБТДС-ийн харьяа ЕБС-ийн ахлах сургууль,СБД 6-р хороо Их тойруу-49,14,Сүхбаатар,1406,6-р хороо,106.918662,47.928685
5245,Күнз бага сургууль,"СБД 6-р хороо, Бага тойруу",14,Сүхбаатар,1406,6-р хороо,106.920936,47.923922
4989,2-р сургууль,СБД 7-р хороо 11-р хороолол Хуучин гэмтэлийн эмнэлэгийн ард,14,Сүхбаатар,1407,7-р хороо,106.924536,47.926482
5092,Монгол улсын консерватори,"СБД 7-р хороо, Залуучуудын өргөн чөлөө",14,Сүхбаатар,1407,7-р хороо,106.926437,47.92364
5094,Эрдэм төгс дунд сургууль,"СБД 8-р хороо, 11-р хороололд",14,Сүхбаатар,1407,7-р хороо,106.92729,47.927226
5097,"МУИС-ийн “Байгаль-Эх"" лицей","СБД 7-р хороо, 11-р хороолол, Эрхүүгийн гудамж, Ардчиллын ордны ар талд.",14,Сүхбаатар,1407,7-р хороо,106.929002,47.925571
5186,Дойче шуле сургууль,СБД 7-р хороо 17/1-р байр,14,Сүхбаатар,1407,7-р хороо,106.924504,47.9279
5256,2-р сургууль,"СБД 7-р хороо, Ж.Батмөнхийн гудамж С2, 11-р хороолол",14,Сүхбаатар,1407,7-р хороо,106.924801,47.927053
5063,25-р сургууль,СБД 8-р хороо,14,Сүхбаатар,1408,8-р хороо,106.929575,47.92097
5096,Хобби сургууль,"СБД 8-р хороо, Залуучуудын гудамж 25",14,Сүхбаатар,1408,8-р хороо,106.928005,47.920954
5121,Хүлэг ахлах сургууль,"СБД 8-р хороо, Бээжингийн гудамж-29",14,Сүхбаатар,1408,8-р хороо,106.928786,47.920789
5122,Үй Цай сургууль,"СБД 8-р хороо,Энхтайваны өргөн чөлөө",14,Сүхбаатар,1408,8-р хороо,106.928588,47.920046
5125,Логарифм сургууль,"СБД 8-р хороо,Оюутны гудамж, Логарифм сургуулийн байр",14,Сүхбаатар,1408,8-р хороо,106.92707,47.922193
5148,Хөгжлийн гүүр дунд сургууль,"СБД 8-р хороо, МУИС-ын Санхүүгийн сургуулийн хойно",14,Сүхбаатар,1408,8-р хороо,106.920713,47.925967
5158,"Биеийн тамир, спортын дунд сургууль","СБД 8-р хороо, Спорт ордог дотор",14,Сүхбаатар,1408,8-р хороо,106.923957,47.920664
5184,МУБИС-ийн харьяа ЕБСургууль,"СБД 8-р хороо, Бага тойруу -14, Улаанбаатар-48",14,Сүхбаатар,1408,8-р хороо,106.924525,47.919194
5243,Хаан эрдэм сургууль,"СБД 8 -р хороо, Ж.Батмөнхийн гудамж",14,Сүхбаатар,1408,8-р хороо,106.922478,47.926676
5244,ШУТИС харьяа ШУТАСургууль,"СБД 8-р хороо, Бага тойруу",14,Сүхбаатар,1408,8-р хороо,106.922064,47.925119
5002,4-р сургууль,СБД 9-р хороо Алтайн гудамж,14,Сүхбаатар,1409,9-р хороо,106.91321,47.929921
5124,Галакси сургууль,"СБД 9-р хороо, Алтайн-28, 4-р сургуулийн хойно.",14,Сүхбаатар,1409,9-р хороо,106.913307,47.930345
4991,3-р сургууль,"СБД 9-р хороо,100 айлын баруун тал Өдрийн сонингийн байрны хойно",14,Сүхбаатар,1410,10-р хороо,106.919367,47.929756
5062,16-р сургууль,"СБД 10-р хороо, Цагдаагийн гудамж",14,Сүхбаатар,1410,10-р хороо,106.920268,47.93236
5095,Оюуны тулга сургууль,"СБД 10-р хороо, 20/2 Оюуны Тулга сургууль",14,Сүхбаатар,1410,10-р хороо,106.920164,47.930315
5126,Ертөнц сургууль,"СБД 10-р хороо, 19 байр",14,Сүхбаатар,1410,10-р хороо,106.921399,47.931496
5189,Путонхуа сургууль,СБД 10-р хороо Мон-Асиа 7а байр,14,Сүхбаатар,1410,10-р хороо,106.91825,47.930311
5191,Номын гялбаа сургууль,СБД 10 р хороо  48-2,14,Сүхбаатар,1410,10-р хороо,106.92385,47.929891
5049,29-р сургууль /Тусгай сургууль/,"СБД 11-р хороо, ЭМН-ийн хойно",14,Сүхбаатар,1411,11-р хороо,106.929197,47.932696
5100,Монгол Хятад найрамдал сургууль,"СБД 11-р хороо, Цагдаагийн гудамж 55 тоот, 100 айл,СУИС 2-р байрын хажууд",14,Сүхбаатар,1411,11-р хороо,106.924211,47.933485
5159,116-р сургууль,"СБД 11-р хороо, 29-р сургуулийн хашаанд",14,Сүхбаатар,1411,11-р хороо,106.929339,47.931991
