он,сар,province_mn,бензин_а80_төг,бензин_аи92_төг,бензин_аи95_төг,дизель_төг
2022,4,Завхан,2840.0,2890.0,,3370.0
2022,5,Архангай,2450.0,2500.0,3380.0,3440.0
2022,5,Баян-Өлгий,2680.0,2700.0,,3250.0
2022,5,Баянхонгор,2480.0,2530.0,,3430.0
2022,5,Булган,2470.0,2520.0,3430.0,3430.0
2022,5,Дархан-Уул,2420.0,2470.0,3370.0,3430.0
2022,5,Дорнод,2500.0,2530.0,3390.0,3340.0
2022,5,Дорноговь,2480.0,2580.0,3340.0,3500.0
2022,5,Дундговь,2480.0,2530.0,3360.0,3470.0
2022,5,Говь-Алтай,2750.0,2800.0,,3430.0
2022,5,Говьсүмбэр,2430.0,2480.0,3360.0,3460.0
2022,5,Хэнтий,2500.0,2550.0,3350.0,3430.0
2022,5,Ховд,2870.0,2910.0,,3400.0
2022,5,Хөвсгөл,2540.0,2590.0,3420.0,3470.0
2022,5,Орхон,2470.0,2490.0,3390.0,3430.0
2022,5,Сэлэнгэ,2490.0,2520.0,3390.0,3430.0
2022,5,Сүхбаатар,2520.0,2570.0,3430.0,3530.0
2022,5,Төв,2425.0,2440.0,3310.0,3380.0
2022,5,Улаанбаатар,2350.0,2390.0,3260.0,3430.0
2022,5,Өмнөговь,2495.0,2545.0,,3440.0
2022,5,Увс,2850.0,2900.0,,3390.0
2022,5,Өвөрхангай,2420.0,2470.0,3370.0,3430.0
2022,5,Завхан,2840.0,2890.0,,3420.0
2022,6,Архангай,3200.0,2500.0,4030.0,3740.0
2022,6,Баян-Өлгий,2680.0,2700.0,,3700.0
2022,6,Баянхонгор,3210.0,2530.0,,3730.0
2022,6,Булган,3150.0,2520.0,4080.0,3730.0
2022,6,Дархан-Уул,2650.0,2470.0,4020.0,3730.0
2022,6,Дорнод,2500.0,2530.0,4040.0,3640.0
2022,6,Дорноговь,3250.0,2520.0,3990.0,3800.0
2022,6,Дундговь,3180.0,2530.0,4010.0,3770.0
2022,6,Говь-Алтай,2920.0,2970.0,,3890.0
2022,6,Говьсүмбэр,3170.0,2480.0,4010.0,3760.0
2022,6,Хэнтий,3180.0,2520.0,4000.0,3730.0
2022,6,Ховд,2770.0,2800.0,,3700.0
2022,6,Хөвсгөл,3160.0,2590.0,4070.0,3770.0
2022,6,Орхон,3100.0,2490.0,4040.0,3730.0
2022,6,Сэлэнгэ,2650.0,2500.0,4030.0,3730.0
2022,6,Сүхбаатар,2520.0,2570.0,4080.0,3830.0
2022,6,Төв,3140.0,2440.0,3960.0,3735.0
2022,6,Улаанбаатар,3150.0,2390.0,3910.0,3730.0
2022,6,Өмнөговь,3200.0,2545.0,,3440.0
2022,6,Увс,2850.0,2900.0,,3690.0
2022,6,Өвөрхангай,3190.0,2470.0,4020.0,3730.0
2022,6,Завхан,3210.0,2890.0,,3720.0
2022,7,Архангай,3200.0,2500.0,,3740.0
2022,7,Баян-Өлгий,2680.0,2700.0,,4000.0
2022,7,Баянхонгор,3210.0,2530.0,,4030.0
2022,7,Булган,3150.0,2520.0,4380.0,4030.0
2022,7,Дархан-Уул,2650.0,2470.0,4320.0,4030.0
2022,7,Дорнод,2500.0,2530.0,4340.0,4040.0
2022,7,Дорноговь,3250.0,2520.0,4290.0,4100.0
2022,7,Дундговь,3180.0,2530.0,4310.0,4070.0
2022,7,Говь-Алтай,2920.0,2970.0,,4190.0
2022,7,Говьсүмбэр,3170.0,2480.0,4310.0,4060.0
2022,7,Хэнтий,3180.0,2520.0,4300.0,4030.0
2022,7,Ховд,2770.0,2800.0,,3700.0
2022,7,Хөвсгөл,3160.0,2590.0,4370.0,4070.0
2022,7,Орхон,3100.0,2490.0,4340.0,4030.0
2022,7,Сэлэнгэ,2650.0,2500.0,4330.0,4030.0
2022,7,Сүхбаатар,2550.0,2570.0,4380.0,4130.0
2022,7,Төв,3140.0,2440.0,4260.0,4035.0
2022,7,Улаанбаатар,3150.0,2390.0,4210.0,4030.0
2022,7,Өмнөговь,3200.0,2545.0,4290.0,4040.0
2022,7,Увс,2850.0,2900.0,,3990.0
2022,7,Өвөрхангай,3190.0,2470.0,4320.0,4030.0
2022,7,Завхан,3210.0,2890.0,,3720.0
2022,8,Архангай,2480.0,2500.0,,3740.0
2022,8,Баян-Өлгий,2680.0,2700.0,,3690.0
2022,8,Баянхонгор,2480.0,2530.0,,3720.0
2022,8,Булган,2520.0,2520.0,4020.0,3720.0
2022,8,Дархан-Уул,2470.0,2470.0,3990.0,3720.0
2022,8,Дорнод,2500.0,2530.0,4030.0,3740.0
2022,8,Дорноговь,2470.0,2580.0,3980.0,3790.0
2022,8,Дундговь,2510.0,2530.0,3980.0,3770.0
2022,8,Говь-Алтай,2780.0,2890.0,,3720.0
2022,8,Говьсүмбэр,2460.0,2480.0,4010.0,3760.0
2022,8,Хэнтий,2500.0,2520.0,4000.0,3730.0
2022,8,Ховд,2745.0,2800.0,4190.0,3690.0
