product,region,date,price
Таваарын буудай,Орхон,2020-11,700000.0
Үрийн буудай,Орхон,2020-11,800000.0
Таваарын буудай,Сэлэнгэ,2020-11,575000.0
Таваарын буудай,Сүхбаатар,2020-11,7000.0
Таваарын буудай,Төв,2020-11,734000.0
Үрийн буудай,Төв,2020-11,912000.0
Үрийн буудай,Увс,2020-11,600000.0
Таваарын буудай,Завхан,2020-11,500000.0
Үрийн буудай,Завхан,2020-11,675000.0
Таваарын буудай,Архангай,2020-12,900000.0
Таваарын буудай,Баянхонгор,2020-12,900000.0
Таваарын буудай,Булган,2020-12,670000.0
Үрийн буудай,Булган,2020-12,775000.0
Таваарын буудай,Дорнод,2020-12,600000.0
Үрийн буудай,Дорнод,2020-12,900000.0
Таваарын буудай,Орхон,2020-12,660000.0
Үрийн буудай,Орхон,2020-12,830000.0
Таваарын буудай,Сэлэнгэ,2020-12,650000.0
Таваарын буудай,Төв,2020-12,786667.0
Үрийн буудай,Төв,2020-12,920000.0
Таваарын буудай,Увс,2020-12,700000.0
Үрийн буудай,Увс,2020-12,800000.0
Үрийн буудай,Завхан,2020-12,650000.0
Таваарын буудай,Булган,2021-01,680000.0
Үрийн буудай,Булган,2021-01,850000.0
Таваарын буудай,Дорнод,2021-01,600000.0
Үрийн буудай,Дорнод,2021-01,900000.0
Үрийн буудай,Хэнтий,2021-01,660000.0
Таваарын буудай,Орхон,2021-01,660000.0
Үрийн буудай,Орхон,2021-01,830000.0
Таваарын буудай,Төв,2021-01,677500.0
Үрийн буудай,Төв,2021-01,957500.0
Таваарын буудай,Өвөрхангай,2021-01,900000.0
Үрийн буудай,Өвөрхангай,2021-01,950000.0
Таваарын буудай,Завхан,2021-01,600000.0
Үрийн буудай,Завхан,2021-01,700000.0
Таваарын буудай,Булган,2021-02,680000.0
Үрийн буудай,Булган,2021-02,850000.0
Таваарын буудай,Дорнод,2021-02,600000.0
Үрийн буудай,Дорнод,2021-02,900000.0
Үрийн буудай,Хэнтий,2021-02,660000.0
Таваарын буудай,Орхон,2021-02,660000.0
Үрийн буудай,Орхон,2021-02,830000.0
Таваарын буудай,Төв,2021-02,677500.0
Үрийн буудай,Төв,2021-02,830000.0
Үрийн буудай,Увс,2021-02,700000.0
Таваарын буудай,Өвөрхангай,2021-02,850000.0
Үрийн буудай,Өвөрхангай,2021-02,850000.0
Үрийн буудай,Завхан,2021-02,650000.0
Таваарын буудай,Булган,2021-03,680000.0
Үрийн буудай,Булган,2021-03,850000.0
Таваарын буудай,Дорнод,2021-03,600000.0
Үрийн буудай,Дорнод,2021-03,900000.0
Үрийн буудай,Хэнтий,2021-03,660000.0
Таваарын буудай,Орхон,2021-03,660000.0
Үрийн буудай,Орхон,2021-03,830000.0
Үрийн буудай,Сэлэнгэ,2021-03,700000.0
Таваарын буудай,Төв,2021-03,665000.0
Үрийн буудай,Төв,2021-03,850000.0
Үрийн буудай,Завхан,2021-03,600000.0
Таваарын буудай,Булган,2021-04,815000.0
Үрийн буудай,Булган,2021-04,887500.0
Таваарын буудай,Дорнод,2021-04,600000.0
Үрийн буудай,Дорнод,2021-04,900000.0
Таваарын буудай,Орхон,2021-04,660000.0
Үрийн буудай,Орхон,2021-04,830000.0
Таваарын буудай,Сэлэнгэ,2021-04,850000.0
Үрийн буудай,Сэлэнгэ,2021-04,1000000.0
Таваарын буудай,Төв,2021-04,726667.0
Үрийн буудай,Төв,2021-04,970000.0
Үрийн буудай,Улаанбаатар,2021-04,900000.0
Үрийн буудай,Увс,2021-04,900000.0
Үрийн буудай,Өвөрхангай,2021-04,925000.0
Үрийн буудай,Архангай,2021-05,900000.0
Таваарын буудай,Дорнод,2021-05,600000.0
Үрийн буудай,Дорнод,2021-05,900000.0
