Салбар,Он,Цалин (мян.төг)
Санхүүгийн болон даатгалын үйл ажиллагаа,2019,1343.1
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2019,1197.7
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2019,1580.6
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2019,995.8
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2019,1030.0
Боловсрол,2019,903.3
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2019,940.7
"Урлаг, үзвэр, тоглоом, наадам",2019,738.1
Үйлчилгээний бусад үйл ажиллагаа,2019,910.7
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2019,799.3
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2019,1778.0
Улсын дундаж,2020,1220.6
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2020,949.6
"Уул уурхай, олборлолт",2020,2877.4
Боловсруулах үйлдвэрлэл,2020,1163.9
"Цахилгаан, хий, агааржуулалт",2020,1558.9
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020,977.1
Барилга,2020,1273.9
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2020,1001.7
Тээвэр ба агуулахын үйл ажиллагаа,2020,1203.4
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2020,730.2
"Мэдээлэл, холбоо",2020,1196.8
Санхүүгийн болон даатгалын үйл ажиллагаа,2020,1453.7
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2020,1378.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2020,1648.3
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2020,1084.4
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2020,1093.2
Боловсрол,2020,1013.0
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2020,1108.6
"Урлаг, үзвэр, тоглоом, наадам",2020,844.0
Үйлчилгээний бусад үйл ажиллагаа,2020,1019.1
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2020,906.8
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2020,1822.7
Улсын дундаж,2021,1279.4
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2021,1002.8
"Уул уурхай, олборлолт",2021,2997.8
Боловсруулах үйлдвэрлэл,2021,1227.7
"Цахилгаан, хий, агааржуулалт",2021,1603.3
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021,1019.3
Барилга,2021,1227.0
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2021,1063.1
Тээвэр ба агуулахын үйл ажиллагаа,2021,1287.0
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2021,801.7
"Мэдээлэл, холбоо",2021,1317.6
Санхүүгийн болон даатгалын үйл ажиллагаа,2021,1515.8
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2021,1401.4
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2021,1665.2
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2021,1162.5
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2021,1140.7
Боловсрол,2021,1045.2
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2021,1277.5
"Урлаг, үзвэр, тоглоом, наадам",2021,873.4
Үйлчилгээний бусад үйл ажиллагаа,2021,1098.0
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2021,1042.9
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2021,1994.1
Улсын дундаж,2022,1503.8
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2022,1152.3
"Уул уурхай, олборлолт",2022,3601.9
Боловсруулах үйлдвэрлэл,2022,1443.8
"Цахилгаан, хий, агааржуулалт",2022,1815.2
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022,1183.6
Барилга,2022,1431.0
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2022,1257.4
Тээвэр ба агуулахын үйл ажиллагаа,2022,1646.2
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2022,968.6
"Мэдээлэл, холбоо",2022,1728.4
Санхүүгийн болон даатгалын үйл ажиллагаа,2022,1927.8
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2022,1743.6
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2022,1656.5
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2022,1264.8
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2022,1290.6
Боловсрол,2022,1211.6
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2022,1474.6
"Урлаг, үзвэр, тоглоом, наадам",2022,971.4
Үйлчилгээний бусад үйл ажиллагаа,2022,1278.3
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2022,1205.0
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2022,4826.3
Улсын дундаж,2023,1881.8
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2023,1463.9
"Уул уурхай, олборлолт",2023,4587.2
Боловсруулах үйлдвэрлэл,2023,1733.0
"Цахилгаан, хий, агааржуулалт",2023,2245.1
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023,1530.9
Барилга,2023,1818.5
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2023,1479.8
Тээвэр ба агуулахын үйл ажиллагаа,2023,2100.1
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2023,1170.7
"Мэдээлэл, холбоо",2023,1937.0
Санхүүгийн болон даатгалын үйл ажиллагаа,2023,2261.5
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2023,2072.5
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2023,2072.6
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2023,1561.5
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2023,1825.8
Боловсрол,2023,1515.1
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2023,1786.9
"Урлаг, үзвэр, тоглоом, наадам",2023,1368.6
Үйлчилгээний бусад үйл ажиллагаа,2023,1567.8
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2023,1743.3
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2023,4455.9
Улсын дундаж,2024,2332.4
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2024,1929.8
"Уул уурхай, олборлолт",2024,4935.9
Боловсруулах үйлдвэрлэл,2024,2125.9
"Цахилгаан, хий, агааржуулалт",2024,2923.7
"Ус хангамж; бохир ус зайлуулах систем, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024,2101.8
Барилга,2024,2166.9
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2024,1818.6
Тээвэр ба агуулахын үйл ажиллагаа,2024,2541.6
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2024,1420.7
"Мэдээлэл, холбоо",2024,2467.8
Санхүүгийн болон даатгалын үйл ажиллагаа,2024,2897.0
Үл хөдлөх хөрөнгийн үйл ажиллагаа,2024,2461.3
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",2024,2709.2
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,2024,1950.6
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",2024,2454.7
Боловсрол,2024,2018.1
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2024,2249.1
"Урлаг, үзвэр, тоглоом, наадам",2024,1843.3
Үйлчилгээний бусад үйл ажиллагаа,2024,1955.2
Хүн хөлслөн ажиллуулдаг өрхийн үйл ажиллагаа,2024,2194.2
"Олон улсын байгууллага, суурин төлөөлөгчийн үйл ажиллагаа",2024,4758.1
