үзүүлэлт,байршил,он,хувь
Ядуурлын гүнзгийрэлт,Хот,2020,7.3
Ядуурлын гүнзгийрэлт,Хөдөө,2020,7.5
Ядуурлын гүнзгийрэлт,Баруун бүс,2020,8.3
Ядуурлын гүнзгийрэлт,Хангайн бүс,2020,7.8
Ядуурлын гүнзгийрэлт,Төвийн бүс,2020,6.5
Ядуурлын гүнзгийрэлт,Зүүн бүс,2020,9.2
Ядуурлын гүнзгийрэлт,Улаанбаатар,2020,7.0
Ядуурлын гүнзгийрэлт,Аймгийн төв,2020,8.1
Ядуурлын гүнзгийрэлт,Сумын төв,2020,7.5
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2020,7.5
Ядуурлын мэдрэмж,Улсын дундаж,2020,2.8
Ядуурлын мэдрэмж,Хот,2020,2.9
Ядуурлын мэдрэмж,Хөдөө,2020,2.7
Ядуурлын мэдрэмж,Баруун бүс,2020,3.1
Ядуурлын мэдрэмж,Хангайн бүс,2020,2.8
Ядуурлын мэдрэмж,Төвийн бүс,2020,2.4
Ядуурлын мэдрэмж,Зүүн бүс,2020,3.6
Ядуурлын мэдрэмж,Улаанбаатар,2020,2.8
Ядуурлын мэдрэмж,Аймгийн төв,2020,3.2
Ядуурлын мэдрэмж,Сумын төв,2020,2.7
Ядуурлын мэдрэмж,Хөдөө нутаг,2020,2.7
Ядуурлын хамралтын хүрээ,Улсын дундаж,2022,27.1
Ядуурлын хамралтын хүрээ,Хот,2022,23.0
Ядуурлын хамралтын хүрээ,Хөдөө,2022,35.6
Ядуурлын хамралтын хүрээ,Баруун бүс,2022,36.5
Ядуурлын хамралтын хүрээ,Хангайн бүс,2022,33.5
Ядуурлын хамралтын хүрээ,Төвийн бүс,2022,24.6
Ядуурлын хамралтын хүрээ,Зүүн бүс,2022,35.3
Ядуурлын хамралтын хүрээ,Улаанбаатар,2022,21.6
Ядуурлын хамралтын хүрээ,Аймгийн төв,2022,26.1
Ядуурлын хамралтын хүрээ,Сумын төв,2022,30.6
Ядуурлын хамралтын хүрээ,Хөдөө нутаг,2022,41.2
Ядуурлын гүнзгийрэлт,Улсын дундаж,2022,6.5
Ядуурлын гүнзгийрэлт,Хот,2022,5.8
Ядуурлын гүнзгийрэлт,Хөдөө,2022,7.9
Ядуурлын гүнзгийрэлт,Баруун бүс,2022,7.9
Ядуурлын гүнзгийрэлт,Хангайн бүс,2022,7.8
Ядуурлын гүнзгийрэлт,Төвийн бүс,2022,5.2
Ядуурлын гүнзгийрэлт,Зүүн бүс,2022,8.8
Ядуурлын гүнзгийрэлт,Улаанбаатар,2022,5.7
Ядуурлын гүнзгийрэлт,Аймгийн төв,2022,6.1
Ядуурлын гүнзгийрэлт,Сумын төв,2022,7.0
Ядуурлын гүнзгийрэлт,Хөдөө нутаг,2022,9.0
Ядуурлын мэдрэмж,Улсын дундаж,2022,2.3
Ядуурлын мэдрэмж,Хот,2022,2.1
Ядуурлын мэдрэмж,Хөдөө,2022,2.6
Ядуурлын мэдрэмж,Баруун бүс,2022,2.6
Ядуурлын мэдрэмж,Хангайн бүс,2022,2.6
Ядуурлын мэдрэмж,Төвийн бүс,2022,1.7
Ядуурлын мэдрэмж,Зүүн бүс,2022,3.2
Ядуурлын мэдрэмж,Улаанбаатар,2022,2.1
Ядуурлын мэдрэмж,Аймгийн төв,2022,2.1
Ядуурлын мэдрэмж,Сумын төв,2022,2.4
Ядуурлын мэдрэмж,Хөдөө нутаг,2022,2.9
