код,бүс,дүүргийн_код,дүүрэг,талбай_км2,lon,lat
17023,Зайсан-4,17,Хан-Уул,0.482,106.915325,47.885747
17024,Зайсан-5,17,Хан-Уул,0.187,106.914819,47.87878
17025,Зайсан-6,17,Хан-Уул,0.553,106.910486,47.873098
17027,Зайсан-7,17,Хан-Уул,0.121,106.910759,47.879326
17028,Зайсан-8,17,Хан-Уул,0.346,106.902355,47.8698
17029,Зайсан-9,17,Хан-Уул,0.773,106.906232,47.885106
17030,19-р хороолол-1,17,Хан-Уул,0.195,106.90829,47.901871
17031,19-р хороолол-2,17,Хан-Уул,0.292,106.90533,47.903141
17032,19-р хороолол-3,17,Хан-Уул,0.153,106.899016,47.901006
17033,19-р хороолол-4,17,Хан-Уул,0.103,106.894985,47.900562
17040,Үйлдвэр 2-1,17,Хан-Уул,0.345,106.905073,47.896143
17041,Үйлдвэр 2-2,17,Хан-Уул,0.295,106.903154,47.891284
17042,Үйлдвэр 2-3,17,Хан-Уул,0.954,106.894303,47.894622
17043,Үйлдвэр 2-4,17,Хан-Уул,0.576,106.8794,47.892096
17050,Богины ам,17,Хан-Уул,2.287,106.893822,47.880963
17051,Чандмань,17,Хан-Уул,3.074,106.879475,47.879604
17060,Үйлдвэр 1-1,17,Хан-Уул,0.775,106.884518,47.900661
17061,Үйлдвэр 1-2,17,Хан-Уул,0.73,106.874866,47.898474
17062,Үйлдвэр 1-3,17,Хан-Уул,0.634,106.864722,47.902742
17070,Үйлдвэрийн баруун бүс-1,17,Хан-Уул,1.024,106.865588,47.894725
17071,Үйлдвэрийн баруун бүс-2,17,Хан-Уул,6.179,106.839703,47.888363
17080,Хүүшийн ам,17,Хан-Уул,6.286,106.866147,47.868221
17081,Их тэнгэрийн ам-2,17,Хан-Уул,10.27,106.934003,47.86011
17082,Суурьшилгүй бүс,17,Хан-Уул,7.871,106.902744,47.849801
17090,Нүхтийн ам,17,Хан-Уул,13.122,106.865562,47.830724
17091,Жаргалантын ам,17,Хан-Уул,17.226,106.831347,47.810426
17100,Арцатын ам,17,Хан-Уул,10.745,106.854128,47.852714
17101,"Морин тойруулга, наадамчдын талбай",17,Хан-Уул,6.263,106.811058,47.854042
17102,Дарга толгойн хэсэг,17,Хан-Уул,8.02,106.806698,47.831937
17110,Яармаг-1,17,Хан-Уул,3.774,106.825331,47.87602
17111,Яармаг-2,17,Хан-Уул,3.185,106.796471,47.870648
17120,Буянт Ухаа  хороолол-1,17,Хан-Уул,4.568,106.773149,47.867899
17121,Буянт Ухаа  хороолол-2,17,Хан-Уул,7.556,106.770918,47.84493
17122,Буянт Ухаа хороолол-3,17,Хан-Уул,11.103,106.734168,47.864904
