month,indicator,temperature
2018-05,Minimum,-3.7
2018-06,Average,17.9
2018-06,Maximum,32.4
2018-06,Minimum,4.4
2018-07,Average,17.8
2018-07,Maximum,32.0
2018-07,Minimum,5.8
2018-08,Average,17.5
2018-08,Maximum,28.4
2018-08,Minimum,8.4
2018-09,Average,8.3
2018-09,Maximum,22.2
2018-09,Minimum,-2.6
2018-10,Average,2.8
2018-10,Maximum,18.3
2018-10,Minimum,-10.6
2018-11,Average,-8.8
2018-11,Maximum,12.8
2018-11,Minimum,-22.3
2018-12,Average,-20.3
2018-12,Maximum,-1.9
2018-12,Minimum,-31.1
2019-01,Average,-17.9
2019-01,Maximum,-4.6
2019-01,Minimum,-29.6
2019-02,Average,-16.7
2019-02,Maximum,3.8
2019-02,Minimum,-32.7
2019-03,Average,-3.8
2019-03,Maximum,11.2
2019-03,Minimum,-14.7
2019-04,Average,4.0
2019-04,Maximum,19.6
2019-04,Minimum,-10.7
2019-05,Average,9.3
2019-05,Maximum,30.5
2019-05,Minimum,-6.0
2019-06,Average,17.4
2019-06,Maximum,31.4
2019-06,Minimum,3.0
2019-07,Average,19.3
2019-07,Maximum,31.0
2019-07,Minimum,8.7
2019-08,Average,15.7
2019-08,Maximum,31.2
2019-08,Minimum,5.8
2019-09,Average,13.7
2019-09,Maximum,29.9
2019-09,Minimum,0.7
2019-10,Average,0.9
2019-10,Maximum,16.6
2019-10,Minimum,-11.8
2019-11,Average,-10.0
2019-11,Maximum,12.6
2019-11,Minimum,-27.8
2019-12,Average,-17.6
2019-12,Maximum,-5.5
2019-12,Minimum,-32.2
2020-01,Average,-17.4
2020-01,Maximum,-4.0
2020-01,Minimum,-32.2
2020-02,Average,-13.4
2020-02,Maximum,3.6
2020-02,Minimum,-27.5
2020-03,Average,-5.8
2020-03,Maximum,15.7
2020-03,Minimum,-22.0
2020-04,Average,6.3
2020-04,Maximum,28.7
2020-04,Minimum,-11.2
2020-05,Average,10.5
2020-05,Maximum,26.9
2020-05,Minimum,-2.3
2020-06,Average,17.0
2020-06,Maximum,32.4
2020-06,Minimum,2.3
2020-07,Average,18.6
2020-07,Maximum,33.4
2020-07,Minimum,6.4
2020-08,Average,16.0
2020-08,Maximum,28.3
2020-08,Minimum,7.8
2020-09,Average,11.0
2020-09,Maximum,24.8
2020-09,Minimum,-1.1
2020-10,Average,-0.6
2020-10,Maximum,13.6
2020-10,Minimum,-11.9
2020-11,Average,-16.1
2020-11,Maximum,8.7
2020-11,Minimum,-24.0
2020-12,Average,-22.2
2020-12,Maximum,-11.0
2020-12,Minimum,-32.9
2021-01,Average,-20.9
2021-01,Maximum,-5.5
2021-01,Minimum,-34.6
2021-02,Average,-12.4
2021-02,Maximum,6.4
2021-02,Minimum,-29.2
2021-03,Average,-2.6
2021-03,Maximum,14.7
2021-03,Minimum,-19.8
2021-04,Average,3.1
2021-04,Maximum,21.3
2021-04,Minimum,-11.0
2021-05,Average,7.6
2021-05,Maximum,27.6
2021-05,Minimum,-4.3
2021-06,Average,14.8
2021-06,Maximum,32.2
2021-06,Minimum,-1.1
2021-07,Average,19.2
2021-07,Maximum,31.6
2021-07,Minimum,9.8
2021-08,Average,15.9
2021-08,Maximum,28.4
2021-08,Minimum,5.9
2021-09,Average,10.4
2021-09,Maximum,24.8
2021-09,Minimum,-5.6
2021-10,Average,1.6
2021-10,Maximum,14.5
2021-10,Minimum,-12.8
2021-11,Average,-8.0
2021-11,Maximum,7.8
2021-11,Minimum,-22.3
2021-12,Average,-15.6
2021-12,Maximum,-2.0
2021-12,Minimum,-30.5
2022-01,Average,-17.4
2022-01,Maximum,-5.3
2022-01,Minimum,-26.8
2022-02,Average,-17.0
2022-02,Maximum,-2.7
2022-02,Minimum,-27.7
2022-03,Average,-5.5
2022-03,Maximum,10.3
2022-03,Minimum,-20.1
2022-04,Average,3.4
2022-04,Maximum,21.0
2022-04,Minimum,-9.7
2022-05,Average,11.2
2022-05,Maximum,28.4
2022-05,Minimum,-5.8
2022-06,Average,17.1
2022-06,Maximum,30.9
2022-06,Minimum,4.4
2022-07,Average,17.6
2022-07,Maximum,30.0
2022-07,Minimum,7.4
2022-08,Average,14.7
2022-08,Maximum,32.3
2022-08,Minimum,1.1
2022-09,Average,11.8
2022-09,Maximum,30.6
2022-09,Minimum,-0.8
2022-10,Average,0.4
2022-10,Maximum,14.0
2022-10,Minimum,-10.1
2022-11,Average,-10.6
2022-11,Maximum,5.8
2022-11,Minimum,-30.6
2022-12,Average,-20.6
2023-01,Average,-21.0
2023-01,Maximum,-1.9
2023-01,Minimum,-35.5
2023-02,Average,-13.3
2023-02,Maximum,4.9
2023-02,Minimum,-23.8
2023-03,Average,-3.9
2023-03,Maximum,16.9
2023-03,Minimum,-21.5
2023-04,Average,0.0
2023-04,Maximum,21.4
2023-04,Minimum,-16.6
2023-05,Average,8.8
2023-05,Maximum,22.6
2023-05,Minimum,-2.2
2023-06,Average,17.3
2023-06,Maximum,0.7
2023-06,Minimum,5.3
2023-07,Average,17.9
2023-07,Maximum,34.5
2023-07,Minimum,-1.1
2023-08,Average,17.0
2023-08,Maximum,32.1
2023-08,Minimum,5.4
2023-09,Average,11.5
2023-09,Maximum,30.3
2023-09,Minimum,-0.6
2023-10,Average,4.3
2023-10,Maximum,16.6
2023-10,Minimum,-5.5
2023-11,Average,-11.5
2023-11,Maximum,6.0
2023-11,Minimum,-25.1
2023-12,Average,-19.1
2023-12,Maximum,-0.3
2023-12,Minimum,-32.0
2024-01,Average,-19.1
2024-01,Maximum,-5.8
2024-01,Minimum,-30.6
2024-02,Average,-18.8
2024-02,Maximum,-1.0
2024-02,Minimum,-32.7
2024-03,Average,-6.4
2024-03,Maximum,9.9
2024-03,Minimum,-22.9
2024-04,Average,4.9
2024-04,Maximum,21.6
2024-04,Minimum,-6.3
2024-05,Average,13.2
2024-05,Maximum,29.3
2024-05,Minimum,-0.5
2024-06,Average,16.1
2024-06,Maximum,31.2
2024-06,Minimum,0.3
2024-07,Average,20.1
2024-07,Maximum,30.8
2024-07,Minimum,11.4
2024-08,Average,18.4
2024-08,Maximum,29.1
2024-08,Minimum,8.9
2024-09,Average,10.6
2024-09,Maximum,28.0
2024-09,Minimum,-4.8
2024-10,Average,2.0
2024-10,Maximum,18.7
2024-10,Minimum,-9.7
2024-11,Average,-5.4
2024-11,Maximum,9.7
2024-11,Minimum,-21.6
