огноо,ангилал,хэрэглээний_үнийн_индекс
2011-07,"Эм тариа, эмнэлгийн үйлчилгээ",54.7
2011-08,"Гэр ахуйн тавилга, гэр ахуйн бараа",54.3
2011-08,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.1
2011-08,"Хүнсний бараа, ундаа, ус",52.3
2011-08,"Орон сууц, ус, цахилгаан, түлш",48.8
2011-08,"Хувцас, бөс бараа, гутал",46.6
2011-08,"Бусад бараа, үйлчилгээ",54.0
2011-08,Тээвэр,71.9
2011-08,"Зочид буудал, зоогийн газар, дотуур байр",47.9
2011-08,"Согтууруулах ундаа, тамхи",42.3
2011-08,Боловсролын үйлчилгээ,34.1
2011-08,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2011-08,"Эм тариа, эмнэлгийн үйлчилгээ",54.8
2011-09,Тээвэр,72.6
2011-09,"Эм тариа, эмнэлгийн үйлчилгээ",54.9
2011-09,"Хувцас, бөс бараа, гутал",47.0
2011-09,"Хүнсний бараа, ундаа, ус",51.2
2011-09,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2011-09,"Орон сууц, ус, цахилгаан, түлш",49.5
2011-09,"Зочид буудал, зоогийн газар, дотуур байр",48.0
2011-09,"Гэр ахуйн тавилга, гэр ахуйн бараа",54.7
2011-09,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.2
2011-09,"Бусад бараа, үйлчилгээ",54.1
2011-09,"Согтууруулах ундаа, тамхи",42.4
2011-09,Боловсролын үйлчилгээ,37.0
2011-10,"Бусад бараа, үйлчилгээ",54.2
2011-10,"Согтууруулах ундаа, тамхи",42.4
2011-10,Тээвэр,72.4
2011-10,"Зочид буудал, зоогийн газар, дотуур байр",48.2
2011-10,"Орон сууц, ус, цахилгаан, түлш",53.0
2011-10,"Эм тариа, эмнэлгийн үйлчилгээ",55.0
2011-10,Боловсролын үйлчилгээ,37.4
2011-10,"Гэр ахуйн тавилга, гэр ахуйн бараа",55.0
2011-10,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.7
2011-10,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.2
2011-10,"Хүнсний бараа, ундаа, ус",51.1
2011-10,"Хувцас, бөс бараа, гутал",47.9
2011-11,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.5
2011-11,"Бусад бараа, үйлчилгээ",54.7
2011-11,"Согтууруулах ундаа, тамхи",42.5
2011-11,"Гэр ахуйн тавилга, гэр ахуйн бараа",55.5
2011-11,Тээвэр,72.4
2011-11,"Хүнсний бараа, ундаа, ус",50.7
2011-11,"Зочид буудал, зоогийн газар, дотуур байр",48.6
2011-11,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.6
2011-11,Боловсролын үйлчилгээ,37.4
2011-11,"Эм тариа, эмнэлгийн үйлчилгээ",55.0
2011-11,"Хувцас, бөс бараа, гутал",48.9
2011-11,"Орон сууц, ус, цахилгаан, түлш",53.5
2011-12,Тээвэр,72.6
2011-12,"Зочид буудал, зоогийн газар, дотуур байр",49.0
2011-12,"Согтууруулах ундаа, тамхи",42.6
2011-12,"Холбооны хэрэгсэл, шуудангийн үйлчилгээ",103.6
2011-12,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",68.6
2011-12,Боловсролын үйлчилгээ,37.4
2011-12,"Хүнсний бараа, ундаа, ус",51.2
2011-12,"Хувцас, бөс бараа, гутал",49.9
2011-12,"Эм тариа, эмнэлгийн үйлчилгээ",55.0
2011-12,"Бусад бараа, үйлчилгээ",54.9
