year,month,province,total_count,total_area_kha,extraction_count,extraction_area_kha,exploration_count,exploration_area_kha
2022,3,Arkhangai,31,31.7,21,11.8,10,19.8
2022,3,Bayan-Ulgii,67,216.3,30,16.7,37,199.6
2022,3,Bayankhongor,137,342.2,97,138.8,40,203.4
2022,3,Bulgan,109,100.3,82,41.8,27,58.5
2022,3,Darkhan-Uul,65,13.7,61,8.3,4,5.4
2022,3,Dornod,156,517.1,76,69.6,80,447.6
2022,3,Dornogovi,334,1064.5,208,266.3,126,798.2
2022,3,Dundgovi,191,575.5,118,179.8,73,395.7
2022,3,Govi-Altai,126,541.1,59,102.5,67,438.7
2022,3,Govisumber,16,44.6,13,38.9,3,5.8
2022,3,Khentii,208,265.8,128,56.5,80,209.3
2022,3,Khovd,85,214.4,36,17.1,49,197.3
2022,3,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,3,Orkhon,9,10.7,9,10.7,0,0.0
2022,3,Selenge,175,95.9,136,41.9,39,54.0
2022,3,Sukhbaatar,89,285.2,66,53.8,23,231.4
2022,3,Tuv,383,357.5,302,159.1,81,198.3
2022,3,Ulaanbaatar,97,9.9,92,9.7,5,0.2
2022,3,Umnugovi,160,930.0,105,486.2,55,443.8
2022,3,Uvs,108,271.0,44,19.9,64,251.0
2022,3,Uvurkhangai,54,150.9,29,17.1,25,133.8
2022,3,Zavkhan,46,167.0,13,21.3,33,145.7
2022,4,Arkhangai,31,31.7,21,11.8,10,19.8
2022,4,Bayan-Ulgii,67,216.3,30,16.7,37,199.6
2022,4,Bayankhongor,136,332.6,97,138.8,39,193.7
2022,4,Bulgan,109,100.3,82,41.8,27,58.5
2022,4,Darkhan-Uul,65,13.7,61,8.3,4,5.4
2022,4,Dornod,154,512.7,75,68.4,79,444.3
2022,4,Dornogovi,339,1098.1,209,266.4,130,831.8
2022,4,Dundgovi,193,576.6,120,180.5,73,396.2
2022,4,Govi-Altai,125,537.4,59,102.5,66,435.0
2022,4,Govisumber,16,44.6,13,38.9,3,5.8
2022,4,Khentii,208,265.8,128,56.5,80,209.3
2022,4,Khovd,84,211.7,37,19.8,47,191.9
2022,4,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,4,Orkhon,9,10.7,9,10.7,0,0.0
2022,4,Selenge,174,95.8,137,42.0,37,53.8
2022,4,Sukhbaatar,88,284.5,65,53.1,23,231.4
2022,4,Tuv,384,357.2,304,159.3,80,198.0
2022,4,Ulaanbaatar,97,9.9,92,9.7,5,0.2
2022,4,Umnugovi,161,930.2,105,486.2,56,444.1
2022,4,Uvs,106,268.9,44,19.9,62,249.0
2022,4,Uvurkhangai,53,150.9,29,17.1,24,133.7
2022,4,Zavkhan,45,164.1,13,21.3,32,142.7
2022,5,Arkhangai,31,31.7,21,11.8,10,19.8
2022,5,Bayan-Ulgii,66,213.6,30,16.7,36,196.9
2022,5,Bayankhongor,137,332.6,98,138.8,39,193.7
2022,5,Bulgan,109,100.3,82,41.8,27,58.5
2022,5,Darkhan-Uul,65,13.7,61,8.3,4,5.4
2022,5,Dornod,152,509.1,75,68.4,77,440.7
2022,5,Dornogovi,342,1106.2,211,266.8,131,839.4
2022,5,Dundgovi,193,575.7,121,184.0,72,391.8
2022,5,Govi-Altai,125,537.4,59,102.5,66,435.0
2022,5,Govisumber,16,44.6,13,38.9,3,5.8
2022,5,Khentii,207,263.9,128,56.5,79,207.5
2022,5,Khovd,84,211.7,37,19.8,47,191.9
2022,5,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,5,Orkhon,9,10.7,9,10.7,0,0.0
2022,5,Selenge,174,95.8,138,42.2,36,53.6
2022,5,Sukhbaatar,87,279.7,65,53.1,22,226.5
2022,5,Tuv,384,354.9,305,160.9,79,194.0
2022,5,Ulaanbaatar,97,9.9,92,9.7,5,0.2
2022,5,Umnugovi,161,930.2,105,486.2,56,444.1
2022,5,Uvs,107,267.1,46,21.2,61,246.0
2022,5,Uvurkhangai,53,150.9,29,17.1,24,133.7
2022,5,Zavkhan,45,164.1,13,21.3,32,142.7
2022,6,Arkhangai,31,31.6,21,11.8,10,19.8
2022,6,Bayan-Ulgii,66,207.4,30,16.7,36,190.8
2022,6,Bayankhongor,137,332.6,98,138.8,39,193.7
2022,6,Bulgan,109,100.3,82,41.8,27,58.5
2022,6,Darkhan-Uul,65,13.7,61,8.3,4,5.4
2022,6,Dornod,150,506.0,73,68.2,77,437.8
2022,6,Dornogovi,339,1102.9,212,267.2,127,835.7
2022,6,Dundgovi,190,567.8,122,185.4,68,382.5
2022,6,Govi-Altai,125,534.9,60,107.8,65,427.1
2022,6,Govisumber,16,44.6,13,38.9,3,5.8
2022,6,Khentii,207,263.9,128,56.5,79,207.5
2022,6,Khovd,22,10.6,21,10.3,1,0.3
2022,6,Khuvsgul,84,211.7,37,19.8,47,191.9
2022,6,Orkhon,9,10.7,9,10.7,0,0.0
2022,6,Selenge,174,95.8,139,45.2,35,50.6
2022,6,Sukhbaatar,87,279.7,65,53.1,22,226.5
2022,6,Tuv,384,354.9,305,160.9,79,194.0
2022,6,Ulaanbaatar,96,9.9,92,9.7,4,0.2
2022,6,Umnugovi,158,826.1,105,481.2,53,345.0
2022,6,Uvs,106,264.5,46,21.2,60,243.3
2022,6,Uvurkhangai,53,150.9,29,17.1,24,133.7
2022,6,Zavkhan,45,164.1,13,21.3,32,142.7
2022,7,Arkhangai,31,31.6,21,11.8,10,19.8
2022,7,Bayan-Ulgii,66,207.4,30,16.7,36,190.8
2022,7,Bayankhongor,141,332.6,101,167.4,40,165.1
2022,7,Bulgan,108,100.2,82,41.8,26,58.3
2022,7,Darkhan-Uul,66,13.7,62,8.4,4,5.3
2022,7,Dornod,148,486.1,73,68.2,75,417.9
2022,7,Dornogovi,340,1104.9,212,267.2,128,837.7
2022,7,Dundgovi,190,567.4,122,185.4,68,382.0
2022,7,Govi-Altai,125,534.9,60,107.8,65,427.1
2022,7,Govisumber,16,44.6,13,38.9,3,5.8
2022,7,Khentii,207,263.9,128,56.5,79,207.5
2022,7,Khovd,81,208.8,36,29.5,45,179.3
2022,7,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,7,Orkhon,9,10.7,9,10.7,0,0.0
2022,7,Selenge,173,95.8,138,45.2,35,50.6
2022,7,Sukhbaatar,87,279.7,65,53.1,22,226.5
2022,7,Tuv,383,354.7,304,160.7,79,194.0
2022,7,Ulaanbaatar,98,10.1,94,9.9,4,0.2
2022,7,Umnugovi,159,826.9,107,486.1,52,340.8
2022,7,Uvs,103,257.8,46,21.2,57,236.6
2022,7,Uvurkhangai,54,150.9,30,18.1,24,132.8
2022,7,Zavkhan,45,164.1,13,21.3,32,142.7
2022,8,Arkhangai,31,31.6,21,11.8,10,19.8
2022,8,Bayan-Ulgii,66,207.4,30,16.7,36,190.8
2022,8,Bayankhongor,137,324.5,101,167.4,36,157.1
2022,8,Bulgan,106,99.6,81,41.7,25,57.9
2022,8,Darkhan-Uul,66,13.7,62,8.4,4,5.3
2022,8,Dornod,149,525.8,73,68.2,76,457.6
2022,8,Dornogovi,341,1116.3,212,267.2,129,849.1
2022,8,Dundgovi,188,556.9,121,182.4,67,374.4
2022,8,Govi-Altai,125,533.1,60,106.0,65,427.1
2022,8,Govisumber,16,44.6,13,38.9,3,5.8
2022,8,Khentii,207,263.9,128,56.5,79,207.5
2022,8,Khovd,78,195.2,36,29.5,42,165.7
2022,8,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,8,Orkhon,9,10.7,9,10.7,0,0.0
2022,8,Selenge,173,91.9,139,46.8,34,45.1
2022,8,Sukhbaatar,87,279.7,65,53.1,22,226.5
2022,8,Tuv,381,351.8,304,160.7,77,191.1
2022,8,Ulaanbaatar,96,10.0,92,9.8,4,0.2
2022,8,Umnugovi,158,825.5,107,486.1,51,339.4
2022,8,Uvs,103,241.8,46,21.2,57,220.7
2022,8,Uvurkhangai,54,150.9,30,18.1,24,132.8
2022,8,Zavkhan,44,162.9,13,21.3,31,141.6
2022,9,Arkhangai,31,31.6,21,11.8,10,19.8
2022,9,Bayan-Ulgii,67,207.4,30,16.7,37,190.8
2022,9,Bayankhongor,136,324.3,100,167.3,36,157.1
2022,9,Bulgan,106,95.7,82,41.9,24,53.8
2022,9,Darkhan-Uul,65,13.7,61,8.3,4,5.3
2022,9,Dornod,149,525.8,73,68.2,76,457.6
2022,9,Dornogovi,339,1012.4,211,267.0,128,745.4
2022,9,Dundgovi,188,556.9,121,182.4,67,374.4
2022,9,Govi-Altai,125,533.1,60,106.0,65,427.1
2022,9,Govisumber,16,44.6,13,38.9,3,5.8
2022,9,Khentii,207,263.9,128,56.5,79,207.5
2022,9,Khovd,78,195.2,36,29.5,42,165.7
2022,9,Khuvsgul,22,10.6,21,10.3,1,0.3
2022,9,Orkhon,9,10.7,9,10.7,0,0.0
2022,9,Selenge,173,91.9,139,46.8,34,45.1
2022,9,Sukhbaatar,87,279.7,65,53.1,22,226.5
2022,9,Tuv,381,351.8,304,160.7,77,191.1
2022,9,Ulaanbaatar,96,10.0,92,9.8,4,0.2
