огноо,үзүүлэлт,утга
2015-05-01,Нийт өр төлбөр,18938.686
2015-05-01,Өөрийн хөрөнгө,2507.369
2015-06-01,Нийт хөрөнгө,21846.12
2015-06-01,Нийт өр төлбөр,19348.645
2015-06-01,Өөрийн хөрөнгө,2497.475
2015-07-01,Нийт хөрөнгө,21443.828
2015-07-01,Нийт өр төлбөр,18924.511
2015-07-01,Өөрийн хөрөнгө,2519.316
2015-08-01,Нийт хөрөнгө,21581.778
2015-08-01,Нийт өр төлбөр,19105.538
2015-08-01,Өөрийн хөрөнгө,2476.24
2015-09-01,Нийт хөрөнгө,21300.695
2015-09-01,Нийт өр төлбөр,18750.188
2015-09-01,Өөрийн хөрөнгө,2550.507
2015-10-01,Нийт хөрөнгө,20721.033
2015-10-01,Нийт өр төлбөр,18140.268
2015-10-01,Өөрийн хөрөнгө,2580.765
2015-11-01,Нийт хөрөнгө,20696.271
2015-11-01,Нийт өр төлбөр,18144.827
2015-11-01,Өөрийн хөрөнгө,2551.443
2015-12-01,Нийт хөрөнгө,21506.524
2015-12-01,Нийт өр төлбөр,18903.512
2015-12-01,Өөрийн хөрөнгө,2603.013
2016-01-01,Нийт хөрөнгө,20843.475
2016-01-01,Нийт өр төлбөр,18340.425
2016-01-01,Өөрийн хөрөнгө,2503.051
2016-02-01,Нийт хөрөнгө,21830.237
2016-02-01,Нийт өр төлбөр,19318.887
2016-02-01,Өөрийн хөрөнгө,2511.349
2016-03-01,Нийт хөрөнгө,22028.087
2016-03-01,Нийт өр төлбөр,19456.908
2016-03-01,Өөрийн хөрөнгө,2571.179
2016-04-01,Нийт хөрөнгө,22215.488
2016-04-01,Нийт өр төлбөр,19604.649
2016-04-01,Өөрийн хөрөнгө,2610.839
2016-05-01,Нийт хөрөнгө,22210.273
2016-05-01,Нийт өр төлбөр,19587.836
2016-05-01,Өөрийн хөрөнгө,2622.437
2016-06-01,Нийт хөрөнгө,23297.189
2016-06-01,Нийт өр төлбөр,20549.116
2016-06-01,Өөрийн хөрөнгө,2748.073
2016-07-01,Нийт хөрөнгө,23944.237
2016-07-01,Нийт өр төлбөр,21127.761
2016-07-01,Өөрийн хөрөнгө,2816.476
2016-08-01,Нийт хөрөнгө,24203.833
2016-08-01,Нийт өр төлбөр,21352.229
2016-08-01,Өөрийн хөрөнгө,2851.603
2016-09-01,Нийт хөрөнгө,24642.082
2016-09-01,Нийт өр төлбөр,21695.033
2016-09-01,Өөрийн хөрөнгө,2947.049
2016-10-01,Нийт хөрөнгө,24710.323
2016-10-01,Нийт өр төлбөр,21737.584
2016-10-01,Өөрийн хөрөнгө,2972.739
2016-11-01,Нийт хөрөнгө,25035.525
2016-11-01,Нийт өр төлбөр,22040.654
2016-11-01,Өөрийн хөрөнгө,2994.872
2016-12-01,Нийт хөрөнгө,25323.815
2016-12-01,Нийт өр төлбөр,22210.447
2016-12-01,Өөрийн хөрөнгө,3113.367
2017-01-01,Нийт хөрөнгө,24912.657
2017-01-01,Нийт өр төлбөр,21708.238
2017-01-01,Өөрийн хөрөнгө,3204.418
2017-02-01,Нийт хөрөнгө,25136.088
2017-02-01,Нийт өр төлбөр,21849.13
2017-02-01,Өөрийн хөрөнгө,3286.957
2017-03-01,Нийт хөрөнгө,25159.241
2017-03-01,Нийт өр төлбөр,21892.959
2017-03-01,Өөрийн хөрөнгө,3266.282
2017-04-01,Нийт хөрөнгө,25185.488
2017-04-01,Нийт өр төлбөр,21918.042
2017-04-01,Өөрийн хөрөнгө,3267.446
2017-05-01,Нийт хөрөнгө,25691.944
2017-05-01,Нийт өр төлбөр,22387.934
2017-05-01,Өөрийн хөрөнгө,3304.01
2017-06-01,Нийт хөрөнгө,25765.186
2017-06-01,Нийт өр төлбөр,22531.743
2017-06-01,Өөрийн хөрөнгө,3233.443
2017-07-01,Нийт хөрөнгө,26683.532
2017-07-01,Нийт өр төлбөр,23417.582
2017-07-01,Өөрийн хөрөнгө,3265.95
2017-08-01,Нийт хөрөнгө,27480.34
2017-08-01,Нийт өр төлбөр,24240.115
2017-08-01,Өөрийн хөрөнгө,3240.225
2017-09-01,Нийт хөрөнгө,28062.556
2017-09-01,Нийт өр төлбөр,24756.688
2017-09-01,Өөрийн хөрөнгө,3305.868
2017-10-01,Нийт хөрөнгө,27761.506
2017-10-01,Нийт өр төлбөр,24413.331
2017-10-01,Өөрийн хөрөнгө,3348.175
2017-11-01,Нийт хөрөнгө,27651.383
2017-11-01,Нийт өр төлбөр,24302.476
2017-11-01,Өөрийн хөрөнгө,3348.907
2017-12-01,Нийт хөрөнгө,28769.815
2017-12-01,Нийт өр төлбөр,25439.197
2017-12-01,Өөрийн хөрөнгө,3330.618
2018-01-01,Нийт хөрөнгө,28027.452
2018-01-01,Нийт өр төлбөр,24681.176
2018-01-01,Өөрийн хөрөнгө,3346.276
2018-02-01,Нийт хөрөнгө,28551.309
2018-02-01,Нийт өр төлбөр,25193.067
2018-02-01,Өөрийн хөрөнгө,3358.243
2018-03-01,Нийт хөрөнгө,28931.117
2018-03-01,Нийт өр төлбөр,25585.373
2018-03-01,Өөрийн хөрөнгө,3345.744
2018-04-01,Нийт хөрөнгө,28878.745
2018-04-01,Нийт өр төлбөр,25473.628
2018-04-01,Өөрийн хөрөнгө,3405.117
2018-05-01,Нийт хөрөнгө,29820.264
2018-05-01,Нийт өр төлбөр,26372.42
2018-05-01,Өөрийн хөрөнгө,3447.844
2018-06-01,Нийт хөрөнгө,30255.796
2018-06-01,Нийт өр төлбөр,26894.344
2018-06-01,Өөрийн хөрөнгө,3361.452
2018-07-01,Нийт хөрөнгө,30035.633
2018-07-01,Нийт өр төлбөр,26702.369
2018-07-01,Өөрийн хөрөнгө,3333.264
2018-08-01,Нийт хөрөнгө,30178.075
2018-08-01,Нийт өр төлбөр,26949.982
2018-08-01,Өөрийн хөрөнгө,3228.093
2018-09-01,Нийт хөрөнгө,31030.494
2018-09-01,Нийт өр төлбөр,27751.415
2018-09-01,Өөрийн хөрөнгө,3279.079
2018-10-01,Нийт хөрөнгө,31150.913
2018-10-01,Нийт өр төлбөр,28162.171
2018-10-01,Өөрийн хөрөнгө,2988.741
2018-11-01,Нийт хөрөнгө,31912.239
2018-11-01,Нийт өр төлбөр,28910.746
2018-11-01,Өөрийн хөрөнгө,3001.494
2018-12-01,Нийт хөрөнгө,33049.756
2018-12-01,Нийт өр төлбөр,29622.216
2018-12-01,Өөрийн хөрөнгө,3427.54
2019-01-01,Нийт хөрөнгө,32687.102
2019-01-01,Нийт өр төлбөр,29208.191
2019-01-01,Өөрийн хөрөнгө,3478.911
2019-02-01,Нийт хөрөнгө,32761.712
2019-02-01,Нийт өр төлбөр,29275.65
2019-02-01,Өөрийн хөрөнгө,3486.062
2019-03-01,Нийт хөрөнгө,33512.61
2019-03-01,Нийт өр төлбөр,29995.989
2019-03-01,Өөрийн хөрөнгө,3516.621
2019-04-01,Нийт хөрөнгө,33502.7
2019-04-01,Нийт өр төлбөр,29806.43
2019-04-01,Өөрийн хөрөнгө,3696.269
2019-05-01,Нийт хөрөнгө,33742.979
2019-05-01,Нийт өр төлбөр,29995.768
2019-05-01,Өөрийн хөрөнгө,3747.21
2019-06-01,Нийт хөрөнгө,34577.607
2019-06-01,Нийт өр төлбөр,30806.639
2019-06-01,Өөрийн хөрөнгө,3770.968
2019-07-01,Нийт хөрөнгө,34122.266
2019-07-01,Нийт өр төлбөр,30335.795
2019-07-01,Өөрийн хөрөнгө,3786.471
2019-08-01,Нийт хөрөнгө,34519.93
2019-08-01,Нийт өр төлбөр,30754.468
2019-08-01,Өөрийн хөрөнгө,3765.462
2019-09-01,Нийт хөрөнгө,34827.392
2019-09-01,Нийт өр төлбөр,31032.517
2019-09-01,Өөрийн хөрөнгө,3794.875
2019-10-01,Нийт хөрөнгө,34819.298
2019-10-01,Нийт өр төлбөр,31102.362
