date,category,cpi_index
2012-09,Miscellaneous goods and services,58.1
2012-09,Health,58.6
2012-10,"Housing, water, electricity and fuels",58.1
2012-10,Miscellaneous goods and services,58.5
2012-10,"Clothing, footwear and cloth",56.1
2012-10,Education,43.1
2012-10,Communication,102.2
2012-10,"Furnishings, household equipment",60.3
2012-10,Transport,76.2
2012-10,Health,58.9
2012-10,Food and non-alcoholic beverages,62.2
2012-10,Restaurants and hotels,59.9
2012-10,"Alcoholic beverages, tobacco",63.0
2012-10,Recreation and culture,69.9
2012-11,Health,59.9
2012-11,Transport,76.8
2012-11,"Clothing, footwear and cloth",57.3
2012-11,Restaurants and hotels,60.2
2012-11,Communication,102.1
2012-11,"Alcoholic beverages, tobacco",65.1
2012-11,"Housing, water, electricity and fuels",60.8
2012-11,Education,43.1
2012-11,Recreation and culture,70.2
2012-11,Food and non-alcoholic beverages,60.8
2012-11,"Furnishings, household equipment",60.8
2012-11,Miscellaneous goods and services,59.0
2012-12,Communication,102.1
2012-12,Recreation and culture,70.7
2012-12,"Alcoholic beverages, tobacco",65.5
2012-12,Restaurants and hotels,60.4
2012-12,"Furnishings, household equipment",61.2
2012-12,"Housing, water, electricity and fuels",60.3
2012-12,Miscellaneous goods and services,59.1
2012-12,Health,60.0
2012-12,Food and non-alcoholic beverages,60.8
2012-12,"Clothing, footwear and cloth",58.1
2012-12,Education,43.1
2012-12,Transport,76.6
2013-01,Restaurants and hotels,60.5
2013-01,"Alcoholic beverages, tobacco",65.9
2013-01,"Housing, water, electricity and fuels",60.1
2013-01,Health,60.1
2013-01,Recreation and culture,70.7
2013-01,"Furnishings, household equipment",61.6
2013-01,Food and non-alcoholic beverages,61.8
2013-01,Communication,102.1
2013-01,"Clothing, footwear and cloth",58.7
2013-01,Miscellaneous goods and services,59.2
2013-01,Transport,77.5
2013-01,Education,43.1
2013-02,Education,43.1
2013-02,Miscellaneous goods and services,59.4
2013-02,"Housing, water, electricity and fuels",59.8
2013-02,"Clothing, footwear and cloth",59.0
2013-02,Recreation and culture,70.9
2013-02,Health,60.5
2013-02,Transport,78.9
2013-02,"Furnishings, household equipment",62.4
2013-02,Restaurants and hotels,62.6
2013-02,Communication,102.1
2013-02,"Alcoholic beverages, tobacco",66.0
2013-02,Food and non-alcoholic beverages,64.5
2013-03,Communication,101.9
2013-03,Miscellaneous goods and services,59.5
2013-03,Recreation and culture,70.8
2013-03,"Furnishings, household equipment",62.7
2013-03,Education,43.1
2013-03,"Housing, water, electricity and fuels",59.2
2013-03,Health,60.6
2013-03,Transport,79.0
2013-03,Restaurants and hotels,62.8
2013-03,"Alcoholic beverages, tobacco",66.3
2013-03,Food and non-alcoholic beverages,66.5
2013-03,"Clothing, footwear and cloth",59.2
2013-04,Education,43.1
2013-04,"Furnishings, household equipment",63.3
2013-04,Health,61.8
2013-04,Restaurants and hotels,64.0
2013-04,"Alcoholic beverages, tobacco",66.5
2013-04,Communication,101.9
2013-04,Miscellaneous goods and services,60.0
2013-04,"Clothing, footwear and cloth",59.5
2013-04,Recreation and culture,70.8
2013-04,"Housing, water, electricity and fuels",59.0
2013-04,Food and non-alcoholic beverages,67.7
2013-04,Transport,79.3
2013-05,Recreation and culture,71.0
2013-05,"Clothing, footwear and cloth",60.0
2013-05,Transport,79.3
2013-05,Health,61.9
2013-05,Food and non-alcoholic beverages,69.5
2013-05,"Alcoholic beverages, tobacco",66.8
2013-05,Miscellaneous goods and services,60.4
2013-05,Communication,101.9
2013-05,Education,43.1
2013-05,Restaurants and hotels,64.5
2013-05,"Furnishings, household equipment",63.6
2013-05,"Housing, water, electricity and fuels",59.1
2013-06,Restaurants and hotels,65.0
2013-06,Communication,101.9
2013-06,Miscellaneous goods and services,60.6
2013-06,Health,62.7
2013-06,"Housing, water, electricity and fuels",57.5
2013-06,Food and non-alcoholic beverages,70.3
2013-06,Education,43.1
2013-06,Transport,79.4
2013-06,"Furnishings, household equipment",63.9
2013-06,"Clothing, footwear and cloth",60.4
2013-06,Recreation and culture,70.8
2013-06,"Alcoholic beverages, tobacco",67.0
2013-07,Education,43.1
2013-07,Miscellaneous goods and services,60.7
2013-07,Transport,78.7
2013-07,Health,63.1
2013-07,"Alcoholic beverages, tobacco",67.4
2013-07,"Furnishings, household equipment",64.4
2013-07,Restaurants and hotels,65.6
2013-07,"Housing, water, electricity and fuels",57.1
2013-07,Recreation and culture,70.3
2013-07,"Clothing, footwear and cloth",60.7
2013-07,Food and non-alcoholic beverages,69.6
2013-07,Communication,101.9
2013-08,Health,63.9
2013-08,Miscellaneous goods and services,61.0
2013-08,"Alcoholic beverages, tobacco",67.6
2013-08,Education,43.1
2013-08,"Furnishings, household equipment",65.0
2013-08,Restaurants and hotels,65.7
2013-08,Transport,78.1
2013-08,Communication,101.9
2013-08,Recreation and culture,70.4
2013-08,"Clothing, footwear and cloth",61.0
2013-08,"Housing, water, electricity and fuels",58.2
2013-08,Food and non-alcoholic beverages,69.2
2013-09,Restaurants and hotels,67.6
2013-09,Recreation and culture,70.5
2013-09,Miscellaneous goods and services,62.5
2013-09,Health,64.1
2013-09,Communication,101.8
2013-09,"Clothing, footwear and cloth",62.4
2013-09,Food and non-alcoholic beverages,67.5
2013-09,Transport,78.8
2013-09,"Alcoholic beverages, tobacco",68.0
2013-09,"Furnishings, household equipment",66.2
2013-09,Education,54.9
2013-09,"Housing, water, electricity and fuels",60.6
2013-10,Transport,79.4
2013-10,Communication,101.7
2013-10,Recreation and culture,70.5
2013-10,"Furnishings, household equipment",68.6
2013-10,"Housing, water, electricity and fuels",61.6
2013-10,Restaurants and hotels,67.9
2013-10,Food and non-alcoholic beverages,67.8
2013-10,Health,65.8
2013-10,Miscellaneous goods and services,64.4
2013-10,"Alcoholic beverages, tobacco",71.3
2013-10,Education,54.9
2013-10,"Clothing, footwear and cloth",63.9
2013-11,Miscellaneous goods and services,66.5
2013-11,Transport,79.6
2013-11,"Clothing, footwear and cloth",66.0
2013-11,Communication,101.7
2013-11,Health,66.8
2013-11,Recreation and culture,70.6
2013-11,"Alcoholic beverages, tobacco",72.6
2013-11,Restaurants and hotels,69.8
2013-11,"Housing, water, electricity and fuels",64.0
2013-11,Food and non-alcoholic beverages,67.6
2013-11,Education,54.9
2013-11,"Furnishings, household equipment",70.3
2013-12,"Furnishings, household equipment",71.7
2013-12,Restaurants and hotels,71.2
2013-12,Miscellaneous goods and services,68.7
2013-12,"Housing, water, electricity and fuels",64.4
2013-12,"Clothing, footwear and cloth",67.5
2013-12,Health,67.3
2013-12,Food and non-alcoholic beverages,68.5
2013-12,Transport,79.8
2013-12,"Alcoholic beverages, tobacco",73.2
2013-12,Education,54.9
2013-12,Recreation and culture,70.9
2013-12,Communication,101.8
2014-01,"Housing, water, electricity and fuels",64.8
2014-01,Education,54.9
2014-01,Transport,79.8
2014-01,"Alcoholic beverages, tobacco",74.8
2014-01,Miscellaneous goods and services,69.4
2014-01,Restaurants and hotels,71.3
2014-01,"Furnishings, household equipment",72.8
2014-01,"Clothing, footwear and cloth",69.0
2014-01,Food and non-alcoholic beverages,70.0
2014-01,Communication,101.8
2014-01,Recreation and culture,71.0
2014-01,Health,68.0
2014-02,"Furnishings, household equipment",73.6
2014-02,Restaurants and hotels,71.4
2014-02,Miscellaneous goods and services,70.3
2014-02,"Alcoholic beverages, tobacco",75.3
2014-02,"Housing, water, electricity and fuels",65.3
2014-02,Recreation and culture,71.2
2014-02,Food and non-alcoholic beverages,72.4
2014-02,Communication,101.8
2014-02,Transport,81.8
2014-02,"Clothing, footwear and cloth",69.6
2014-02,Health,68.5
2014-02,Education,54.9
2014-03,"Housing, water, electricity and fuels",65.5
2014-03,"Clothing, footwear and cloth",70.2
2014-03,Health,68.7
2014-03,Miscellaneous goods and services,71.0
2014-03,Recreation and culture,71.5
2014-03,Communication,101.8
2014-03,Food and non-alcoholic beverages,73.7
2014-03,"Alcoholic beverages, tobacco",75.6
2014-03,Restaurants and hotels,71.9
2014-03,Transport,82.3
2014-03,Education,54.9
2014-03,"Furnishings, household equipment",74.0
2014-04,"Alcoholic beverages, tobacco",75.8
2014-04,Restaurants and hotels,72.6
2014-04,Food and non-alcoholic beverages,74.9
2014-04,"Housing, water, electricity and fuels",65.5
2014-04,Health,68.8
2014-04,Communication,101.8
2014-04,"Clothing, footwear and cloth",71.1
2014-04,Miscellaneous goods and services,71.3
2014-04,"Furnishings, household equipment",74.5
2014-04,Recreation and culture,71.7
2014-04,Transport,82.5
2014-04,Education,54.9
2014-05,Communication,101.7
2014-05,"Housing, water, electricity and fuels",65.3
2014-05,Recreation and culture,71.5
2014-05,Miscellaneous goods and services,72.9
2014-05,Health,68.9
2014-05,Restaurants and hotels,74.0
2014-05,"Alcoholic beverages, tobacco",77.3
2014-05,Education,54.9
2014-05,Food and non-alcoholic beverages,76.5
2014-05,Transport,82.8
2014-05,"Furnishings, household equipment",75.1
2014-05,"Clothing, footwear and cloth",71.6
2014-06,Miscellaneous goods and services,73.9
2014-06,Recreation and culture,72.1
2014-06,Transport,83.5
2014-06,"Furnishings, household equipment",76.1
2014-06,Communication,101.8
2014-06,"Housing, water, electricity and fuels",65.1
2014-06,Food and non-alcoholic beverages,78.6
2014-06,"Clothing, footwear and cloth",72.7
2014-06,"Alcoholic beverages, tobacco",78.3
2014-06,Restaurants and hotels,75.9
2014-06,Health,69.8
2014-06,Education,54.9
2014-07,Food and non-alcoholic beverages,79.2
2014-07,Transport,84.0
2014-07,"Clothing, footwear and cloth",73.4
2014-07,Miscellaneous goods and services,74.8
2014-07,Education,54.9
2014-07,Health,71.8
2014-07,Restaurants and hotels,76.0
2014-07,Communication,101.9
2014-07,Recreation and culture,72.4
2014-07,"Furnishings, household equipment",76.6
2014-07,"Housing, water, electricity and fuels",64.3
2014-07,"Alcoholic beverages, tobacco",78.4
2014-08,Communication,101.8
2014-08,Transport,85.7
2014-08,"Furnishings, household equipment",77.5
2014-08,Education,54.9
2014-08,Food and non-alcoholic beverages,78.5
2014-08,Health,72.4
2014-08,"Housing, water, electricity and fuels",65.9
2014-08,"Clothing, footwear and cloth",73.8
2014-08,Recreation and culture,72.5
2014-08,Restaurants and hotels,76.4
2014-08,Miscellaneous goods and services,75.4
2014-08,"Alcoholic beverages, tobacco",79.1
2014-09,Restaurants and hotels,76.6
2014-09,Miscellaneous goods and services,76.2
2014-09,Health,72.6
2014-09,Recreation and culture,75.5
2014-09,Food and non-alcoholic beverages,75.6
2014-09,"Clothing, footwear and cloth",74.9
2014-09,Transport,85.8
2014-09,Communication,101.8
2014-09,"Housing, water, electricity and fuels",66.9
2014-09,"Alcoholic beverages, tobacco",79.4
2014-09,"Furnishings, household equipment",78.4
2014-09,Education,64.1
2014-10,"Alcoholic beverages, tobacco",80.0
2014-10,Restaurants and hotels,76.8
2014-10,Miscellaneous goods and services,76.7
2014-10,Health,72.8
2014-10,"Clothing, footwear and cloth",75.8
2014-10,Communication,101.9
2014-10,"Furnishings, household equipment",79.6
2014-10,Transport,86.1
2014-10,Food and non-alcoholic beverages,75.3
2014-10,"Housing, water, electricity and fuels",69.7
2014-10,Education,64.1
2014-10,Recreation and culture,75.9
2014-11,Communication,101.8
2014-11,"Housing, water, electricity and fuels",73.5
2014-11,Health,73.0
2014-11,"Clothing, footwear and cloth",76.6
2014-11,Transport,86.3
2014-11,Education,64.1
2014-11,Food and non-alcoholic beverages,74.9
2014-11,"Furnishings, household equipment",80.2
2014-11,Restaurants and hotels,76.8
2014-11,"Alcoholic beverages, tobacco",80.5
2014-11,Recreation and culture,76.5
2014-11,Miscellaneous goods and services,77.0
2014-12,Miscellaneous goods and services,77.2
2014-12,Education,64.1
2014-12,"Furnishings, household equipment",80.9
2014-12,Restaurants and hotels,77.1
2014-12,"Alcoholic beverages, tobacco",81.0
2014-12,Health,73.8
2014-12,Food and non-alcoholic beverages,75.0
2014-12,Communication,101.8
2014-12,"Housing, water, electricity and fuels",75.0
2014-12,Transport,86.6
2014-12,"Clothing, footwear and cloth",77.6
2014-12,Recreation and culture,76.5
2015-01,Recreation and culture,76.7
2015-01,Education,64.1
2015-01,Restaurants and hotels,77.4
2015-01,"Furnishings, household equipment",81.2
2015-01,Communication,101.7
2015-01,Transport,86.7
2015-01,Miscellaneous goods and services,77.6
2015-01,"Housing, water, electricity and fuels",75.4
2015-01,Health,74.2
2015-01,"Clothing, footwear and cloth",78.8
2015-01,Food and non-alcoholic beverages,75.8
2015-01,"Alcoholic beverages, tobacco",82.5
2015-02,"Clothing, footwear and cloth",79.1
2015-02,"Housing, water, electricity and fuels",75.6
