бүс_нутаг,сар,амьд_төрөлт
Сэлэнгэ,2019-09,153
Сүхбаатар,2019-09,104
Төв,2019-09,85
Увс,2019-09,186
Улаанбаатар,2019-09,3490
Ховд,2019-09,199
Хэнтий,2019-09,135
Хөвсгөл,2019-09,222
Өвөрхангай,2019-09,228
Өмнөговь,2019-09,154
Архангай,2019-10,149
Баян-Өлгий,2019-10,283
Баянхонгор,2019-10,174
Булган,2019-10,57
Говь-Алтай,2019-10,109
Говьсүмбэр,2019-10,33
Дархан-Уул,2019-10,199
Дорноговь,2019-10,125
Дорнод,2019-10,160
Дундговь,2019-10,76
Завхан,2019-10,118
Орхон,2019-10,213
Сэлэнгэ,2019-10,177
Сүхбаатар,2019-10,110
Төв,2019-10,110
Увс,2019-10,168
Улаанбаатар,2019-10,3504
Ховд,2019-10,223
Хэнтий,2019-10,128
Хөвсгөл,2019-10,208
Өвөрхангай,2019-10,272
Өмнөговь,2019-10,149
Архангай,2019-11,163
Баян-Өлгий,2019-11,199
Баянхонгор,2019-11,182
Булган,2019-11,47
Говь-Алтай,2019-11,111
Говьсүмбэр,2019-11,34
Дархан-Уул,2019-11,190
Дорноговь,2019-11,119
Дорнод,2019-11,150
Дундговь,2019-11,91
Завхан,2019-11,92
Орхон,2019-11,246
Сэлэнгэ,2019-11,113
Сүхбаатар,2019-11,101
Төв,2019-11,72
Увс,2019-11,157
Улаанбаатар,2019-11,3426
Ховд,2019-11,190
Хэнтий,2019-11,125
Хөвсгөл,2019-11,207
Өвөрхангай,2019-11,206
Өмнөговь,2019-11,131
Архангай,2019-12,138
Баян-Өлгий,2019-12,258
Баянхонгор,2019-12,186
Булган,2019-12,78
Говь-Алтай,2019-12,99
Говьсүмбэр,2019-12,23
Дархан-Уул,2019-12,188
Дорноговь,2019-12,139
Дорнод,2019-12,160
Дундговь,2019-12,85
Завхан,2019-12,110
Орхон,2019-12,223
Сэлэнгэ,2019-12,156
Сүхбаатар,2019-12,86
Төв,2019-12,99
Увс,2019-12,141
Улаанбаатар,2019-12,3520
Ховд,2019-12,188
Хэнтий,2019-12,129
Хөвсгөл,2019-12,239
Өвөрхангай,2019-12,195
Өмнөговь,2019-12,161
Архангай,2020-01,114
Баян-Өлгий,2020-01,229
Баянхонгор,2020-01,160
Булган,2020-01,59
Говь-Алтай,2020-01,101
Говьсүмбэр,2020-01,43
Дархан-Уул,2020-01,199
Дорноговь,2020-01,149
Дорнод,2020-01,179
Дундговь,2020-01,81
Завхан,2020-01,112
Орхон,2020-01,216
Сэлэнгэ,2020-01,145
Сүхбаатар,2020-01,118
Төв,2020-01,86
Увс,2020-01,152
Улаанбаатар,2020-01,3265
Ховд,2020-01,173
Хэнтий,2020-01,134
Хөвсгөл,2020-01,202
Өвөрхангай,2020-01,187
Өмнөговь,2020-01,156
Архангай,2020-02,127
Баян-Өлгий,2020-02,181
Баянхонгор,2020-02,149
Булган,2020-02,62
Говь-Алтай,2020-02,101
Говьсүмбэр,2020-02,27
Дархан-Уул,2020-02,155
Дорноговь,2020-02,107
Дорнод,2020-02,148
Дундговь,2020-02,60
Завхан,2020-02,91
Орхон,2020-02,185
Сэлэнгэ,2020-02,123
Сүхбаатар,2020-02,87
Төв,2020-02,101
Увс,2020-02,168
Улаанбаатар,2020-02,2989
Ховд,2020-02,167
Хэнтий,2020-02,120
Хөвсгөл,2020-02,230
Өвөрхангай,2020-02,192
Өмнөговь,2020-02,145
Архангай,2020-03,167
Баян-Өлгий,2020-03,249
Баянхонгор,2020-03,192
Булган,2020-03,69
Говь-Алтай,2020-03,139
Говьсүмбэр,2020-03,33
Дархан-Уул,2020-03,194
Дорноговь,2020-03,105
Дорнод,2020-03,214
Дундговь,2020-03,80
Завхан,2020-03,126
Орхон,2020-03,232
Сэлэнгэ,2020-03,150
Сүхбаатар,2020-03,122
Төв,2020-03,80
Увс,2020-03,188
Улаанбаатар,2020-03,3416
Ховд,2020-03,211
Хэнтий,2020-03,157
Хөвсгөл,2020-03,226
Өвөрхангай,2020-03,213
Өмнөговь,2020-03,125
Архангай,2020-04,156
Баян-Өлгий,2020-04,274
Баянхонгор,2020-04,162
Булган,2020-04,78
Говь-Алтай,2020-04,111
Говьсүмбэр,2020-04,45
Дархан-Уул,2020-04,212
Дорноговь,2020-04,120
Дорнод,2020-04,156
Дундговь,2020-04,80
Завхан,2020-04,111
Орхон,2020-04,213
Сэлэнгэ,2020-04,137
Сүхбаатар,2020-04,102
Төв,2020-04,83
Увс,2020-04,169
Улаанбаатар,2020-04,3367
Ховд,2020-04,181
Хэнтий,2020-04,144
Хөвсгөл,2020-04,193
Өвөрхангай,2020-04,227
Өмнөговь,2020-04,131
Архангай,2020-05,122
Баян-Өлгий,2020-05,236
Баянхонгор,2020-05,179
Булган,2020-05,67
Говь-Алтай,2020-05,125
Говьсүмбэр,2020-05,41
Дархан-Уул,2020-05,186
Дорноговь,2020-05,104
Дорнод,2020-05,153
Дундговь,2020-05,91
Завхан,2020-05,116
Орхон,2020-05,217
Сэлэнгэ,2020-05,139
Сүхбаатар,2020-05,111
Төв,2020-05,108
Увс,2020-05,176
Улаанбаатар,2020-05,3442
Ховд,2020-05,181
Хэнтий,2020-05,135
Хөвсгөл,2020-05,217
Өвөрхангай,2020-05,201
Өмнөговь,2020-05,131
Архангай,2020-06,148
Баян-Өлгий,2020-06,232
Баянхонгор,2020-06,183
Булган,2020-06,64
Говь-Алтай,2020-06,138
Говьсүмбэр,2020-06,41
Дархан-Уул,2020-06,170
Дорноговь,2020-06,103
Дорнод,2020-06,165
Дундговь,2020-06,74
Завхан,2020-06,128
Орхон,2020-06,203
Сэлэнгэ,2020-06,126
Сүхбаатар,2020-06,116
Төв,2020-06,101
Увс,2020-06,161
Улаанбаатар,2020-06,3248
Ховд,2020-06,215
Хэнтий,2020-06,125
Хөвсгөл,2020-06,220
Өвөрхангай,2020-06,177
Өмнөговь,2020-06,138
Архангай,2020-07,145
Баян-Өлгий,2020-07,244
Баянхонгор,2020-07,166
Булган,2020-07,71
Говь-Алтай,2020-07,121
Говьсүмбэр,2020-07,38
Дархан-Уул,2020-07,203
Дорноговь,2020-07,143
Дорнод,2020-07,165
Дундговь,2020-07,88
Завхан,2020-07,128
Орхон,2020-07,238
Сэлэнгэ,2020-07,137
Сүхбаатар,2020-07,124
Төв,2020-07,106
Увс,2020-07,179
Улаанбаатар,2020-07,3559
Ховд,2020-07,225
Хэнтий,2020-07,122
Хөвсгөл,2020-07,247
Өвөрхангай,2020-07,225
Өмнөговь,2020-07,141
Архангай,2020-08,135
Баян-Өлгий,2020-08,259
Баянхонгор,2020-08,186
Булган,2020-08,57
Говь-Алтай,2020-08,140
Говьсүмбэр,2020-08,30
Дархан-Уул,2020-08,218
Дорноговь,2020-08,108
Дорнод,2020-08,160
Дундговь,2020-08,61
Завхан,2020-08,104
Орхон,2020-08,223
Сэлэнгэ,2020-08,172
Сүхбаатар,2020-08,103
Төв,2020-08,77
Увс,2020-08,171
Улаанбаатар,2020-08,3422
Ховд,2020-08,202
Хэнтий,2020-08,147
Хөвсгөл,2020-08,262
Өвөрхангай,2020-08,196
Өмнөговь,2020-08,153
Архангай,2020-09,136
Баян-Өлгий,2020-09,251
Баянхонгор,2020-09,178
Булган,2020-09,54
Говь-Алтай,2020-09,114
Говьсүмбэр,2020-09,33
Дархан-Уул,2020-09,192
Дорноговь,2020-09,129
Дорнод,2020-09,184
Дундговь,2020-09,58
Завхан,2020-09,99
Орхон,2020-09,201
Сэлэнгэ,2020-09,134
Сүхбаатар,2020-09,104
Төв,2020-09,88
Увс,2020-09,179
Улаанбаатар,2020-09,3202
Ховд,2020-09,186
Хэнтий,2020-09,99
Хөвсгөл,2020-09,240
Өвөрхангай,2020-09,237
Өмнөговь,2020-09,122
Архангай,2020-10,124
Баян-Өлгий,2020-10,253
Баянхонгор,2020-10,156
Булган,2020-10,47
Говь-Алтай,2020-10,92
Говьсүмбэр,2020-10,35
Дархан-Уул,2020-10,177
Дорноговь,2020-10,144
Дорнод,2020-10,162
Дундговь,2020-10,71
Завхан,2020-10,120
Орхон,2020-10,213
Сэлэнгэ,2020-10,152
Сүхбаатар,2020-10,131
Төв,2020-10,69
Увс,2020-10,148
Улаанбаатар,2020-10,3417
Ховд,2020-10,169
Хэнтий,2020-10,131
Хөвсгөл,2020-10,234
Өвөрхангай,2020-10,181
Өмнөговь,2020-10,121
Архангай,2020-11,130
Баян-Өлгий,2020-11,207
Баянхонгор,2020-11,161
Булган,2020-11,49
Говь-Алтай,2020-11,118
Говьсүмбэр,2020-11,39
Дархан-Уул,2020-11,182
Дорноговь,2020-11,113
Дорнод,2020-11,161
Дундговь,2020-11,73
Завхан,2020-11,105
Орхон,2020-11,219
Сэлэнгэ,2020-11,57
Сүхбаатар,2020-11,118
Төв,2020-11,84
Увс,2020-11,150
Улаанбаатар,2020-11,3227
Ховд,2020-11,171
Хэнтий,2020-11,133
Хөвсгөл,2020-11,246
Өвөрхангай,2020-11,182
Өмнөговь,2020-11,152
Архангай,2020-12,135
Баян-Өлгий,2020-12,249
Баянхонгор,2020-12,179
Булган,2020-12,83
Говь-Алтай,2020-12,106
Говьсүмбэр,2020-12,36
Дархан-Уул,2020-12,158
Дорноговь,2020-12,136
Дорнод,2020-12,158
Дундговь,2020-12,79
Завхан,2020-12,131
Орхон,2020-12,195
Сэлэнгэ,2020-12,183
Сүхбаатар,2020-12,109
Төв,2020-12,91
Увс,2020-12,183
Улаанбаатар,2020-12,3225
Ховд,2020-12,193
Хэнтий,2020-12,132
Хөвсгөл,2020-12,211
Өвөрхангай,2020-12,210
Өмнөговь,2020-12,165
Архангай,2021-01,139
Баян-Өлгий,2021-01,212
Баянхонгор,2021-01,121
Булган,2021-01,80
Говь-Алтай,2021-01,108
Говьсүмбэр,2021-01,34
Дархан-Уул,2021-01,165
Дорноговь,2021-01,123
Дорнод,2021-01,148
Дундговь,2021-01,70
Завхан,2021-01,103
Орхон,2021-01,199
Сэлэнгэ,2021-01,122
Сүхбаатар,2021-01,112
Төв,2021-01,107
Увс,2021-01,133
Улаанбаатар,2021-01,3007
Ховд,2021-01,177
Хэнтий,2021-01,108
Хөвсгөл,2021-01,206
Өвөрхангай,2021-01,160
Өмнөговь,2021-01,137
Архангай,2021-02,159
Баян-Өлгий,2021-02,216
Баянхонгор,2021-02,134
Булган,2021-02,84
Говь-Алтай,2021-02,104
Говьсүмбэр,2021-02,35
Дархан-Уул,2021-02,187
Дорноговь,2021-02,99
Дорнод,2021-02,136
Дундговь,2021-02,58
Завхан,2021-02,117
Орхон,2021-02,174
Сэлэнгэ,2021-02,121
Сүхбаатар,2021-02,121
Төв,2021-02,96
Увс,2021-02,143
Улаанбаатар,2021-02,2840
Ховд,2021-02,158
Хэнтий,2021-02,122
Хөвсгөл,2021-02,221
Өвөрхангай,2021-02,169
Өмнөговь,2021-02,130
Архангай,2021-03,128
Баян-Өлгий,2021-03,263
Баянхонгор,2021-03,176
Булган,2021-03,71
Говь-Алтай,2021-03,110
Говьсүмбэр,2021-03,41
Дархан-Уул,2021-03,207
Дорноговь,2021-03,157
Дорнод,2021-03,154
Дундговь,2021-03,102
Завхан,2021-03,123
Орхон,2021-03,226
Сэлэнгэ,2021-03,144
Сүхбаатар,2021-03,123
Төв,2021-03,105
Увс,2021-03,163
Улаанбаатар,2021-03,3145
Ховд,2021-03,177
Хэнтий,2021-03,153
Хөвсгөл,2021-03,227
Өвөрхангай,2021-03,201
Өмнөговь,2021-03,161
Архангай,2021-04,145
Баян-Өлгий,2021-04,239
Баянхонгор,2021-04,182
Булган,2021-04,91
Говь-Алтай,2021-04,122
Говьсүмбэр,2021-04,38
Дархан-Уул,2021-04,191
Дорноговь,2021-04,95
Дорнод,2021-04,144
Дундговь,2021-04,76
Завхан,2021-04,114
Орхон,2021-04,228
Сэлэнгэ,2021-04,135
Сүхбаатар,2021-04,123
Төв,2021-04,89
Увс,2021-04,150
Улаанбаатар,2021-04,3178
Ховд,2021-04,163
Хэнтий,2021-04,148
Хөвсгөл,2021-04,236
Өвөрхангай,2021-04,169
Өмнөговь,2021-04,151
Архангай,2021-05,168
Баян-Өлгий,2021-05,261
Баянхонгор,2021-05,168
Булган,2021-05,84
Говь-Алтай,2021-05,124
Говьсүмбэр,2021-05,29
Дархан-Уул,2021-05,197
Дорноговь,2021-05,128
Дорнод,2021-05,162
Дундговь,2021-05,79
Завхан,2021-05,156
Орхон,2021-05,212
Сэлэнгэ,2021-05,162
Сүхбаатар,2021-05,106
Төв,2021-05,102
Увс,2021-05,152
Улаанбаатар,2021-05,3115
Ховд,2021-05,191
Хэнтий,2021-05,141
Хөвсгөл,2021-05,195
Өвөрхангай,2021-05,187
Өмнөговь,2021-05,162
Архангай,2021-06,152
Баян-Өлгий,2021-06,239
Баянхонгор,2021-06,146
Булган,2021-06,68
Говь-Алтай,2021-06,100
Говьсүмбэр,2021-06,49
Дархан-Уул,2021-06,172
Дорноговь,2021-06,141
Дорнод,2021-06,164
Дундговь,2021-06,82
Завхан,2021-06,130
Орхон,2021-06,217
Сэлэнгэ,2021-06,178
Сүхбаатар,2021-06,124
Төв,2021-06,79
Увс,2021-06,182
Улаанбаатар,2021-06,3270
Ховд,2021-06,172
Хэнтий,2021-06,134
Хөвсгөл,2021-06,233
Өвөрхангай,2021-06,189
Өмнөговь,2021-06,140
Архангай,2021-07,159
Баян-Өлгий,2021-07,274
Баянхонгор,2021-07,163
Булган,2021-07,75
Говь-Алтай,2021-07,98
Говьсүмбэр,2021-07,50
Дархан-Уул,2021-07,204
Дорноговь,2021-07,131
Дорнод,2021-07,158
Дундговь,2021-07,65
Завхан,2021-07,128
Орхон,2021-07,245
Сэлэнгэ,2021-07,164
Сүхбаатар,2021-07,125
Төв,2021-07,103
Увс,2021-07,150
Улаанбаатар,2021-07,3224
Ховд,2021-07,171
Хэнтий,2021-07,141
Хөвсгөл,2021-07,269
Өвөрхангай,2021-07,211
Өмнөговь,2021-07,127
Архангай,2021-08,127
Баян-Өлгий,2021-08,250
Баянхонгор,2021-08,176
Булган,2021-08,69
Говь-Алтай,2021-08,117
Говьсүмбэр,2021-08,41
Дархан-Уул,2021-08,185
Дорноговь,2021-08,104
Дорнод,2021-08,132
Дундговь,2021-08,61
Завхан,2021-08,102
Орхон,2021-08,203
Сэлэнгэ,2021-08,98
Сүхбаатар,2021-08,100
Төв,2021-08,86
Увс,2021-08,163
Улаанбаатар,2021-08,2972
Ховд,2021-08,166
Хэнтий,2021-08,117
Хөвсгөл,2021-08,218
Өвөрхангай,2021-08,185
Өмнөговь,2021-08,111
Архангай,2021-09,113
Баян-Өлгий,2021-09,273
Баянхонгор,2021-09,180
Булган,2021-09,74
Говь-Алтай,2021-09,100
Говьсүмбэр,2021-09,38
Дархан-Уул,2021-09,181
Дорноговь,2021-09,126
Дорнод,2021-09,159
Дундговь,2021-09,70
Завхан,2021-09,98
Орхон,2021-09,228
Сэлэнгэ,2021-09,132
Сүхбаатар,2021-09,132
Төв,2021-09,100
Увс,2021-09,170
Улаанбаатар,2021-09,3098
Ховд,2021-09,178
Хэнтий,2021-09,110
Хөвсгөл,2021-09,208
Өвөрхангай,2021-09,192
Өмнөговь,2021-09,117
Архангай,2021-10,147
Баян-Өлгий,2021-10,243
Баянхонгор,2021-10,127
Булган,2021-10,67
Говь-Алтай,2021-10,112
Говьсүмбэр,2021-10,46
Дархан-Уул,2021-10,183
Дорноговь,2021-10,127
Дорнод,2021-10,144
Дундговь,2021-10,62
Завхан,2021-10,74
Орхон,2021-10,212
Сэлэнгэ,2021-10,132
Сүхбаатар,2021-10,121
Төв,2021-10,89
Увс,2021-10,168
Улаанбаатар,2021-10,3036
Ховд,2021-10,171
Хэнтий,2021-10,119
Хөвсгөл,2021-10,251
Өвөрхангай,2021-10,195
Өмнөговь,2021-10,129
Архангай,2021-11,117
Баян-Өлгий,2021-11,226
Баянхонгор,2021-11,144
Булган,2021-11,48
Говь-Алтай,2021-11,96
Говьсүмбэр,2021-11,40
Дархан-Уул,2021-11,152
Дорноговь,2021-11,116
Дорнод,2021-11,136
Дундговь,2021-11,64
Завхан,2021-11,93
Орхон,2021-11,197
Сэлэнгэ,2021-11,132
Сүхбаатар,2021-11,92
Төв,2021-11,88
Увс,2021-11,131
Улаанбаатар,2021-11,2852
Ховд,2021-11,159
Хэнтий,2021-11,129
Хөвсгөл,2021-11,214
Өвөрхангай,2021-11,199
Өмнөговь,2021-11,131
Архангай,2021-12,96
Баян-Өлгий,2021-12,231
Баянхонгор,2021-12,141
Булган,2021-12,31
Говь-Алтай,2021-12,105
Говьсүмбэр,2021-12,37
Дархан-Уул,2021-12,170
Дорноговь,2021-12,111
Дорнод,2021-12,153
Дундговь,2021-12,66
Завхан,2021-12,92
Орхон,2021-12,176
Сэлэнгэ,2021-12,104
Сүхбаатар,2021-12,97
Төв,2021-12,85
Увс,2021-12,154
Улаанбаатар,2021-12,2679
Ховд,2021-12,152
Хэнтий,2021-12,102
Хөвсгөл,2021-12,178
Өвөрхангай,2021-12,149
Өмнөговь,2021-12,143
Архангай,2022-01,96
Баян-Өлгий,2022-01,202
Баянхонгор,2022-01,111
Булган,2022-01,50
Говь-Алтай,2022-01,66
Говьсүмбэр,2022-01,31
Дархан-Уул,2022-01,101
Дорноговь,2022-01,104
Дорнод,2022-01,121
Дундговь,2022-01,56
Завхан,2022-01,72
Орхон,2022-01,177
Сэлэнгэ,2022-01,79
Сүхбаатар,2022-01,79
Төв,2022-01,53
Увс,2022-01,113
Улаанбаатар,2022-01,2212
Ховд,2022-01,125
Хэнтий,2022-01,82
Хөвсгөл,2022-01,190
Өвөрхангай,2022-01,147
Өмнөговь,2022-01,85
Архангай,2022-02,97
Баян-Өлгий,2022-02,189
Баянхонгор,2022-02,107
Булган,2022-02,45
Говь-Алтай,2022-02,62
Говьсүмбэр,2022-02,25
Дархан-Уул,2022-02,125
Дорноговь,2022-02,84
Дорнод,2022-02,99
Дундговь,2022-02,48
Завхан,2022-02,58
Орхон,2022-02,171
Сэлэнгэ,2022-02,86
Сүхбаатар,2022-02,72
Төв,2022-02,62
Увс,2022-02,109
Улаанбаатар,2022-02,1934
Ховд,2022-02,112
Хэнтий,2022-02,94
Хөвсгөл,2022-02,152
Өвөрхангай,2022-02,138
Өмнөговь,2022-02,81
Архангай,2022-03,116
Баян-Өлгий,2022-03,238
Баянхонгор,2022-03,139
Булган,2022-03,48
Говь-Алтай,2022-03,79
Говьсүмбэр,2022-03,19
Дархан-Уул,2022-03,167
Дорноговь,2022-03,92
Дорнод,2022-03,128
Дундговь,2022-03,53
Завхан,2022-03,82
Орхон,2022-03,173
Сэлэнгэ,2022-03,125
Сүхбаатар,2022-03,79
Төв,2022-03,69
Увс,2022-03,102
Улаанбаатар,2022-03,3127
Ховд,2022-03,126
Хэнтий,2022-03,101
Хөвсгөл,2022-03,176
Өвөрхангай,2022-03,149
Өмнөговь,2022-03,95
Архангай,2022-04,120
Баян-Өлгий,2022-04,211
Баянхонгор,2022-04,126
Булган,2022-04,56
Говь-Алтай,2022-04,103
Говьсүмбэр,2022-04,30
Дархан-Уул,2022-04,152
Дорноговь,2022-04,95
Дорнод,2022-04,134
Дундговь,2022-04,53
Завхан,2022-04,98
Орхон,2022-04,189
Сэлэнгэ,2022-04,118
Сүхбаатар,2022-04,86
Төв,2022-04,55
Увс,2022-04,163
Улаанбаатар,2022-04,2926
Ховд,2022-04,128
Хэнтий,2022-04,128
Хөвсгөл,2022-04,204
Өвөрхангай,2022-04,162
Өмнөговь,2022-04,107
Архангай,2022-05,123
Баян-Өлгий,2022-05,240
Баянхонгор,2022-05,131
Булган,2022-05,53
Говь-Алтай,2022-05,88
Говьсүмбэр,2022-05,30
Дархан-Уул,2022-05,159
Дорноговь,2022-05,111
Дорнод,2022-05,120
Дундговь,2022-05,70
Завхан,2022-05,83
Орхон,2022-05,176
Сэлэнгэ,2022-05,98
Сүхбаатар,2022-05,94
Төв,2022-05,83
Увс,2022-05,128
Улаанбаатар,2022-05,3087
Ховд,2022-05,146
Хэнтий,2022-05,118
Хөвсгөл,2022-05,181
Өвөрхангай,2022-05,154
Өмнөговь,2022-05,89
Архангай,2022-06,89
Баян-Өлгий,2022-06,237
Баянхонгор,2022-06,121
Булган,2022-06,61
Говь-Алтай,2022-06,84
Говьсүмбэр,2022-06,34
Дархан-Уул,2022-06,181
Дорноговь,2022-06,93
Дорнод,2022-06,109
Дундговь,2022-06,48
Завхан,2022-06,107
Орхон,2022-06,177
Сэлэнгэ,2022-06,110
Сүхбаатар,2022-06,95
Төв,2022-06,81
Увс,2022-06,143
Улаанбаатар,2022-06,2976
Ховд,2022-06,171
Хэнтий,2022-06,107
Хөвсгөл,2022-06,174
Өвөрхангай,2022-06,134
Өмнөговь,2022-06,97
Архангай,2022-07,109
Баян-Өлгий,2022-07,234
Баянхонгор,2022-07,156
Булган,2022-07,55
Говь-Алтай,2022-07,94
Говьсүмбэр,2022-07,28
Дархан-Уул,2022-07,188
Дорноговь,2022-07,86
Дорнод,2022-07,130
Дундговь,2022-07,50
Завхан,2022-07,111
Орхон,2022-07,200
Сэлэнгэ,2022-07,118
Сүхбаатар,2022-07,88
Төв,2022-07,55
Увс,2022-07,134
Улаанбаатар,2022-07,3170
Ховд,2022-07,159
Хэнтий,2022-07,107
Хөвсгөл,2022-07,226
Өвөрхангай,2022-07,188
Өмнөговь,2022-07,98
Архангай,2022-08,115
Баян-Өлгий,2022-08,249
Баянхонгор,2022-08,184
Булган,2022-08,59
Говь-Алтай,2022-08,87
Говьсүмбэр,2022-08,31
Дархан-Уул,2022-08,195
Дорноговь,2022-08,116
Дорнод,2022-08,165
Дундговь,2022-08,64
Завхан,2022-08,96
Орхон,2022-08,206
Сэлэнгэ,2022-08,134
Сүхбаатар,2022-08,117
Төв,2022-08,77
Увс,2022-08,166
Улаанбаатар,2022-08,3197
Ховд,2022-08,174
Хэнтий,2022-08,111
Хөвсгөл,2022-08,180
Өвөрхангай,2022-08,192
Өмнөговь,2022-08,130
Архангай,2022-09,107
Баян-Өлгий,2022-09,255
Баянхонгор,2022-09,152
Булган,2022-09,50
Говь-Алтай,2022-09,98
Говьсүмбэр,2022-09,45
Дархан-Уул,2022-09,175
Дорноговь,2022-09,114
Дорнод,2022-09,140
Дундговь,2022-09,54
Завхан,2022-09,105
Орхон,2022-09,222
Сэлэнгэ,2022-09,128
Сүхбаатар,2022-09,99
Төв,2022-09,54
Увс,2022-09,149
Улаанбаатар,2022-09,3265
Ховд,2022-09,160
Хэнтий,2022-09,118
Хөвсгөл,2022-09,223
Өвөрхангай,2022-09,195
Өмнөговь,2022-09,127
Архангай,2022-10,124
Баян-Өлгий,2022-10,235
Баянхонгор,2022-10,159
Булган,2022-10,72
Говь-Алтай,2022-10,101
Говьсүмбэр,2022-10,40
Дархан-Уул,2022-10,172
Дорноговь,2022-10,111
Дорнод,2022-10,150
Дундговь,2022-10,61
Завхан,2022-10,103
Орхон,2022-10,229
Сэлэнгэ,2022-10,120
Сүхбаатар,2022-10,92
Төв,2022-10,75
Увс,2022-10,182
Улаанбаатар,2022-10,3202
Ховд,2022-10,163
Хэнтий,2022-10,123
Хөвсгөл,2022-10,210
Өвөрхангай,2022-10,192
Өмнөговь,2022-10,118
Архангай,2022-11,114
Баян-Өлгий,2022-11,252
Баянхонгор,2022-11,125
Булган,2022-11,50
Говь-Алтай,2022-11,90
Говьсүмбэр,2022-11,25
Дархан-Уул,2022-11,205
Дорноговь,2022-11,127
Дорнод,2022-11,141
Дундговь,2022-11,69
Завхан,2022-11,96
Орхон,2022-11,183
Сэлэнгэ,2022-11,107
Сүхбаатар,2022-11,93
Төв,2022-11,76
Увс,2022-11,134
Улаанбаатар,2022-11,2914
Ховд,2022-11,178
Хэнтий,2022-11,98
Хөвсгөл,2022-11,180
Өвөрхангай,2022-11,170
Өмнөговь,2022-11,125
Архангай,2022-12,132
Баян-Өлгий,2022-12,232
Баянхонгор,2022-12,166
Булган,2022-12,80
Говь-Алтай,2022-12,91
Говьсүмбэр,2022-12,40
Дархан-Уул,2022-12,183
Дорноговь,2022-12,117
Дорнод,2022-12,151
Дундговь,2022-12,50
Завхан,2022-12,86
Орхон,2022-12,206
Сэлэнгэ,2022-12,114
Сүхбаатар,2022-12,116
Төв,2022-12,60
Увс,2022-12,155
Улаанбаатар,2022-12,3187
Ховд,2022-12,163
Хэнтий,2022-12,111
Хөвсгөл,2022-12,203
Өвөрхангай,2022-12,166
Өмнөговь,2022-12,107
Архангай,2023-01,128
Баян-Өлгий,2023-01,217
Баянхонгор,2023-01,138
Булган,2023-01,53
Говь-Алтай,2023-01,94
Говьсүмбэр,2023-01,35
Дархан-Уул,2023-01,168
Дорноговь,2023-01,89
Дорнод,2023-01,134
Дундговь,2023-01,64
Завхан,2023-01,95
Орхон,2023-01,194
Сэлэнгэ,2023-01,123
Сүхбаатар,2023-01,105
Төв,2023-01,66
Увс,2023-01,149
Улаанбаатар,2023-01,2965
Ховд,2023-01,160
Хэнтий,2023-01,92
Хөвсгөл,2023-01,198
Өвөрхангай,2023-01,170
Өмнөговь,2023-01,111
Архангай,2023-02,112
Баян-Өлгий,2023-02,202
Баянхонгор,2023-02,131
Булган,2023-02,56
Говь-Алтай,2023-02,81
Говьсүмбэр,2023-02,21
Дархан-Уул,2023-02,149
Дорноговь,2023-02,101
Дорнод,2023-02,122
Дундговь,2023-02,61
Завхан,2023-02,89
Орхон,2023-02,176
Сэлэнгэ,2023-02,106
Сүхбаатар,2023-02,94
Төв,2023-02,71
Увс,2023-02,133
Улаанбаатар,2023-02,2590
Ховд,2023-02,139
Хэнтий,2023-02,113
Хөвсгөл,2023-02,156
Өвөрхангай,2023-02,168
Өмнөговь,2023-02,104
Архангай,2023-03,135
Баян-Өлгий,2023-03,253
Баянхонгор,2023-03,153
Булган,2023-03,59
Говь-Алтай,2023-03,88
Говьсүмбэр,2023-03,46
Дархан-Уул,2023-03,180
Дорноговь,2023-03,93
Дорнод,2023-03,132
Дундговь,2023-03,63
Завхан,2023-03,113
Орхон,2023-03,227
Сэлэнгэ,2023-03,120
Сүхбаатар,2023-03,116
Төв,2023-03,83
Увс,2023-03,166
Улаанбаатар,2023-03,3080
Ховд,2023-03,175
Хэнтий,2023-03,127
Хөвсгөл,2023-03,199
Өвөрхангай,2023-03,207
Өмнөговь,2023-03,114
Архангай,2023-04,138
Баян-Өлгий,2023-04,247
Баянхонгор,2023-04,123
Булган,2023-04,46
Говь-Алтай,2023-04,86
Говьсүмбэр,2023-04,31
Дархан-Уул,2023-04,186
Дорноговь,2023-04,79
Дорнод,2023-04,135
Дундговь,2023-04,56
Завхан,2023-04,110
Орхон,2023-04,167
Сэлэнгэ,2023-04,110
Сүхбаатар,2023-04,121
Төв,2023-04,86
Увс,2023-04,181
Улаанбаатар,2023-04,2945
Ховд,2023-04,154
Хэнтий,2023-04,111
Хөвсгөл,2023-04,203
Өвөрхангай,2023-04,156
Өмнөговь,2023-04,121
Архангай,2023-05,111
Баян-Өлгий,2023-05,229
Баянхонгор,2023-05,137
Булган,2023-05,52
Говь-Алтай,2023-05,81
Говьсүмбэр,2023-05,32
Дархан-Уул,2023-05,159
Дорноговь,2023-05,94
Дорнод,2023-05,122
Дундговь,2023-05,53
Завхан,2023-05,99
Орхон,2023-05,202
Сэлэнгэ,2023-05,109
Сүхбаатар,2023-05,109
Төв,2023-05,77
Увс,2023-05,153
Улаанбаатар,2023-05,3059
Ховд,2023-05,162
Хэнтий,2023-05,102
Хөвсгөл,2023-05,186
Өвөрхангай,2023-05,168
Өмнөговь,2023-05,114
Архангай,2023-06,96
Баян-Өлгий,2023-06,220
Баянхонгор,2023-06,137
Булган,2023-06,58
