бүс,сар,нас_баралт
Төвийн бүс,2023-04,210
Улаанбаатар,2023-04,699
Хангайн бүс,2023-04,210
Баруун бүс,2023-05,175
Зүүн бүс,2023-05,78
Төвийн бүс,2023-05,228
Улаанбаатар,2023-05,558
Хангайн бүс,2023-05,284
Баруун бүс,2023-06,145
Зүүн бүс,2023-06,78
Төвийн бүс,2023-06,199
Улаанбаатар,2023-06,926
Хангайн бүс,2023-06,245
Баруун бүс,2023-07,191
Зүүн бүс,2023-07,78
Төвийн бүс,2023-07,239
Улаанбаатар,2023-07,705
Хангайн бүс,2023-07,306
Баруун бүс,2023-08,173
Зүүн бүс,2023-08,77
Төвийн бүс,2023-08,208
Улаанбаатар,2023-08,725
Хангайн бүс,2023-08,259
Баруун бүс,2023-09,142
Зүүн бүс,2023-09,96
Төвийн бүс,2023-09,183
Улаанбаатар,2023-09,680
Хангайн бүс,2023-09,246
Баруун бүс,2023-10,152
Зүүн бүс,2023-10,91
Төвийн бүс,2023-10,206
Улаанбаатар,2023-10,621
Хангайн бүс,2023-10,255
Баруун бүс,2023-11,128
Зүүн бүс,2023-11,90
Төвийн бүс,2023-11,226
Улаанбаатар,2023-11,900
Хангайн бүс,2023-11,252
Баруун бүс,2023-12,169
Зүүн бүс,2023-12,98
Төвийн бүс,2023-12,198
Улаанбаатар,2023-12,951
Хангайн бүс,2023-12,275
Баруун бүс,2024-01,151
Зүүн бүс,2024-01,103
Төвийн бүс,2024-01,221
Улаанбаатар,2024-01,754
Хангайн бүс,2024-01,254
Баруун бүс,2024-02,163
Зүүн бүс,2024-02,97
Төвийн бүс,2024-02,192
Улаанбаатар,2024-02,668
Хангайн бүс,2024-02,264
Баруун бүс,2024-03,133
Зүүн бүс,2024-03,90
Төвийн бүс,2024-03,213
Улаанбаатар,2024-03,723
Хангайн бүс,2024-03,239
Баруун бүс,2024-04,144
Зүүн бүс,2024-04,80
Төвийн бүс,2024-04,223
Улаанбаатар,2024-04,683
Хангайн бүс,2024-04,275
Баруун бүс,2024-05,172
Зүүн бүс,2024-05,100
Төвийн бүс,2024-05,220
Улаанбаатар,2024-05,778
Хангайн бүс,2024-05,275
Баруун бүс,2024-06,181
Зүүн бүс,2024-06,96
Төвийн бүс,2024-06,215
Улаанбаатар,2024-06,705
Хангайн бүс,2024-06,231
Баруун бүс,2024-07,207
Зүүн бүс,2024-07,103
Төвийн бүс,2024-07,248
Улаанбаатар,2024-07,740
Хангайн бүс,2024-07,268
Баруун бүс,2024-08,157
Зүүн бүс,2024-08,77
Төвийн бүс,2024-08,204
Улаанбаатар,2024-08,812
Хангайн бүс,2024-08,256
Баруун бүс,2024-09,155
Зүүн бүс,2024-09,103
Төвийн бүс,2024-09,233
Улаанбаатар,2024-09,742
Хангайн бүс,2024-09,271
Баруун бүс,2024-10,151
Зүүн бүс,2024-10,75
Төвийн бүс,2024-10,246
Улаанбаатар,2024-10,822
Хангайн бүс,2024-10,302
Баруун бүс,2024-11,132
Зүүн бүс,2024-11,114
Төвийн бүс,2024-11,230
Улаанбаатар,2024-11,879
Хангайн бүс,2024-11,237
Баруун бүс,2024-12,158
Зүүн бүс,2024-12,109
Төвийн бүс,2024-12,235
Улаанбаатар,2024-12,868
Хангайн бүс,2024-12,336
Баруун бүс,2025-01,134
Зүүн бүс,2025-01,92
Төвийн бүс,2025-01,208
Улаанбаатар,2025-01,811
Хангайн бүс,2025-01,237
Баруун бүс,2025-02,157
Зүүн бүс,2025-02,64
Төвийн бүс,2025-02,174
Улаанбаатар,2025-02,587
Хангайн бүс,2025-02,214
Баруун бүс,2025-03,165
Зүүн бүс,2025-03,104
Төвийн бүс,2025-03,264
Улаанбаатар,2025-03,746
Хангайн бүс,2025-03,284
Баруун бүс,2025-04,148
Зүүн бүс,2025-04,90
Төвийн бүс,2025-04,237
Улаанбаатар,2025-04,778
Хангайн бүс,2025-04,243
Баруун бүс,2025-05,138
Зүүн бүс,2025-05,88
Төвийн бүс,2025-05,230
Улаанбаатар,2025-05,736
Хангайн бүс,2025-05,290
Баруун бүс,2025-06,138
Зүүн бүс,2025-06,84
Төвийн бүс,2025-06,248
Улаанбаатар,2025-06,779
Хангайн бүс,2025-06,251
Баруун бүс,2025-07,158
Зүүн бүс,2025-07,101
Төвийн бүс,2025-07,223
Улаанбаатар,2025-07,729
Хангайн бүс,2025-07,282
Баруун бүс,2025-08,144
Зүүн бүс,2025-08,97
Төвийн бүс,2025-08,187
Улаанбаатар,2025-08,724
Хангайн бүс,2025-08,248
Баруун бүс,2025-09,156
Зүүн бүс,2025-09,100
Төвийн бүс,2025-09,230
Улаанбаатар,2025-09,775
Хангайн бүс,2025-09,290
Баруун бүс,2025-10,147
Зүүн бүс,2025-10,105
Төвийн бүс,2025-10,218
Улаанбаатар,2025-10,830
Хангайн бүс,2025-10,272
Баруун бүс,2025-11,125
Зүүн бүс,2025-11,130
Төвийн бүс,2025-11,208
Улаанбаатар,2025-11,831
Хангайн бүс,2025-11,256
Баруун бүс,2025-12,163
Зүүн бүс,2025-12,105
Төвийн бүс,2025-12,281
Улаанбаатар,2025-12,819
Хангайн бүс,2025-12,254
Баруун бүс,2026-01,157
Зүүн бүс,2026-01,77
Төвийн бүс,2026-01,227
Улаанбаатар,2026-01,773
Хангайн бүс,2026-01,239
Баруун бүс,2026-02,130
Зүүн бүс,2026-02,81
Төвийн бүс,2026-02,223
Улаанбаатар,2026-02,643
Хангайн бүс,2026-02,241
Баруун бүс,2026-03,166
Зүүн бүс,2026-03,94
Төвийн бүс,2026-03,253
Улаанбаатар,2026-03,949
Хангайн бүс,2026-03,263
