сар,үзүүлэлт,утга
2021-10,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,29466.6
2021-10,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),134.2
2021-10,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-10,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,3355.0
2021-11,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),98.7
2021-11,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-11,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,30795.4
2021-11,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),104.3
2021-11,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-11,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1695.5
2021-11,БҮГД | Биелэлт (%),93.5
2021-11,БҮГД | Жилийн төлөвлөгөө,265400.0
2021-11,БҮГД | Өссөн дүнгийн гүйцэтгэл,248066.2
2021-11,Газрын тосны экспорт | Биелэлт (%),84.6
2021-11,Газрын тосны экспорт | Жилийн төлөвлөгөө,213200.0
2021-11,Газрын тосны экспорт | Өссөн дүнгийн гүйцэтгэл,180419.5
2021-11,Газрын тосны үйлчилгээний орлого | Биелэлт (%),228.6
2021-11,Газрын тосны үйлчилгээний орлого | Жилийн төлөвлөгөө,873.9
2021-11,Газрын тосны үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1997.9
2021-11,Сонгон шалгаруулалт | Биелэлт (%),185.1
2021-11,Сонгон шалгаруулалт | Жилийн төлөвлөгөө,16000.0
2021-11,Сонгон шалгаруулалт | Өссөн дүнгийн гүйцэтгэл,29623.1
2021-11,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Биелэлт (%),141.4
2021-11,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Жилийн төлөвлөгөө,2500.0
2021-11,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр | Өссөн дүнгийн гүйцэтгэл,3534.7
2021-12,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Биелэлт (%),105.0
2021-12,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Жилийн төлөвлөгөө,31200.0
2021-12,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр | Өссөн дүнгийн гүйцэтгэл,32770.6
2021-12,Ашигт малтмалын үйлчилгээний орлого | Биелэлт (%),107.6
2021-12,Ашигт малтмалын үйлчилгээний орлого | Жилийн төлөвлөгөө,1626.1
2021-12,Ашигт малтмалын үйлчилгээний орлого | Өссөн дүнгийн гүйцэтгэл,1750.5
2021-12,БҮГД | Биелэлт (%),101.2
