year,region,unemployment_rate
2020,Uvs,8.7
2020,Uvurkhangai,7.6
2020,Zavkhan,1.3
2021,Arkhangai,3.1
2021,Bayan-Ulgii,16.4
2021,Bayankhongor,13.1
2021,Bulgan,3.3
2021,Darkhan-Uul,16.5
2021,Dornod,7.9
2021,Dornogovi,2.9
2021,Dundgovi,6.4
2021,Govi-Altai,10.3
2021,Govisumber,13.6
2021,Khentii,4.4
2021,Khovd,9.7
2021,Khuvsgul,8.3
2021,Orkhon,15.4
2021,Selenge,24.5
2021,Sukhbaatar,2.3
2021,Tuv,2.2
2021,Ulaanbaatar,8.1
2021,Umnugovi,7.5
2021,Uvs,4.6
2021,Uvurkhangai,3.4
2021,Zavkhan,6.5
2022,Arkhangai,1.0
2022,Bayan-Ulgii,11.5
2022,Bayankhongor,10.1
2022,Bulgan,5.8
2022,Darkhan-Uul,8.5
2022,Dornod,7.7
2022,Dornogovi,0.7
2022,Dundgovi,5.5
2022,Govi-Altai,10.7
2022,Govisumber,5.7
2022,Khentii,3.0
2022,Khovd,7.2
2022,Khuvsgul,6.9
2022,Orkhon,10.0
2022,Selenge,9.3
2022,Sukhbaatar,2.9
2022,Tuv,5.4
2022,Ulaanbaatar,5.8
2022,Umnugovi,7.3
2022,Uvs,7.3
2022,Uvurkhangai,5.8
2022,Zavkhan,9.7
2023,Arkhangai,6.8
2023,Bayan-Ulgii,6.8
2023,Bayankhongor,6.4
2023,Bulgan,6.0
2023,Darkhan-Uul,12.6
2023,Dornod,6.3
2023,Dornogovi,3.2
2023,Dundgovi,7.0
2023,Govi-Altai,7.6
2023,Govisumber,5.8
2023,Khentii,2.9
2023,Khovd,3.9
2023,Khuvsgul,4.0
2023,Orkhon,8.4
2023,Selenge,9.6
2023,Sukhbaatar,2.1
2023,Tuv,1.5
2023,Ulaanbaatar,5.0
2023,Umnugovi,4.3
2023,Uvs,6.4
2023,Uvurkhangai,4.6
2023,Zavkhan,3.8
2024,Arkhangai,5.0
2024,Bayan-Ulgii,9.8
2024,Bayankhongor,6.1
2024,Bulgan,7.3
2024,Darkhan-Uul,11.1
2024,Dornod,7.1
2024,Dornogovi,5.4
2024,Dundgovi,3.4
2024,Govi-Altai,6.7
2024,Govisumber,13.4
2024,Khentii,2.1
2024,Khovd,6.3
2024,Khuvsgul,9.1
2024,Orkhon,7.3
2024,Selenge,6.7
2024,Sukhbaatar,3.2
2024,Tuv,2.6
2024,Ulaanbaatar,5.8
2024,Umnugovi,1.5
2024,Uvs,5.5
2024,Uvurkhangai,2.2
2024,Zavkhan,8.3
