month,commodity,price
2023-04,Lead (USD/tonne),2148.3
2023-04,"Manganese, 36% (USD/tonne)",175.9
2023-04,Molybdenum (USD/tonne),45608.7
2023-04,Silver (USD/troy oz),25.0
2023-04,Tin (USD/tonne),25865.6
2023-04,"Tungsten, 65% (USD/tonne)",16976.2
2023-04,"Tungsten, 99% (USD/tonne)",41075.0
2023-04,Uranium (USD/kg),116.7
2023-04,Zinc (USD/tonne),2772.1
2023-05,Copper (USD/tonne),8233.6
2023-05,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-05,Fluorspar ore FK-85 (USD/tonne),355.0
2023-05,Gold (USD/troy oz),1988.7
2023-05,"Iron concentrate, 60% (USD/tonne)",92.0
2023-05,"Iron ore, 56% (USD/tonne)",76.8
2023-05,Lead (USD/tonne),2086.8
2023-05,"Manganese, 36% (USD/tonne)",164.2
2023-05,Molybdenum (USD/tonne),46718.1
2023-05,Silver (USD/troy oz),24.2
2023-05,Tin (USD/tonne),25586.1
2023-05,"Tungsten, 65% (USD/tonne)",17237.0
2023-05,"Tungsten, 99% (USD/tonne)",41661.9
2023-05,Uranium (USD/kg),0.0
2023-05,Zinc (USD/tonne),2477.1
2023-06,Copper (USD/tonne),8385.6
2023-06,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-06,Fluorspar ore FK-85 (USD/tonne),355.0
2023-06,Gold (USD/troy oz),1942.9
2023-06,"Iron concentrate, 60% (USD/tonne)",100.6
2023-06,"Iron ore, 56% (USD/tonne)",81.6
2023-06,Lead (USD/tonne),2117.6
2023-06,"Manganese, 36% (USD/tonne)",157.5
2023-06,Molybdenum (USD/tonne),49138.0
2023-06,Silver (USD/troy oz),23.4
2023-06,Tin (USD/tonne),27243.3
2023-06,"Tungsten, 65% (USD/tonne)",16859.7
2023-06,"Tungsten, 99% (USD/tonne)",41776.2
2023-06,Uranium (USD/kg),123.7
2023-06,Zinc (USD/tonne),2367.6
2023-07,Copper (USD/tonne),8444.6
2023-07,Fluorspar concentrate FF-97 (USD/tonne),415.0
2023-07,Fluorspar ore FK-85 (USD/tonne),355.0
2023-07,Gold (USD/troy oz),1948.9
2023-07,"Iron concentrate, 60% (USD/tonne)",101.3
2023-07,"Iron ore, 56% (USD/tonne)",83.7
2023-07,Lead (USD/tonne),2106.1
2023-07,"Manganese, 36% (USD/tonne)",153.2
2023-07,Molybdenum (USD/tonne),49503.2
2023-07,Silver (USD/troy oz),24.0
2023-07,Tin (USD/tonne),28727.9
2023-07,"Tungsten, 65% (USD/tonne)",16487.7
2023-07,"Tungsten, 99% (USD/tonne)",40061.9
2023-07,Uranium (USD/kg),124.3
2023-07,Zinc (USD/tonne),2396.0
2023-08,Copper (USD/tonne),8351.2
2023-08,Fluorspar concentrate FF-97 (USD/tonne),415.0
