date,product_region,price
2021-02,Wheat seed — Uvs,700000.0
2021-02,Wheat seed — Uvurkhangai,850000.0
2021-02,Wheat seed — Zavkhan,650000.0
2021-02,Wheat — Bulgan,680000.0
2021-02,Wheat — Dornod,600000.0
2021-02,Wheat — Orkhon,660000.0
2021-02,Wheat — Tuv,677500.0
2021-02,Wheat — Uvurkhangai,850000.0
2021-03,Wheat seed — Bulgan,850000.0
2021-03,Wheat seed — Dornod,900000.0
2021-03,Wheat seed — Khentii,660000.0
2021-03,Wheat seed — Orkhon,830000.0
2021-03,Wheat seed — Selenge,700000.0
2021-03,Wheat seed — Tuv,850000.0
2021-03,Wheat seed — Zavkhan,600000.0
2021-03,Wheat — Bulgan,680000.0
2021-03,Wheat — Dornod,600000.0
2021-03,Wheat — Orkhon,660000.0
2021-03,Wheat — Tuv,665000.0
2021-04,Wheat seed — Bulgan,887500.0
2021-04,Wheat seed — Dornod,900000.0
2021-04,Wheat seed — Orkhon,830000.0
2021-04,Wheat seed — Selenge,1000000.0
2021-04,Wheat seed — Tuv,970000.0
2021-04,Wheat seed — Ulaanbaatar,900000.0
2021-04,Wheat seed — Uvs,900000.0
2021-04,Wheat seed — Uvurkhangai,925000.0
2021-04,Wheat — Bulgan,815000.0
2021-04,Wheat — Dornod,600000.0
2021-04,Wheat — Orkhon,660000.0
2021-04,Wheat — Selenge,850000.0
2021-04,Wheat — Tuv,726667.0
2021-05,Wheat seed — Arkhangai,900000.0
2021-05,Wheat seed — Dornod,900000.0
2021-05,Wheat seed — Orkhon,830000.0
2021-05,Wheat seed — Selenge,725000.0
2021-05,Wheat seed — Tuv,935625.0
2021-05,Wheat seed — Uvs,1000000.0
2021-05,Wheat seed — Uvurkhangai,925000.0
2021-05,Wheat — Dornod,600000.0
2021-05,Wheat — Orkhon,660000.0
2021-05,Wheat — Selenge,600000.0
2021-05,Wheat — Tuv,793333.0
2021-06,Wheat seed — Bulgan,900000.0
2021-06,Wheat seed — Dornod,900000.0
2021-06,Wheat seed — Orkhon,820000.0
2021-06,Wheat seed — Selenge,800000.0
2021-06,Wheat seed — Tuv,1107142.0
2021-06,Wheat seed — Uvurkhangai,1200000.0
2021-06,Wheat — Bulgan,680000.0
2021-06,Wheat — Dornod,600000.0
2021-06,Wheat — Orkhon,660000.0
2021-06,Wheat — Tuv,860000.0
2021-07,Wheat seed — Bulgan,900000.0
2021-07,Wheat seed — Dornod,900000.0
2021-07,Wheat seed — Orkhon,830000.0
2021-07,Wheat seed — Tuv,1100000.0
2021-07,Wheat — Bulgan,680000.0
2021-07,Wheat — Dornod,600000.0
2021-07,Wheat — Orkhon,660000.0
2021-07,Wheat — Tuv,793333.0
2021-08,Wheat seed — Bulgan,900000.0
2021-08,Wheat seed — Dornod,900000.0
2021-08,Wheat seed — Orkhon,850000.0
2021-08,Wheat seed — Selenge,700000.0
2021-08,Wheat seed — Tuv,1120000.0
2021-08,Wheat — Bulgan,680000.0
2021-08,Wheat — Dornod,600000.0
2021-08,Wheat — Orkhon,680000.0
2021-08,Wheat — Selenge,600000.0
2021-08,Wheat — Tuv,870000.0
2021-09,Wheat seed — Bulgan,900000.0
2021-09,Wheat seed — Dornod,900000.0
2021-09,Wheat seed — Orkhon,850000.0
2021-09,Wheat seed — Selenge,683000.0
2021-09,Wheat seed — Tuv,1233000.0
2021-09,Wheat — Arkhangai,700000.0
2021-09,Wheat — Bulgan,680000.0
2021-09,Wheat — Dornod,600000.0
2021-09,Wheat — Orkhon,680000.0
2021-09,Wheat — Selenge,675000.0
2021-09,Wheat — Tuv,843000.0
2021-10,Wheat seed — Arkhangai,700000.0
2021-10,Wheat seed — Bulgan,850000.0
2021-10,Wheat seed — Dornod,900000.0
2021-10,Wheat seed — Orkhon,850000.0
2021-10,Wheat seed — Selenge,700000.0
2021-10,Wheat seed — Tuv,875000.0
2021-10,Wheat seed — Uvs,800000.0
2021-10,Wheat seed — Zavkhan,600000.0
2021-10,Wheat — Arkhangai,700000.0
2021-10,Wheat — Bulgan,690000.0
2021-10,Wheat — Dornod,600000.0
2021-10,Wheat — Orkhon,680000.0
2021-10,Wheat — Selenge,670000.0
2021-10,Wheat — Tuv,718000.0
2021-10,Wheat — Uvs,700000.0
2021-11,Wheat seed — Bulgan,700000.0
2021-11,Wheat seed — Orkhon,850000.0
2021-11,Wheat seed — Selenge,750000.0
2021-11,Wheat seed — Tuv,792000.0
2021-11,Wheat seed — Uvs,1000000.0
2021-11,Wheat seed — Zavkhan,700000.0
2021-11,Wheat — Arkhangai,650000.0
2021-11,Wheat — Bulgan,500000.0
2021-11,Wheat — Orkhon,680000.0
2021-11,Wheat — Selenge,657500.0
2021-11,Wheat — Tuv,696000.0
2021-11,Wheat — Uvs,700000.0
2021-12,Wheat seed — Bulgan,962500.0
2021-12,Wheat seed — Dornod,900000.0
2021-12,Wheat seed — Orkhon,850000.0
2021-12,Wheat seed — Selenge,800000.0
2021-12,Wheat seed — Tuv,837500.0
2021-12,Wheat seed — Uvs,1000000.0
2021-12,Wheat seed — Uvurkhangai,850000.0
2021-12,Wheat seed — Zavkhan,500000.0
2021-12,Wheat — Arkhangai,650000.0
2021-12,Wheat — Bulgan,663333.0
2021-12,Wheat — Dornod,600000.0
2021-12,Wheat — Orkhon,680000.0
2021-12,Wheat — Selenge,566667.0
2021-12,Wheat — Tuv,675000.0
2021-12,Wheat — Uvs,700000.0
2021-12,Wheat — Uvurkhangai,650000.0
2022-01,Wheat seed — Bulgan,962500.0
2022-01,Wheat seed — Dornod,900000.0
2022-01,Wheat seed — Khentii,700000.0
2022-01,Wheat seed — Khuvsgul,500000.0
2022-01,Wheat seed — Orkhon,860000.0
2022-01,Wheat seed — Selenge,1200000.0
2022-01,Wheat seed — Tuv,950000.0
2022-01,Wheat seed — Uvs,1000000.0
2022-01,Wheat seed — Uvurkhangai,650000.0
2022-01,Wheat seed — Zavkhan,500000.0
2022-01,Wheat — Arkhangai,750000.0
2022-01,Wheat — Bulgan,663000.0
2022-01,Wheat — Dornod,600000.0
2022-01,Wheat — Khuvsgul,500000.0
2022-01,Wheat — Orkhon,700000.0
2022-01,Wheat — Selenge,620000.0
2022-01,Wheat — Tuv,675000.0
2022-01,Wheat — Uvs,675000.0
2022-01,Wheat — Uvurkhangai,630000.0
2022-02,Wheat seed — Bulgan,1050000.0
2022-02,Wheat seed — Dornod,900000.0
2022-02,Wheat seed — Khuvsgul,500000.0
2022-02,Wheat seed — Orkhon,860000.0
2022-02,Wheat seed — Tuv,775000.0
2022-02,Wheat seed — Uvs,1000000.0
2022-02,Wheat seed — Zavkhan,650000.0
2022-02,Wheat — Arkhangai,700000.0
2022-02,Wheat — Bulgan,745000.0
2022-02,Wheat — Dornod,600000.0
2022-02,Wheat — Khuvsgul,500000.0
2022-02,Wheat — Orkhon,700000.0
2022-02,Wheat — Selenge,537500.0
