Region,Month,value
 Zavkhan,2020-08,9.0
 Zavkhan,2020-09,16.0
 Zavkhan,2020-10,11.0
 Zavkhan,2020-11,15.0
 Zavkhan,2020-12,0.0
 Zavkhan,2021-01,17.0
 Zavkhan,2021-02,10.0
 Zavkhan,2021-03,10.0
 Zavkhan,2021-04,23.0
 Zavkhan,2021-05,8.0
 Zavkhan,2021-06,26.0
 Zavkhan,2021-07,18.0
 Zavkhan,2021-08,34.0
 Zavkhan,2021-09,17.0
 Zavkhan,2021-10,21.0
 Zavkhan,2021-11,18.0
 Zavkhan,2021-12,11.0
 Zavkhan,2022-01,8.0
 Zavkhan,2022-02,20.0
 Zavkhan,2022-03,32.0
 Zavkhan,2022-04,7.0
 Zavkhan,2022-05,0.0
 Zavkhan,2022-06,8.0
 Zavkhan,2022-07,17.0
 Zavkhan,2022-08,0.0
 Zavkhan,2022-09,16.0
 Zavkhan,2022-10,52.0
 Zavkhan,2022-11,9.0
 Zavkhan,2022-12,24.0
 Zavkhan,2023-01,10.0
 Zavkhan,2023-02,19.0
 Zavkhan,2023-03,25.0
 Zavkhan,2023-04,0.0
 Zavkhan,2023-05,0.0
 Zavkhan,2023-06,9.0
 Zavkhan,2023-07,7.0
 Zavkhan,2023-08,21.0
 Zavkhan,2023-09,18.0
 Zavkhan,2023-10,31.0
 Zavkhan,2023-11,0.0
 Zavkhan,2023-12,0.0
 Zavkhan,2024-01,19.0
 Zavkhan,2024-02,9.0
 Zavkhan,2024-03,38.0
 Zavkhan,2024-04,24.0
 Zavkhan,2024-05,19.0
 Zavkhan,2024-06,10.0
 Zavkhan,2024-07,10.0
 Zavkhan,2024-08,8.0
 Zavkhan,2024-09,38.0
 Zavkhan,2024-10,15.0
 Zavkhan,2024-11,10.0
 Zavkhan,2024-12,10.0
 Zavkhan,2025-01,21.0
 Zavkhan,2025-02,0.0
 Zavkhan,2025-03,14.0
 Zavkhan,2025-04,0.0
 Zavkhan,2025-05,25.0
 Zavkhan,2025-06,23.0
 Zavkhan,2025-07,19.0
 Uvs,2026-07,8.0
 Uvs,2026-06,9.0
 Uvs,2026-05,19.0
 Uvs,2026-04,29.0
 Uvs,2026-03,0.0
 Uvs,2026-02,10.0
 Uvs,2026-01,9.0
 Uvs,2025-12,28.0
 Uvs,2025-11,0.0
 Uvs,2025-10,9.0
 Uvs,2025-09,17.0
 Uvs,2025-08,18.0
 Uvs,2016-01,9.0
 Uvs,2016-02,43.0
 Uvs,2016-03,8.0
 Uvs,2016-04,27.0
 Uvs,2016-05,25.0
 Uvs,2016-06,41.0
 Uvs,2016-07,22.0
 Uvs,2016-08,30.0
 Uvs,2016-09,7.0
 Uvs,2016-10,14.0
 Uvs,2016-11,23.0
 Uvs,2016-12,7.0
 Uvs,2017-01,14.0
 Uvs,2017-02,15.0
 Uvs,2017-03,14.0
 Uvs,2017-04,20.0
 Uvs,2017-05,14.0
 Uvs,2017-06,8.0
 Uvs,2017-07,9.0
 Uvs,2017-08,0.0
 Uvs,2017-09,18.0
 Uvs,2017-10,15.0
 Uvs,2017-11,8.0
 Uvs,2017-12,8.0
 Uvs,2018-01,7.0
 Uvs,2018-02,7.0
 Uvs,2018-03,16.0
 Uvs,2018-04,13.0
 Uvs,2018-05,0.0
 Uvs,2018-06,0.0
 Uvs,2018-07,13.0
 Uvs,2018-08,18.0
 Uvs,2018-09,20.0
 Uvs,2018-10,18.0
 Uvs,2018-11,13.0
