гэмт_хэргийн_төрөл,он,гэмт_этгээд
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2023,7224
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2023,557
Хүүхдийн эсрэг гэмт хэрэг,2023,45
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2023,1015
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2023,155
Цэргийн албаны эсрэг гэмт хэрэг,2023,8
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2023,66
Эрүүл мэндийн эсрэг гэмт хэрэг,2023,8
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2023,0
Өмчлөх эрхийн эсрэг гэмт хэрэг,2023,13555
Авлигын гэмт хэрэг,2024,0
Нийтийн албаны ашиг сонирхлын эсрэг гэмт хэрэг,2024,196
"Олон нийтийн аюулгүй байдал, ашиг сонирхлын эсрэг гэмт хэрэг",2024,277
Улсын дүн,2024,25291
Хэрэг шалган шийдвэрлэх ажиллагааны эсрэг гэмт хэрэг,2024,29
"Хүн төрөлхтний аюулгүй байдал, энх тайвны эсрэг гэмт хэрэг",2024,0
Хүний амьд явах эрхийн эсрэг гэмт хэрэг,2024,264
"Хүний бэлгийн эрх чөлөө, халдашгүй байдлын эсрэг гэмт хэрэг",2024,408
Хүний халдашгүй чөлөөтэй байх эрхийн эсрэг гэмт хэрэг,2024,91
"Хүний хувийн, улс төрийн эрх, эрх чөлөөний эсрэг гэмт хэрэг",2024,8
Хүний эрүүл мэндийн халдашгүй байдлын эсрэг гэмт хэрэг,2024,6916
Хүрээлэн байгаа орчны эсрэг гэмт хэрэг,2024,543
Хүүхдийн эсрэг гэмт хэрэг,2024,36
"Хөдөлгөөний аюулгүй байдал, тээврийн хэрэгслийн ашиглалтын журмын эсрэг гэмт хэрэг",2024,2718
Цахим мэдээллийн аюулгүй байдлын эсрэг гэмт хэрэг,2024,166
Цэргийн албаны эсрэг гэмт хэрэг,2024,14
Эдийн засгийн гэмт хэрэг гэмт хэрэг,2024,95
Эрүүл мэндийн эсрэг гэмт хэрэг,2024,7
Үндэсний аюулгүй байдлын эсрэг гэмт хэрэг,2024,0
Өмчлөх эрхийн эсрэг гэмт хэрэг,2024,13493
