огноо,валютын_код,валютын_нэр,ханш_төгрөг
2020-04-04,JPY,Японы иен,25.69
2020-04-04,KRW,Солонгосын вон,2.26
2020-04-04,RUB,Оросын рубль,36.02
2020-04-04,USD,Америк доллар,2779.78
2020-04-05,CNY,Хятад юань,391.86
2020-04-05,EUR,Евро,3001.19
2020-04-05,JPY,Японы иен,25.69
2020-04-05,KRW,Солонгосын вон,2.26
2020-04-05,RUB,Оросын рубль,36.02
2020-04-05,USD,Америк доллар,2779.78
2020-04-06,CNY,Хятад юань,392.04
2020-04-06,EUR,Евро,3008.11
2020-04-06,JPY,Японы иен,25.47
2020-04-06,KRW,Солонгосын вон,2.27
2020-04-06,RUB,Оросын рубль,36.4
2020-04-06,USD,Америк доллар,2780.65
2020-04-07,CNY,Хятад юань,394.12
2020-04-07,EUR,Евро,3024.16
2020-04-07,JPY,Японы иен,25.53
2020-04-07,KRW,Солонгосын вон,2.29
2020-04-07,RUB,Оросын рубль,36.77
2020-04-07,USD,Америк доллар,2781.09
2020-04-08,CNY,Хятад юань,393.7
2020-04-08,EUR,Евро,3020.65
2020-04-08,JPY,Японы иен,25.55
2020-04-08,KRW,Солонгосын вон,2.28
2020-04-08,RUB,Оросын рубль,36.74
2020-04-08,USD,Америк доллар,2781.19
2020-04-09,CNY,Хятад юань,394.06
2020-04-09,EUR,Евро,3025.07
2020-04-09,JPY,Японы иен,25.53
2020-04-09,KRW,Солонгосын вон,2.28
2020-04-09,RUB,Оросын рубль,37.28
2020-04-09,USD,Америк доллар,2781.42
2020-04-10,CNY,Хятад юань,395.4
2020-04-10,EUR,Евро,3044.56
2020-04-10,JPY,Японы иен,25.67
2020-04-10,KRW,Солонгосын вон,2.3
2020-04-10,RUB,Оросын рубль,37.71
2020-04-10,USD,Америк доллар,2781.94
2020-04-11,CNY,Хятад юань,395.4
2020-04-11,EUR,Евро,3044.56
2020-04-11,JPY,Японы иен,25.67
2020-04-11,KRW,Солонгосын вон,2.3
2020-04-11,RUB,Оросын рубль,37.71
2020-04-11,USD,Америк доллар,2781.94
2020-04-12,CNY,Хятад юань,395.4
2020-04-12,EUR,Евро,3044.56
2020-04-12,JPY,Японы иен,25.67
2020-04-12,KRW,Солонгосын вон,2.3
2020-04-12,RUB,Оросын рубль,37.71
2020-04-12,USD,Америк доллар,2781.94
2020-04-13,CNY,Хятад юань,394.59
2020-04-13,EUR,Евро,3043.06
2020-04-13,JPY,Японы иен,25.76
2020-04-13,KRW,Солонгосын вон,2.29
2020-04-13,RUB,Оросын рубль,37.87
2020-04-13,USD,Америк доллар,2781.59
2020-04-14,CNY,Хятад юань,394.65
2020-04-14,EUR,Евро,3041.79
2020-04-14,JPY,Японы иен,25.84
2020-04-14,KRW,Солонгосын вон,2.29
2020-04-14,RUB,Оросын рубль,37.95
2020-04-14,USD,Америк доллар,2782.46
2020-04-15,CNY,Хятад юань,393.81
