Indicator,Station location,Month,value
 Maximum temperature, Bulgan,2005-09,27.1
 Maximum temperature, Bulgan,2005-08,31.5
 Maximum temperature, Bulgan,2005-07,36.0
 Maximum temperature, Bulgan,2005-06,33.0
 Maximum temperature, Bulgan,2005-05,24.1
 Maximum temperature, Bulgan,2005-04,21.5
 Maximum temperature, Bulgan,2005-03,15.2
 Maximum temperature, Bulgan,2005-02,-4.1
 Maximum temperature, Bulgan,2005-01,-7.6
 Maximum temperature, Murun,2025-11,9.0
 Maximum temperature, Murun,2025-10,17.9
 Maximum temperature, Murun,2025-09,21.4
 Maximum temperature, Murun,2025-08,28.7
 Maximum temperature, Murun,2025-07,31.2
 Maximum temperature, Murun,2025-06,33.7
 Maximum temperature, Murun,2025-5,28.3
 Maximum temperature, Murun,2025-4,25.9
 Maximum temperature, Murun,2025-3,16.0
 Maximum temperature, Murun,2025-2,5.6
 Maximum temperature, Murun,2025-1,-3.6
 Maximum temperature, Murun,2024-12,-1.3
 Maximum temperature, Murun,2024-11,8.2
 Maximum temperature, Murun,2024-10,17.7
 Maximum temperature, Murun,2024-09,28.8
 Maximum temperature, Murun,2024-08,32.3
 Maximum temperature, Murun,2024-07,33.7
 Maximum temperature, Murun,2024-06,32.1
 Maximum temperature, Murun,2024-05,30.7
 Maximum temperature, Murun,2024-04,19.7
 Maximum temperature, Murun,2024-03,13.5
 Maximum temperature, Murun,2024-02,4.1
 Maximum temperature, Murun,2024-01,-4.5
 Maximum temperature, Murun,2023-12,2.6
 Maximum temperature, Murun,2023-11,7.4
 Maximum temperature, Murun,2023-10,19.5
 Maximum temperature, Murun,2023-09,28.0
 Maximum temperature, Murun,2023-08,31.5
 Maximum temperature, Murun,2023-07,33.7
 Maximum temperature, Murun,2023-06,0.7
 Maximum temperature, Murun,2023-05,23.7
 Maximum temperature, Murun,2023-04,21.8
 Maximum temperature, Murun,2023-03,16.3
 Maximum temperature, Murun,2023-02,5.5
 Maximum temperature, Murun,2023-01,1.0
 Maximum temperature, Murun,2022-12,
 Maximum temperature, Murun,2022-11,7.7
 Maximum temperature, Murun,2022-10,15.0
 Maximum temperature, Murun,2022-09,31.4
 Maximum temperature, Murun,2022-08,30.4
 Maximum temperature, Murun,2022-07,33.6
 Maximum temperature, Murun,2022-06,35.1
 Maximum temperature, Murun,2022-05,27.2
 Maximum temperature, Murun,2022-04,21.2
 Maximum temperature, Murun,2022-03,10.8
 Maximum temperature, Murun,2022-02,1.8
 Maximum temperature, Murun,2022-01,-3.1
 Maximum temperature, Murun,2021-12,2.1
 Maximum temperature, Murun,2021-11,8.4
 Maximum temperature, Murun,2021-10,12.7
 Maximum temperature, Murun,2021-09,23.6
 Maximum temperature, Murun,2021-08,27.3
 Maximum temperature, Murun,2021-07,32.8
 Maximum temperature, Murun,2021-06,29.9
 Maximum temperature, Murun,2021-05,28.9
 Maximum temperature, Murun,2021-04,19.3
 Maximum temperature, Murun,2021-03,14.8
 Maximum temperature, Murun,2021-02,10.7
 Maximum temperature, Murun,2021-01,1.5
 Maximum temperature, Murun,2020-12,-6.0
 Maximum temperature, Murun,2020-11,8.0
 Maximum temperature, Murun,2020-10,12.4
 Maximum temperature, Murun,2020-09,23.7
 Maximum temperature, Murun,2020-08,26.0
 Maximum temperature, Murun,2020-07,29.6
 Maximum temperature, Murun,2020-06,29.5
 Maximum temperature, Murun,2020-05,26.9
 Maximum temperature, Murun,2020-04,28.9
 Maximum temperature, Murun,2020-03,15.4
 Maximum temperature, Murun,2020-02,5.4
 Maximum temperature, Murun,2020-01,-8.2
 Maximum temperature, Murun,2019-12,-1.1
 Maximum temperature, Murun,2019-11,8.7
 Maximum temperature, Murun,2019-10,19.3
 Maximum temperature, Murun,2019-09,29.6
 Maximum temperature, Murun,2019-08,29.7
 Maximum temperature, Murun,2019-07,31.3
 Maximum temperature, Murun,2019-06,31.1
 Maximum temperature, Murun,2019-05,27.5
 Maximum temperature, Murun,2019-04,19.2
 Maximum temperature, Murun,2019-03,13.5
 Maximum temperature, Murun,2019-02,1.6
 Maximum temperature, Murun,2019-01,-4.5
 Maximum temperature, Murun,2018-12,-0.3
 Maximum temperature, Murun,2018-11,3.1
 Maximum temperature, Murun,2018-10,20.2
 Maximum temperature, Murun,2018-09,21.9
 Maximum temperature, Murun,2018-08,29.8
 Maximum temperature, Murun,2018-07,29.6
 Maximum temperature, Murun,2018-06,31.9
 Maximum temperature, Murun,2018-05,31.0
 Maximum temperature, Murun,2018-04,27.1
 Maximum temperature, Murun,2018-03,17.4
 Maximum temperature, Murun,2018-02,0.4
 Maximum temperature, Murun,2018-01,-6.7
 Maximum temperature, Murun,2017-12,-1.9
 Maximum temperature, Murun,2017-11,9.0
 Maximum temperature, Murun,2017-10,18.5
 Maximum temperature, Murun,2017-09,26.0
 Maximum temperature, Murun,2017-08,30.9
 Maximum temperature, Murun,2017-07,33.9
 Maximum temperature, Murun,2017-06,33.6
 Maximum temperature, Murun,2017-05,32.3
 Maximum temperature, Murun,2017-04,23.7
 Maximum temperature, Murun,2017-03,13.3
 Maximum temperature, Murun,2017-02,0.5
 Maximum temperature, Murun,2017-01,-5.2
 Maximum temperature, Murun,2016-12,-3.9
 Maximum temperature, Murun,2016-11,7.4
 Maximum temperature, Murun,2016-10,15.3
 Maximum temperature, Murun,2016-09,26.0
 Maximum temperature, Murun,2016-08,36.9
 Maximum temperature, Murun,2016-07,32.9
 Maximum temperature, Murun,2016-06,27.7
 Maximum temperature, Murun,2016-05,25.5
 Maximum temperature, Murun,2016-04,17.5
 Maximum temperature, Murun,2016-03,14.6
 Maximum temperature, Murun,2016-02,4.0
 Maximum temperature, Murun,2016-01,-11.3
 Maximum temperature, Murun,2015-12,-2.3
 Maximum temperature, Murun,2015-11,9.0
 Maximum temperature, Murun,2015-10,21.2
 Maximum temperature, Murun,2015-09,26.5
 Maximum temperature, Murun,2015-08,35.3
 Maximum temperature, Murun,2015-07,34.0
 Maximum temperature, Murun,2015-06,32.7
 Maximum temperature, Murun,2015-05,27.0
 Maximum temperature, Murun,2015-04,26.0
 Maximum temperature, Murun,2015-03,16.1
 Maximum temperature, Murun,2015-02,4.2
 Maximum temperature, Murun,2015-01,-2.9
 Maximum temperature, Murun,2014-12,-4.6
 Maximum temperature, Murun,2014-11,7.4
 Maximum temperature, Murun,2014-10,14.7
 Maximum temperature, Murun,2014-09,31.8
 Maximum temperature, Murun,2014-08,30.9
 Maximum temperature, Murun,2014-07,33.2
 Maximum temperature, Murun,2014-06,30.7
 Maximum temperature, Murun,2014-05,31.9
 Maximum temperature, Murun,2014-04,22.0
 Maximum temperature, Murun,2014-03,13.3
 Maximum temperature, Murun,2014-02,4.6
 Maximum temperature, Murun,2014-01,0.0
 Maximum temperature, Murun,2013-12,-0.1
 Maximum temperature, Murun,2013-11,8.5
 Maximum temperature, Murun,2013-10,21.2
 Maximum temperature, Murun,2013-09,24.5
 Maximum temperature, Murun,2013-08,25.4
 Maximum temperature, Murun,2013-07,30.4
 Maximum temperature, Murun,2013-06,29.4
 Maximum temperature, Murun,2013-05,27.4
 Maximum temperature, Murun,2013-04,22.6
 Maximum temperature, Murun,2013-03,11.5
 Maximum temperature, Murun,2013-02,-1.8
 Maximum temperature, Murun,2013-01,-5.1
 Maximum temperature, Murun,2012-12,-13.3
 Maximum temperature, Murun,2012-11,3.8
 Maximum temperature, Murun,2012-10,16.7
 Maximum temperature, Murun,2012-09,28.0
 Maximum temperature, Murun,2012-08,33.0
 Maximum temperature, Murun,2012-07,28.4
 Maximum temperature, Murun,2012-06,30.5
 Maximum temperature, Murun,2012-05,27.5
 Maximum temperature, Murun,2012-04,18.2
 Maximum temperature, Murun,2012-03,12.8
 Maximum temperature, Murun,2012-02,-5.3
 Maximum temperature, Murun,2012-01,-6.2
 Maximum temperature, Murun,2011-12,-6.2
 Maximum temperature, Murun,2011-11,5.0
 Maximum temperature, Murun,2011-10,18.9
 Maximum temperature, Murun,2011-09,24.7
 Maximum temperature, Murun,2011-08,30.9
 Maximum temperature, Murun,2011-07,35.5
 Maximum temperature, Murun,2011-06,28.5
 Maximum temperature, Murun,2011-05,25.8
 Maximum temperature, Murun,2011-04,23.8
 Maximum temperature, Murun,2011-03,13.6
 Maximum temperature, Murun,2011-02,-5.3
 Maximum temperature, Murun,2011-01,-13.4
 Maximum temperature, Murun,2010-12,4.0
 Maximum temperature, Murun,2010-11,8.8
 Maximum temperature, Murun,2010-10,21.0
 Maximum temperature, Murun,2010-09,27.4
 Maximum temperature, Murun,2010-08,30.0
 Maximum temperature, Murun,2010-07,29.1
 Maximum temperature, Murun,2010-06,33.0
 Maximum temperature, Murun,2010-05,29.2
 Maximum temperature, Murun,2010-04,25.2
 Maximum temperature, Murun,2010-03,10.6
 Maximum temperature, Murun,2010-02,1.2
 Maximum temperature, Murun,2010-01,-7.4
 Maximum temperature, Murun,2009-12,-0.6
 Maximum temperature, Murun,2009-11,11.1
 Maximum temperature, Murun,2009-10,19.7
 Maximum temperature, Murun,2009-09,24.4
 Maximum temperature, Murun,2009-08,31.1
 Maximum temperature, Murun,2009-07,31.5
 Maximum temperature, Murun,2009-06,30.5
 Maximum temperature, Murun,2009-05,28.1
 Maximum temperature, Murun,2009-04,24.9
 Maximum temperature, Murun,2009-03,12.9
 Maximum temperature, Murun,2009-02,1.8
 Maximum temperature, Murun,2009-01,-5.9
 Maximum temperature, Murun,2008-12,-1.5
 Maximum temperature, Murun,2008-11,8.9
 Maximum temperature, Murun,2008-10,18.8
 Maximum temperature, Murun,2008-09,23.4
 Maximum temperature, Murun,2008-08,33.5
 Maximum temperature, Murun,2008-07,31.9
 Maximum temperature, Murun,2008-06,32.6
 Maximum temperature, Murun,2008-05,24.5
 Maximum temperature, Murun,2008-04,21.0
 Maximum temperature, Murun,2008-03,15.3
 Maximum temperature, Murun,2008-02,2.5
 Maximum temperature, Murun,2008-01,-10.2
 Maximum temperature, Murun,2007-12,-5.7
 Maximum temperature, Murun,2007-11,5.4
 Maximum temperature, Murun,2007-10,19.5
 Maximum temperature, Murun,2007-09,26.9
 Maximum temperature, Murun,2007-08,34.6
 Maximum temperature, Murun,2007-07,35.6
 Maximum temperature, Murun,2007-06,31.8
 Maximum temperature, Murun,2007-05,27.9
 Maximum temperature, Murun,2007-04,24.8
 Maximum temperature, Murun,2007-03,12.8
 Maximum temperature, Murun,2007-02,9.1
 Maximum temperature, Murun,2007-01,-0.7
 Maximum temperature, Murun,2006-12,-2.1
 Maximum temperature, Murun,2006-11,10.0
 Maximum temperature, Murun,2006-10,20.3
 Maximum temperature, Murun,2006-09,26.6
 Maximum temperature, Murun,2006-08,31.3
 Maximum temperature, Murun,2006-07,34.2
 Maximum temperature, Murun,2006-06,33.2
 Maximum temperature, Murun,2006-05,25.5
 Maximum temperature, Murun,2006-04,19.3
 Maximum temperature, Murun,2006-03,15.4
 Maximum temperature, Murun,2006-02,4.1
 Maximum temperature, Murun,2006-01,-7.9
 Maximum temperature, Murun,2005-12,-0.3
 Maximum temperature, Murun,2005-11,8.8
 Maximum temperature, Murun,2005-10,15.8
 Maximum temperature, Murun,2005-09,25.4
 Maximum temperature, Murun,2005-08,28.5
 Maximum temperature, Murun,2005-07,35.4
 Maximum temperature, Murun,2005-06,24.2
 Maximum temperature, Murun,2005-05,24.2
 Maximum temperature, Murun,2005-04,20.9
 Maximum temperature, Murun,2005-03,15.4
 Maximum temperature, Murun,2005-02,-9.0
 Maximum temperature, Murun,2005-01,-9.2
 Maximum temperature, Kharkhorin,2025-11,14.3
 Maximum temperature, Kharkhorin,2025-10,24.1
 Maximum temperature, Kharkhorin,2025-09,29.4
 Maximum temperature, Kharkhorin,2025-08,29.1
 Maximum temperature, Kharkhorin,2025-07,33.9
 Maximum temperature, Kharkhorin,2025-06,31.8
 Maximum temperature, Kharkhorin,2025-5,29.0
 Maximum temperature, Kharkhorin,2025-4,25.0
 Maximum temperature, Kharkhorin,2025-3,18.9
 Maximum temperature, Kharkhorin,2025-2,10.0
 Maximum temperature, Kharkhorin,2025-1,4.0
 Maximum temperature, Kharkhorin,2024-12,-0.4
 Maximum temperature, Kharkhorin,2024-11,11.0
 Maximum temperature, Kharkhorin,2024-10,19.4
 Maximum temperature, Kharkhorin,2024-09,28.6
 Maximum temperature, Kharkhorin,2024-08,29.8
 Maximum temperature, Kharkhorin,2024-07,31.8
 Maximum temperature, Kharkhorin,2024-06,28.7
 Maximum temperature, Kharkhorin,2024-05,31.0
 Maximum temperature, Kharkhorin,2024-04,19.0
 Maximum temperature, Kharkhorin,2024-03,13.3
 Maximum temperature, Kharkhorin,2024-02,9.1
 Maximum temperature, Kharkhorin,2024-01,4.8
 Maximum temperature, Kharkhorin,2023-12,9.0
 Maximum temperature, Kharkhorin,2023-11,12.0
 Maximum temperature, Kharkhorin,2023-10,19.2
 Maximum temperature, Kharkhorin,2023-09,30.3
 Maximum temperature, Kharkhorin,2023-08,30.2
 Maximum temperature, Kharkhorin,2023-07,33.4
 Maximum temperature, Kharkhorin,2023-06,0.5
 Maximum temperature, Kharkhorin,2023-05,21.3
 Maximum temperature, Kharkhorin,2023-04,23.7
 Maximum temperature, Kharkhorin,2023-03,16.3
 Maximum temperature, Kharkhorin,2023-02,9.4
 Maximum temperature, Kharkhorin,2023-01,3.3
 Maximum temperature, Kharkhorin,2022-12,
 Maximum temperature, Kharkhorin,2022-11,12.4
 Maximum temperature, Kharkhorin,2022-10,15.9
 Maximum temperature, Kharkhorin,2022-09,31.2
 Maximum temperature, Kharkhorin,2022-08,30.4
 Maximum temperature, Kharkhorin,2022-07,33.7
 Maximum temperature, Kharkhorin,2022-06,32.1
 Maximum temperature, Kharkhorin,2022-05,27.6
 Maximum temperature, Kharkhorin,2022-04,21.3
 Maximum temperature, Kharkhorin,2022-03,11.8
 Maximum temperature, Kharkhorin,2022-02,3.2
 Maximum temperature, Kharkhorin,2022-01,-0.1
 Maximum temperature, Kharkhorin,2021-12,4.4
 Maximum temperature, Kharkhorin,2021-11,9.6
 Maximum temperature, Kharkhorin,2021-10,14.8
 Maximum temperature, Kharkhorin,2021-09,24.5
 Maximum temperature, Kharkhorin,2021-08,27.9
 Maximum temperature, Kharkhorin,2021-07,31.7
 Maximum temperature, Kharkhorin,2021-06,32.0
 Maximum temperature, Kharkhorin,2021-05,26.8
 Maximum temperature, Kharkhorin,2021-04,19.6
 Maximum temperature, Kharkhorin,2021-03,
 Maximum temperature, Kharkhorin,2021-02,14.0
 Maximum temperature, Kharkhorin,2021-01,-0.5
 Maximum temperature, Kharkhorin,2020-12,
 Maximum temperature, Kharkhorin,2020-11,9.9
 Maximum temperature, Kharkhorin,2020-10,14.7
 Maximum temperature, Kharkhorin,2020-09,25.8
 Maximum temperature, Kharkhorin,2020-08,25.6
 Maximum temperature, Kharkhorin,2020-07,
 Maximum temperature, Kharkhorin,2020-06,31.3
 Maximum temperature, Kharkhorin,2020-05,28.2
 Maximum temperature, Kharkhorin,2020-04,30.4
 Maximum temperature, Kharkhorin,2020-03,15.2
 Maximum temperature, Kharkhorin,2020-02,8.6
 Maximum temperature, Kharkhorin,2020-01,-2.2
 Maximum temperature, Kharkhorin,2019-12,3.0
 Maximum temperature, Kharkhorin,2019-11,20.3
 Maximum temperature, Kharkhorin,2019-10,18.9
 Maximum temperature, Kharkhorin,2019-09,31.0
 Maximum temperature, Kharkhorin,2019-08,23.1
 Maximum temperature, Kharkhorin,2019-07,26.0
 Maximum temperature, Kharkhorin,2019-06,30.4
 Maximum temperature, Kharkhorin,2019-05,28.9
 Maximum temperature, Kharkhorin,2019-04,21.7
 Maximum temperature, Kharkhorin,2019-03,12.7
 Maximum temperature, Kharkhorin,2019-02,4.8
 Maximum temperature, Kharkhorin,2019-01,4.6
 Maximum temperature, Kharkhorin,2018-12,5.8
 Maximum temperature, Kharkhorin,2018-11,12.1
 Maximum temperature, Kharkhorin,2018-10,19.5
 Maximum temperature, Kharkhorin,2018-09,23.9
 Maximum temperature, Kharkhorin,2018-08,28.9
 Maximum temperature, Kharkhorin,2018-07,29.7
 Maximum temperature, Kharkhorin,2018-06,31.3
 Maximum temperature, Kharkhorin,2018-05,31.2
 Maximum temperature, Kharkhorin,2018-04,25.4
 Maximum temperature, Kharkhorin,2018-03,19.4
 Maximum temperature, Kharkhorin,2018-02,4.1
 Maximum temperature, Kharkhorin,2018-01,-6.7
 Maximum temperature, Kharkhorin,2017-12,-0.7
 Maximum temperature, Kharkhorin,2017-11,14.2
 Maximum temperature, Kharkhorin,2017-10,20.7
 Maximum temperature, Kharkhorin,2017-09,26.7
 Maximum temperature, Kharkhorin,2017-08,31.0
 Maximum temperature, Kharkhorin,2017-07,35.0
 Maximum temperature, Kharkhorin,2017-06,36.4
 Maximum temperature, Kharkhorin,2017-05,31.8
 Maximum temperature, Kharkhorin,2017-04,22.4
 Maximum temperature, Kharkhorin,2017-03,11.2
 Maximum temperature, Kharkhorin,2017-02,1.6
 Maximum temperature, Kharkhorin,2017-01,-1.6
 Maximum temperature, Kharkhorin,2016-12,6.6
 Maximum temperature, Kharkhorin,2016-11,16.6
 Maximum temperature, Kharkhorin,2016-10,20.0
 Maximum temperature, Kharkhorin,2016-09,25.3
 Maximum temperature, Kharkhorin,2016-08,34.0
 Maximum temperature, Kharkhorin,2016-07,34.0
 Maximum temperature, Kharkhorin,2016-06,28.7
 Maximum temperature, Kharkhorin,2016-05,26.8
 Maximum temperature, Kharkhorin,2016-04,19.8
 Maximum temperature, Kharkhorin,2016-03,14.2
 Maximum temperature, Kharkhorin,2016-02,5.0
 Maximum temperature, Kharkhorin,2016-01,-2.0
 Maximum temperature, Kharkhorin,2015-12,2.0
 Maximum temperature, Kharkhorin,2015-11,14.0
 Maximum temperature, Kharkhorin,2015-10,21.0
 Maximum temperature, Kharkhorin,2015-09,27.0
 Maximum temperature, Kharkhorin,2015-08,32.0
 Maximum temperature, Kharkhorin,2015-07,33.0
 Maximum temperature, Kharkhorin,2015-06,35.9
 Maximum temperature, Kharkhorin,2015-05,28.0
 Maximum temperature, Kharkhorin,2015-04,27.0
 Maximum temperature, Kharkhorin,2015-03,18.0
 Maximum temperature, Kharkhorin,2015-02,9.0
 Maximum temperature, Kharkhorin,2015-01,5.0
 Maximum temperature, Kharkhorin,2014-12,1.0
 Maximum temperature, Kharkhorin,2014-11,8.0
 Maximum temperature, Kharkhorin,2014-10,19.0
 Maximum temperature, Kharkhorin,2014-09,31.0
 Maximum temperature, Kharkhorin,2014-08,32.0
 Maximum temperature, Kharkhorin,2014-07,30.0
 Maximum temperature, Kharkhorin,2014-06,28.0
 Maximum temperature, Kharkhorin,2014-05,30.0
 Maximum temperature, Kharkhorin,2014-04,22.0
 Maximum temperature, Kharkhorin,2014-03,13.0
 Maximum temperature, Kharkhorin,2014-02,8.0
 Maximum temperature, Kharkhorin,2014-01,4.0
 Maximum temperature, Kharkhorin,2013-12,2.0
 Maximum temperature, Kharkhorin,2013-11,13.0
 Maximum temperature, Kharkhorin,2013-10,22.0
 Maximum temperature, Kharkhorin,2013-09,26.0
 Maximum temperature, Kharkhorin,2013-08,27.0
 Maximum temperature, Kharkhorin,2013-07,32.0
 Maximum temperature, Kharkhorin,2013-06,29.0
 Maximum temperature, Kharkhorin,2013-05,26.0
 Maximum temperature, Kharkhorin,2013-04,21.0
 Maximum temperature, Kharkhorin,2013-03,16.0
 Maximum temperature, Kharkhorin,2013-02,8.0
 Maximum temperature, Kharkhorin,2013-01,0.0
 Maximum temperature, Kharkhorin,2012-12,-6.0
 Maximum temperature, Kharkhorin,2012-11,11.0
 Maximum temperature, Kharkhorin,2012-10,19.0
 Maximum temperature, Kharkhorin,2012-09,25.3
 Maximum temperature, Kharkhorin,2012-08,31.0
 Maximum temperature, Kharkhorin,2012-07,30.0
 Maximum temperature, Kharkhorin,2012-06,30.0
 Maximum temperature, Kharkhorin,2012-05,27.0
 Maximum temperature, Kharkhorin,2012-04,19.0
 Maximum temperature, Kharkhorin,2012-03,15.0
 Maximum temperature, Kharkhorin,2012-02,-4.0
 Maximum temperature, Kharkhorin,2012-01,-3.0
 Maximum temperature, Kharkhorin,2011-12,-3.0
 Maximum temperature, Kharkhorin,2011-11,10.0
 Maximum temperature, Kharkhorin,2011-10,21.0
 Maximum temperature, Kharkhorin,2011-09,24.0
 Maximum temperature, Kharkhorin,2011-08,30.2
 Maximum temperature, Kharkhorin,2011-07,32.0
 Maximum temperature, Kharkhorin,2011-06,30.0
 Maximum temperature, Kharkhorin,2011-05,27.0
 Maximum temperature, Kharkhorin,2011-04,23.0
 Maximum temperature, Kharkhorin,2011-03,8.0
 Maximum temperature, Kharkhorin,2011-02,4.0
 Maximum temperature, Kharkhorin,2011-01,-11.0
 Maximum temperature, Kharkhorin,2010-12,6.0
 Maximum temperature, Kharkhorin,2010-11,12.0
 Maximum temperature, Kharkhorin,2010-10,22.0
 Maximum temperature, Kharkhorin,2010-09,30.0
 Maximum temperature, Kharkhorin,2010-08,29.0
 Maximum temperature, Kharkhorin,2010-07,35.0
 Maximum temperature, Kharkhorin,2010-06,34.0
 Maximum temperature, Kharkhorin,2010-05,27.0
 Maximum temperature, Kharkhorin,2010-04,24.8
 Maximum temperature, Kharkhorin,2010-03,15.0
 Maximum temperature, Kharkhorin,2010-02,6.0
 Maximum temperature, Kharkhorin,2010-01,5.2
 Maximum temperature, Kharkhorin,2009-12,2.0
 Maximum temperature, Kharkhorin,2009-11,15.0
 Maximum temperature, Kharkhorin,2009-10,19.0
 Maximum temperature, Kharkhorin,2009-09,26.0
 Maximum temperature, Kharkhorin,2009-08,32.0
 Maximum temperature, Kharkhorin,2009-07,31.0
 Maximum temperature, Kharkhorin,2009-06,32.0
 Maximum temperature, Kharkhorin,2009-05,28.0
 Maximum temperature, Kharkhorin,2009-04,24.0
 Maximum temperature, Kharkhorin,2009-03,12.5
 Maximum temperature, Kharkhorin,2009-02,6.0
 Maximum temperature, Kharkhorin,2009-01,1.0
 Maximum temperature, Kharkhorin,2008-12,1.0
 Maximum temperature, Kharkhorin,2008-11,10.0
 Maximum temperature, Kharkhorin,2008-10,9.0
 Maximum temperature, Kharkhorin,2008-09,28.0
 Maximum temperature, Kharkhorin,2008-08,35.0
 Maximum temperature, Kharkhorin,2008-07,31.0
 Maximum temperature, Kharkhorin,2008-06,32.0
 Maximum temperature, Kharkhorin,2008-05,27.0
 Maximum temperature, Kharkhorin,2008-04,24.0
 Maximum temperature, Kharkhorin,2008-03,5.3
 Maximum temperature, Kharkhorin,2008-02,4.0
 Maximum temperature, Kharkhorin,2008-01,-3.0
 Maximum temperature, Kharkhorin,2007-12,
 Maximum temperature, Kharkhorin,2007-11,
 Maximum temperature, Kharkhorin,2007-10,
 Maximum temperature, Kharkhorin,2007-09,
 Maximum temperature, Kharkhorin,2007-08,
 Maximum temperature, Kharkhorin,2007-07,
 Maximum temperature, Kharkhorin,2007-06,
 Maximum temperature, Kharkhorin,2007-05,
 Maximum temperature, Kharkhorin,2007-04,
 Maximum temperature, Kharkhorin,2007-03,
 Maximum temperature, Kharkhorin,2007-02,
 Maximum temperature, Kharkhorin,2007-01,
 Maximum temperature, Kharkhorin,2006-12,
 Maximum temperature, Kharkhorin,2006-11,
 Maximum temperature, Kharkhorin,2006-10,
 Maximum temperature, Kharkhorin,2006-09,
 Maximum temperature, Kharkhorin,2006-08,
 Maximum temperature, Kharkhorin,2006-07,
 Maximum temperature, Kharkhorin,2006-06,
 Maximum temperature, Kharkhorin,2006-05,
 Maximum temperature, Kharkhorin,2006-04,
 Maximum temperature, Kharkhorin,2006-03,
 Maximum temperature, Kharkhorin,2006-02,
 Maximum temperature, Kharkhorin,2006-01,
 Maximum temperature, Kharkhorin,2005-12,
 Maximum temperature, Kharkhorin,2005-11,
 Maximum temperature, Kharkhorin,2005-10,
 Maximum temperature, Kharkhorin,2005-09,
 Maximum temperature, Kharkhorin,2005-08,
 Maximum temperature, Kharkhorin,2005-07,
 Maximum temperature, Kharkhorin,2005-06,
 Maximum temperature, Kharkhorin,2005-05,
 Maximum temperature, Kharkhorin,2005-04,
 Maximum temperature, Kharkhorin,2005-03,
 Maximum temperature, Kharkhorin,2005-02,
 Maximum temperature, Kharkhorin,2005-01,
 Maximum temperature, Khatgal,2025-11,4.7
 Maximum temperature, Khatgal,2025-10,12.6
 Maximum temperature, Khatgal,2025-09,19.0
 Maximum temperature, Khatgal,2025-08,23.1
 Maximum temperature, Khatgal,2025-07,25.5
 Maximum temperature, Khatgal,2025-06,29.7
 Maximum temperature, Khatgal,2025-5,23.8
 Maximum temperature, Khatgal,2025-4,22.6
 Maximum temperature, Khatgal,2025-3,15.0
 Maximum temperature, Khatgal,2025-2,3.0
 Maximum temperature, Khatgal,2025-1,-4.1
 Maximum temperature, Khatgal,2024-12,-3.6
 Maximum temperature, Khatgal,2024-11,5.7
 Maximum temperature, Khatgal,2024-10,16.0
 Maximum temperature, Khatgal,2024-09,24.7
 Maximum temperature, Khatgal,2024-08,25.8
 Maximum temperature, Khatgal,2024-07,28.7
 Maximum temperature, Khatgal,2024-06,28.0
 Maximum temperature, Khatgal,2024-05,26.4
 Maximum temperature, Khatgal,2024-04,16.3
 Maximum temperature, Khatgal,2024-03,9.4
 Maximum temperature, Khatgal,2024-02,0.5
 Maximum temperature, Khatgal,2024-01,0.1
 Maximum temperature, Khatgal,2023-12,1.5
 Maximum temperature, Khatgal,2023-11,6.9
 Maximum temperature, Khatgal,2023-10,16.4
 Maximum temperature, Khatgal,2023-09,22.5
 Maximum temperature, Khatgal,2023-08,26.6
 Maximum temperature, Khatgal,2023-07,26.8
 Maximum temperature, Khatgal,2023-06,1.0
 Maximum temperature, Khatgal,2023-05,17.5
 Maximum temperature, Khatgal,2023-04,16.7
 Maximum temperature, Khatgal,2023-03,11.7
 Maximum temperature, Khatgal,2023-02,2.1
 Maximum temperature, Khatgal,2023-01,-3.1
 Maximum temperature, Khatgal,2022-12,
 Maximum temperature, Khatgal,2022-11,3.4
 Maximum temperature, Khatgal,2022-10,8.3
 Maximum temperature, Khatgal,2022-09,27.5
 Maximum temperature, Khatgal,2022-08,23.5
 Maximum temperature, Khatgal,2022-07,24.7
 Maximum temperature, Khatgal,2022-06,28.0
 Maximum temperature, Khatgal,2022-05,22.8
 Maximum temperature, Khatgal,2022-04,16.7
 Maximum temperature, Khatgal,2022-03,7.2
 Maximum temperature, Khatgal,2022-02,-2.7
 Maximum temperature, Khatgal,2022-01,-1.8
 Maximum temperature, Khatgal,2021-12,2.8
 Maximum temperature, Khatgal,2021-11,4.5
 Maximum temperature, Khatgal,2021-10,11.9
 Maximum temperature, Khatgal,2021-09,20.4
 Maximum temperature, Khatgal,2021-08,22.4
 Maximum temperature, Khatgal,2021-07,28.6
 Maximum temperature, Khatgal,2021-06,25.1
 Maximum temperature, Khatgal,2021-05,20.4
 Maximum temperature, Khatgal,2021-04,14.8
 Maximum temperature, Khatgal,2021-03,11.3
 Maximum temperature, Khatgal,2021-02,7.2
 Maximum temperature, Khatgal,2021-01,-2.4
 Maximum temperature, Khatgal,2020-12,-5.9
 Maximum temperature, Khatgal,2020-11,6.0
 Maximum temperature, Khatgal,2020-10,11.9
 Maximum temperature, Khatgal,2020-09,21.0
 Maximum temperature, Khatgal,2020-08,21.3
 Maximum temperature, Khatgal,2020-07,25.3
 Maximum temperature, Khatgal,2020-06,23.9
 Maximum temperature, Khatgal,2020-05,21.4
 Maximum temperature, Khatgal,2020-04,24.7
 Maximum temperature, Khatgal,2020-03,12.6
 Maximum temperature, Khatgal,2020-02,2.5
 Maximum temperature, Khatgal,2020-01,-9.0
 Maximum temperature, Khatgal,2019-12,-3.5
 Maximum temperature, Khatgal,2019-11,10.3
 Maximum temperature, Khatgal,2019-10,15.0
