Statistical indicator,Division,Year,value
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1992,5819.3
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1991,3774.92
"GDP, at current prices", Wholesale and retail trade; repair of motor vehicles and motorcycles,1990,2090.51
"GDP, at current prices", Transportation and storage,2025,4276301.79
"GDP, at current prices", Transportation and storage,2024,4439528.88
"GDP, at current prices", Transportation and storage,2023,3919987.64
"GDP, at current prices", Transportation and storage,2022,2510913.1
"GDP, at current prices", Transportation and storage,2021,1597051.18
"GDP, at current prices", Transportation and storage,2020,1411794.3
"GDP, at current prices", Transportation and storage,2019,1686897.28
"GDP, at current prices", Transportation and storage,2018,1538733.26
"GDP, at current prices", Transportation and storage,2017,1318695.48
"GDP, at current prices", Transportation and storage,2016,1274385.28
"GDP, at current prices", Transportation and storage,2015,1202359.1
"GDP, at current prices", Transportation and storage,2014,1109154.6
"GDP, at current prices", Transportation and storage,2013,843617.4
"GDP, at current prices", Transportation and storage,2012,894427.58
"GDP, at current prices", Transportation and storage,2011,802897.08
"GDP, at current prices", Transportation and storage,2010,677906.16
"GDP, at current prices", Transportation and storage,2009,546745.46
"GDP, at current prices", Transportation and storage,2008,419323.18
"GDP, at current prices", Transportation and storage,2007,322307.02
"GDP, at current prices", Transportation and storage,2006,287501.52
"GDP, at current prices", Transportation and storage,2005,256726.38
"GDP, at current prices", Transportation and storage,2004,198897.01
"GDP, at current prices", Transportation and storage,2003,166101.25
"GDP, at current prices", Transportation and storage,2002,149765.41
"GDP, at current prices", Transportation and storage,2001,118884.88
"GDP, at current prices", Transportation and storage,2000,92556.51
"GDP, at current prices", Transportation and storage,1999,70804.25
"GDP, at current prices", Transportation and storage,1998,64110.6
"GDP, at current prices", Transportation and storage,1997,53652.08
"GDP, at current prices", Transportation and storage,1996,40001.14
"GDP, at current prices", Transportation and storage,1995,29924.29
"GDP, at current prices", Transportation and storage,1994,24327.46
"GDP, at current prices", Transportation and storage,1993,11467.04
"GDP, at current prices", Transportation and storage,1992,2139.98
"GDP, at current prices", Transportation and storage,1991,1057.85
"GDP, at current prices", Transportation and storage,1990,1044.8
"GDP, at current prices", Accommodation and food service activities,2025,1072875.72
"GDP, at current prices", Accommodation and food service activities,2024,943888.61
"GDP, at current prices", Accommodation and food service activities,2023,753519.08
"GDP, at current prices", Accommodation and food service activities,2022,533650.75
