SEX,SECTOR,TIME (ANNUAL),value
TOTAL,"Professional, scientific and technical activities",2006,
TOTAL,"Professional, scientific and technical activities",2005,
TOTAL,"Professional, scientific and technical activities",2004,
TOTAL,"Professional, scientific and technical activities",2003,
TOTAL,"Professional, scientific and technical activities",2002,
TOTAL,"Professional, scientific and technical activities",2001,
TOTAL,Administrative and support service activities,2025,2489.9
TOTAL,Administrative and support service activities,2024,1950.6
TOTAL,Administrative and support service activities,2023,1561.5
TOTAL,Administrative and support service activities,2022,1264.8
TOTAL,Administrative and support service activities,2021,1162.5
TOTAL,Administrative and support service activities,2020,1084.4
TOTAL,Administrative and support service activities,2019,995.8
TOTAL,Administrative and support service activities,2018,829.4
TOTAL,Administrative and support service activities,2017,760.3
TOTAL,Administrative and support service activities,2016,683.2
TOTAL,Administrative and support service activities,2015,662.3
TOTAL,Administrative and support service activities,2014,625.5
TOTAL,Administrative and support service activities,2013,589.2
TOTAL,Administrative and support service activities,2012,
TOTAL,Administrative and support service activities,2011,
TOTAL,Administrative and support service activities,2010,
TOTAL,Administrative and support service activities,2009,
TOTAL,Administrative and support service activities,2008,
TOTAL,Administrative and support service activities,2007,
TOTAL,Administrative and support service activities,2006,
TOTAL,Administrative and support service activities,2005,
TOTAL,Administrative and support service activities,2004,
TOTAL,Administrative and support service activities,2003,
TOTAL,Administrative and support service activities,2002,
TOTAL,Administrative and support service activities,2001,
TOTAL,Public administration and defense; compulsory social security,2025,2807.3
TOTAL,Public administration and defense; compulsory social security,2024,2454.7
TOTAL,Public administration and defense; compulsory social security,2023,1825.8
TOTAL,Public administration and defense; compulsory social security,2022,1290.6
TOTAL,Public administration and defense; compulsory social security,2021,1140.7
TOTAL,Public administration and defense; compulsory social security,2020,1093.2
TOTAL,Public administration and defense; compulsory social security,2019,1030.0
TOTAL,Public administration and defense; compulsory social security,2018,898.0
TOTAL,Public administration and defense; compulsory social security,2017,832.2
TOTAL,Public administration and defense; compulsory social security,2016,780.1
TOTAL,Public administration and defense; compulsory social security,2015,788.9
TOTAL,Public administration and defense; compulsory social security,2014,776.4
TOTAL,Public administration and defense; compulsory social security,2013,719.5
TOTAL,Public administration and defense; compulsory social security,2012,613.9
TOTAL,Public administration and defense; compulsory social security,2011,434.3
TOTAL,Public administration and defense; compulsory social security,2010,351.1
TOTAL,Public administration and defense; compulsory social security,2009,332.0
TOTAL,Public administration and defense; compulsory social security,2008,327.3
TOTAL,Public administration and defense; compulsory social security,2007,194.0
TOTAL,Public administration and defense; compulsory social security,2006,140.8
TOTAL,Public administration and defense; compulsory social security,2005,106.2
TOTAL,Public administration and defense; compulsory social security,2004,94.4
TOTAL,Public administration and defense; compulsory social security,2003,78.2
TOTAL,Public administration and defense; compulsory social security,2002,66.5
TOTAL,Public administration and defense; compulsory social security,2001,59.3
TOTAL,Education,2025,2360.7
TOTAL,Education,2024,2018.1
TOTAL,Education,2023,1515.1
TOTAL,Education,2022,1211.6
TOTAL,Education,2021,1045.2
TOTAL,Education,2020,1013.0
TOTAL,Education,2019,903.3
TOTAL,Education,2018,760.2
TOTAL,Education,2017,720.8
TOTAL,Education,2016,712.9
TOTAL,Education,2015,735.5
TOTAL,Education,2014,705.2
TOTAL,Education,2013,663.2
TOTAL,Education,2012,529.4
TOTAL,Education,2011,366.1
TOTAL,Education,2010,311.6
TOTAL,Education,2009,297.3
TOTAL,Education,2008,289.2
TOTAL,Education,2007,174.3
TOTAL,Education,2006,105.2
TOTAL,Education,2005,92.8
TOTAL,Education,2004,88.2
TOTAL,Education,2003,77.5
TOTAL,Education,2002,64.5
TOTAL,Education,2001,60.8
TOTAL,Human health and social work activities,2025,2498.1
TOTAL,Human health and social work activities,2024,2249.1
TOTAL,Human health and social work activities,2023,1786.9
TOTAL,Human health and social work activities,2022,1474.6
TOTAL,Human health and social work activities,2021,1277.5
TOTAL,Human health and social work activities,2020,1108.6
TOTAL,Human health and social work activities,2019,940.7
TOTAL,Human health and social work activities,2018,800.4
TOTAL,Human health and social work activities,2017,767.1
TOTAL,Human health and social work activities,2016,739.6
TOTAL,Human health and social work activities,2015,776.4
TOTAL,Human health and social work activities,2014,725.0
TOTAL,Human health and social work activities,2013,708.6
TOTAL,Human health and social work activities,2012,553.7
TOTAL,Human health and social work activities,2011,382.4
TOTAL,Human health and social work activities,2010,319.1
TOTAL,Human health and social work activities,2009,298.5
TOTAL,Human health and social work activities,2008,295.8
TOTAL,Human health and social work activities,2007,166.0
TOTAL,Human health and social work activities,2006,120.1
TOTAL,Human health and social work activities,2005,84.6
TOTAL,Human health and social work activities,2004,79.9
TOTAL,Human health and social work activities,2003,60.8
TOTAL,Human health and social work activities,2002,51.5
TOTAL,Human health and social work activities,2001,48.4
TOTAL,"Arts, entertainment and recreation",2025,2249.4
TOTAL,"Arts, entertainment and recreation",2024,1843.3
TOTAL,"Arts, entertainment and recreation",2023,1368.6
TOTAL,"Arts, entertainment and recreation",2022,971.4
TOTAL,"Arts, entertainment and recreation",2021,873.4
TOTAL,"Arts, entertainment and recreation",2020,844.0
TOTAL,"Arts, entertainment and recreation",2019,738.1
TOTAL,"Arts, entertainment and recreation",2018,624.2
TOTAL,"Arts, entertainment and recreation",2017,605.2
TOTAL,"Arts, entertainment and recreation",2016,587.6
TOTAL,"Arts, entertainment and recreation",2015,619.8
TOTAL,"Arts, entertainment and recreation",2014,596.9
TOTAL,"Arts, entertainment and recreation",2013,554.4
TOTAL,"Arts, entertainment and recreation",2012,
TOTAL,"Arts, entertainment and recreation",2011,
TOTAL,"Arts, entertainment and recreation",2010,
TOTAL,"Arts, entertainment and recreation",2009,
TOTAL,"Arts, entertainment and recreation",2008,
TOTAL,"Arts, entertainment and recreation",2007,
TOTAL,"Arts, entertainment and recreation",2006,
TOTAL,"Arts, entertainment and recreation",2005,
TOTAL,"Arts, entertainment and recreation",2004,
TOTAL,"Arts, entertainment and recreation",2003,
TOTAL,"Arts, entertainment and recreation",2002,
TOTAL,"Arts, entertainment and recreation",2001,
TOTAL,Other service activities,2025,2196.9
TOTAL,Other service activities,2024,1955.2
TOTAL,Other service activities,2023,1567.8
TOTAL,Other service activities,2022,1278.3
TOTAL,Other service activities,2021,1098.0
TOTAL,Other service activities,2020,1019.1
TOTAL,Other service activities,2019,910.7
TOTAL,Other service activities,2018,809.8
TOTAL,Other service activities,2017,751.1
TOTAL,Other service activities,2016,724.3
TOTAL,Other service activities,2015,722.0
TOTAL,Other service activities,2014,601.2
TOTAL,Other service activities,2013,446.6
TOTAL,Other service activities,2012,436.3
TOTAL,Other service activities,2011,305.3
TOTAL,Other service activities,2010,257.6
TOTAL,Other service activities,2009,264.9
TOTAL,Other service activities,2008,213.9
TOTAL,Other service activities,2007,147.1
TOTAL,Other service activities,2006,91.3
TOTAL,Other service activities,2005,68.4
TOTAL,Other service activities,2004,62.4
TOTAL,Other service activities,2003,53.7
TOTAL,Other service activities,2002,50.7
TOTAL,Other service activities,2001,47.9
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2025,3013.8
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2024,2194.2
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2023,1743.3
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2022,1205.0
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2021,1042.9
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2020,906.8
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2019,799.3
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2018,672.9
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2017,594.4
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2016,560.9
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2015,561.3
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2014,486.5
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2013,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2012,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2011,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2010,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2009,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2008,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2007,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2006,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2005,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2004,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2003,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2002,
TOTAL,Activities of households as employers; undifferentiated goods-and services-producing activities of household for own use,2001,0.0
TOTAL,Activities of extraterritorial organizations and bodies,2025,3389.9
TOTAL,Activities of extraterritorial organizations and bodies,2024,4758.1
TOTAL,Activities of extraterritorial organizations and bodies,2023,4455.9
TOTAL,Activities of extraterritorial organizations and bodies,2022,4826.3
TOTAL,Activities of extraterritorial organizations and bodies,2021,1994.1
TOTAL,Activities of extraterritorial organizations and bodies,2020,1822.7
TOTAL,Activities of extraterritorial organizations and bodies,2019,1778.0
TOTAL,Activities of extraterritorial organizations and bodies,2018,1479.9
TOTAL,Activities of extraterritorial organizations and bodies,2017,1710.0
TOTAL,Activities of extraterritorial organizations and bodies,2016,1387.6
TOTAL,Activities of extraterritorial organizations and bodies,2015,1460.8
TOTAL,Activities of extraterritorial organizations and bodies,2014,1433.6
TOTAL,Activities of extraterritorial organizations and bodies,2013,1139.1
TOTAL,Activities of extraterritorial organizations and bodies,2012,377.5
TOTAL,Activities of extraterritorial organizations and bodies,2011,162.2
TOTAL,Activities of extraterritorial organizations and bodies,2010,159.8
TOTAL,Activities of extraterritorial organizations and bodies,2009,148.8
TOTAL,Activities of extraterritorial organizations and bodies,2008,
TOTAL,Activities of extraterritorial organizations and bodies,2007,
TOTAL,Activities of extraterritorial organizations and bodies,2006,
TOTAL,Activities of extraterritorial organizations and bodies,2005,
TOTAL,Activities of extraterritorial organizations and bodies,2004,
TOTAL,Activities of extraterritorial organizations and bodies,2003,
