id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Замын ангилал,Батлагдсан огноо,Замын зурвас газар,Хэсэгчилсэн ерөнхий төлөвлөгөөний нэр,Нэмэлт тайлбар,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
526524,,,Polygon,107.101519,47.887219,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526525,,,Polygon,107.101519,47.887219,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526526,,,Polygon,107.101519,47.887219,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526527,,,Polygon,107.101519,47.887219,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526528,,,Polygon,107.101725,47.884972,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526529,,,Polygon,107.101725,47.884972,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526530,,,Polygon,107.101725,47.884972,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526531,,,Polygon,107.09318,47.884526,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526532,,,Polygon,107.096228,47.88176,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526533,,,Polygon,107.096228,47.88176,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526534,,,Polygon,107.096228,47.88176,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526535,,,Polygon,107.096228,47.88176,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526536,,,Polygon,107.101577,47.879035,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526537,,,Polygon,107.101577,47.879035,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526538,,,Polygon,107.101577,47.879035,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526539,,,Polygon,107.101577,47.879035,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526540,,,Polygon,107.100899,47.881631,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526541,,,Polygon,107.100899,47.881631,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526542,,,Polygon,107.100899,47.881631,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526543,,,Polygon,107.100899,47.881631,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526544,,,Polygon,107.092334,47.882417,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн явган хүний зам,2015.04.15,1,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526545,,,Polygon,107.100885,47.876009,ХЕТ-ний төлөвлөлтийн зам,Туслах гудамж зам-1,2015.04.15,2 эгнээтэй,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526546,,,Polygon,107.126564,47.865206,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526547,,,Polygon,107.12615,47.865386,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526548,,,Polygon,107.126639,47.867045,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526549,,,Polygon,107.125323,47.871089,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526550,,,Polygon,107.122937,47.869706,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526551,,,Polygon,107.121865,47.869078,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526552,,,Polygon,107.12386,47.869042,ХЕТ-ний төлөвлөлтийн зам,Орон сууцны ил зогсоол,2015.04.15,,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526553,,,Polygon,107.072825,47.887712,ХЕТ-ний төлөвлөлтийн зам,Замын дээгүүр гүүрэн гарц,2015.04.15,6 метр өндөр,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526554,,,Polygon,107.077555,47.889624,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөж буй гүүр,2015.04.15,3 метр өндөр,31-р нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526555,,,MultiPolygon,106.996151,47.934198,ХЕТ-ний төлөвлөлтийн зам,1-р зэргийн туслах зам,2015.04.15,3 эгнээ,Шар хад нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526556,,,MultiPolygon,106.995614,47.938832,ХЕТ-ний төлөвлөлтийн зам,2-р зэргийн туслах зам,2015.04.15,2 эгнээ,Шар хад нэгж хорооллын ХЕТ,2016.09.15 ний өдөр Т.Соёл-эрдэнэ мэдээг оруулав.,,,,
526557,,,Polygon,107.271097,47.741872,ХЕТ-ний төлөвлөлтийн зам,Төлөвлөгдсөн зам,2014.09.26,2,Налайх дүүргийн АҮТП-н ХЕТ,,,,,
