id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Хаяг,Нэр
4623,,,Point,106.946126,47.91933,Хувийн цэцэрлэг,"БЗД 4-р хороо, 19-р байр",Шүүдэрхэн
4624,,,Point,106.945354,47.920624,Хувийн цэцэрлэг,БЗД 4-р хороо Гялс төвийн хойно,Хонхонцэцэг
4625,,,Point,106.94801,47.918783,Хувийн цэцэрлэг,"БЗД 4-р хороо,43-15тоот",Есөн цагаан бүжин
4626,,,Point,106.955696,47.918058,Хувийн цэцэрлэг,"БЗД 5-р хороо, отгонтэнгэр сургуулийн байранд",ОДтой жаалууд
4627,,,Point,106.963105,47.918163,Хувийн цэцэрлэг,БЗД 5-р хороо 85б байр,Багачуудийн ордон
4628,,,Point,106.959574,47.919572,Хувийн цэцэрлэг,БЗД 5-р хороо 70-р байр,Цагчиг
4629,,,Point,106.983485,47.926366,Хувийн цэцэрлэг,"БЗД 19-р хороо, Газарчин дээд сургуулийн баруун талд",Аз хишиг
4630,,,Point,106.945444,47.911207,Хувийн цэцэрлэг,"БЗД 14-р хороо, 41-р байр",Амилагийн найзууд
4631,,,Point,106.933225,47.905991,Хувийн цэцэрлэг,"БЗД 26-р хороо, 408-р байр",Баянмонголын багачууд
4632,,,Point,106.931865,47.906018,Хувийн цэцэрлэг,БЗД 26-р хороо баянмонгол хороолол 409,Том жаал-Баянмонгол
4633,,,Point,106.928799,47.905218,Хувийн цэцэрлэг,"БЗД 26-р хороо, Дүнжингарав хороолол 105",Ялгуун
4634,,,Point,106.934618,47.905248,Хувийн цэцэрлэг,БЗД 26-р хороо Баянмонгол дотор,Хүүхэд ирээдүй
4635,,,Point,106.937957,47.929062,Хувийн цэцэрлэг,БЗД 2-р хороо АОС,Нархан хотхон
4636,,,Point,106.937229,47.914786,Хувийн цэцэрлэг,БЗД 18-р хороо 16-р хороолол 46-о байр,Цовоо хүүхдүүд
4637,,,Point,106.945171,47.912471,Хувийн цэцэрлэг,БЗД 14-р хороо Аманхуур хотхон,Шинэ ирээдүй
4638,,,Point,106.924031,47.92586,Хувийн цэцэрлэг,"СБД 8-р хороо, 40-р байр",Мөндөөхэй
4639,,,Point,106.92224,47.92693,Хувийн цэцэрлэг,сБД 8-р хороо ШУТИС-ийн дотуур байрны ард,Үрэл хотхон
4640,,,Point,106.91305,47.930315,Хувийн цэцэрлэг,"СБД 9-р хороо, 4-р сургуулийн ард",Шинэ гэр
4641,,,Point,106.916697,47.923825,Хувийн цэцэрлэг,"СБД 6-р хороо, 45-р байр",Эхийн хайр Буман жаалууд
4642,,,Point,106.92714,47.922143,Хувийн цэцэрлэг,"СБД 8-р хороо, Логарифм сургуулийн байр",Дуду эмээ
4643,,,Point,106.914874,47.926769,Хувийн цэцэрлэг,"СБД 6-р хороо, Метротолл дэлгүүрийн хойно",Ногоон алим
4644,,,Point,106.911125,47.912509,Хувийн цэцэрлэг,СБД 3-р хороо Сөүлийн гудамж Шаазан ваарны үйлдвэр,Элит багачууд
4645,,,Point,106.925385,47.92552,Хувийн цэцэрлэг,СБД 7-р хороо 44-р байр,Амила
4646,,,Point,106.908081,47.91478,Хувийн цэцэрлэг,"СБД 4-р хороо, 15-р байр 3тоот",Агуу хүүхдүүд - Хүүхэд хөгжүүлэгч
4647,,,Point,106.918287,47.924625,Хувийн цэцэрлэг,"СБД 8-р хороо Залуучуудын өргөн чөлөө, 25-р байр",Миний цэцэрлэг
4648,,,Point,106.916845,47.914776,Хувийн цэцэрлэг,"СБД 1-р хороо, Чингисийн өргөн чөлөө 8-р байр",Бөмбөөлэй оддууд
4649,,,Point,106.920416,47.928549,Хувийн цэцэрлэг,"СБД 8-р хороо, 11-р хороолол, Бага тойруу 43-р байр",Ивээлт нар
4650,,,Point,106.973315,48.00764,Хувийн цэцэрлэг,СБД 18-р хороо бэлх 49-314,Ирээдүйн одод
4651,,,Point,106.849867,47.952237,Хувийн цэцэрлэг,"СХД 11-р хороо, 127-р цэцэрлэгийн хойно",Ишигхэн
4652,,,Point,106.838992,47.960167,Хувийн цэцэрлэг,СХД 10-р хороо ЗБУ,Сэнтпоул
4653,,,Point,106.828517,47.912844,Хувийн цэцэрлэг,СХД 29-р хороо Москва хороолол 131/2 байр 50 тоот,Гурван хөгжил
