id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,"Барилга, байгууламжийн нэр"
5894,,,Point,106.878908,47.910552,Төрийн байгууллага,БГДЗДТГ-ын байр
5895,,,Point,106.878364,47.910551,Төрийн байгууллага,БГДЗДТГ-ын байр
5896,,,Point,106.838856,47.958866,Төрийн байгууллага,Сонгинохайрхан дүүргийн цагдаагийн 2-р хэлтэс
5897,,,Point,106.795122,47.907927,Төрийн байгууллага,БГД цагдаагийн 2-р хэлтэс
5898,,,Point,106.951995,47.925028,Төрийн байгууллага,БЗД цагдаагийн 2-р хэлтэс
5899,,,Point,108.365422,47.780332,Төрийн байгууллага,БНД Нийгмийн даатгалын хэлтэс өөрийн байр
5900,,,Point,108.36537,47.780782,Төрийн байгууллага,БНДЗДТГ-ын байр
5901,,,Point,108.366147,47.781002,Төрийн байгууллага,БНДЗДТГ-ын байр
5902,,,Point,108.365949,47.781105,Төрийн байгууллага,БНДЗДТГ
5903,,,Point,108.365512,47.780892,Төрийн байгууллага,БНДЗДТГ-ын байр
5904,,,Point,108.365693,47.781024,Төрийн байгууллага,БНДЗДТГ-ын байр
5905,,,Point,107.254867,47.772309,Төрийн байгууллага,НД-ийн НДХэлтсийн байр
5906,,,Point,107.25511,47.77229,Төрийн байгууллага,НД-ийн НДХэлтсийн байр
5907,,,Point,107.254782,47.772317,Төрийн байгууллага,НД-ийн НДХэлтэсийн байр
5908,,,Point,107.433421,47.351128,Төрийн байгууллага,БХД-ийн хөдөлмөрийн хэлтсийн байр
5909,,,Point,107.249686,47.770328,Төрийн байгууллага,НД-ийн цагдаагийн хэлтэс
5910,,,Point,107.254984,47.777557,Төрийн байгууллага,НД-ийн гэрэлтүүлэг чимэглэлийн алба
5911,,,Point,106.915494,47.91889,Төрийн байгууллага,"Нийслэлийн Засаг захиргааны 2 байр, Хангарьд 10 давхар"
5912,,,Point,106.907396,47.920641,Төрийн байгууллага,Нийслэлийн шүүхийн байр
5913,,,Point,106.915598,47.918774,Төрийн байгууллага,"Нийслэлийн Засаг Захиргааны 2 байр, Хангарьд 2, 4 давхар"
5914,,,Point,106.940628,47.92433,Төрийн байгууллага,Нийслэлийн хот тохижилтын газар
5915,,,Point,106.831036,47.909822,Төрийн байгууллага,"Геодези, усны барилга байгууламжийн газар"
5916,,,Point,106.929795,47.922589,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 5 байр б блок 2 давхар
5917,,,Point,106.929282,47.922578,Төрийн байгууллага,Нийслэлийн Засаг Захиргааны 5 байр
5918,,,Point,106.894582,47.898204,Төрийн байгууллага,Хэсэгчилсэн инженерийн хангамжийн удирдах газар
5919,,,Point,106.88407,47.900902,Төрийн байгууллага,Зорчигч тээврийн нэгтгэл
5920,,,Point,107.27186,47.731506,Төрийн байгууллага,"Налайхын Барилгын материалын үйлдвэрлэл, технологийн парк"
5921,,,Point,106.983497,47.924071,Төрийн байгууллага,Өсвөр үе хүнс
5922,,,Point,106.903608,47.954647,Төрийн байгууллага,Багачууд хүнс байр
5923,,,Point,106.921885,47.936848,Төрийн байгууллага,Ахмадын хотхон -1
5924,,,Point,106.938425,47.901482,Төрийн байгууллага,Үндэсний цэцэрлэгт хүрээлэнд
