id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл
12367,82,Т.Дамдины гудамж,LineString,107.250078,47.768372,"Гудамж, талбайн нэр"
12368,152,Уурхайчдын 2-р гудамж,LineString,107.245511,47.773171,"Гудамж, талбайн нэр"
12369,151,Уурхайчдын 1-р гудамж,LineString,107.264639,47.760421,"Гудамж, талбайн нэр"
12370,127,Богд Жавзандамбын гудамж,LineString,106.908702,47.894425,"Гудамж, талбайн нэр"
12371,207,Удирдлагын академийн гудамж,LineString,106.922862,47.896935,"Гудамж, талбайн нэр"
12372,206,Г.Цэрэнчимэдийн гудамж,LineString,106.916741,47.894925,"Гудамж, талбайн нэр"
12373,149-1,Архитектор Б.Чимэдийн гудамж,LineString,106.930516,47.922019,"Гудамж, талбайн нэр"
12374,38-1,Шинэ Яармаг-1 бичил хороолол,LineString,106.792913,47.850061,"Гудамж, талбайн нэр"
12375,221,Уурхайчдын зам,LineString,107.132649,47.839754,"Гудамж, талбайн нэр"
12376,118-1,Лодонгийн Түдэвийн гудамж,LineString,106.917692,47.914522,"Гудамж, талбайн нэр"
551400,208,Архивчдын гудамж,LineString,106.788132,47.843704,"Гудамж, талбайн нэр"
551401,209,Н.Цэрэнноровын гудамж,LineString,106.884065,47.912574,"Гудамж, талбайн нэр"
551402,210,Фредерик Шопен гудамж,LineString,106.91659,47.891843,"Гудамж, талбайн нэр"
551403,211,Любовь Сергеевна Соболева гудамж,LineString,106.95599,47.920389,"Гудамж, талбайн нэр"
551404,213,Гал сөнөөгчдийн гудамж,LineString,106.908579,47.923347,"Гудамж, талбайн нэр"
551405,212,Хүүхдийн сангийн гудамж,LineString,106.920285,47.936063,"Гудамж, талбайн нэр"
