id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Архитектур орон зайн бүс,Нэр
77350,,,Polygon,106.645349,47.901431,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77352,,,Polygon,106.645161,47.901435,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77353,,,Polygon,106.645224,47.901434,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77355,,,Polygon,106.724549,47.904064,Хамгаалалтын бүс,Хамгаалалтын бүс,
77357,,,Polygon,106.652203,47.900106,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77358,,,Polygon,106.724621,47.904583,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77360,,,Polygon,106.65189,47.900556,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77362,,,Polygon,107.037535,47.894895,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77363,,,Polygon,107.03814,47.895287,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77365,,,Polygon,107.022234,47.901509,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77367,,,Polygon,107.022372,47.901998,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77368,,,Polygon,106.961143,47.906951,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77370,,,Polygon,106.829944,47.869091,Ногоон байгууламж,Ногоон байгууламж,
77372,,,Polygon,106.998694,47.90397,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77373,,,Polygon,106.998854,47.904459,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77375,,,Polygon,106.786567,47.908831,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77377,,,Polygon,106.786833,47.909136,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77378,,,MultiPolygon,106.842722,47.908431,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
77380,,,Polygon,106.791049,47.909064,Төмөр замын хамгаалалтын зурвас,Төмөр замын хамгаалалтын зурвас,
