id,object_no,object_name,geom_type,lon,lat
1052949,,,MultiPolygon,106.829722,47.854338
1052950,,,MultiPolygon,106.831932,47.853803
1052952,,,MultiPolygon,106.826608,47.85054
1052953,,,MultiPolygon,106.833091,47.848687
1052955,,,MultiPolygon,106.838846,47.836086
1052958,,,MultiPolygon,106.82347,47.819158
1052959,,,MultiPolygon,106.843926,47.807769
1052961,,,MultiPolygon,106.782793,47.8505
1052962,,,MultiPolygon,106.782331,47.852602
1052964,,,MultiPolygon,106.77835,47.854015
1052966,,,MultiPolygon,106.773212,47.855725
1052967,,,MultiPolygon,106.781045,47.858383
1052969,,,MultiPolygon,106.793532,47.860927
1052970,,,MultiPolygon,106.911909,47.901651
1052973,,,MultiPolygon,106.912805,47.90424
1052974,,,MultiPolygon,106.920434,47.904796
1052976,,,MultiPolygon,106.943139,47.904192
1052977,,,MultiPolygon,106.740527,47.927195
1052979,,,MultiPolygon,106.779628,47.915806
1052980,,,MultiPolygon,106.812236,47.91719
1052982,,,MultiPolygon,106.814119,47.918161
1052984,,,MultiPolygon,106.814674,47.917545
1052986,,,MultiPolygon,106.807758,47.914303
1052988,,,MultiPolygon,106.802806,47.910954
1052989,,,MultiPolygon,106.817376,47.915202
1052991,,,MultiPolygon,106.819267,47.931611
1052992,,,MultiPolygon,106.807149,47.92559
1052994,,,MultiPolygon,106.707725,47.958726
1052995,,,MultiPolygon,106.919479,47.894469
1052998,,,MultiPolygon,106.933377,47.909434
1052999,,,MultiPolygon,106.933444,47.908785
1053001,,,MultiPolygon,106.945004,47.919314
1053002,,,MultiPolygon,106.950329,47.921305
1053004,,,MultiPolygon,106.949825,47.923214
1053005,,,MultiPolygon,106.956624,47.921614
1053007,,,MultiPolygon,106.955734,47.922247
1053009,,,MultiPolygon,106.963163,47.916059
1053011,,,MultiPolygon,106.955919,47.90997
1053013,,,MultiPolygon,106.959573,47.912233
1053014,,,MultiPolygon,106.989894,47.911003
1053016,,,MultiPolygon,106.996269,47.908503
1053017,,,MultiPolygon,106.982166,47.924299
1053019,,,MultiPolygon,106.984151,47.924206
1053020,,,MultiPolygon,106.968237,47.913591
1053022,,,MultiPolygon,106.98275,47.917728
1053023,,,MultiPolygon,106.984379,47.917455
1053026,,,MultiPolygon,106.986122,47.914956
1053028,,,MultiPolygon,106.98802,47.91353
1053029,,,MultiPolygon,106.867458,47.870834
1053031,,,MultiPolygon,106.847495,47.869977
1053032,,,MultiPolygon,106.829878,47.870374
1053034,,,MultiPolygon,106.926871,47.89863
1053035,,,MultiPolygon,106.923542,47.898859
1053037,,,MultiPolygon,106.925125,47.899239
1053039,,,MultiPolygon,106.922451,47.900792
1053041,,,MultiPolygon,106.924673,47.902044
1053042,,,MultiPolygon,106.910179,47.880546
1053044,,,MultiPolygon,106.903777,47.887989
1053046,,,MultiPolygon,106.881583,47.902129
